bucket_sequence,unknown_candidate_id,primary_external_ref_id,packet_path,source_group,source_class_id,source_image_count,review_status,updated_at
001,obs-unk-007801,hust-obc-und-YH-007801,corpus/001_oracle-characters/095_undeciphered-007801-007900_obs-unk-bucket_oracle-character-candidates/001_obs-unk-007801_hust-obc-und-YH-007801_oracle-character-candidate/01_undeciphered-candidate-packet.json,Y+H,6038F,24,reviewed_metadata_only,2026-06-10
002,obs-unk-007802,hust-obc-und-YH-007802,corpus/001_oracle-characters/095_undeciphered-007801-007900_obs-unk-bucket_oracle-character-candidates/002_obs-unk-007802_hust-obc-und-YH-007802_oracle-character-candidate/01_undeciphered-candidate-packet.json,Y+H,6039E,24,reviewed_metadata_only,2026-06-10
003,obs-unk-007803,hust-obc-und-YH-007803,corpus/001_oracle-characters/095_undeciphered-007801-007900_obs-unk-bucket_oracle-character-candidates/003_obs-unk-007803_hust-obc-und-YH-007803_oracle-character-candidate/01_undeciphered-candidate-packet.json,Y+H,6039F,24,reviewed_metadata_only,2026-06-10
004,obs-unk-007804,hust-obc-und-YH-007804,corpus/001_oracle-characters/095_undeciphered-007801-007900_obs-unk-bucket_oracle-character-candidates/004_obs-unk-007804_hust-obc-und-YH-007804_oracle-character-candidate/01_undeciphered-candidate-packet.json,Y+H,603A1,24,reviewed_metadata_only,2026-06-10
005,obs-unk-007805,hust-obc-und-YH-007805,corpus/001_oracle-characters/095_undeciphered-007801-007900_obs-unk-bucket_oracle-character-candidates/005_obs-unk-007805_hust-obc-und-YH-007805_oracle-character-candidate/01_undeciphered-candidate-packet.json,Y+H,603A3,24,reviewed_metadata_only,2026-06-10
006,obs-unk-007806,hust-obc-und-YH-007806,corpus/001_oracle-characters/095_undeciphered-007801-007900_obs-unk-bucket_oracle-character-candidates/006_obs-unk-007806_hust-obc-und-YH-007806_oracle-character-candidate/01_undeciphered-candidate-packet.json,Y+H,603A5,23,reviewed_metadata_only,2026-06-10
007,obs-unk-007807,hust-obc-und-YH-007807,corpus/001_oracle-characters/095_undeciphered-007801-007900_obs-unk-bucket_oracle-character-candidates/007_obs-unk-007807_hust-obc-und-YH-007807_oracle-character-candidate/01_undeciphered-candidate-packet.json,Y+H,603A7,24,reviewed_metadata_only,2026-06-10
008,obs-unk-007808,hust-obc-und-YH-007808,corpus/001_oracle-characters/095_undeciphered-007801-007900_obs-unk-bucket_oracle-character-candidates/008_obs-unk-007808_hust-obc-und-YH-007808_oracle-character-candidate/01_undeciphered-candidate-packet.json,Y+H,603A8,24,reviewed_metadata_only,2026-06-10
009,obs-unk-007809,hust-obc-und-YH-007809,corpus/001_oracle-characters/095_undeciphered-007801-007900_obs-unk-bucket_oracle-character-candidates/009_obs-unk-007809_hust-obc-und-YH-007809_oracle-character-candidate/01_undeciphered-candidate-packet.json,Y+H,603AE,1,reviewed_metadata_only,2026-06-10
010,obs-unk-007810,hust-obc-und-YH-007810,corpus/001_oracle-characters/095_undeciphered-007801-007900_obs-unk-bucket_oracle-character-candidates/010_obs-unk-007810_hust-obc-und-YH-007810_oracle-character-candidate/01_undeciphered-candidate-packet.json,Y+H,603AF,1,reviewed_metadata_only,2026-06-10
011,obs-unk-007811,hust-obc-und-YH-007811,corpus/001_oracle-characters/095_undeciphered-007801-007900_obs-unk-bucket_oracle-character-candidates/011_obs-unk-007811_hust-obc-und-YH-007811_oracle-character-candidate/01_undeciphered-candidate-packet.json,Y+H,603B1,1,reviewed_metadata_only,2026-06-10
012,obs-unk-007812,hust-obc-und-YH-007812,corpus/001_oracle-characters/095_undeciphered-007801-007900_obs-unk-bucket_oracle-character-candidates/012_obs-unk-007812_hust-obc-und-YH-007812_oracle-character-candidate/01_undeciphered-candidate-packet.json,Y+H,603B2,24,reviewed_metadata_only,2026-06-10
013,obs-unk-007813,hust-obc-und-YH-007813,corpus/001_oracle-characters/095_undeciphered-007801-007900_obs-unk-bucket_oracle-character-candidates/013_obs-unk-007813_hust-obc-und-YH-007813_oracle-character-candidate/01_undeciphered-candidate-packet.json,Y+H,603B3,24,reviewed_metadata_only,2026-06-10
014,obs-unk-007814,hust-obc-und-YH-007814,corpus/001_oracle-characters/095_undeciphered-007801-007900_obs-unk-bucket_oracle-character-candidates/014_obs-unk-007814_hust-obc-und-YH-007814_oracle-character-candidate/01_undeciphered-candidate-packet.json,Y+H,603B4,24,reviewed_metadata_only,2026-06-10
015,obs-unk-007815,hust-obc-und-YH-007815,corpus/001_oracle-characters/095_undeciphered-007801-007900_obs-unk-bucket_oracle-character-candidates/015_obs-unk-007815_hust-obc-und-YH-007815_oracle-character-candidate/01_undeciphered-candidate-packet.json,Y+H,603B5,24,reviewed_metadata_only,2026-06-10
016,obs-unk-007816,hust-obc-und-YH-007816,corpus/001_oracle-characters/095_undeciphered-007801-007900_obs-unk-bucket_oracle-character-candidates/016_obs-unk-007816_hust-obc-und-YH-007816_oracle-character-candidate/01_undeciphered-candidate-packet.json,Y+H,603B6,24,reviewed_metadata_only,2026-06-10
017,obs-unk-007817,hust-obc-und-YH-007817,corpus/001_oracle-characters/095_undeciphered-007801-007900_obs-unk-bucket_oracle-character-candidates/017_obs-unk-007817_hust-obc-und-YH-007817_oracle-character-candidate/01_undeciphered-candidate-packet.json,Y+H,603B7,24,reviewed_metadata_only,2026-06-10
018,obs-unk-007818,hust-obc-und-YH-007818,corpus/001_oracle-characters/095_undeciphered-007801-007900_obs-unk-bucket_oracle-character-candidates/018_obs-unk-007818_hust-obc-und-YH-007818_oracle-character-candidate/01_undeciphered-candidate-packet.json,Y+H,603B8,24,reviewed_metadata_only,2026-06-10
019,obs-unk-007819,hust-obc-und-YH-007819,corpus/001_oracle-characters/095_undeciphered-007801-007900_obs-unk-bucket_oracle-character-candidates/019_obs-unk-007819_hust-obc-und-YH-007819_oracle-character-candidate/01_undeciphered-candidate-packet.json,Y+H,603B9,24,reviewed_metadata_only,2026-06-10
020,obs-unk-007820,hust-obc-und-YH-007820,corpus/001_oracle-characters/095_undeciphered-007801-007900_obs-unk-bucket_oracle-character-candidates/020_obs-unk-007820_hust-obc-und-YH-007820_oracle-character-candidate/01_undeciphered-candidate-packet.json,Y+H,603BE,23,reviewed_metadata_only,2026-06-10
021,obs-unk-007821,hust-obc-und-YH-007821,corpus/001_oracle-characters/095_undeciphered-007801-007900_obs-unk-bucket_oracle-character-candidates/021_obs-unk-007821_hust-obc-und-YH-007821_oracle-character-candidate/01_undeciphered-candidate-packet.json,Y+H,603C0,23,reviewed_metadata_only,2026-06-10
022,obs-unk-007822,hust-obc-und-YH-007822,corpus/001_oracle-characters/095_undeciphered-007801-007900_obs-unk-bucket_oracle-character-candidates/022_obs-unk-007822_hust-obc-und-YH-007822_oracle-character-candidate/01_undeciphered-candidate-packet.json,Y+H,603C2,1,reviewed_metadata_only,2026-06-10
023,obs-unk-007823,hust-obc-und-YH-007823,corpus/001_oracle-characters/095_undeciphered-007801-007900_obs-unk-bucket_oracle-character-candidates/023_obs-unk-007823_hust-obc-und-YH-007823_oracle-character-candidate/01_undeciphered-candidate-packet.json,Y+H,603C3,1,reviewed_metadata_only,2026-06-10
