candidate_component_id,candidate_subcharacter_id,candidate_directory,primary_external_ref_id,source_subcharacter_uid,source_main_character_uid,main_character_external_ref_id,glyph_codepoint_count,rights_status,object_status,review_status,research_boundary,updated_at
obs-comp-cand-001501,obimd-sub-cand-001501,corpus/003_graphemic-components/016_001501-001600_obs-comp-cand-bucket_component-candidates/1501_obs-comp-cand-001501_obimd-sub-353gxm6hd4_component-candidate,obimd-sub-353gxm6hd4,353gxm6hd4,353gxm6hd4,obimd-main-353gxm6hd4,184,licensed_for_repository,dataset_candidate_not_promoted,needs_human_component_review,dataset_component_candidate_only_not_formal_component_record_not_component_assignment,2026-06-20
obs-comp-cand-001502,obimd-sub-cand-001502,corpus/003_graphemic-components/016_001501-001600_obs-comp-cand-bucket_component-candidates/1502_obs-comp-cand-001502_obimd-sub-y2ewmrnlib_component-candidate,obimd-sub-y2ewmrnlib,y2ewmrnlib,353gxm6hd4,obimd-main-353gxm6hd4,22,licensed_for_repository,dataset_candidate_not_promoted,needs_human_component_review,dataset_component_candidate_only_not_formal_component_record_not_component_assignment,2026-06-20
obs-comp-cand-001503,obimd-sub-cand-001503,corpus/003_graphemic-components/016_001501-001600_obs-comp-cand-bucket_component-candidates/1503_obs-comp-cand-001503_obimd-sub-8st8h2b5yr_component-candidate,obimd-sub-8st8h2b5yr,8st8h2b5yr,8st8h2b5yr,obimd-main-8st8h2b5yr,15,licensed_for_repository,dataset_candidate_not_promoted,needs_human_component_review,dataset_component_candidate_only_not_formal_component_record_not_component_assignment,2026-06-20
obs-comp-cand-001504,obimd-sub-cand-001504,corpus/003_graphemic-components/016_001501-001600_obs-comp-cand-bucket_component-candidates/1504_obs-comp-cand-001504_obimd-sub-iv32hma8wx_component-candidate,obimd-sub-iv32hma8wx,iv32hma8wx,8st8h2b5yr,obimd-main-8st8h2b5yr,20,licensed_for_repository,dataset_candidate_not_promoted,needs_human_component_review,dataset_component_candidate_only_not_formal_component_record_not_component_assignment,2026-06-20
obs-comp-cand-001505,obimd-sub-cand-001505,corpus/003_graphemic-components/016_001501-001600_obs-comp-cand-bucket_component-candidates/1505_obs-comp-cand-001505_obimd-sub-dd5w09rr1q_component-candidate,obimd-sub-dd5w09rr1q,dd5w09rr1q,dd5w09rr1q,obimd-main-dd5w09rr1q,12,licensed_for_repository,dataset_candidate_not_promoted,needs_human_component_review,dataset_component_candidate_only_not_formal_component_record_not_component_assignment,2026-06-20
obs-comp-cand-001506,obimd-sub-cand-001506,corpus/003_graphemic-components/016_001501-001600_obs-comp-cand-bucket_component-candidates/1506_obs-comp-cand-001506_obimd-sub-4r0g6bx5rc_component-candidate,obimd-sub-4r0g6bx5rc,4r0g6bx5rc,4r0g6bx5rc,obimd-main-4r0g6bx5rc,36,licensed_for_repository,dataset_candidate_not_promoted,needs_human_component_review,dataset_component_candidate_only_not_formal_component_record_not_component_assignment,2026-06-20
obs-comp-cand-001507,obimd-sub-cand-001507,corpus/003_graphemic-components/016_001501-001600_obs-comp-cand-bucket_component-candidates/1507_obs-comp-cand-001507_obimd-sub-h2t3nznnh4_component-candidate,obimd-sub-h2t3nznnh4,h2t3nznnh4,4r0g6bx5rc,obimd-main-4r0g6bx5rc,13,licensed_for_repository,dataset_candidate_not_promoted,needs_human_component_review,dataset_component_candidate_only_not_formal_component_record_not_component_assignment,2026-06-20
obs-comp-cand-001508,obimd-sub-cand-001508,corpus/003_graphemic-components/016_001501-001600_obs-comp-cand-bucket_component-candidates/1508_obs-comp-cand-001508_obimd-sub-ht2d2g0etq_component-candidate,obimd-sub-ht2d2g0etq,ht2d2g0etq,4r0g6bx5rc,obimd-main-4r0g6bx5rc,118,licensed_for_repository,dataset_candidate_not_promoted,needs_human_component_review,dataset_component_candidate_only_not_formal_component_record_not_component_assignment,2026-06-20
obs-comp-cand-001509,obimd-sub-cand-001509,corpus/003_graphemic-components/016_001501-001600_obs-comp-cand-bucket_component-candidates/1509_obs-comp-cand-001509_obimd-sub-n0hv2xzp64_component-candidate,obimd-sub-n0hv2xzp64,n0hv2xzp64,4r0g6bx5rc,obimd-main-4r0g6bx5rc,3,licensed_for_repository,dataset_candidate_not_promoted,needs_human_component_review,dataset_component_candidate_only_not_formal_component_record_not_component_assignment,2026-06-20
obs-comp-cand-001510,obimd-sub-cand-001510,corpus/003_graphemic-components/016_001501-001600_obs-comp-cand-bucket_component-candidates/1510_obs-comp-cand-001510_obimd-sub-pqan03em3g_component-candidate,obimd-sub-pqan03em3g,pqan03em3g,4r0g6bx5rc,obimd-main-4r0g6bx5rc,5,licensed_for_repository,dataset_candidate_not_promoted,needs_human_component_review,dataset_component_candidate_only_not_formal_component_record_not_component_assignment,2026-06-20
obs-comp-cand-001511,obimd-sub-cand-001511,corpus/003_graphemic-components/016_001501-001600_obs-comp-cand-bucket_component-candidates/1511_obs-comp-cand-001511_obimd-sub-w4frb60x9v_component-candidate,obimd-sub-w4frb60x9v,w4frb60x9v,w4frb60x9v,obimd-main-w4frb60x9v,62,licensed_for_repository,dataset_candidate_not_promoted,needs_human_component_review,dataset_component_candidate_only_not_formal_component_record_not_component_assignment,2026-06-20
obs-comp-cand-001512,obimd-sub-cand-001512,corpus/003_graphemic-components/016_001501-001600_obs-comp-cand-bucket_component-candidates/1512_obs-comp-cand-001512_obimd-sub-3pr9m429dx_component-candidate,obimd-sub-3pr9m429dx,3pr9m429dx,w4frb60x9v,obimd-main-w4frb60x9v,2,licensed_for_repository,dataset_candidate_not_promoted,needs_human_component_review,dataset_component_candidate_only_not_formal_component_record_not_component_assignment,2026-06-20
obs-comp-cand-001513,obimd-sub-cand-001513,corpus/003_graphemic-components/016_001501-001600_obs-comp-cand-bucket_component-candidates/1513_obs-comp-cand-001513_obimd-sub-a5tuvlp0po_component-candidate,obimd-sub-a5tuvlp0po,a5tuvlp0po,a5tuvlp0po,obimd-main-a5tuvlp0po,18,licensed_for_repository,dataset_candidate_not_promoted,needs_human_component_review,dataset_component_candidate_only_not_formal_component_record_not_component_assignment,2026-06-20
obs-comp-cand-001514,obimd-sub-cand-001514,corpus/003_graphemic-components/016_001501-001600_obs-comp-cand-bucket_component-candidates/1514_obs-comp-cand-001514_obimd-sub-dnvgo0sryv_component-candidate,obimd-sub-dnvgo0sryv,dnvgo0sryv,a5tuvlp0po,obimd-main-a5tuvlp0po,5,licensed_for_repository,dataset_candidate_not_promoted,needs_human_component_review,dataset_component_candidate_only_not_formal_component_record_not_component_assignment,2026-06-20
