project_id,record_type,candidate_directory,packet_path,source_index_path,code_index_path,human_review_sheet_path,source_character_label,source_character_codepoints,image_reference_count,review_status,updated_at
obs-evo-cand-005301,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/054_005301-005400_obs-evo-cand-bucket_evolution-candidates/5301_obs-evo-cand-005301_evobc-cat-05301_evolution-candidate,corpus/004_bronze-seal-modern-correspondences/054_005301-005400_obs-evo-cand-bucket_evolution-candidates/5301_obs-evo-cand-005301_evobc-cat-05301_evolution-candidate/01_candidate-evolution-packet.json,corpus/004_bronze-seal-modern-correspondences/054_005301-005400_obs-evo-cand-bucket_evolution-candidates/5301_obs-evo-cand-005301_evobc-cat-05301_evolution-candidate/02_evolution-source-index.csv,corpus/004_bronze-seal-modern-correspondences/054_005301-005400_obs-evo-cand-bucket_evolution-candidates/5301_obs-evo-cand-005301_evobc-cat-05301_evolution-candidate/03_era-source-code-index.csv,corpus/004_bronze-seal-modern-correspondences/054_005301-005400_obs-evo-cand-bucket_evolution-candidates/5301_obs-evo-cand-005301_evobc-cat-05301_evolution-candidate/04_human-review-sheet.md,猪,U+732A,2,needs_human_evolution_review,2026-06-20
obs-evo-cand-005302,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/054_005301-005400_obs-evo-cand-bucket_evolution-candidates/5302_obs-evo-cand-005302_evobc-cat-05302_evolution-candidate,corpus/004_bronze-seal-modern-correspondences/054_005301-005400_obs-evo-cand-bucket_evolution-candidates/5302_obs-evo-cand-005302_evobc-cat-05302_evolution-candidate/01_candidate-evolution-packet.json,corpus/004_bronze-seal-modern-correspondences/054_005301-005400_obs-evo-cand-bucket_evolution-candidates/5302_obs-evo-cand-005302_evobc-cat-05302_evolution-candidate/02_evolution-source-index.csv,corpus/004_bronze-seal-modern-correspondences/054_005301-005400_obs-evo-cand-bucket_evolution-candidates/5302_obs-evo-cand-005302_evobc-cat-05302_evolution-candidate/03_era-source-code-index.csv,corpus/004_bronze-seal-modern-correspondences/054_005301-005400_obs-evo-cand-bucket_evolution-candidates/5302_obs-evo-cand-005302_evobc-cat-05302_evolution-candidate/04_human-review-sheet.md,猫,U+732B,2,needs_human_evolution_review,2026-06-20
obs-evo-cand-005303,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/054_005301-005400_obs-evo-cand-bucket_evolution-candidates/5303_obs-evo-cand-005303_evobc-cat-05303_evolution-candidate,corpus/004_bronze-seal-modern-correspondences/054_005301-005400_obs-evo-cand-bucket_evolution-candidates/5303_obs-evo-cand-005303_evobc-cat-05303_evolution-candidate/01_candidate-evolution-packet.json,corpus/004_bronze-seal-modern-correspondences/054_005301-005400_obs-evo-cand-bucket_evolution-candidates/5303_obs-evo-cand-005303_evobc-cat-05303_evolution-candidate/02_evolution-source-index.csv,corpus/004_bronze-seal-modern-correspondences/054_005301-005400_obs-evo-cand-bucket_evolution-candidates/5303_obs-evo-cand-005303_evobc-cat-05303_evolution-candidate/03_era-source-code-index.csv,corpus/004_bronze-seal-modern-correspondences/054_005301-005400_obs-evo-cand-bucket_evolution-candidates/5303_obs-evo-cand-005303_evobc-cat-05303_evolution-candidate/04_human-review-sheet.md,献,U+732E,3,needs_human_evolution_review,2026-06-20
obs-evo-cand-005304,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/054_005301-005400_obs-evo-cand-bucket_evolution-candidates/5304_obs-evo-cand-005304_evobc-cat-05304_evolution-candidate,corpus/004_bronze-seal-modern-correspondences/054_005301-005400_obs-evo-cand-bucket_evolution-candidates/5304_obs-evo-cand-005304_evobc-cat-05304_evolution-candidate/01_candidate-evolution-packet.json,corpus/004_bronze-seal-modern-correspondences/054_005301-005400_obs-evo-cand-bucket_evolution-candidates/5304_obs-evo-cand-005304_evobc-cat-05304_evolution-candidate/02_evolution-source-index.csv,corpus/004_bronze-seal-modern-correspondences/054_005301-005400_obs-evo-cand-bucket_evolution-candidates/5304_obs-evo-cand-005304_evobc-cat-05304_evolution-candidate/03_era-source-code-index.csv,corpus/004_bronze-seal-modern-correspondences/054_005301-005400_obs-evo-cand-bucket_evolution-candidates/5304_obs-evo-cand-005304_evobc-cat-05304_evolution-candidate/04_human-review-sheet.md,猱,U+7331,1,needs_human_evolution_review,2026-06-20
obs-evo-cand-005305,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/054_005301-005400_obs-evo-cand-bucket_evolution-candidates/5305_obs-evo-cand-005305_evobc-cat-05305_evolution-candidate,corpus/004_bronze-seal-modern-correspondences/054_005301-005400_obs-evo-cand-bucket_evolution-candidates/5305_obs-evo-cand-005305_evobc-cat-05305_evolution-candidate/01_candidate-evolution-packet.json,corpus/004_bronze-seal-modern-correspondences/054_005301-005400_obs-evo-cand-bucket_evolution-candidates/5305_obs-evo-cand-005305_evobc-cat-05305_evolution-candidate/02_evolution-source-index.csv,corpus/004_bronze-seal-modern-correspondences/054_005301-005400_obs-evo-cand-bucket_evolution-candidates/5305_obs-evo-cand-005305_evobc-cat-05305_evolution-candidate/03_era-source-code-index.csv,corpus/004_bronze-seal-modern-correspondences/054_005301-005400_obs-evo-cand-bucket_evolution-candidates/5305_obs-evo-cand-005305_evobc-cat-05305_evolution-candidate/04_human-review-sheet.md,猲,U+7332,1,needs_human_evolution_review,2026-06-20
obs-evo-cand-005306,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/054_005301-005400_obs-evo-cand-bucket_evolution-candidates/5306_obs-evo-cand-005306_evobc-cat-05306_evolution-candidate,corpus/004_bronze-seal-modern-correspondences/054_005301-005400_obs-evo-cand-bucket_evolution-candidates/5306_obs-evo-cand-005306_evobc-cat-05306_evolution-candidate/01_candidate-evolution-packet.json,corpus/004_bronze-seal-modern-correspondences/054_005301-005400_obs-evo-cand-bucket_evolution-candidates/5306_obs-evo-cand-005306_evobc-cat-05306_evolution-candidate/02_evolution-source-index.csv,corpus/004_bronze-seal-modern-correspondences/054_005301-005400_obs-evo-cand-bucket_evolution-candidates/5306_obs-evo-cand-005306_evobc-cat-05306_evolution-candidate/03_era-source-code-index.csv,corpus/004_bronze-seal-modern-correspondences/054_005301-005400_obs-evo-cand-bucket_evolution-candidates/5306_obs-evo-cand-005306_evobc-cat-05306_evolution-candidate/04_human-review-sheet.md,猴,U+7334,1,needs_human_evolution_review,2026-06-20
obs-evo-cand-005307,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/054_005301-005400_obs-evo-cand-bucket_evolution-candidates/5307_obs-evo-cand-005307_evobc-cat-05307_evolution-candidate,corpus/004_bronze-seal-modern-correspondences/054_005301-005400_obs-evo-cand-bucket_evolution-candidates/5307_obs-evo-cand-005307_evobc-cat-05307_evolution-candidate/01_candidate-evolution-packet.json,corpus/004_bronze-seal-modern-correspondences/054_005301-005400_obs-evo-cand-bucket_evolution-candidates/5307_obs-evo-cand-005307_evobc-cat-05307_evolution-candidate/02_evolution-source-index.csv,corpus/004_bronze-seal-modern-correspondences/054_005301-005400_obs-evo-cand-bucket_evolution-candidates/5307_obs-evo-cand-005307_evobc-cat-05307_evolution-candidate/03_era-source-code-index.csv,corpus/004_bronze-seal-modern-correspondences/054_005301-005400_obs-evo-cand-bucket_evolution-candidates/5307_obs-evo-cand-005307_evobc-cat-05307_evolution-candidate/04_human-review-sheet.md,猵,U+7335,1,needs_human_evolution_review,2026-06-20
obs-evo-cand-005308,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/054_005301-005400_obs-evo-cand-bucket_evolution-candidates/5308_obs-evo-cand-005308_evobc-cat-05308_evolution-candidate,corpus/004_bronze-seal-modern-correspondences/054_005301-005400_obs-evo-cand-bucket_evolution-candidates/5308_obs-evo-cand-005308_evobc-cat-05308_evolution-candidate/01_candidate-evolution-packet.json,corpus/004_bronze-seal-modern-correspondences/054_005301-005400_obs-evo-cand-bucket_evolution-candidates/5308_obs-evo-cand-005308_evobc-cat-05308_evolution-candidate/02_evolution-source-index.csv,corpus/004_bronze-seal-modern-correspondences/054_005301-005400_obs-evo-cand-bucket_evolution-candidates/5308_obs-evo-cand-005308_evobc-cat-05308_evolution-candidate/03_era-source-code-index.csv,corpus/004_bronze-seal-modern-correspondences/054_005301-005400_obs-evo-cand-bucket_evolution-candidates/5308_obs-evo-cand-005308_evobc-cat-05308_evolution-candidate/04_human-review-sheet.md,猶,U+7336,81,needs_human_evolution_review,2026-06-20
obs-evo-cand-005309,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/054_005301-005400_obs-evo-cand-bucket_evolution-candidates/5309_obs-evo-cand-005309_evobc-cat-05309_evolution-candidate,corpus/004_bronze-seal-modern-correspondences/054_005301-005400_obs-evo-cand-bucket_evolution-candidates/5309_obs-evo-cand-005309_evobc-cat-05309_evolution-candidate/01_candidate-evolution-packet.json,corpus/004_bronze-seal-modern-correspondences/054_005301-005400_obs-evo-cand-bucket_evolution-candidates/5309_obs-evo-cand-005309_evobc-cat-05309_evolution-candidate/02_evolution-source-index.csv,corpus/004_bronze-seal-modern-correspondences/054_005301-005400_obs-evo-cand-bucket_evolution-candidates/5309_obs-evo-cand-005309_evobc-cat-05309_evolution-candidate/03_era-source-code-index.csv,corpus/004_bronze-seal-modern-correspondences/054_005301-005400_obs-evo-cand-bucket_evolution-candidates/5309_obs-evo-cand-005309_evobc-cat-05309_evolution-candidate/04_human-review-sheet.md,猷,U+7337,43,needs_human_evolution_review,2026-06-20
obs-evo-cand-005310,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/054_005301-005400_obs-evo-cand-bucket_evolution-candidates/5310_obs-evo-cand-005310_evobc-cat-05310_evolution-candidate,corpus/004_bronze-seal-modern-correspondences/054_005301-005400_obs-evo-cand-bucket_evolution-candidates/5310_obs-evo-cand-005310_evobc-cat-05310_evolution-candidate/01_candidate-evolution-packet.json,corpus/004_bronze-seal-modern-correspondences/054_005301-005400_obs-evo-cand-bucket_evolution-candidates/5310_obs-evo-cand-005310_evobc-cat-05310_evolution-candidate/02_evolution-source-index.csv,corpus/004_bronze-seal-modern-correspondences/054_005301-005400_obs-evo-cand-bucket_evolution-candidates/5310_obs-evo-cand-005310_evobc-cat-05310_evolution-candidate/03_era-source-code-index.csv,corpus/004_bronze-seal-modern-correspondences/054_005301-005400_obs-evo-cand-bucket_evolution-candidates/5310_obs-evo-cand-005310_evobc-cat-05310_evolution-candidate/04_human-review-sheet.md,獀,U+7340,2,needs_human_evolution_review,2026-06-20
