project_id,candidate_collection_object_id,candidate_directory,packet_path,source_index_path,visual_index_path,gallery_path,human_review_sheet_path,human_collection_dossier_path,collection_dossier_index_path,source_id,rights_status,visual_entry_status,review_status,updated_at
coll-obj-cand-00001,ihp-mus-obj-00001,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/001_coll-obj-cand-00001_ihp-item-1212_collection-object-candidate,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/001_coll-obj-cand-00001_ihp-item-1212_collection-object-candidate/01_collection-object-packet.json,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/001_coll-obj-cand-00001_ihp-item-1212_collection-object-candidate/02_collection-source-index.csv,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/001_coll-obj-cand-00001_ihp-item-1212_collection-object-candidate/03_visual-asset-index.csv,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/001_coll-obj-cand-00001_ihp-item-1212_collection-object-candidate/04_visual-gallery.md,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/001_coll-obj-cand-00001_ihp-item-1212_collection-object-candidate/05_human-review-sheet.md,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/001_coll-obj-cand-00001_ihp-item-1212_collection-object-candidate/06_human-collection-dossier.md,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/001_coll-obj-cand-00001_ihp-item-1212_collection-object-candidate/07_collection-dossier-index.json,src-ihp-museum-oracle-bones,metadata_only_until_verified,external_thumbnail_url_metadata_only,needs_human_collection_object_review,2026-06-20
coll-obj-cand-00002,ihp-mus-obj-00002,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/002_coll-obj-cand-00002_ihp-item-1214_collection-object-candidate,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/002_coll-obj-cand-00002_ihp-item-1214_collection-object-candidate/01_collection-object-packet.json,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/002_coll-obj-cand-00002_ihp-item-1214_collection-object-candidate/02_collection-source-index.csv,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/002_coll-obj-cand-00002_ihp-item-1214_collection-object-candidate/03_visual-asset-index.csv,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/002_coll-obj-cand-00002_ihp-item-1214_collection-object-candidate/04_visual-gallery.md,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/002_coll-obj-cand-00002_ihp-item-1214_collection-object-candidate/05_human-review-sheet.md,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/002_coll-obj-cand-00002_ihp-item-1214_collection-object-candidate/06_human-collection-dossier.md,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/002_coll-obj-cand-00002_ihp-item-1214_collection-object-candidate/07_collection-dossier-index.json,src-ihp-museum-oracle-bones,metadata_only_until_verified,external_thumbnail_url_metadata_only,needs_human_collection_object_review,2026-06-20
coll-obj-cand-00003,ihp-mus-obj-00003,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/003_coll-obj-cand-00003_ihp-item-1213_collection-object-candidate,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/003_coll-obj-cand-00003_ihp-item-1213_collection-object-candidate/01_collection-object-packet.json,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/003_coll-obj-cand-00003_ihp-item-1213_collection-object-candidate/02_collection-source-index.csv,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/003_coll-obj-cand-00003_ihp-item-1213_collection-object-candidate/03_visual-asset-index.csv,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/003_coll-obj-cand-00003_ihp-item-1213_collection-object-candidate/04_visual-gallery.md,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/003_coll-obj-cand-00003_ihp-item-1213_collection-object-candidate/05_human-review-sheet.md,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/003_coll-obj-cand-00003_ihp-item-1213_collection-object-candidate/06_human-collection-dossier.md,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/003_coll-obj-cand-00003_ihp-item-1213_collection-object-candidate/07_collection-dossier-index.json,src-ihp-museum-oracle-bones,metadata_only_until_verified,external_thumbnail_url_metadata_only,needs_human_collection_object_review,2026-06-20
coll-obj-cand-00004,ihp-mus-obj-00004,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/004_coll-obj-cand-00004_ihp-item-1215_collection-object-candidate,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/004_coll-obj-cand-00004_ihp-item-1215_collection-object-candidate/01_collection-object-packet.json,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/004_coll-obj-cand-00004_ihp-item-1215_collection-object-candidate/02_collection-source-index.csv,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/004_coll-obj-cand-00004_ihp-item-1215_collection-object-candidate/03_visual-asset-index.csv,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/004_coll-obj-cand-00004_ihp-item-1215_collection-object-candidate/04_visual-gallery.md,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/004_coll-obj-cand-00004_ihp-item-1215_collection-object-candidate/05_human-review-sheet.md,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/004_coll-obj-cand-00004_ihp-item-1215_collection-object-candidate/06_human-collection-dossier.md,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/004_coll-obj-cand-00004_ihp-item-1215_collection-object-candidate/07_collection-dossier-index.json,src-ihp-museum-oracle-bones,metadata_only_until_verified,external_thumbnail_url_metadata_only,needs_human_collection_object_review,2026-06-20
coll-obj-cand-00005,ihp-mus-obj-00005,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/005_coll-obj-cand-00005_ihp-item-1216_collection-object-candidate,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/005_coll-obj-cand-00005_ihp-item-1216_collection-object-candidate/01_collection-object-packet.json,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/005_coll-obj-cand-00005_ihp-item-1216_collection-object-candidate/02_collection-source-index.csv,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/005_coll-obj-cand-00005_ihp-item-1216_collection-object-candidate/03_visual-asset-index.csv,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/005_coll-obj-cand-00005_ihp-item-1216_collection-object-candidate/04_visual-gallery.md,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/005_coll-obj-cand-00005_ihp-item-1216_collection-object-candidate/05_human-review-sheet.md,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/005_coll-obj-cand-00005_ihp-item-1216_collection-object-candidate/06_human-collection-dossier.md,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/005_coll-obj-cand-00005_ihp-item-1216_collection-object-candidate/07_collection-dossier-index.json,src-ihp-museum-oracle-bones,metadata_only_until_verified,external_thumbnail_url_metadata_only,needs_human_collection_object_review,2026-06-20
coll-obj-cand-00006,ihp-mus-obj-00006,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/006_coll-obj-cand-00006_ihp-item-1217_collection-object-candidate,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/006_coll-obj-cand-00006_ihp-item-1217_collection-object-candidate/01_collection-object-packet.json,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/006_coll-obj-cand-00006_ihp-item-1217_collection-object-candidate/02_collection-source-index.csv,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/006_coll-obj-cand-00006_ihp-item-1217_collection-object-candidate/03_visual-asset-index.csv,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/006_coll-obj-cand-00006_ihp-item-1217_collection-object-candidate/04_visual-gallery.md,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/006_coll-obj-cand-00006_ihp-item-1217_collection-object-candidate/05_human-review-sheet.md,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/006_coll-obj-cand-00006_ihp-item-1217_collection-object-candidate/06_human-collection-dossier.md,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/006_coll-obj-cand-00006_ihp-item-1217_collection-object-candidate/07_collection-dossier-index.json,src-ihp-museum-oracle-bones,metadata_only_until_verified,external_thumbnail_url_metadata_only,needs_human_collection_object_review,2026-06-20
coll-obj-cand-00007,ihp-mus-obj-00007,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/007_coll-obj-cand-00007_ihp-item-1218_collection-object-candidate,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/007_coll-obj-cand-00007_ihp-item-1218_collection-object-candidate/01_collection-object-packet.json,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/007_coll-obj-cand-00007_ihp-item-1218_collection-object-candidate/02_collection-source-index.csv,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/007_coll-obj-cand-00007_ihp-item-1218_collection-object-candidate/03_visual-asset-index.csv,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/007_coll-obj-cand-00007_ihp-item-1218_collection-object-candidate/04_visual-gallery.md,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/007_coll-obj-cand-00007_ihp-item-1218_collection-object-candidate/05_human-review-sheet.md,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/007_coll-obj-cand-00007_ihp-item-1218_collection-object-candidate/06_human-collection-dossier.md,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/007_coll-obj-cand-00007_ihp-item-1218_collection-object-candidate/07_collection-dossier-index.json,src-ihp-museum-oracle-bones,metadata_only_until_verified,external_thumbnail_url_metadata_only,needs_human_collection_object_review,2026-06-20
coll-obj-cand-00008,ihp-mus-obj-00008,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/008_coll-obj-cand-00008_ihp-item-1222_collection-object-candidate,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/008_coll-obj-cand-00008_ihp-item-1222_collection-object-candidate/01_collection-object-packet.json,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/008_coll-obj-cand-00008_ihp-item-1222_collection-object-candidate/02_collection-source-index.csv,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/008_coll-obj-cand-00008_ihp-item-1222_collection-object-candidate/03_visual-asset-index.csv,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/008_coll-obj-cand-00008_ihp-item-1222_collection-object-candidate/04_visual-gallery.md,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/008_coll-obj-cand-00008_ihp-item-1222_collection-object-candidate/05_human-review-sheet.md,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/008_coll-obj-cand-00008_ihp-item-1222_collection-object-candidate/06_human-collection-dossier.md,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/008_coll-obj-cand-00008_ihp-item-1222_collection-object-candidate/07_collection-dossier-index.json,src-ihp-museum-oracle-bones,metadata_only_until_verified,external_thumbnail_url_metadata_only,needs_human_collection_object_review,2026-06-20
coll-obj-cand-00009,ihp-mus-obj-00009,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/009_coll-obj-cand-00009_ihp-item-1220_collection-object-candidate,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/009_coll-obj-cand-00009_ihp-item-1220_collection-object-candidate/01_collection-object-packet.json,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/009_coll-obj-cand-00009_ihp-item-1220_collection-object-candidate/02_collection-source-index.csv,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/009_coll-obj-cand-00009_ihp-item-1220_collection-object-candidate/03_visual-asset-index.csv,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/009_coll-obj-cand-00009_ihp-item-1220_collection-object-candidate/04_visual-gallery.md,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/009_coll-obj-cand-00009_ihp-item-1220_collection-object-candidate/05_human-review-sheet.md,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/009_coll-obj-cand-00009_ihp-item-1220_collection-object-candidate/06_human-collection-dossier.md,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/009_coll-obj-cand-00009_ihp-item-1220_collection-object-candidate/07_collection-dossier-index.json,src-ihp-museum-oracle-bones,metadata_only_until_verified,external_thumbnail_url_metadata_only,needs_human_collection_object_review,2026-06-20
coll-obj-cand-00010,ihp-mus-obj-00010,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/010_coll-obj-cand-00010_ihp-item-774_collection-object-candidate,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/010_coll-obj-cand-00010_ihp-item-774_collection-object-candidate/01_collection-object-packet.json,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/010_coll-obj-cand-00010_ihp-item-774_collection-object-candidate/02_collection-source-index.csv,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/010_coll-obj-cand-00010_ihp-item-774_collection-object-candidate/03_visual-asset-index.csv,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/010_coll-obj-cand-00010_ihp-item-774_collection-object-candidate/04_visual-gallery.md,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/010_coll-obj-cand-00010_ihp-item-774_collection-object-candidate/05_human-review-sheet.md,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/010_coll-obj-cand-00010_ihp-item-774_collection-object-candidate/06_human-collection-dossier.md,corpus/005_excavation-sites-periods-and-batches/002_collection-object-candidates/010_coll-obj-cand-00010_ihp-item-774_collection-object-candidate/07_collection-dossier-index.json,src-ihp-museum-oracle-bones,metadata_only_until_verified,external_thumbnail_url_metadata_only,needs_human_collection_object_review,2026-06-20
