candidate_packet_id,suggested_oracle_character_id,candidate_packet_path,source_id,primary_external_ref_id,source_label_candidate,source_label_codepoints,label_component_count,has_multi_component_label,source_category_member_count,promotion_queue_id,candidate_class_id,source_category_row_ids,assignment_status,promotion_status,decipherment_status,dataset_label_status,rights_status,review_status,research_boundary,caution,updated_at
hust-obc-candidate-packet-001201,obs-char-001201,corpus/001_oracle-characters/013_001201-001300_obs-char-bucket_oracle-characters/1201_obs-char-001201_hust-obc-cat-1343_oracle-character/01_candidate-character-packet.json,src-hust-obc,hust-obc-cat-1343,㤵,U+3935,1,false,1,hust-obc-obs-char-promo-001201,obs-cand-001201,hust-obc-src-cat-1343,reserved_candidate_not_assigned,needs_cross_source_review,unknown_until_cross_source_review,dataset_label_candidate_not_accepted_reading,source_marked_risk_noted,needs_cross_source_review,candidate_packet_not_accepted_character_record_not_scholarship,"Candidate packet only. This is not an accepted oracle character record, not an accepted reading, not a source promotion, and not a decipherment conclusion. The HUST-OBC label is dataset metadata for lookup until cross-source review.",2026-06-10
hust-obc-candidate-packet-001202,obs-char-001202,corpus/001_oracle-characters/013_001201-001300_obs-char-bucket_oracle-characters/1202_obs-char-001202_hust-obc-cat-1344_1345_oracle-character/01_candidate-character-packet.json,src-hust-obc,hust-obc-cat-1344_1345,㤶㤷,U+3936;U+3937,2,true,2,hust-obc-obs-char-promo-001202,obs-cand-001202,hust-obc-src-cat-1344;hust-obc-src-cat-1345,reserved_candidate_not_assigned,needs_cross_source_review,unknown_until_cross_source_review,dataset_label_candidate_not_accepted_reading,source_marked_risk_noted,needs_cross_source_review,candidate_packet_not_accepted_character_record_not_scholarship,"Candidate packet only. This is not an accepted oracle character record, not an accepted reading, not a source promotion, and not a decipherment conclusion. The HUST-OBC label is dataset metadata for lookup until cross-source review.",2026-06-10
hust-obc-candidate-packet-001203,obs-char-001203,corpus/001_oracle-characters/013_001201-001300_obs-char-bucket_oracle-characters/1203_obs-char-001203_hust-obc-cat-1346_oracle-character/01_candidate-character-packet.json,src-hust-obc,hust-obc-cat-1346,㤸,U+3938,1,false,1,hust-obc-obs-char-promo-001203,obs-cand-001203,hust-obc-src-cat-1346,reserved_candidate_not_assigned,needs_cross_source_review,unknown_until_cross_source_review,dataset_label_candidate_not_accepted_reading,source_marked_risk_noted,needs_cross_source_review,candidate_packet_not_accepted_character_record_not_scholarship,"Candidate packet only. This is not an accepted oracle character record, not an accepted reading, not a source promotion, and not a decipherment conclusion. The HUST-OBC label is dataset metadata for lookup until cross-source review.",2026-06-10
hust-obc-candidate-packet-001204,obs-char-001204,corpus/001_oracle-characters/013_001201-001300_obs-char-bucket_oracle-characters/1204_obs-char-001204_hust-obc-cat-1347_1348_oracle-character/01_candidate-character-packet.json,src-hust-obc,hust-obc-cat-1347_1348,㤹㤺,U+3939;U+393A,2,true,2,hust-obc-obs-char-promo-001204,obs-cand-001204,hust-obc-src-cat-1347;hust-obc-src-cat-1348,reserved_candidate_not_assigned,needs_cross_source_review,unknown_until_cross_source_review,dataset_label_candidate_not_accepted_reading,source_marked_risk_noted,needs_cross_source_review,candidate_packet_not_accepted_character_record_not_scholarship,"Candidate packet only. This is not an accepted oracle character record, not an accepted reading, not a source promotion, and not a decipherment conclusion. The HUST-OBC label is dataset metadata for lookup until cross-source review.",2026-06-10
hust-obc-candidate-packet-001205,obs-char-001205,corpus/001_oracle-characters/013_001201-001300_obs-char-bucket_oracle-characters/1205_obs-char-001205_hust-obc-cat-1349_1350_oracle-character/01_candidate-character-packet.json,src-hust-obc,hust-obc-cat-1349_1350,㤻㤼,U+393B;U+393C,2,true,2,hust-obc-obs-char-promo-001205,obs-cand-001205,hust-obc-src-cat-1349;hust-obc-src-cat-1350,reserved_candidate_not_assigned,needs_cross_source_review,unknown_until_cross_source_review,dataset_label_candidate_not_accepted_reading,source_marked_risk_noted,needs_cross_source_review,candidate_packet_not_accepted_character_record_not_scholarship,"Candidate packet only. This is not an accepted oracle character record, not an accepted reading, not a source promotion, and not a decipherment conclusion. The HUST-OBC label is dataset metadata for lookup until cross-source review.",2026-06-10
hust-obc-candidate-packet-001206,obs-char-001206,corpus/001_oracle-characters/013_001201-001300_obs-char-bucket_oracle-characters/1206_obs-char-001206_hust-obc-cat-1351_oracle-character/01_candidate-character-packet.json,src-hust-obc,hust-obc-cat-1351,㤽,U+393D,1,false,1,hust-obc-obs-char-promo-001206,obs-cand-001206,hust-obc-src-cat-1351,reserved_candidate_not_assigned,needs_cross_source_review,unknown_until_cross_source_review,dataset_label_candidate_not_accepted_reading,source_marked_risk_noted,needs_cross_source_review,candidate_packet_not_accepted_character_record_not_scholarship,"Candidate packet only. This is not an accepted oracle character record, not an accepted reading, not a source promotion, and not a decipherment conclusion. The HUST-OBC label is dataset metadata for lookup until cross-source review.",2026-06-10
hust-obc-candidate-packet-001207,obs-char-001207,corpus/001_oracle-characters/013_001201-001300_obs-char-bucket_oracle-characters/1207_obs-char-001207_hust-obc-cat-1352_oracle-character/01_candidate-character-packet.json,src-hust-obc,hust-obc-cat-1352,㤾,U+393E,1,false,1,hust-obc-obs-char-promo-001207,obs-cand-001207,hust-obc-src-cat-1352,reserved_candidate_not_assigned,needs_cross_source_review,unknown_until_cross_source_review,dataset_label_candidate_not_accepted_reading,source_marked_risk_noted,needs_cross_source_review,candidate_packet_not_accepted_character_record_not_scholarship,"Candidate packet only. This is not an accepted oracle character record, not an accepted reading, not a source promotion, and not a decipherment conclusion. The HUST-OBC label is dataset metadata for lookup until cross-source review.",2026-06-10
hust-obc-candidate-packet-001208,obs-char-001208,corpus/001_oracle-characters/013_001201-001300_obs-char-bucket_oracle-characters/1208_obs-char-001208_hust-obc-cat-1353_oracle-character/01_candidate-character-packet.json,src-hust-obc,hust-obc-cat-1353,㤿,U+393F,1,false,1,hust-obc-obs-char-promo-001208,obs-cand-001208,hust-obc-src-cat-1353,reserved_candidate_not_assigned,needs_cross_source_review,unknown_until_cross_source_review,dataset_label_candidate_not_accepted_reading,source_marked_risk_noted,needs_cross_source_review,candidate_packet_not_accepted_character_record_not_scholarship,"Candidate packet only. This is not an accepted oracle character record, not an accepted reading, not a source promotion, and not a decipherment conclusion. The HUST-OBC label is dataset metadata for lookup until cross-source review.",2026-06-10
hust-obc-candidate-packet-001209,obs-char-001209,corpus/001_oracle-characters/013_001201-001300_obs-char-bucket_oracle-characters/1209_obs-char-001209_hust-obc-cat-1354_oracle-character/01_candidate-character-packet.json,src-hust-obc,hust-obc-cat-1354,㥀,U+3940,1,false,1,hust-obc-obs-char-promo-001209,obs-cand-001209,hust-obc-src-cat-1354,reserved_candidate_not_assigned,needs_cross_source_review,unknown_until_cross_source_review,dataset_label_candidate_not_accepted_reading,source_marked_risk_noted,needs_cross_source_review,candidate_packet_not_accepted_character_record_not_scholarship,"Candidate packet only. This is not an accepted oracle character record, not an accepted reading, not a source promotion, and not a decipherment conclusion. The HUST-OBC label is dataset metadata for lookup until cross-source review.",2026-06-10
hust-obc-candidate-packet-001210,obs-char-001210,corpus/001_oracle-characters/013_001201-001300_obs-char-bucket_oracle-characters/1210_obs-char-001210_hust-obc-cat-1355_oracle-character/01_candidate-character-packet.json,src-hust-obc,hust-obc-cat-1355,㥁,U+3941,1,false,1,hust-obc-obs-char-promo-001210,obs-cand-001210,hust-obc-src-cat-1355,reserved_candidate_not_assigned,needs_cross_source_review,unknown_until_cross_source_review,dataset_label_candidate_not_accepted_reading,source_marked_risk_noted,needs_cross_source_review,candidate_packet_not_accepted_character_record_not_scholarship,"Candidate packet only. This is not an accepted oracle character record, not an accepted reading, not a source promotion, and not a decipherment conclusion. The HUST-OBC label is dataset metadata for lookup until cross-source review.",2026-06-10
