code_index_id,project_id,candidate_evolution_category_id,codebook_row_id,code_type,code_value,observed_token,label_en,label_zh,category_image_reference_count,code_image_reference_count,reference_basis,review_status,caution,updated_at
obs-evo-cand-006019-era-00,obs-evo-cand-006019,evobc-evo-cat-06019,evobc-code-001,era,0,OBC,Oracle Bone Characters,甲骨文字,409,246,EVOBC README shorthand table and List_of_EVOBC filename tokens.,reviewed_metadata_only,Era labels are EVOBC dataset labels and still require source-chain review.,2026-06-20
obs-evo-cand-006019-era-01,obs-evo-cand-006019,evobc-evo-cat-06019,evobc-code-002,era,1,BI,Bronze Inscriptions,金文,409,85,EVOBC README shorthand table and List_of_EVOBC filename tokens.,reviewed_metadata_only,Era labels are EVOBC dataset labels and still require source-chain review.,2026-06-20
obs-evo-cand-006019-era-02,obs-evo-cand-006019,evobc-evo-cat-06019,evobc-code-003,era,2,SS,Seal Script,篆书,409,2,EVOBC README shorthand table and List_of_EVOBC filename tokens.,reviewed_metadata_only,Era labels are EVOBC dataset labels and still require source-chain review.,2026-06-20
obs-evo-cand-006019-era-03,obs-evo-cand-006019,evobc-evo-cat-06019,evobc-code-004,era,3,SAC,Spring and Autumn period Characters,春秋文字,409,24,EVOBC README shorthand table and List_of_EVOBC filename tokens.,reviewed_metadata_only,Era labels are EVOBC dataset labels and still require source-chain review.,2026-06-20
obs-evo-cand-006019-era-04,obs-evo-cand-006019,evobc-evo-cat-06019,evobc-code-005,era,4,WSC,Warring States period Characters,战国文字,409,51,EVOBC README shorthand table and List_of_EVOBC filename tokens.,reviewed_metadata_only,Era labels are EVOBC dataset labels and still require source-chain review.,2026-06-20
obs-evo-cand-006019-era-05,obs-evo-cand-006019,evobc-evo-cat-06019,evobc-code-006,era,5,CS,Clerical Script,隶书,409,1,EVOBC README shorthand table and List_of_EVOBC filename tokens.,reviewed_metadata_only,Era labels are EVOBC dataset labels and still require source-chain review.,2026-06-20
obs-evo-cand-006019-source-01,obs-evo-cand-006019,evobc-evo-cat-06019,evobc-code-008,source,1,Web:105952;說文Web:58,,,409,88,Observed from List_of_EVOBC filename tokens; not an official source-name mapping.,reviewed_metadata_only,Source code labels are not documented in the README and must not be overinterpreted.,2026-06-20
obs-evo-cand-006019-source-03,obs-evo-cand-006019,evobc-evo-cat-06019,evobc-code-010,source,3,Book:21681,,,409,38,Observed from List_of_EVOBC filename tokens; not an official source-name mapping.,reviewed_metadata_only,Source code labels are not documented in the README and must not be overinterpreted.,2026-06-20
obs-evo-cand-006019-source-04,obs-evo-cand-006019,evobc-evo-cat-06019,evobc-code-011,source,4,Book:9131,,,409,24,Observed from List_of_EVOBC filename tokens; not an official source-name mapping.,reviewed_metadata_only,Source code labels are not documented in the README and must not be overinterpreted.,2026-06-20
obs-evo-cand-006019-source-05,obs-evo-cand-006019,evobc-evo-cat-06019,evobc-code-012,source,5,Book:32794,,,409,17,Observed from List_of_EVOBC filename tokens; not an official source-name mapping.,reviewed_metadata_only,Source code labels are not documented in the README and must not be overinterpreted.,2026-06-20
obs-evo-cand-006019-source-07,obs-evo-cand-006019,evobc-evo-cat-06019,evobc-code-014,source,7,Book:9676,,,409,242,Observed from List_of_EVOBC filename tokens; not an official source-name mapping.,reviewed_metadata_only,Source code labels are not documented in the README and must not be overinterpreted.,2026-06-20
