project_id,record_type,canonical_path,primary_external_ref_id,all_external_ref_ids,source_ids,rights_status,review_status,updated_at
obs-insc-src-cand-000001,inscription_source_record_candidate,corpus/002_oracle-bone-inscriptions/008_source-record-candidates/001_obs-insc-src-cand-000001_obimd-h2_source-record-candidate,obimd-h2,H2;Heji-2;NLC-14427;Yinqi-Wenyuan-108548;粹866;善9025;data.json#array-index-0,src-obimd;src-nlc-oracle-world;src-yinqi-wenyuan;src-xiaoxuetang-obm,metadata_only_until_verified,source_metadata_alignment_candidate_reading_withheld,2026-08-30
obs-insc-src-cand-000002,inscription_source_record_candidate,corpus/002_oracle-bone-inscriptions/008_source-record-candidates/002_obs-insc-src-cand-000002_ihp-item-503_source-record-candidate,IHP-item-503;R044498,IHP-item-503;R044498;Ping 0529;museum-page:item/503,src-ihp-museum-oracle-bones,metadata_only_until_verified,source_record_candidate_needs_catalog_and_text_review,2026-08-14
obs-insc-src-cand-000003,inscription_source_record_candidate,corpus/002_oracle-bone-inscriptions/008_source-record-candidates/003_obs-insc-src-cand-000003_ihp-item-1215_source-record-candidate,IHP-item-1215;R044587,IHP-item-1215;R044587;Yi Bian 3330+5281+Yi Bian buyi 4936;museum-page:item/1215,src-sinica-ihp-museum,metadata_only_until_verified,source_record_candidate_needs_catalog_and_text_review,2026-08-14
obs-insc-src-cand-000004,inscription_source_record_candidate,corpus/002_oracle-bone-inscriptions/008_source-record-candidates/004_obs-insc-src-cand-000004_ihp-item-771_source-record-candidate,IHP-item-771;R039275+R043001,IHP-item-771;R039275+R043001;I 5867+8202;museum-page:item/771,src-sinica-ihp-museum,metadata_only_until_verified,source_record_candidate_needs_catalog_and_text_review,2026-08-14
obs-insc-src-cand-000005,inscription_source_record_candidate,corpus/002_oracle-bone-inscriptions/008_source-record-candidates/005_obs-insc-src-cand-000005_bl-or-1595_source-record-candidate,BL-Or.7694/1595r;Heji-40610r/v,BL-Or.7694/1595r;BL-Or.7694/1595v;Heji-40610r/v;Yingcang-886r/v;commons-curid-134124270;commons-curid-134124601,src-british-library-oracle-bone,public_domain_verified,source_record_candidate_needs_catalog_and_text_review,2026-08-14
obs-insc-src-cand-000006,inscription_source_record_candidate,corpus/002_oracle-bone-inscriptions/008_source-record-candidates/006_obs-insc-src-cand-000006_bl-or-1535_source-record-candidate,BL-Or.7694/1535v;Heji-39498v,BL-Or.7694/1535v;Heji-39498v;Yingcang-1117v;commons-curid-31453308,src-british-library-oracle-bone,public_domain_verified,source_record_candidate_needs_catalog_and_text_review,2026-08-14
obs-insc-src-cand-000007,inscription_source_record_candidate,corpus/002_oracle-bone-inscriptions/008_source-record-candidates/007_obs-insc-src-cand-000007_ningxia-hyz421_source-record-candidate,HYZ-421;H3:1325,HYZ-421;H3:1325;commons-hyz421;Schwartz-2019-p347-p426;Li-2024-p36;OBIMD-HD421-plate383,src-wikimedia-ningxia-museum-hyz421;src-obimd,source_marked_risk_noted;metadata_only_until_verified,high_confidence_candidate_plate_visual_match,2026-08-28
obs-insc-src-cand-000008,inscription_source_record_candidate,corpus/002_oracle-bone-inscriptions/008_source-record-candidates/008_obs-insc-src-cand-000008_met-42045_source-record-candidate,Met-42045;67.43.14,Met-42045;67.43.14;collection-api-42045;object-page-42045,src-metmuseum-oracle-bone,public_domain_verified,source_record_candidate_needs_text_and_catalog_review,2026-08-21
obs-insc-src-cand-000009,inscription_source_record_candidate,corpus/002_oracle-bone-inscriptions/008_source-record-candidates/009_obs-insc-src-cand-000009_met-42022_source-record-candidate,Met-42022;18.56.71,Met-42022;18.56.71;collection-api-42022;object-page-42022,src-metmuseum-oracle-bone,public_domain_verified,source_record_candidate_needs_text_and_catalog_review,2026-08-21
obs-insc-src-cand-000010,inscription_source_record_candidate,corpus/002_oracle-bone-inscriptions/008_source-record-candidates/010_obs-insc-src-cand-000010_ihp-item-1222_source-record-candidate,IHP-item-1222;ZR038421,IHP-item-1222;ZR038421;Yi Bian 4817+5061+5520+5804+6087+R60751;museum-page:item/1222,src-ihp-museum-oracle-bones,metadata_only_until_verified,source_record_candidate_needs_catalog_text_and_placeholder_mapping_review,2026-08-27
