project_id,record_type,canonical_path,primary_external_ref_id,all_external_ref_ids,source_ids,rights_status,review_status,updated_at
obs-insc-cw-cand-000001,inscription_crosswalk_candidate,corpus/002_oracle-bone-inscriptions/001_000001-000100_obs-insc-cw-bucket_crosswalk-candidates/001_obs-insc-cw-cand-000001_cam-hopkins-cw-000001_crosswalk-candidate,cam-hopkins-cw-000001,cam-hopkins-crosswalk-000001;y1;45;459;39502,src-cambridge-hopkins,metadata_only_until_verified,needs_human_inscription_crosswalk_review,2026-06-21
obs-insc-cw-cand-000002,inscription_crosswalk_candidate,corpus/002_oracle-bone-inscriptions/001_000001-000100_obs-insc-cw-bucket_crosswalk-candidates/002_obs-insc-cw-cand-000002_cam-hopkins-cw-000002_crosswalk-candidate,cam-hopkins-cw-000002,cam-hopkins-crosswalk-000002;y13;24;703;39545,src-cambridge-hopkins,metadata_only_until_verified,needs_human_inscription_crosswalk_review,2026-06-21
obs-insc-cw-cand-000003,inscription_crosswalk_candidate,corpus/002_oracle-bone-inscriptions/001_000001-000100_obs-insc-cw-bucket_crosswalk-candidates/003_obs-insc-cw-cand-000003_cam-hopkins-cw-000003_crosswalk-candidate,cam-hopkins-cw-000003,cam-hopkins-crosswalk-000003;y14;73;698;*****,src-cambridge-hopkins,metadata_only_until_verified,needs_human_inscription_crosswalk_review,2026-06-21
obs-insc-cw-cand-000004,inscription_crosswalk_candidate,corpus/002_oracle-bone-inscriptions/001_000001-000100_obs-insc-cw-bucket_crosswalk-candidates/004_obs-insc-cw-cand-000004_cam-hopkins-cw-000004_crosswalk-candidate,cam-hopkins-cw-000004,cam-hopkins-crosswalk-000004;y23;237;557;39900,src-cambridge-hopkins,metadata_only_until_verified,needs_human_inscription_crosswalk_review,2026-06-21
obs-insc-cw-cand-000005,inscription_crosswalk_candidate,corpus/002_oracle-bone-inscriptions/001_000001-000100_obs-insc-cw-bucket_crosswalk-candidates/005_obs-insc-cw-cand-000005_cam-hopkins-cw-000005_crosswalk-candidate,cam-hopkins-cw-000005,cam-hopkins-crosswalk-000005;y27;216;***;*****,src-cambridge-hopkins,metadata_only_until_verified,needs_human_inscription_crosswalk_review,2026-06-21
obs-insc-cw-cand-000006,inscription_crosswalk_candidate,corpus/002_oracle-bone-inscriptions/001_000001-000100_obs-insc-cw-bucket_crosswalk-candidates/006_obs-insc-cw-cand-000006_cam-hopkins-cw-000006_crosswalk-candidate,cam-hopkins-cw-000006,cam-hopkins-crosswalk-000006;y30;69;722;39572,src-cambridge-hopkins,metadata_only_until_verified,needs_human_inscription_crosswalk_review,2026-06-21
obs-insc-cw-cand-000007,inscription_crosswalk_candidate,corpus/002_oracle-bone-inscriptions/001_000001-000100_obs-insc-cw-bucket_crosswalk-candidates/007_obs-insc-cw-cand-000007_cam-hopkins-cw-000007_crosswalk-candidate,cam-hopkins-cw-000007,cam-hopkins-crosswalk-000007;y38;70;491;39500,src-cambridge-hopkins,metadata_only_until_verified,needs_human_inscription_crosswalk_review,2026-06-21
obs-insc-cw-cand-000008,inscription_crosswalk_candidate,corpus/002_oracle-bone-inscriptions/001_000001-000100_obs-insc-cw-bucket_crosswalk-candidates/008_obs-insc-cw-cand-000008_cam-hopkins-cw-000008_crosswalk-candidate,cam-hopkins-cw-000008,cam-hopkins-crosswalk-000008;y39;10;555;39588,src-cambridge-hopkins,metadata_only_until_verified,needs_human_inscription_crosswalk_review,2026-06-21
obs-insc-cw-cand-000009,inscription_crosswalk_candidate,corpus/002_oracle-bone-inscriptions/001_000001-000100_obs-insc-cw-bucket_crosswalk-candidates/009_obs-insc-cw-cand-000009_cam-hopkins-cw-000009_crosswalk-candidate,cam-hopkins-cw-000009,cam-hopkins-crosswalk-000009;y50;498;***;*****,src-cambridge-hopkins,metadata_only_until_verified,needs_human_inscription_crosswalk_review,2026-06-21
obs-insc-cw-cand-000010,inscription_crosswalk_candidate,corpus/002_oracle-bone-inscriptions/001_000001-000100_obs-insc-cw-bucket_crosswalk-candidates/010_obs-insc-cw-cand-000010_cam-hopkins-cw-000010_crosswalk-candidate,cam-hopkins-cw-000010,cam-hopkins-crosswalk-000010;y60;33;480;40093,src-cambridge-hopkins,metadata_only_until_verified,needs_human_inscription_crosswalk_review,2026-06-21
