project_id,record_type,canonical_path,primary_external_ref_id,all_external_ref_ids,source_ids,rights_status,review_status,updated_at
obs-evo-cand-000001,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/001_000001-000100_obs-evo-cand-bucket_evolution-candidates/001_obs-evo-cand-000001_evobc-cat-00001_evolution-candidate,evobc-cat-00001,evobc-evo-cat-00001;evobc-cat-00001;00001,src-evobc,source_marked_risk_noted,needs_human_evolution_review,2026-06-20
obs-evo-cand-000002,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/001_000001-000100_obs-evo-cand-bucket_evolution-candidates/002_obs-evo-cand-000002_evobc-cat-00002_evolution-candidate,evobc-cat-00002,evobc-evo-cat-00002;evobc-cat-00002;00002,src-evobc,source_marked_risk_noted,needs_human_evolution_review,2026-06-20
obs-evo-cand-000003,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/001_000001-000100_obs-evo-cand-bucket_evolution-candidates/003_obs-evo-cand-000003_evobc-cat-00003_evolution-candidate,evobc-cat-00003,evobc-evo-cat-00003;evobc-cat-00003;00003,src-evobc,source_marked_risk_noted,needs_human_evolution_review,2026-06-20
obs-evo-cand-000004,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/001_000001-000100_obs-evo-cand-bucket_evolution-candidates/004_obs-evo-cand-000004_evobc-cat-00004_evolution-candidate,evobc-cat-00004,evobc-evo-cat-00004;evobc-cat-00004;00004,src-evobc,source_marked_risk_noted,needs_human_evolution_review,2026-06-20
obs-evo-cand-000005,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/001_000001-000100_obs-evo-cand-bucket_evolution-candidates/005_obs-evo-cand-000005_evobc-cat-00005_evolution-candidate,evobc-cat-00005,evobc-evo-cat-00005;evobc-cat-00005;00005,src-evobc,source_marked_risk_noted,needs_human_evolution_review,2026-06-20
obs-evo-cand-000006,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/001_000001-000100_obs-evo-cand-bucket_evolution-candidates/006_obs-evo-cand-000006_evobc-cat-00006_evolution-candidate,evobc-cat-00006,evobc-evo-cat-00006;evobc-cat-00006;00006,src-evobc,source_marked_risk_noted,needs_human_evolution_review,2026-06-20
obs-evo-cand-000007,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/001_000001-000100_obs-evo-cand-bucket_evolution-candidates/007_obs-evo-cand-000007_evobc-cat-00007_evolution-candidate,evobc-cat-00007,evobc-evo-cat-00007;evobc-cat-00007;00007,src-evobc,source_marked_risk_noted,needs_human_evolution_review,2026-06-20
obs-evo-cand-000008,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/001_000001-000100_obs-evo-cand-bucket_evolution-candidates/008_obs-evo-cand-000008_evobc-cat-00008_evolution-candidate,evobc-cat-00008,evobc-evo-cat-00008;evobc-cat-00008;00008,src-evobc,source_marked_risk_noted,needs_human_evolution_review,2026-06-20
obs-evo-cand-000009,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/001_000001-000100_obs-evo-cand-bucket_evolution-candidates/009_obs-evo-cand-000009_evobc-cat-00009_evolution-candidate,evobc-cat-00009,evobc-evo-cat-00009;evobc-cat-00009;00009,src-evobc,source_marked_risk_noted,needs_human_evolution_review,2026-06-20
obs-evo-cand-000010,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/001_000001-000100_obs-evo-cand-bucket_evolution-candidates/010_obs-evo-cand-000010_evobc-cat-00010_evolution-candidate,evobc-cat-00010,evobc-evo-cat-00010;evobc-cat-00010;00010,src-evobc,source_marked_risk_noted,needs_human_evolution_review,2026-06-20
obs-evo-cand-000011,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/001_000001-000100_obs-evo-cand-bucket_evolution-candidates/011_obs-evo-cand-000011_evobc-cat-00011_evolution-candidate,evobc-cat-00011,evobc-evo-cat-00011;evobc-cat-00011;00011,src-evobc,source_marked_risk_noted,needs_human_evolution_review,2026-06-20
obs-evo-cand-000012,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/001_000001-000100_obs-evo-cand-bucket_evolution-candidates/012_obs-evo-cand-000012_evobc-cat-00012_evolution-candidate,evobc-cat-00012,evobc-evo-cat-00012;evobc-cat-00012;00012,src-evobc,source_marked_risk_noted,needs_human_evolution_review,2026-06-20
obs-evo-cand-000013,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/001_000001-000100_obs-evo-cand-bucket_evolution-candidates/013_obs-evo-cand-000013_evobc-cat-00013_evolution-candidate,evobc-cat-00013,evobc-evo-cat-00013;evobc-cat-00013;00013,src-evobc,source_marked_risk_noted,needs_human_evolution_review,2026-06-20
obs-evo-cand-000014,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/001_000001-000100_obs-evo-cand-bucket_evolution-candidates/014_obs-evo-cand-000014_evobc-cat-00014_evolution-candidate,evobc-cat-00014,evobc-evo-cat-00014;evobc-cat-00014;00014,src-evobc,source_marked_risk_noted,needs_human_evolution_review,2026-06-20
obs-evo-cand-000015,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/001_000001-000100_obs-evo-cand-bucket_evolution-candidates/015_obs-evo-cand-000015_evobc-cat-00015_evolution-candidate,evobc-cat-00015,evobc-evo-cat-00015;evobc-cat-00015;00015,src-evobc,source_marked_risk_noted,needs_human_evolution_review,2026-06-20
obs-evo-cand-000016,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/001_000001-000100_obs-evo-cand-bucket_evolution-candidates/016_obs-evo-cand-000016_evobc-cat-00016_evolution-candidate,evobc-cat-00016,evobc-evo-cat-00016;evobc-cat-00016;00016,src-evobc,source_marked_risk_noted,needs_human_evolution_review,2026-06-20
obs-evo-cand-000017,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/001_000001-000100_obs-evo-cand-bucket_evolution-candidates/017_obs-evo-cand-000017_evobc-cat-00017_evolution-candidate,evobc-cat-00017,evobc-evo-cat-00017;evobc-cat-00017;00017,src-evobc,source_marked_risk_noted,needs_human_evolution_review,2026-06-20
obs-evo-cand-000018,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/001_000001-000100_obs-evo-cand-bucket_evolution-candidates/018_obs-evo-cand-000018_evobc-cat-00018_evolution-candidate,evobc-cat-00018,evobc-evo-cat-00018;evobc-cat-00018;00018,src-evobc,source_marked_risk_noted,needs_human_evolution_review,2026-06-20
obs-evo-cand-000019,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/001_000001-000100_obs-evo-cand-bucket_evolution-candidates/019_obs-evo-cand-000019_evobc-cat-00019_evolution-candidate,evobc-cat-00019,evobc-evo-cat-00019;evobc-cat-00019;00019,src-evobc,source_marked_risk_noted,needs_human_evolution_review,2026-06-20
obs-evo-cand-000020,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/001_000001-000100_obs-evo-cand-bucket_evolution-candidates/020_obs-evo-cand-000020_evobc-cat-00020_evolution-candidate,evobc-cat-00020,evobc-evo-cat-00020;evobc-cat-00020;00020,src-evobc,source_marked_risk_noted,needs_human_evolution_review,2026-06-20
obs-evo-cand-000021,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/001_000001-000100_obs-evo-cand-bucket_evolution-candidates/021_obs-evo-cand-000021_evobc-cat-00021_evolution-candidate,evobc-cat-00021,evobc-evo-cat-00021;evobc-cat-00021;00021,src-evobc,source_marked_risk_noted,needs_human_evolution_review,2026-06-20
obs-evo-cand-000022,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/001_000001-000100_obs-evo-cand-bucket_evolution-candidates/022_obs-evo-cand-000022_evobc-cat-00022_evolution-candidate,evobc-cat-00022,evobc-evo-cat-00022;evobc-cat-00022;00022,src-evobc,source_marked_risk_noted,needs_human_evolution_review,2026-06-20
obs-evo-cand-000023,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/001_000001-000100_obs-evo-cand-bucket_evolution-candidates/023_obs-evo-cand-000023_evobc-cat-00023_evolution-candidate,evobc-cat-00023,evobc-evo-cat-00023;evobc-cat-00023;00023,src-evobc,source_marked_risk_noted,needs_human_evolution_review,2026-06-20
obs-evo-cand-000024,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/001_000001-000100_obs-evo-cand-bucket_evolution-candidates/024_obs-evo-cand-000024_evobc-cat-00024_evolution-candidate,evobc-cat-00024,evobc-evo-cat-00024;evobc-cat-00024;00024,src-evobc,source_marked_risk_noted,needs_human_evolution_review,2026-06-20
obs-evo-cand-000025,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/001_000001-000100_obs-evo-cand-bucket_evolution-candidates/025_obs-evo-cand-000025_evobc-cat-00025_evolution-candidate,evobc-cat-00025,evobc-evo-cat-00025;evobc-cat-00025;00025,src-evobc,source_marked_risk_noted,needs_human_evolution_review,2026-06-20
obs-evo-cand-000026,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/001_000001-000100_obs-evo-cand-bucket_evolution-candidates/026_obs-evo-cand-000026_evobc-cat-00026_evolution-candidate,evobc-cat-00026,evobc-evo-cat-00026;evobc-cat-00026;00026,src-evobc,source_marked_risk_noted,needs_human_evolution_review,2026-06-20
obs-evo-cand-000027,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/001_000001-000100_obs-evo-cand-bucket_evolution-candidates/027_obs-evo-cand-000027_evobc-cat-00027_evolution-candidate,evobc-cat-00027,evobc-evo-cat-00027;evobc-cat-00027;00027,src-evobc,source_marked_risk_noted,needs_human_evolution_review,2026-06-20
