bucket_sequence,unknown_candidate_id,primary_external_ref_id,packet_path,source_group,source_class_id,source_image_count,review_status,updated_at
001,obs-unk-004701,hust-obc-und-X-004701,corpus/001_oracle-characters/064_undeciphered-004701-004800_obs-unk-bucket_oracle-character-candidates/001_obs-unk-004701_hust-obc-und-X-004701_oracle-character-candidate/01_undeciphered-candidate-packet.json,X,257,1,reviewed_metadata_only,2026-06-10
002,obs-unk-004702,hust-obc-und-X-004702,corpus/001_oracle-characters/064_undeciphered-004701-004800_obs-unk-bucket_oracle-character-candidates/002_obs-unk-004702_hust-obc-und-X-004702_oracle-character-candidate/01_undeciphered-candidate-packet.json,X,258,1,reviewed_metadata_only,2026-06-10
003,obs-unk-004703,hust-obc-und-X-004703,corpus/001_oracle-characters/064_undeciphered-004701-004800_obs-unk-bucket_oracle-character-candidates/003_obs-unk-004703_hust-obc-und-X-004703_oracle-character-candidate/01_undeciphered-candidate-packet.json,X,259,1,reviewed_metadata_only,2026-06-10
004,obs-unk-004704,hust-obc-und-X-004704,corpus/001_oracle-characters/064_undeciphered-004701-004800_obs-unk-bucket_oracle-character-candidates/004_obs-unk-004704_hust-obc-und-X-004704_oracle-character-candidate/01_undeciphered-candidate-packet.json,X,260,4,reviewed_metadata_only,2026-06-10
005,obs-unk-004705,hust-obc-und-X-004705,corpus/001_oracle-characters/064_undeciphered-004701-004800_obs-unk-bucket_oracle-character-candidates/005_obs-unk-004705_hust-obc-und-X-004705_oracle-character-candidate/01_undeciphered-candidate-packet.json,X,261,1,reviewed_metadata_only,2026-06-10
006,obs-unk-004706,hust-obc-und-X-004706,corpus/001_oracle-characters/064_undeciphered-004701-004800_obs-unk-bucket_oracle-character-candidates/006_obs-unk-004706_hust-obc-und-X-004706_oracle-character-candidate/01_undeciphered-candidate-packet.json,X,262,1,reviewed_metadata_only,2026-06-10
007,obs-unk-004707,hust-obc-und-X-004707,corpus/001_oracle-characters/064_undeciphered-004701-004800_obs-unk-bucket_oracle-character-candidates/007_obs-unk-004707_hust-obc-und-X-004707_oracle-character-candidate/01_undeciphered-candidate-packet.json,X,263,2,reviewed_metadata_only,2026-06-10
008,obs-unk-004708,hust-obc-und-X-004708,corpus/001_oracle-characters/064_undeciphered-004701-004800_obs-unk-bucket_oracle-character-candidates/008_obs-unk-004708_hust-obc-und-X-004708_oracle-character-candidate/01_undeciphered-candidate-packet.json,X,264,9,reviewed_metadata_only,2026-06-10
009,obs-unk-004709,hust-obc-und-X-004709,corpus/001_oracle-characters/064_undeciphered-004701-004800_obs-unk-bucket_oracle-character-candidates/009_obs-unk-004709_hust-obc-und-X-004709_oracle-character-candidate/01_undeciphered-candidate-packet.json,X,265,1,reviewed_metadata_only,2026-06-10
010,obs-unk-004710,hust-obc-und-X-004710,corpus/001_oracle-characters/064_undeciphered-004701-004800_obs-unk-bucket_oracle-character-candidates/010_obs-unk-004710_hust-obc-und-X-004710_oracle-character-candidate/01_undeciphered-candidate-packet.json,X,266,1,reviewed_metadata_only,2026-06-10
