bucket_manifest_row_id,promotion_queue_id,suggested_oracle_character_id,suggested_bucket_directory,suggested_character_directory,candidate_class_id,source_id,primary_external_ref_id,source_category_id,source_category_id_padded,validation_class_id,candidate_label_crosswalk_id,source_modern_label_candidate,source_modern_label_codepoints,label_component_count,has_multi_component_label,source_category_member_count,source_category_row_ids,suggested_decipherment_status,assignment_status,promotion_status,required_next_review,rights_status,caution,review_status,updated_at
hust-obc-bucket-007-row-001,hust-obc-obs-char-promo-000601,obs-char-000601,007_000601-000700_obs-char-bucket_oracle-characters,601_obs-char-000601_hust-obc-cat-0685_oracle-character,obs-cand-000601,src-hust-obc,hust-obc-cat-0685,0685,00685,600,hust-obc-label-xwalk-0601,㚣,U+36A3,1,false,1,hust-obc-src-cat-0685,unknown_until_cross_source_review,reserved_candidate_not_assigned,needs_cross_source_review,compare_xiaoxuetang_obm_obimd_evobc_and_primary_inscription_context,source_marked_risk_noted,"This row is a promotion-review queue item only. The suggested obs-char ID is not assigned until cross-source review confirms provenance, form identity, and decipherment status. HUST-OBC labels must not be treated as accepted readings.",needs_review,2026-06-04
hust-obc-bucket-007-row-002,hust-obc-obs-char-promo-000602,obs-char-000602,007_000601-000700_obs-char-bucket_oracle-characters,602_obs-char-000602_hust-obc-cat-0686_oracle-character,obs-cand-000602,src-hust-obc,hust-obc-cat-0686,0686,00686,601,hust-obc-label-xwalk-0602,㚤,U+36A4,1,false,1,hust-obc-src-cat-0686,unknown_until_cross_source_review,reserved_candidate_not_assigned,needs_cross_source_review,compare_xiaoxuetang_obm_obimd_evobc_and_primary_inscription_context,source_marked_risk_noted,"This row is a promotion-review queue item only. The suggested obs-char ID is not assigned until cross-source review confirms provenance, form identity, and decipherment status. HUST-OBC labels must not be treated as accepted readings.",needs_review,2026-06-04
hust-obc-bucket-007-row-003,hust-obc-obs-char-promo-000603,obs-char-000603,007_000601-000700_obs-char-bucket_oracle-characters,603_obs-char-000603_hust-obc-cat-0687_oracle-character,obs-cand-000603,src-hust-obc,hust-obc-cat-0687,0687,00687,602,hust-obc-label-xwalk-0603,㚥,U+36A5,1,false,1,hust-obc-src-cat-0687,unknown_until_cross_source_review,reserved_candidate_not_assigned,needs_cross_source_review,compare_xiaoxuetang_obm_obimd_evobc_and_primary_inscription_context,source_marked_risk_noted,"This row is a promotion-review queue item only. The suggested obs-char ID is not assigned until cross-source review confirms provenance, form identity, and decipherment status. HUST-OBC labels must not be treated as accepted readings.",needs_review,2026-06-04
hust-obc-bucket-007-row-004,hust-obc-obs-char-promo-000604,obs-char-000604,007_000601-000700_obs-char-bucket_oracle-characters,604_obs-char-000604_hust-obc-cat-0688_oracle-character,obs-cand-000604,src-hust-obc,hust-obc-cat-0688,0688,00688,603,hust-obc-label-xwalk-0604,㚦,U+36A6,1,false,1,hust-obc-src-cat-0688,unknown_until_cross_source_review,reserved_candidate_not_assigned,needs_cross_source_review,compare_xiaoxuetang_obm_obimd_evobc_and_primary_inscription_context,source_marked_risk_noted,"This row is a promotion-review queue item only. The suggested obs-char ID is not assigned until cross-source review confirms provenance, form identity, and decipherment status. HUST-OBC labels must not be treated as accepted readings.",needs_review,2026-06-04
hust-obc-bucket-007-row-005,hust-obc-obs-char-promo-000605,obs-char-000605,007_000601-000700_obs-char-bucket_oracle-characters,605_obs-char-000605_hust-obc-cat-0689_oracle-character,obs-cand-000605,src-hust-obc,hust-obc-cat-0689,0689,00689,604,hust-obc-label-xwalk-0605,㚧,U+36A7,1,false,1,hust-obc-src-cat-0689,unknown_until_cross_source_review,reserved_candidate_not_assigned,needs_cross_source_review,compare_xiaoxuetang_obm_obimd_evobc_and_primary_inscription_context,source_marked_risk_noted,"This row is a promotion-review queue item only. The suggested obs-char ID is not assigned until cross-source review confirms provenance, form identity, and decipherment status. HUST-OBC labels must not be treated as accepted readings.",needs_review,2026-06-04
hust-obc-bucket-007-row-006,hust-obc-obs-char-promo-000606,obs-char-000606,007_000601-000700_obs-char-bucket_oracle-characters,606_obs-char-000606_hust-obc-cat-0690_0691_oracle-character,obs-cand-000606,src-hust-obc,hust-obc-cat-0690_0691,0690_0691,00690;00691,605,hust-obc-label-xwalk-0606,㚨㚩,U+36A8;U+36A9,2,true,2,hust-obc-src-cat-0690;hust-obc-src-cat-0691,unknown_until_cross_source_review,reserved_candidate_not_assigned,needs_cross_source_review,compare_xiaoxuetang_obm_obimd_evobc_and_primary_inscription_context,source_marked_risk_noted,"This row is a promotion-review queue item only. The suggested obs-char ID is not assigned until cross-source review confirms provenance, form identity, and decipherment status. HUST-OBC labels must not be treated as accepted readings.",needs_review,2026-06-04
hust-obc-bucket-007-row-007,hust-obc-obs-char-promo-000607,obs-char-000607,007_000601-000700_obs-char-bucket_oracle-characters,607_obs-char-000607_hust-obc-cat-0692_oracle-character,obs-cand-000607,src-hust-obc,hust-obc-cat-0692,0692,00692,606,hust-obc-label-xwalk-0607,㚪,U+36AA,1,false,1,hust-obc-src-cat-0692,unknown_until_cross_source_review,reserved_candidate_not_assigned,needs_cross_source_review,compare_xiaoxuetang_obm_obimd_evobc_and_primary_inscription_context,source_marked_risk_noted,"This row is a promotion-review queue item only. The suggested obs-char ID is not assigned until cross-source review confirms provenance, form identity, and decipherment status. HUST-OBC labels must not be treated as accepted readings.",needs_review,2026-06-04
hust-obc-bucket-007-row-008,hust-obc-obs-char-promo-000608,obs-char-000608,007_000601-000700_obs-char-bucket_oracle-characters,608_obs-char-000608_hust-obc-cat-0693_oracle-character,obs-cand-000608,src-hust-obc,hust-obc-cat-0693,0693,00693,607,hust-obc-label-xwalk-0608,㚫,U+36AB,1,false,1,hust-obc-src-cat-0693,unknown_until_cross_source_review,reserved_candidate_not_assigned,needs_cross_source_review,compare_xiaoxuetang_obm_obimd_evobc_and_primary_inscription_context,source_marked_risk_noted,"This row is a promotion-review queue item only. The suggested obs-char ID is not assigned until cross-source review confirms provenance, form identity, and decipherment status. HUST-OBC labels must not be treated as accepted readings.",needs_review,2026-06-04
hust-obc-bucket-007-row-009,hust-obc-obs-char-promo-000609,obs-char-000609,007_000601-000700_obs-char-bucket_oracle-characters,609_obs-char-000609_hust-obc-cat-0694_oracle-character,obs-cand-000609,src-hust-obc,hust-obc-cat-0694,0694,00694,608,hust-obc-label-xwalk-0609,㚬,U+36AC,1,false,1,hust-obc-src-cat-0694,unknown_until_cross_source_review,reserved_candidate_not_assigned,needs_cross_source_review,compare_xiaoxuetang_obm_obimd_evobc_and_primary_inscription_context,source_marked_risk_noted,"This row is a promotion-review queue item only. The suggested obs-char ID is not assigned until cross-source review confirms provenance, form identity, and decipherment status. HUST-OBC labels must not be treated as accepted readings.",needs_review,2026-06-04
hust-obc-bucket-007-row-010,hust-obc-obs-char-promo-000610,obs-char-000610,007_000601-000700_obs-char-bucket_oracle-characters,610_obs-char-000610_hust-obc-cat-0695_oracle-character,obs-cand-000610,src-hust-obc,hust-obc-cat-0695,0695,00695,609,hust-obc-label-xwalk-0610,㚭,U+36AD,1,false,1,hust-obc-src-cat-0695,unknown_until_cross_source_review,reserved_candidate_not_assigned,needs_cross_source_review,compare_xiaoxuetang_obm_obimd_evobc_and_primary_inscription_context,source_marked_risk_noted,"This row is a promotion-review queue item only. The suggested obs-char ID is not assigned until cross-source review confirms provenance, form identity, and decipherment status. HUST-OBC labels must not be treated as accepted readings.",needs_review,2026-06-04
