project_id,record_type,candidate_directory,packet_path,source_index_path,code_index_path,human_review_sheet_path,source_character_label,source_character_codepoints,image_reference_count,review_status,updated_at
obs-evo-cand-010201,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/103_010201-010300_obs-evo-cand-bucket_evolution-candidates/10201_obs-evo-cand-010201_evobc-cat-10201_evolution-candidate,corpus/004_bronze-seal-modern-correspondences/103_010201-010300_obs-evo-cand-bucket_evolution-candidates/10201_obs-evo-cand-010201_evobc-cat-10201_evolution-candidate/01_candidate-evolution-packet.json,corpus/004_bronze-seal-modern-correspondences/103_010201-010300_obs-evo-cand-bucket_evolution-candidates/10201_obs-evo-cand-010201_evobc-cat-10201_evolution-candidate/02_evolution-source-index.csv,corpus/004_bronze-seal-modern-correspondences/103_010201-010300_obs-evo-cand-bucket_evolution-candidates/10201_obs-evo-cand-010201_evobc-cat-10201_evolution-candidate/03_era-source-code-index.csv,corpus/004_bronze-seal-modern-correspondences/103_010201-010300_obs-evo-cand-bucket_evolution-candidates/10201_obs-evo-cand-010201_evobc-cat-10201_evolution-candidate/04_human-review-sheet.md,駱,U+99F1,6,needs_human_evolution_review,2026-06-20
obs-evo-cand-010202,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/103_010201-010300_obs-evo-cand-bucket_evolution-candidates/10202_obs-evo-cand-010202_evobc-cat-10202_evolution-candidate,corpus/004_bronze-seal-modern-correspondences/103_010201-010300_obs-evo-cand-bucket_evolution-candidates/10202_obs-evo-cand-010202_evobc-cat-10202_evolution-candidate/01_candidate-evolution-packet.json,corpus/004_bronze-seal-modern-correspondences/103_010201-010300_obs-evo-cand-bucket_evolution-candidates/10202_obs-evo-cand-010202_evobc-cat-10202_evolution-candidate/02_evolution-source-index.csv,corpus/004_bronze-seal-modern-correspondences/103_010201-010300_obs-evo-cand-bucket_evolution-candidates/10202_obs-evo-cand-010202_evobc-cat-10202_evolution-candidate/03_era-source-code-index.csv,corpus/004_bronze-seal-modern-correspondences/103_010201-010300_obs-evo-cand-bucket_evolution-candidates/10202_obs-evo-cand-010202_evobc-cat-10202_evolution-candidate/04_human-review-sheet.md,駸,U+99F8,1,needs_human_evolution_review,2026-06-20
obs-evo-cand-010203,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/103_010201-010300_obs-evo-cand-bucket_evolution-candidates/10203_obs-evo-cand-010203_evobc-cat-10203_evolution-candidate,corpus/004_bronze-seal-modern-correspondences/103_010201-010300_obs-evo-cand-bucket_evolution-candidates/10203_obs-evo-cand-010203_evobc-cat-10203_evolution-candidate/01_candidate-evolution-packet.json,corpus/004_bronze-seal-modern-correspondences/103_010201-010300_obs-evo-cand-bucket_evolution-candidates/10203_obs-evo-cand-010203_evobc-cat-10203_evolution-candidate/02_evolution-source-index.csv,corpus/004_bronze-seal-modern-correspondences/103_010201-010300_obs-evo-cand-bucket_evolution-candidates/10203_obs-evo-cand-010203_evobc-cat-10203_evolution-candidate/03_era-source-code-index.csv,corpus/004_bronze-seal-modern-correspondences/103_010201-010300_obs-evo-cand-bucket_evolution-candidates/10203_obs-evo-cand-010203_evobc-cat-10203_evolution-candidate/04_human-review-sheet.md,駹,U+99F9,1,needs_human_evolution_review,2026-06-20
obs-evo-cand-010204,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/103_010201-010300_obs-evo-cand-bucket_evolution-candidates/10204_obs-evo-cand-010204_evobc-cat-10204_evolution-candidate,corpus/004_bronze-seal-modern-correspondences/103_010201-010300_obs-evo-cand-bucket_evolution-candidates/10204_obs-evo-cand-010204_evobc-cat-10204_evolution-candidate/01_candidate-evolution-packet.json,corpus/004_bronze-seal-modern-correspondences/103_010201-010300_obs-evo-cand-bucket_evolution-candidates/10204_obs-evo-cand-010204_evobc-cat-10204_evolution-candidate/02_evolution-source-index.csv,corpus/004_bronze-seal-modern-correspondences/103_010201-010300_obs-evo-cand-bucket_evolution-candidates/10204_obs-evo-cand-010204_evobc-cat-10204_evolution-candidate/03_era-source-code-index.csv,corpus/004_bronze-seal-modern-correspondences/103_010201-010300_obs-evo-cand-bucket_evolution-candidates/10204_obs-evo-cand-010204_evobc-cat-10204_evolution-candidate/04_human-review-sheet.md,駻,U+99FB,1,needs_human_evolution_review,2026-06-20
obs-evo-cand-010205,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/103_010201-010300_obs-evo-cand-bucket_evolution-candidates/10205_obs-evo-cand-010205_evobc-cat-10205_evolution-candidate,corpus/004_bronze-seal-modern-correspondences/103_010201-010300_obs-evo-cand-bucket_evolution-candidates/10205_obs-evo-cand-010205_evobc-cat-10205_evolution-candidate/01_candidate-evolution-packet.json,corpus/004_bronze-seal-modern-correspondences/103_010201-010300_obs-evo-cand-bucket_evolution-candidates/10205_obs-evo-cand-010205_evobc-cat-10205_evolution-candidate/02_evolution-source-index.csv,corpus/004_bronze-seal-modern-correspondences/103_010201-010300_obs-evo-cand-bucket_evolution-candidates/10205_obs-evo-cand-010205_evobc-cat-10205_evolution-candidate/03_era-source-code-index.csv,corpus/004_bronze-seal-modern-correspondences/103_010201-010300_obs-evo-cand-bucket_evolution-candidates/10205_obs-evo-cand-010205_evobc-cat-10205_evolution-candidate/04_human-review-sheet.md,駼,U+99FC,1,needs_human_evolution_review,2026-06-20
obs-evo-cand-010206,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/103_010201-010300_obs-evo-cand-bucket_evolution-candidates/10206_obs-evo-cand-010206_evobc-cat-10206_evolution-candidate,corpus/004_bronze-seal-modern-correspondences/103_010201-010300_obs-evo-cand-bucket_evolution-candidates/10206_obs-evo-cand-010206_evobc-cat-10206_evolution-candidate/01_candidate-evolution-packet.json,corpus/004_bronze-seal-modern-correspondences/103_010201-010300_obs-evo-cand-bucket_evolution-candidates/10206_obs-evo-cand-010206_evobc-cat-10206_evolution-candidate/02_evolution-source-index.csv,corpus/004_bronze-seal-modern-correspondences/103_010201-010300_obs-evo-cand-bucket_evolution-candidates/10206_obs-evo-cand-010206_evobc-cat-10206_evolution-candidate/03_era-source-code-index.csv,corpus/004_bronze-seal-modern-correspondences/103_010201-010300_obs-evo-cand-bucket_evolution-candidates/10206_obs-evo-cand-010206_evobc-cat-10206_evolution-candidate/04_human-review-sheet.md,駽,U+99FD,3,needs_human_evolution_review,2026-06-20
obs-evo-cand-010207,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/103_010201-010300_obs-evo-cand-bucket_evolution-candidates/10207_obs-evo-cand-010207_evobc-cat-10207_evolution-candidate,corpus/004_bronze-seal-modern-correspondences/103_010201-010300_obs-evo-cand-bucket_evolution-candidates/10207_obs-evo-cand-010207_evobc-cat-10207_evolution-candidate/01_candidate-evolution-packet.json,corpus/004_bronze-seal-modern-correspondences/103_010201-010300_obs-evo-cand-bucket_evolution-candidates/10207_obs-evo-cand-010207_evobc-cat-10207_evolution-candidate/02_evolution-source-index.csv,corpus/004_bronze-seal-modern-correspondences/103_010201-010300_obs-evo-cand-bucket_evolution-candidates/10207_obs-evo-cand-010207_evobc-cat-10207_evolution-candidate/03_era-source-code-index.csv,corpus/004_bronze-seal-modern-correspondences/103_010201-010300_obs-evo-cand-bucket_evolution-candidates/10207_obs-evo-cand-010207_evobc-cat-10207_evolution-candidate/04_human-review-sheet.md,駾,U+99FE,1,needs_human_evolution_review,2026-06-20
obs-evo-cand-010208,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/103_010201-010300_obs-evo-cand-bucket_evolution-candidates/10208_obs-evo-cand-010208_evobc-cat-10208_evolution-candidate,corpus/004_bronze-seal-modern-correspondences/103_010201-010300_obs-evo-cand-bucket_evolution-candidates/10208_obs-evo-cand-010208_evobc-cat-10208_evolution-candidate/01_candidate-evolution-packet.json,corpus/004_bronze-seal-modern-correspondences/103_010201-010300_obs-evo-cand-bucket_evolution-candidates/10208_obs-evo-cand-010208_evobc-cat-10208_evolution-candidate/02_evolution-source-index.csv,corpus/004_bronze-seal-modern-correspondences/103_010201-010300_obs-evo-cand-bucket_evolution-candidates/10208_obs-evo-cand-010208_evobc-cat-10208_evolution-candidate/03_era-source-code-index.csv,corpus/004_bronze-seal-modern-correspondences/103_010201-010300_obs-evo-cand-bucket_evolution-candidates/10208_obs-evo-cand-010208_evobc-cat-10208_evolution-candidate/04_human-review-sheet.md,駿,U+99FF,3,needs_human_evolution_review,2026-06-20
obs-evo-cand-010209,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/103_010201-010300_obs-evo-cand-bucket_evolution-candidates/10209_obs-evo-cand-010209_evobc-cat-10209_evolution-candidate,corpus/004_bronze-seal-modern-correspondences/103_010201-010300_obs-evo-cand-bucket_evolution-candidates/10209_obs-evo-cand-010209_evobc-cat-10209_evolution-candidate/01_candidate-evolution-packet.json,corpus/004_bronze-seal-modern-correspondences/103_010201-010300_obs-evo-cand-bucket_evolution-candidates/10209_obs-evo-cand-010209_evobc-cat-10209_evolution-candidate/02_evolution-source-index.csv,corpus/004_bronze-seal-modern-correspondences/103_010201-010300_obs-evo-cand-bucket_evolution-candidates/10209_obs-evo-cand-010209_evobc-cat-10209_evolution-candidate/03_era-source-code-index.csv,corpus/004_bronze-seal-modern-correspondences/103_010201-010300_obs-evo-cand-bucket_evolution-candidates/10209_obs-evo-cand-010209_evobc-cat-10209_evolution-candidate/04_human-review-sheet.md,騀,U+9A00,1,needs_human_evolution_review,2026-06-20
obs-evo-cand-010210,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/103_010201-010300_obs-evo-cand-bucket_evolution-candidates/10210_obs-evo-cand-010210_evobc-cat-10210_evolution-candidate,corpus/004_bronze-seal-modern-correspondences/103_010201-010300_obs-evo-cand-bucket_evolution-candidates/10210_obs-evo-cand-010210_evobc-cat-10210_evolution-candidate/01_candidate-evolution-packet.json,corpus/004_bronze-seal-modern-correspondences/103_010201-010300_obs-evo-cand-bucket_evolution-candidates/10210_obs-evo-cand-010210_evobc-cat-10210_evolution-candidate/02_evolution-source-index.csv,corpus/004_bronze-seal-modern-correspondences/103_010201-010300_obs-evo-cand-bucket_evolution-candidates/10210_obs-evo-cand-010210_evobc-cat-10210_evolution-candidate/03_era-source-code-index.csv,corpus/004_bronze-seal-modern-correspondences/103_010201-010300_obs-evo-cand-bucket_evolution-candidates/10210_obs-evo-cand-010210_evobc-cat-10210_evolution-candidate/04_human-review-sheet.md,騁,U+9A01,2,needs_human_evolution_review,2026-06-20
