route_id,source_id,locator,asset_kind,local_capture,size_bytes,pixel_dimensions,sha256,evidence_scope,relation_status,artifact_identity_status,join_geometry,rights_status,review_status
ihp-zr038421-page,ihp-archaeological-archive,ZR038421,html,ihp-artifact-detail-zr038421.html,23000,not_applicable,8c0913f30c8b4363e428f55d3e67ca8a6c84f9be8d0aed8924c17d9d70fbea52,parent metadata members field numbers and source transcription,official_composite_membership,official_registry_id,withheld,site_text_all_rights_reserved,checked_2026-08-28
ihp-zr053740-page,ihp-archaeological-archive,ZR053740,html,ihp-artifact-detail-zr053740.html,19800,not_applicable,f01e31b01bf444cb27dfdf2584a2046d32bf4332a69b50b1ccdc7915e2f08953,nested members R053740 and R053840,official_composite_membership,official_registry_id,withheld,site_text_all_rights_reserved,checked_2026-08-28
ihp-r038421-page,ihp-archaeological-archive,R038421,html,ihp-artifact-detail-r038421.html,20483,not_applicable,6b63ef11005a84c4c8e87c745ed8fce03b35466030d1ed5434f36fbd65dc5d7a,member detail and image routes,official_composite_membership,official_registry_id,withheld,site_text_all_rights_reserved,checked_2026-08-28
ihp-r039467-page,ihp-archaeological-archive,R039467,html,ihp-artifact-detail-r039467.html,20099,not_applicable,563caef482b68cb3c7f659a57a18e055ce43cfd145073df531fee551d60498a0,member detail and image routes,official_composite_membership,official_registry_id,withheld,site_text_all_rights_reserved,checked_2026-08-28
ihp-r053740-page,ihp-archaeological-archive,R053740,html,ihp-artifact-detail-r053740.html,19798,not_applicable,425f96aa770b92c02f8d9fe8c2b0556676ffe7e22e32dd9b15ac25b7a6118df5,member of ZR053740 and ZR038421,official_composite_membership,official_registry_id,withheld,site_text_all_rights_reserved,checked_2026-08-28
ihp-r053840-page,ihp-archaeological-archive,R053840,html,ihp-artifact-detail-r053840.html,19798,not_applicable,4404a726d348bf2c517d8ed170e43e910b67a069beb26fefda6d1dfcd90fe31d,member of ZR053740 and ZR038421,official_composite_membership,official_registry_id,withheld,site_text_all_rights_reserved,checked_2026-08-28
ihp-r054970-page,ihp-archaeological-archive,R054970,html,ihp-artifact-detail-r054970.html,19720,not_applicable,2b2ca9c1160bf9329a75cbe1ddfcd57726e596d1743ae0dc2fa0cf941f6451bf,member of ZR038421,official_composite_membership,official_registry_id,withheld,site_text_all_rights_reserved,checked_2026-08-28
ihp-r060751-page,ihp-archaeological-archive,R060751,html,ihp-artifact-detail-r060751.html,19720,not_applicable,d27d50b1bd87c8f8726312076bf2444ab846167ec84ba12ff74736d705864754,member of ZR038421,official_composite_membership,official_registry_id,withheld,site_text_all_rights_reserved,checked_2026-08-28
ihp-r062431-page,ihp-archaeological-archive,R062431,html,ihp-artifact-detail-r062431.html,19720,not_applicable,38cae7ab78e7868a9eb10088f59d7b1cc8186a96eec34dc1290753c20618ad5b,member of ZR038421,official_composite_membership,official_registry_id,withheld,site_text_all_rights_reserved,checked_2026-08-28
ihp-rights-page,ihp-archaeological-archive,terms.jsp,html,ihp-artifact-terms.html,12350,not_applicable,8329c6401a0d8a0bedf063b24e3e323cb717ead1691fdc5edd5946ccf7fcc083,site rights and image reuse statement,rights_statement,not_applicable,withheld,site_stated_cc3_by_nc_nd,checked_2026-08-28
ihp-zr038421-front,ihp-archaeological-archive,ZR038421BCWA,jpeg,zr038421bcwa.jpg,1698672,1797x2000,a6d13cc5365f62e8843169db6a02d9b2b24d35d12bb573e4a33acea65ee24074,scale_bearing_object_image,official_composite_image,official_registry_image,withheld,site_stated_cc3_by_nc_nd,visually_checked
ihp-zr038421-reverse,ihp-archaeological-archive,ZR038421BCWB,jpeg,zr038421bcwb.jpg,1781542,1797x2000,da2789b1d9dcd494fb15cbbc34a2eda8c5f0020bc8bde64918250491a423cc67,scale_bearing_object_image,official_composite_image,official_registry_image,withheld,site_stated_cc3_by_nc_nd,visually_checked
ihp-r038421-front,ihp-archaeological-archive,R038421CCWA,jpeg,r038421ccwa.jpg,355708,1856x1392,0151e4e6f97abcf614e6599c6243ce8bdebc9f038b583677806ac8b1bed80d1d,scale_bearing_object_image,official_member_image,official_registry_image,withheld,site_stated_cc3_by_nc_nd,visually_checked
