candidate_component_id,candidate_subcharacter_id,candidate_directory,primary_external_ref_id,source_subcharacter_uid,source_main_character_uid,main_character_external_ref_id,glyph_codepoint_count,rights_status,object_status,review_status,research_boundary,updated_at
obs-comp-cand-002101,obimd-sub-cand-002101,corpus/003_graphemic-components/022_002101-002200_obs-comp-cand-bucket_component-candidates/2101_obs-comp-cand-002101_obimd-sub-7cerpwngv3_component-candidate,obimd-sub-7cerpwngv3,7cerpwngv3,7cerpwngv3,obimd-main-7cerpwngv3,7,licensed_for_repository,dataset_candidate_not_promoted,needs_human_component_review,dataset_component_candidate_only_not_formal_component_record_not_component_assignment,2026-06-20
obs-comp-cand-002102,obimd-sub-cand-002102,corpus/003_graphemic-components/022_002101-002200_obs-comp-cand-bucket_component-candidates/2102_obs-comp-cand-002102_obimd-sub-w7adb17snu_component-candidate,obimd-sub-w7adb17snu,w7adb17snu,w7adb17snu,obimd-main-w7adb17snu,14,licensed_for_repository,dataset_candidate_not_promoted,needs_human_component_review,dataset_component_candidate_only_not_formal_component_record_not_component_assignment,2026-06-20
obs-comp-cand-002103,obimd-sub-cand-002103,corpus/003_graphemic-components/022_002101-002200_obs-comp-cand-bucket_component-candidates/2103_obs-comp-cand-002103_obimd-sub-ify8wp45mz_component-candidate,obimd-sub-ify8wp45mz,ify8wp45mz,ify8wp45mz,obimd-main-ify8wp45mz,57,licensed_for_repository,dataset_candidate_not_promoted,needs_human_component_review,dataset_component_candidate_only_not_formal_component_record_not_component_assignment,2026-06-20
obs-comp-cand-002104,obimd-sub-cand-002104,corpus/003_graphemic-components/022_002101-002200_obs-comp-cand-bucket_component-candidates/2104_obs-comp-cand-002104_obimd-sub-f1vyjgg9t6_component-candidate,obimd-sub-f1vyjgg9t6,f1vyjgg9t6,f1vyjgg9t6,obimd-main-f1vyjgg9t6,22,licensed_for_repository,dataset_candidate_not_promoted,needs_human_component_review,dataset_component_candidate_only_not_formal_component_record_not_component_assignment,2026-06-20
obs-comp-cand-002105,obimd-sub-cand-002105,corpus/003_graphemic-components/022_002101-002200_obs-comp-cand-bucket_component-candidates/2105_obs-comp-cand-002105_obimd-sub-7buo5g46sq_component-candidate,obimd-sub-7buo5g46sq,7buo5g46sq,jxtkszwkrq,obimd-main-jxtkszwkrq,6,licensed_for_repository,dataset_candidate_not_promoted,needs_human_component_review,dataset_component_candidate_only_not_formal_component_record_not_component_assignment,2026-06-20
obs-comp-cand-002106,obimd-sub-cand-002106,corpus/003_graphemic-components/022_002101-002200_obs-comp-cand-bucket_component-candidates/2106_obs-comp-cand-002106_obimd-sub-srhk7ugxm8_component-candidate,obimd-sub-srhk7ugxm8,srhk7ugxm8,srhk7ugxm8,obimd-main-srhk7ugxm8,15,licensed_for_repository,dataset_candidate_not_promoted,needs_human_component_review,dataset_component_candidate_only_not_formal_component_record_not_component_assignment,2026-06-20
obs-comp-cand-002107,obimd-sub-cand-002107,corpus/003_graphemic-components/022_002101-002200_obs-comp-cand-bucket_component-candidates/2107_obs-comp-cand-002107_obimd-sub-8e5crldjex_component-candidate,obimd-sub-8e5crldjex,8e5crldjex,srhk7ugxm8,obimd-main-srhk7ugxm8,7,licensed_for_repository,dataset_candidate_not_promoted,needs_human_component_review,dataset_component_candidate_only_not_formal_component_record_not_component_assignment,2026-06-20
obs-comp-cand-002108,obimd-sub-cand-002108,corpus/003_graphemic-components/022_002101-002200_obs-comp-cand-bucket_component-candidates/2108_obs-comp-cand-002108_obimd-sub-0gb8tth8uf_component-candidate,obimd-sub-0gb8tth8uf,0gb8tth8uf,srhk7ugxm8,obimd-main-srhk7ugxm8,4,licensed_for_repository,dataset_candidate_not_promoted,needs_human_component_review,dataset_component_candidate_only_not_formal_component_record_not_component_assignment,2026-06-20
obs-comp-cand-002109,obimd-sub-cand-002109,corpus/003_graphemic-components/022_002101-002200_obs-comp-cand-bucket_component-candidates/2109_obs-comp-cand-002109_obimd-sub-rts98igyn3_component-candidate,obimd-sub-rts98igyn3,rts98igyn3,srhk7ugxm8,obimd-main-srhk7ugxm8,3,licensed_for_repository,dataset_candidate_not_promoted,needs_human_component_review,dataset_component_candidate_only_not_formal_component_record_not_component_assignment,2026-06-20
obs-comp-cand-002110,obimd-sub-cand-002110,corpus/003_graphemic-components/022_002101-002200_obs-comp-cand-bucket_component-candidates/2110_obs-comp-cand-002110_obimd-sub-201eza988b_component-candidate,obimd-sub-201eza988b,201eza988b,srhk7ugxm8,obimd-main-srhk7ugxm8,3,licensed_for_repository,dataset_candidate_not_promoted,needs_human_component_review,dataset_component_candidate_only_not_formal_component_record_not_component_assignment,2026-06-20
