bucket_sequence,unknown_candidate_id,primary_external_ref_id,packet_path,source_group,source_class_id,source_image_count,review_status,updated_at
001,obs-unk-002901,hust-obc-und-L-002901,corpus/001_oracle-characters/046_undeciphered-002901-003000_obs-unk-bucket_oracle-character-candidates/001_obs-unk-002901_hust-obc-und-L-002901_oracle-character-candidate/01_undeciphered-candidate-packet.json,L,2901,1,reviewed_metadata_only,2026-06-10
002,obs-unk-002902,hust-obc-und-L-002902,corpus/001_oracle-characters/046_undeciphered-002901-003000_obs-unk-bucket_oracle-character-candidates/002_obs-unk-002902_hust-obc-und-L-002902_oracle-character-candidate/01_undeciphered-candidate-packet.json,L,2902,1,reviewed_metadata_only,2026-06-10
003,obs-unk-002903,hust-obc-und-L-002903,corpus/001_oracle-characters/046_undeciphered-002901-003000_obs-unk-bucket_oracle-character-candidates/003_obs-unk-002903_hust-obc-und-L-002903_oracle-character-candidate/01_undeciphered-candidate-packet.json,L,2903,1,reviewed_metadata_only,2026-06-10
004,obs-unk-002904,hust-obc-und-L-002904,corpus/001_oracle-characters/046_undeciphered-002901-003000_obs-unk-bucket_oracle-character-candidates/004_obs-unk-002904_hust-obc-und-L-002904_oracle-character-candidate/01_undeciphered-candidate-packet.json,L,2904,1,reviewed_metadata_only,2026-06-10
005,obs-unk-002905,hust-obc-und-L-002905,corpus/001_oracle-characters/046_undeciphered-002901-003000_obs-unk-bucket_oracle-character-candidates/005_obs-unk-002905_hust-obc-und-L-002905_oracle-character-candidate/01_undeciphered-candidate-packet.json,L,2905,1,reviewed_metadata_only,2026-06-10
006,obs-unk-002906,hust-obc-und-L-002906,corpus/001_oracle-characters/046_undeciphered-002901-003000_obs-unk-bucket_oracle-character-candidates/006_obs-unk-002906_hust-obc-und-L-002906_oracle-character-candidate/01_undeciphered-candidate-packet.json,L,2906,1,reviewed_metadata_only,2026-06-10
007,obs-unk-002907,hust-obc-und-L-002907,corpus/001_oracle-characters/046_undeciphered-002901-003000_obs-unk-bucket_oracle-character-candidates/007_obs-unk-002907_hust-obc-und-L-002907_oracle-character-candidate/01_undeciphered-candidate-packet.json,L,2907,1,reviewed_metadata_only,2026-06-10
008,obs-unk-002908,hust-obc-und-L-002908,corpus/001_oracle-characters/046_undeciphered-002901-003000_obs-unk-bucket_oracle-character-candidates/008_obs-unk-002908_hust-obc-und-L-002908_oracle-character-candidate/01_undeciphered-candidate-packet.json,L,2908,1,reviewed_metadata_only,2026-06-10
009,obs-unk-002909,hust-obc-und-L-002909,corpus/001_oracle-characters/046_undeciphered-002901-003000_obs-unk-bucket_oracle-character-candidates/009_obs-unk-002909_hust-obc-und-L-002909_oracle-character-candidate/01_undeciphered-candidate-packet.json,L,2909,1,reviewed_metadata_only,2026-06-10
010,obs-unk-002910,hust-obc-und-L-002910,corpus/001_oracle-characters/046_undeciphered-002901-003000_obs-unk-bucket_oracle-character-candidates/010_obs-unk-002910_hust-obc-und-L-002910_oracle-character-candidate/01_undeciphered-candidate-packet.json,L,2910,1,reviewed_metadata_only,2026-06-10
011,obs-unk-002911,hust-obc-und-L-002911,corpus/001_oracle-characters/046_undeciphered-002901-003000_obs-unk-bucket_oracle-character-candidates/011_obs-unk-002911_hust-obc-und-L-002911_oracle-character-candidate/01_undeciphered-candidate-packet.json,L,2911,1,reviewed_metadata_only,2026-06-10
012,obs-unk-002912,hust-obc-und-L-002912,corpus/001_oracle-characters/046_undeciphered-002901-003000_obs-unk-bucket_oracle-character-candidates/012_obs-unk-002912_hust-obc-und-L-002912_oracle-character-candidate/01_undeciphered-candidate-packet.json,L,2912,1,reviewed_metadata_only,2026-06-10
013,obs-unk-002913,hust-obc-und-L-002913,corpus/001_oracle-characters/046_undeciphered-002901-003000_obs-unk-bucket_oracle-character-candidates/013_obs-unk-002913_hust-obc-und-L-002913_oracle-character-candidate/01_undeciphered-candidate-packet.json,L,2913,1,reviewed_metadata_only,2026-06-10
014,obs-unk-002914,hust-obc-und-L-002914,corpus/001_oracle-characters/046_undeciphered-002901-003000_obs-unk-bucket_oracle-character-candidates/014_obs-unk-002914_hust-obc-und-L-002914_oracle-character-candidate/01_undeciphered-candidate-packet.json,L,2914,1,reviewed_metadata_only,2026-06-10
015,obs-unk-002915,hust-obc-und-L-002915,corpus/001_oracle-characters/046_undeciphered-002901-003000_obs-unk-bucket_oracle-character-candidates/015_obs-unk-002915_hust-obc-und-L-002915_oracle-character-candidate/01_undeciphered-candidate-packet.json,L,2915,1,reviewed_metadata_only,2026-06-10
016,obs-unk-002916,hust-obc-und-L-002916,corpus/001_oracle-characters/046_undeciphered-002901-003000_obs-unk-bucket_oracle-character-candidates/016_obs-unk-002916_hust-obc-und-L-002916_oracle-character-candidate/01_undeciphered-candidate-packet.json,L,2916,1,reviewed_metadata_only,2026-06-10
017,obs-unk-002917,hust-obc-und-L-002917,corpus/001_oracle-characters/046_undeciphered-002901-003000_obs-unk-bucket_oracle-character-candidates/017_obs-unk-002917_hust-obc-und-L-002917_oracle-character-candidate/01_undeciphered-candidate-packet.json,L,2917,1,reviewed_metadata_only,2026-06-10
018,obs-unk-002918,hust-obc-und-L-002918,corpus/001_oracle-characters/046_undeciphered-002901-003000_obs-unk-bucket_oracle-character-candidates/018_obs-unk-002918_hust-obc-und-L-002918_oracle-character-candidate/01_undeciphered-candidate-packet.json,L,2918,1,reviewed_metadata_only,2026-06-10
019,obs-unk-002919,hust-obc-und-L-002919,corpus/001_oracle-characters/046_undeciphered-002901-003000_obs-unk-bucket_oracle-character-candidates/019_obs-unk-002919_hust-obc-und-L-002919_oracle-character-candidate/01_undeciphered-candidate-packet.json,L,2919,1,reviewed_metadata_only,2026-06-10
020,obs-unk-002920,hust-obc-und-L-002920,corpus/001_oracle-characters/046_undeciphered-002901-003000_obs-unk-bucket_oracle-character-candidates/020_obs-unk-002920_hust-obc-und-L-002920_oracle-character-candidate/01_undeciphered-candidate-packet.json,L,2920,1,reviewed_metadata_only,2026-06-10
021,obs-unk-002921,hust-obc-und-L-002921,corpus/001_oracle-characters/046_undeciphered-002901-003000_obs-unk-bucket_oracle-character-candidates/021_obs-unk-002921_hust-obc-und-L-002921_oracle-character-candidate/01_undeciphered-candidate-packet.json,L,2921,1,reviewed_metadata_only,2026-06-10
022,obs-unk-002922,hust-obc-und-L-002922,corpus/001_oracle-characters/046_undeciphered-002901-003000_obs-unk-bucket_oracle-character-candidates/022_obs-unk-002922_hust-obc-und-L-002922_oracle-character-candidate/01_undeciphered-candidate-packet.json,L,2922,1,reviewed_metadata_only,2026-06-10
023,obs-unk-002923,hust-obc-und-L-002923,corpus/001_oracle-characters/046_undeciphered-002901-003000_obs-unk-bucket_oracle-character-candidates/023_obs-unk-002923_hust-obc-und-L-002923_oracle-character-candidate/01_undeciphered-candidate-packet.json,L,2923,1,reviewed_metadata_only,2026-06-10
024,obs-unk-002924,hust-obc-und-L-002924,corpus/001_oracle-characters/046_undeciphered-002901-003000_obs-unk-bucket_oracle-character-candidates/024_obs-unk-002924_hust-obc-und-L-002924_oracle-character-candidate/01_undeciphered-candidate-packet.json,L,2924,1,reviewed_metadata_only,2026-06-10
025,obs-unk-002925,hust-obc-und-L-002925,corpus/001_oracle-characters/046_undeciphered-002901-003000_obs-unk-bucket_oracle-character-candidates/025_obs-unk-002925_hust-obc-und-L-002925_oracle-character-candidate/01_undeciphered-candidate-packet.json,L,2925,1,reviewed_metadata_only,2026-06-10
026,obs-unk-002926,hust-obc-und-L-002926,corpus/001_oracle-characters/046_undeciphered-002901-003000_obs-unk-bucket_oracle-character-candidates/026_obs-unk-002926_hust-obc-und-L-002926_oracle-character-candidate/01_undeciphered-candidate-packet.json,L,2926,1,reviewed_metadata_only,2026-06-10
027,obs-unk-002927,hust-obc-und-L-002927,corpus/001_oracle-characters/046_undeciphered-002901-003000_obs-unk-bucket_oracle-character-candidates/027_obs-unk-002927_hust-obc-und-L-002927_oracle-character-candidate/01_undeciphered-candidate-packet.json,L,2927,1,reviewed_metadata_only,2026-06-10
028,obs-unk-002928,hust-obc-und-L-002928,corpus/001_oracle-characters/046_undeciphered-002901-003000_obs-unk-bucket_oracle-character-candidates/028_obs-unk-002928_hust-obc-und-L-002928_oracle-character-candidate/01_undeciphered-candidate-packet.json,L,2928,1,reviewed_metadata_only,2026-06-10
029,obs-unk-002929,hust-obc-und-L-002929,corpus/001_oracle-characters/046_undeciphered-002901-003000_obs-unk-bucket_oracle-character-candidates/029_obs-unk-002929_hust-obc-und-L-002929_oracle-character-candidate/01_undeciphered-candidate-packet.json,L,2929,1,reviewed_metadata_only,2026-06-10
030,obs-unk-002930,hust-obc-und-L-002930,corpus/001_oracle-characters/046_undeciphered-002901-003000_obs-unk-bucket_oracle-character-candidates/030_obs-unk-002930_hust-obc-und-L-002930_oracle-character-candidate/01_undeciphered-candidate-packet.json,L,2930,1,reviewed_metadata_only,2026-06-10
