source_category_row_id,source_id,evidence_download_id_validation,evidence_download_id_id_to_chinese,source_category_id,source_category_id_padded,source_modern_label_candidate,source_modern_label_codepoint,validation_class_id,linked_candidate_class_id,linked_label_crosswalk_id,is_part_of_multi_category_class,source_metadata_files,project_import_status,rights_status,caution,review_status,updated_at
hust-obc-src-cat-0001,src-hust-obc,dl-hust-obc-validation-label,dl-hust-obc-ocr-id-to-chinese,0001,00001,⺀,U+2E80,0,obs-cand-000001,hust-obc-label-xwalk-0001,false,Validation_label.json;ID_to_Chinese.json,dataset_source_category_not_promoted,source_marked_risk_noted,HUST-OBC source-category labels are dataset metadata for candidate lookup; do not treat them as accepted oracle-character readings or formal project character IDs without cross-source review.,reviewed_metadata_only,2026-06-04
hust-obc-src-cat-0002,src-hust-obc,dl-hust-obc-validation-label,dl-hust-obc-ocr-id-to-chinese,0002,00002,⺄,U+2E84,1,obs-cand-000002,hust-obc-label-xwalk-0002,false,Validation_label.json;ID_to_Chinese.json,dataset_source_category_not_promoted,source_marked_risk_noted,HUST-OBC source-category labels are dataset metadata for candidate lookup; do not treat them as accepted oracle-character readings or formal project character IDs without cross-source review.,reviewed_metadata_only,2026-06-04
hust-obc-src-cat-0003,src-hust-obc,dl-hust-obc-validation-label,dl-hust-obc-ocr-id-to-chinese,0003,00003,⺆,U+2E86,2,obs-cand-000003,hust-obc-label-xwalk-0003,false,Validation_label.json;ID_to_Chinese.json,dataset_source_category_not_promoted,source_marked_risk_noted,HUST-OBC source-category labels are dataset metadata for candidate lookup; do not treat them as accepted oracle-character readings or formal project character IDs without cross-source review.,reviewed_metadata_only,2026-06-04
hust-obc-src-cat-0004,src-hust-obc,dl-hust-obc-validation-label,dl-hust-obc-ocr-id-to-chinese,0004,00004,⺊,U+2E8A,3,obs-cand-000004,hust-obc-label-xwalk-0004,false,Validation_label.json;ID_to_Chinese.json,dataset_source_category_not_promoted,source_marked_risk_noted,HUST-OBC source-category labels are dataset metadata for candidate lookup; do not treat them as accepted oracle-character readings or formal project character IDs without cross-source review.,reviewed_metadata_only,2026-06-04
hust-obc-src-cat-0005,src-hust-obc,dl-hust-obc-validation-label,dl-hust-obc-ocr-id-to-chinese,0005,00005,⺌,U+2E8C,4,obs-cand-000005,hust-obc-label-xwalk-0005,false,Validation_label.json;ID_to_Chinese.json,dataset_source_category_not_promoted,source_marked_risk_noted,HUST-OBC source-category labels are dataset metadata for candidate lookup; do not treat them as accepted oracle-character readings or formal project character IDs without cross-source review.,reviewed_metadata_only,2026-06-04
hust-obc-src-cat-0006,src-hust-obc,dl-hust-obc-validation-label,dl-hust-obc-ocr-id-to-chinese,0006,00006,⺸,U+2EB8,5,obs-cand-000006,hust-obc-label-xwalk-0006,false,Validation_label.json;ID_to_Chinese.json,dataset_source_category_not_promoted,source_marked_risk_noted,HUST-OBC source-category labels are dataset metadata for candidate lookup; do not treat them as accepted oracle-character readings or formal project character IDs without cross-source review.,reviewed_metadata_only,2026-06-04
hust-obc-src-cat-0007,src-hust-obc,dl-hust-obc-validation-label,dl-hust-obc-ocr-id-to-chinese,0007,00007,⺻,U+2EBB,6,obs-cand-000007,hust-obc-label-xwalk-0007,false,Validation_label.json;ID_to_Chinese.json,dataset_source_category_not_promoted,source_marked_risk_noted,HUST-OBC source-category labels are dataset metadata for candidate lookup; do not treat them as accepted oracle-character readings or formal project character IDs without cross-source review.,reviewed_metadata_only,2026-06-04
hust-obc-src-cat-0008,src-hust-obc,dl-hust-obc-validation-label,dl-hust-obc-ocr-id-to-chinese,0008,00008,⺼,U+2EBC,7,obs-cand-000008,hust-obc-label-xwalk-0008,false,Validation_label.json;ID_to_Chinese.json,dataset_source_category_not_promoted,source_marked_risk_noted,HUST-OBC source-category labels are dataset metadata for candidate lookup; do not treat them as accepted oracle-character readings or formal project character IDs without cross-source review.,reviewed_metadata_only,2026-06-04
hust-obc-src-cat-0009,src-hust-obc,dl-hust-obc-validation-label,dl-hust-obc-ocr-id-to-chinese,0009,00009,〢,U+3022,8,obs-cand-000009,hust-obc-label-xwalk-0009,false,Validation_label.json;ID_to_Chinese.json,dataset_source_category_not_promoted,source_marked_risk_noted,HUST-OBC source-category labels are dataset metadata for candidate lookup; do not treat them as accepted oracle-character readings or formal project character IDs without cross-source review.,reviewed_metadata_only,2026-06-04
hust-obc-src-cat-0010,src-hust-obc,dl-hust-obc-validation-label,dl-hust-obc-ocr-id-to-chinese,0010,00010,㐀,U+3400,9,obs-cand-000010,hust-obc-label-xwalk-0010,false,Validation_label.json;ID_to_Chinese.json,dataset_source_category_not_promoted,source_marked_risk_noted,HUST-OBC source-category labels are dataset metadata for candidate lookup; do not treat them as accepted oracle-character readings or formal project character IDs without cross-source review.,reviewed_metadata_only,2026-06-04
hust-obc-src-cat-0011,src-hust-obc,dl-hust-obc-validation-label,dl-hust-obc-ocr-id-to-chinese,0011,00011,㐁,U+3401,10,obs-cand-000011,hust-obc-label-xwalk-0011,true,Validation_label.json;ID_to_Chinese.json,dataset_source_category_not_promoted,source_marked_risk_noted,HUST-OBC source-category labels are dataset metadata for candidate lookup; do not treat them as accepted oracle-character readings or formal project character IDs without cross-source review.,reviewed_metadata_only,2026-06-04
hust-obc-src-cat-0012,src-hust-obc,dl-hust-obc-validation-label,dl-hust-obc-ocr-id-to-chinese,0012,00012,㐂,U+3402,10,obs-cand-000011,hust-obc-label-xwalk-0011,true,Validation_label.json;ID_to_Chinese.json,dataset_source_category_not_promoted,source_marked_risk_noted,HUST-OBC source-category labels are dataset metadata for candidate lookup; do not treat them as accepted oracle-character readings or formal project character IDs without cross-source review.,reviewed_metadata_only,2026-06-04
hust-obc-src-cat-0013,src-hust-obc,dl-hust-obc-validation-label,dl-hust-obc-ocr-id-to-chinese,0013,00013,㐃,U+3403,10,obs-cand-000011,hust-obc-label-xwalk-0011,true,Validation_label.json;ID_to_Chinese.json,dataset_source_category_not_promoted,source_marked_risk_noted,HUST-OBC source-category labels are dataset metadata for candidate lookup; do not treat them as accepted oracle-character readings or formal project character IDs without cross-source review.,reviewed_metadata_only,2026-06-04
hust-obc-src-cat-0014,src-hust-obc,dl-hust-obc-validation-label,dl-hust-obc-ocr-id-to-chinese,0014,00014,㐄,U+3404,11,obs-cand-000012,hust-obc-label-xwalk-0012,false,Validation_label.json;ID_to_Chinese.json,dataset_source_category_not_promoted,source_marked_risk_noted,HUST-OBC source-category labels are dataset metadata for candidate lookup; do not treat them as accepted oracle-character readings or formal project character IDs without cross-source review.,reviewed_metadata_only,2026-06-04
hust-obc-src-cat-0015,src-hust-obc,dl-hust-obc-validation-label,dl-hust-obc-ocr-id-to-chinese,0015,00015,㐅,U+3405,12,obs-cand-000013,hust-obc-label-xwalk-0013,true,Validation_label.json;ID_to_Chinese.json,dataset_source_category_not_promoted,source_marked_risk_noted,HUST-OBC source-category labels are dataset metadata for candidate lookup; do not treat them as accepted oracle-character readings or formal project character IDs without cross-source review.,reviewed_metadata_only,2026-06-04
hust-obc-src-cat-0016,src-hust-obc,dl-hust-obc-validation-label,dl-hust-obc-ocr-id-to-chinese,0016,00016,㐆,U+3406,12,obs-cand-000013,hust-obc-label-xwalk-0013,true,Validation_label.json;ID_to_Chinese.json,dataset_source_category_not_promoted,source_marked_risk_noted,HUST-OBC source-category labels are dataset metadata for candidate lookup; do not treat them as accepted oracle-character readings or formal project character IDs without cross-source review.,reviewed_metadata_only,2026-06-04
hust-obc-src-cat-0017,src-hust-obc,dl-hust-obc-validation-label,dl-hust-obc-ocr-id-to-chinese,0017,00017,㐇,U+3407,13,obs-cand-000014,hust-obc-label-xwalk-0014,false,Validation_label.json;ID_to_Chinese.json,dataset_source_category_not_promoted,source_marked_risk_noted,HUST-OBC source-category labels are dataset metadata for candidate lookup; do not treat them as accepted oracle-character readings or formal project character IDs without cross-source review.,reviewed_metadata_only,2026-06-04
