map_id,source_id,source_level,source_field_or_unit,source_meaning,target_record_type,target_project_field,import_action,rights_boundary,evidence_download_id,review_status,updated_at
field-map-000001,src-hust-obc,dataset_directory,deciphered,Directory for deciphered oracle-bone character image classes,oracle_character,decipherment_status; character_image_class,Use to seed deciphered character-class import after raw package size and rights review,Do not commit raw images; import class metadata and source-marked derived indexes first,dl-hust-obc-github-readme,reviewed_metadata_only,2026-06-04
field-map-000002,src-hust-obc,dataset_directory,undeciphered,Directory for undeciphered oracle-bone character image classes,oracle_character,decipherment_status; undeciphered_source_class,Use to seed undeciphered character-class import after raw package size and rights review,Do not treat dataset class IDs as philological conclusions,dl-hust-obc-github-readme,reviewed_metadata_only,2026-06-04
field-map-000003,src-hust-obc,mapping_file,chinese_to_ID.json,Mapping from modern Chinese character to dataset category ID,oracle_character,modern_character; external_ref_id,Use as auxiliary mapping only after cross-checking against stronger character dictionaries,Modern character mapping is not a final oracle-bone decipherment authority,dl-hust-obc-github-readme,reviewed_metadata_only,2026-06-04
field-map-000004,src-hust-obc,mapping_file,ID_to_chinese.json,Mapping from dataset category ID to modern Chinese character,oracle_character,primary_external_ref_id; modern_character,Use as auxiliary mapping for candidate character records,Modern character mapping is not a final oracle-bone decipherment authority,dl-hust-obc-github-readme,reviewed_metadata_only,2026-06-04
field-map-000005,src-hust-obc,filename_source_prefix,X; L; G; Y; H,Dataset source prefixes for character-image provenance,asset_metadata,source_catalog_refs; source_risk_note,Map X/L/Y/H to professional sources where possible and keep G as source_under_review,GuoXueDaShi-derived material must not become primary authority,dl-hust-obc-github-readme,reviewed_metadata_only,2026-06-04
field-map-000006,src-obimd,image_level,Facsimile,Path to facsimile image,asset_metadata,asset_type; local_or_external_path,Register facsimile image paths as asset references before raw image import,Raw image files stay in large-source workflow,dl-obimd-hf-readme,reviewed_metadata_only,2026-06-04
field-map-000007,src-obimd,image_level,Rubbing,Path to rubbing image,asset_metadata,asset_type; local_or_external_path,Register rubbing image paths as asset references before raw image import,Raw image files stay in large-source workflow,dl-obimd-hf-readme,reviewed_metadata_only,2026-06-04
field-map-000008,src-obimd,image_level,RubbingName,Short rubbing identifier,oracle_inscription,primary_external_ref_id,Use as a candidate inscription or image-set reference pending source crosswalk,Identifier semantics require source review before becoming canonical,dl-obimd-hf-readme,reviewed_metadata_only,2026-06-04
field-map-000009,src-obimd,sentence_level,GroupCategory,Sentence or group type within an inscription,oracle_inscription,group_category; inscription_context_group,Import as sentence/group metadata for context reconstruction,Dataset grouping is useful but still needs philological review,dl-obimd-hf-readme,reviewed_metadata_only,2026-06-04
field-map-000010,src-obimd,character_level,Position,Bounding box x y width height for an annotated character,asset_metadata,bounding_box_xywh,Import as character occurrence geometry linked to rubbing/facsimile image reference,Geometry depends on source image and should not be detached from provenance,dl-obimd-hf-readme,reviewed_metadata_only,2026-06-04
