source_id,priority,source_category,authority_basis,expected_project_use,first_stage_action,excluded_or_caution_reason
src-xiaoxuetang-jiaguwen,1,character_database,Academia Sinica database maintained by Digital Culture Center with IHP/IIS development history,Primary external ID source for oracle character heads and glyph form references,Use for source prefix and future 1500+ character-head import; record access notes now,
src-xiaoxuetang-obm,1,inscription_provenance_database,Academia Sinica source table based on published Heji material source table,Primary Heji material source and plate-reference provenance,Use for inscription source mapping and Heji prefix semantics,
src-ihp-oracle-rubbings,1,image_and_rubbing_database,Fu Ssu Nien Library / IHP digital archive,Authoritative rubbing and collection-number provenance,Record as image provenance source; no bulk image download yet,
src-ihp-museum-oracle-bones,1,museum_collection,IHP museum collection page,Selected artifact provenance and museum labels,Record selected artifact source system; no bulk image download yet,
src-yinqi-wenyuan,1,integrated_research_platform,Key Laboratory at Anyang Normal University plus CASS Oracle Studies Center,Large professional discovery platform for glyph/catalog/literature links,Adopt as a professional source with rights caution; download metadata pages and cross-check against institutional/catalog sources,Site disclaimer says material includes CNKI/authors/net collection and rights may be mixed.
src-obid-ancientbooks,1,professional_database,Edited by Chen Nianfu with Zhejiang Normal University attribution on Jihewang platform,Professional inscription browsing/search and oracle dictionary discovery source,Adopt as discovery/cross-reference source with rights caution; no bulk asset copy,Commercial platform; access terms and redistribution rights need object-level review.
src-tsinghua-oracle-bones,1,library_collection,Tsinghua University Library official collection page,Institutional collection-level provenance and UNESCO Memory context,Record collection-level source and use as provenance reference,Overview page only; not a complete searchable corpus endpoint.
src-cambridge-hopkins,1,library_finding_list,Cambridge University Library official finding list,"Collection crosswalk between CUL numbers, Chalfant, Heji and Yingguo suo cang jiagu ji",Download and preserve metadata page; use for external reference mapping,Digitized images and 3D records require separate rights review.
src-british-museum-oracle-bone,2,museum_object_record,British Museum official collection record,Museum object ID and provenance pattern sample,Download object page metadata only,Single-object record; not corpus-scale.
src-smithsonian-nmaa-oracle-bone,2,museum_object_record,Smithsonian National Museum of Asian Art official object/archive records,"CC0 sample object source with accession number, provenance fields and IIIF access",Use as public-domain sample source for later asset workflow tests; prefer script-downloadable official archive pages for checksum evidence,"Object details may be revised; current si.edu pages may require browser verification, so keep source timestamp and archive/current URL distinction."
src-penn-museum-oracle-bone,2,museum_object_record,Penn Museum official online collection record,"University museum object source with object number, Anyang provenience, Shang Dynasty period, material, dimensions, current location, and credit line",Use as object-level provenance and collection metadata source; download page metadata only,Image reuse and any inscription interpretation require object-level review and cross-checking against scholarly sources.
src-hust-obc,2,peer_reviewed_ai_dataset,Scientific Data open-access data descriptor and named research team,Large candidate source for 1588 deciphered and 9411 undeciphered character image classes,Register as large source package and inspect metadata/download links before any bulk download,Compiled from mixed books/websites/databases; use as AI dataset not primary paleographic authority.
src-obimd,2,peer_reviewed_multimodal_dataset,Scientific Data open-access data descriptor plus Hugging Face dataset card,"Large candidate source for inscription-level images, character boxes, sentence groupings and reading order",Register as large source package and download metadata card/code README,Raw multimodal images are large; use as structured AI dataset and cross-check philological labels.
src-open-oracle,3,research_project_repository,Named research group GitHub hub,Reviewed index to current AI datasets and task-framing methods,Use as project-index strategy reference; register linked datasets/papers separately before import,Not a primary paleographic authority; linked datasets and papers need separate source/rights review.
src-evobc,3,evolution_dataset,Open-Oracle/arXiv research dataset description,Large candidate source for oracle-to-later-script evolution-chain experiments,Register metadata and source-chain cautions before raw import,Preprint/dataset source chains and image rights need separate review.
src-oracle-mnist,3,peer_reviewed_ai_benchmark,Published dataset with GitHub/Figshare/Science Data Bank access,Benchmark recognition experiments only,Download README metadata only,Only 10 classes and not suitable for corpus-scale decipherment.
src-gbedobc,3,peer_reviewed_evolution_dataset,npj Heritage Science paper and GitHub repository,Candidate for evolution-chain graph experiments,Download README metadata only,Review graph representation before import.
src-nlc-oracle-world,2,national_library_database,National Library of China official PDFs and Chinese Ancient Books Resource Platform notes,"Official national-library source for NLC oracle-bone holdings, Oracle World database scale, and database field design",Adopt official NLC PDFs as scope and field evidence; keep full record import pending stable current endpoint discovery,Search results often point to third-party library summaries; avoid mirrored summaries and do not bulk import images until NLC access and rights rules are reviewed.
