profile_id,source_id,evidence_download_id,official_url,profile_area,official_field_or_statement,normalized_project_value,project_use,access_or_rights_boundary,review_status,updated_at
source-access-000001,src-xiaoxuetang-jiaguwen,dl-xxt-jgw-home,https://xiaoxue.iis.sinica.edu.tw/jiaguwen,simple_search_fields,字號;字形;頁碼;合集號;舊著錄;類組,zihao;glyph_form;jiaguwen_bian_page;heji_number;old_catalog_ref;class_group,Use as the first-stage character-head lookup and external reference contract,Metadata first; glyph images and automated bulk access require rights and access review,reviewed_metadata_only,2026-06-04
source-access-000002,src-xiaoxuetang-jiaguwen,dl-xxt-jgw-home,https://xiaoxue.iis.sinica.edu.tw/jiaguwen,official_scale,甲骨文字頭2548個;字形24701個,character_heads=2548;glyph_forms=24701,Use as current public scale target for staged Xiaoxuetang import planning,Do not claim local corpus imported these records until derived indexes exist,reviewed_metadata_only,2026-06-04
source-access-000003,src-xiaoxuetang-jiaguwen,dl-xxt-jgw-about,https://xiaoxue.iis.sinica.edu.tw/jiaguwen/About/About,source_basis,小學堂甲骨文資料庫收錄的字形則以《甲骨文編》為主,jiaguwen_bian_primary_basis,Use Xiaoxuetang as character-head backbone while keeping project IDs independent,Source basis is database-level metadata and not per-record proof,reviewed_metadata_only,2026-06-04
source-access-000004,src-xiaoxuetang-jiaguwen,dl-xxt-jgw-about,https://xiaoxue.iis.sinica.edu.tw/jiaguwen/About/About,advanced_query_fields,《甲骨文編》卷數;甲骨文部件;合集號;舊著錄;類組;楷書部首;筆畫;部件;讀音,jiaguwen_bian_volume;oracle_component;heji_number;old_catalog_ref;class_group;modern_radical;stroke_count;modern_component;reading,Use to plan component and occurrence crosswalk import after character-head index,Advanced fields may require browser/manual workflow if scripted access is restricted,reviewed_metadata_only,2026-06-04
source-access-000005,src-xiaoxuetang-jiaguwen,dl-xxt-jgw-home,https://xiaoxue.iis.sinica.edu.tw/jiaguwen,logged_download_boundary,source downloader stored an access-restricted HTML page,downloaded_access_restricted_page,Keep raw page under tmp and record checksums; use visible official pages for reviewed metadata,Do not infer unavailable record payloads from access-restricted downloader output,reviewed_metadata_only,2026-06-04
source-access-000006,src-xiaoxuetang-obm,dl-xxt-obm-example,https://xiaoxue.iis.sinica.edu.tw/obm/Home/Example,source_table_basis,1999年中國社會科學出版社出版、胡厚宣先生主編之《甲骨文合集材料來源表》（上、下編）,obm_1999_printed_source_table_basis,Use OBM as Heji material-source backbone for inscription and provenance import,Printed source basis does not grant rights to copy large source tables blindly,reviewed_metadata_only,2026-06-04
source-access-000007,src-xiaoxuetang-obm,dl-xxt-obm-example,https://xiaoxue.iis.sinica.edu.tw/obm/Home/Example,source_table_fields,合集號;著拓號;選定號;重見號;拼合號;原骨拓藏;備注,heji_number;zhetuo_ref;selected_ref;duplicate_ref;join_ref;holding_ref;note,Use as target schema contract for OBM-derived Heji provenance staging,Each row still needs source-marked import and review before formal inscription records,reviewed_metadata_only,2026-06-04
source-access-000008,src-xiaoxuetang-obm,dl-xxt-obm-example,https://xiaoxue.iis.sinica.edu.tw/obm/Home/Example,heji_range,1至41956號之甲骨圖版材料來源狀況,heji_range=1-41956,Use as first-stage OBM import range and completeness target,Heji number is plate/material-source identity and not a universal character ID,reviewed_metadata_only,2026-06-04
source-access-000009,src-xiaoxuetang-obm,dl-xxt-obm-example,https://xiaoxue.iis.sinica.edu.tw/obm,simple_search_fields,合集號;舊著錄;原骨拓藏;備注,heji_number;old_catalog_ref;holding_ref;note,Use as OBM query field contract for manual or browser-assisted import,Local downloader may be access-restricted; keep evidence and import only reviewed metadata,reviewed_metadata_only,2026-06-04
source-access-000010,src-xiaoxuetang-obm,dl-xxt-obm-example,https://xiaoxue.iis.sinica.edu.tw/obm,old_catalog_abbrev_count,甲骨著錄書簡稱共收錄有90本,old_catalog_book_abbrev_count=90,Use to plan old-catalog abbreviation expansion table,Abbreviation expansion must be source-cited and checked before public display,reviewed_metadata_only,2026-06-04
source-access-000011,src-xiaoxuetang-obm,dl-xxt-obm-example,https://xiaoxue.iis.sinica.edu.tw/obm,holding_abbrev_count,原骨拓藏單位簡稱一共有211個現藏單位,holding_abbrev_count=211,Use to plan holding/source abbreviation expansion and collection provenance crosswalk,Institution labels need institution-level verification before object-level claims,reviewed_metadata_only,2026-06-04
source-access-000012,src-xiaoxuetang-obm,dl-xxt-obm-example,https://xiaoxue.iis.sinica.edu.tw/obm/Home/Example,logged_download_boundary,source downloader stored an access-restricted HTML page,downloaded_access_restricted_page,Keep raw page under tmp and record checksums; use visible official pages for reviewed metadata,Do not infer unavailable table rows from access-restricted downloader output,reviewed_metadata_only,2026-06-04
source-access-000013,src-ihp-oracle-rubbings,dl-ihp-rubbings-overview,https://dap.ihp.sinica.edu.tw/en/database/3/,official_scale,over 40000 oracle bone rubbings; 21556 digitized records searchable,rubbings_over_40000;digitized_searchable_records=21556,Use as image/provenance source scale and candidate import target,Raw image reuse must follow IHP site policy and database access rules,reviewed_metadata_only,2026-06-04
source-access-000014,src-ihp-oracle-rubbings,dl-ihp-rubbings-overview,https://dap.ihp.sinica.edu.tw/en/database/3/,cross_reference_contract,linked through the collection number,collection_number_cross_reference,Use collection number as join key between rubbings artifacts and images,Do not detach images or artifact claims from collection-number provenance,reviewed_metadata_only,2026-06-04
source-access-000015,src-ihp-oracle-rubbings,dl-ihp-rubbings-overview,https://dap.ihp.sinica.edu.tw/en/database/3/,rights_boundary,引用或轉載本網站任何資料，務請遵守本站版權聲明及規範,site_policy_required,Record policy boundary before any image or full-record import,Metadata-only staging until item-level rights and access rules are reviewed,reviewed_metadata_only,2026-06-04
source-access-000016,src-xiaoxuetang-obm,dl-xxt-obm-appendix01,https://xiaoxue.iis.sinica.edu.tw/obm/Home/Appendix01,appendix_staging_boundary,甲骨著錄書簡稱 browser-visible appendix; scripted request returned access-restricted page,old_catalog_book_abbrev_rows_staged=90,Use the staged abbreviation rows to expand OBM old catalog references before inscription-source import,Keep as metadata-only abbreviation crosswalk until source terms and row-level reuse risk are reviewed,reviewed_metadata_only,2026-06-04
source-access-000017,src-xiaoxuetang-obm,dl-xxt-obm-appendix02,https://xiaoxue.iis.sinica.edu.tw/obm/Home/Appendix02,appendix_staging_boundary,拓本和現藏簡稱 browser-visible appendix; scripted request returned access-restricted page,holding_abbrev_rows_staged=211,Use the staged abbreviation rows to expand OBM rubbing and holding references before collection-provenance import,Keep as metadata-only abbreviation crosswalk; institution labels still require object-level verification,reviewed_metadata_only,2026-06-04
