bucket_manifest_row_id,promotion_queue_id,suggested_oracle_character_id,suggested_bucket_directory,suggested_character_directory,candidate_class_id,source_id,primary_external_ref_id,source_category_id,source_category_id_padded,validation_class_id,candidate_label_crosswalk_id,source_modern_label_candidate,source_modern_label_codepoints,label_component_count,has_multi_component_label,source_category_member_count,source_category_row_ids,suggested_decipherment_status,assignment_status,promotion_status,required_next_review,rights_status,caution,review_status,updated_at
hust-obc-bucket-005-row-001,hust-obc-obs-char-promo-000401,obs-char-000401,005_000401-000500_obs-char-bucket_oracle-characters,401_obs-char-000401_hust-obc-cat-0454_oracle-character,obs-cand-000401,src-hust-obc,hust-obc-cat-0454,0454,00454,400,hust-obc-label-xwalk-0401,㖼,U+35BC,1,false,1,hust-obc-src-cat-0454,unknown_until_cross_source_review,reserved_candidate_not_assigned,needs_cross_source_review,compare_xiaoxuetang_obm_obimd_evobc_and_primary_inscription_context,source_marked_risk_noted,"This row is a promotion-review queue item only. The suggested obs-char ID is not assigned until cross-source review confirms provenance, form identity, and decipherment status. HUST-OBC labels must not be treated as accepted readings.",needs_review,2026-06-04
hust-obc-bucket-005-row-002,hust-obc-obs-char-promo-000402,obs-char-000402,005_000401-000500_obs-char-bucket_oracle-characters,402_obs-char-000402_hust-obc-cat-0455_0456_oracle-character,obs-cand-000402,src-hust-obc,hust-obc-cat-0455_0456,0455_0456,00455;00456,401,hust-obc-label-xwalk-0402,㖽㖾,U+35BD;U+35BE,2,true,2,hust-obc-src-cat-0455;hust-obc-src-cat-0456,unknown_until_cross_source_review,reserved_candidate_not_assigned,needs_cross_source_review,compare_xiaoxuetang_obm_obimd_evobc_and_primary_inscription_context,source_marked_risk_noted,"This row is a promotion-review queue item only. The suggested obs-char ID is not assigned until cross-source review confirms provenance, form identity, and decipherment status. HUST-OBC labels must not be treated as accepted readings.",needs_review,2026-06-04
hust-obc-bucket-005-row-003,hust-obc-obs-char-promo-000403,obs-char-000403,005_000401-000500_obs-char-bucket_oracle-characters,403_obs-char-000403_hust-obc-cat-0457_oracle-character,obs-cand-000403,src-hust-obc,hust-obc-cat-0457,0457,00457,402,hust-obc-label-xwalk-0403,㖿,U+35BF,1,false,1,hust-obc-src-cat-0457,unknown_until_cross_source_review,reserved_candidate_not_assigned,needs_cross_source_review,compare_xiaoxuetang_obm_obimd_evobc_and_primary_inscription_context,source_marked_risk_noted,"This row is a promotion-review queue item only. The suggested obs-char ID is not assigned until cross-source review confirms provenance, form identity, and decipherment status. HUST-OBC labels must not be treated as accepted readings.",needs_review,2026-06-04
hust-obc-bucket-005-row-004,hust-obc-obs-char-promo-000404,obs-char-000404,005_000401-000500_obs-char-bucket_oracle-characters,404_obs-char-000404_hust-obc-cat-0458_0459_oracle-character,obs-cand-000404,src-hust-obc,hust-obc-cat-0458_0459,0458_0459,00458;00459,403,hust-obc-label-xwalk-0404,㗀㗁,U+35C0;U+35C1,2,true,2,hust-obc-src-cat-0458;hust-obc-src-cat-0459,unknown_until_cross_source_review,reserved_candidate_not_assigned,needs_cross_source_review,compare_xiaoxuetang_obm_obimd_evobc_and_primary_inscription_context,source_marked_risk_noted,"This row is a promotion-review queue item only. The suggested obs-char ID is not assigned until cross-source review confirms provenance, form identity, and decipherment status. HUST-OBC labels must not be treated as accepted readings.",needs_review,2026-06-04
hust-obc-bucket-005-row-005,hust-obc-obs-char-promo-000405,obs-char-000405,005_000401-000500_obs-char-bucket_oracle-characters,405_obs-char-000405_hust-obc-cat-0460_oracle-character,obs-cand-000405,src-hust-obc,hust-obc-cat-0460,0460,00460,404,hust-obc-label-xwalk-0405,㗂,U+35C2,1,false,1,hust-obc-src-cat-0460,unknown_until_cross_source_review,reserved_candidate_not_assigned,needs_cross_source_review,compare_xiaoxuetang_obm_obimd_evobc_and_primary_inscription_context,source_marked_risk_noted,"This row is a promotion-review queue item only. The suggested obs-char ID is not assigned until cross-source review confirms provenance, form identity, and decipherment status. HUST-OBC labels must not be treated as accepted readings.",needs_review,2026-06-04
hust-obc-bucket-005-row-006,hust-obc-obs-char-promo-000406,obs-char-000406,005_000401-000500_obs-char-bucket_oracle-characters,406_obs-char-000406_hust-obc-cat-0461_0462_oracle-character,obs-cand-000406,src-hust-obc,hust-obc-cat-0461_0462,0461_0462,00461;00462,405,hust-obc-label-xwalk-0406,㗃㗄,U+35C3;U+35C4,2,true,2,hust-obc-src-cat-0461;hust-obc-src-cat-0462,unknown_until_cross_source_review,reserved_candidate_not_assigned,needs_cross_source_review,compare_xiaoxuetang_obm_obimd_evobc_and_primary_inscription_context,source_marked_risk_noted,"This row is a promotion-review queue item only. The suggested obs-char ID is not assigned until cross-source review confirms provenance, form identity, and decipherment status. HUST-OBC labels must not be treated as accepted readings.",needs_review,2026-06-04
hust-obc-bucket-005-row-007,hust-obc-obs-char-promo-000407,obs-char-000407,005_000401-000500_obs-char-bucket_oracle-characters,407_obs-char-000407_hust-obc-cat-0463_oracle-character,obs-cand-000407,src-hust-obc,hust-obc-cat-0463,0463,00463,406,hust-obc-label-xwalk-0407,㗅,U+35C5,1,false,1,hust-obc-src-cat-0463,unknown_until_cross_source_review,reserved_candidate_not_assigned,needs_cross_source_review,compare_xiaoxuetang_obm_obimd_evobc_and_primary_inscription_context,source_marked_risk_noted,"This row is a promotion-review queue item only. The suggested obs-char ID is not assigned until cross-source review confirms provenance, form identity, and decipherment status. HUST-OBC labels must not be treated as accepted readings.",needs_review,2026-06-04
hust-obc-bucket-005-row-008,hust-obc-obs-char-promo-000408,obs-char-000408,005_000401-000500_obs-char-bucket_oracle-characters,408_obs-char-000408_hust-obc-cat-0464_oracle-character,obs-cand-000408,src-hust-obc,hust-obc-cat-0464,0464,00464,407,hust-obc-label-xwalk-0408,㗆,U+35C6,1,false,1,hust-obc-src-cat-0464,unknown_until_cross_source_review,reserved_candidate_not_assigned,needs_cross_source_review,compare_xiaoxuetang_obm_obimd_evobc_and_primary_inscription_context,source_marked_risk_noted,"This row is a promotion-review queue item only. The suggested obs-char ID is not assigned until cross-source review confirms provenance, form identity, and decipherment status. HUST-OBC labels must not be treated as accepted readings.",needs_review,2026-06-04
hust-obc-bucket-005-row-009,hust-obc-obs-char-promo-000409,obs-char-000409,005_000401-000500_obs-char-bucket_oracle-characters,409_obs-char-000409_hust-obc-cat-0465_oracle-character,obs-cand-000409,src-hust-obc,hust-obc-cat-0465,0465,00465,408,hust-obc-label-xwalk-0409,㗇,U+35C7,1,false,1,hust-obc-src-cat-0465,unknown_until_cross_source_review,reserved_candidate_not_assigned,needs_cross_source_review,compare_xiaoxuetang_obm_obimd_evobc_and_primary_inscription_context,source_marked_risk_noted,"This row is a promotion-review queue item only. The suggested obs-char ID is not assigned until cross-source review confirms provenance, form identity, and decipherment status. HUST-OBC labels must not be treated as accepted readings.",needs_review,2026-06-04
hust-obc-bucket-005-row-010,hust-obc-obs-char-promo-000410,obs-char-000410,005_000401-000500_obs-char-bucket_oracle-characters,410_obs-char-000410_hust-obc-cat-0466_oracle-character,obs-cand-000410,src-hust-obc,hust-obc-cat-0466,0466,00466,409,hust-obc-label-xwalk-0410,㗈,U+35C8,1,false,1,hust-obc-src-cat-0466,unknown_until_cross_source_review,reserved_candidate_not_assigned,needs_cross_source_review,compare_xiaoxuetang_obm_obimd_evobc_and_primary_inscription_context,source_marked_risk_noted,"This row is a promotion-review queue item only. The suggested obs-char ID is not assigned until cross-source review confirms provenance, form identity, and decipherment status. HUST-OBC labels must not be treated as accepted readings.",needs_review,2026-06-04
