project_id,record_type,candidate_directory,packet_path,source_index_path,code_index_path,image_reference_route_index_path,image_reference_route_gallery_path,human_review_sheet_path,human_evolution_dossier_path,evolution_dossier_index_path,source_character_label,source_character_codepoints,image_reference_count,review_status,updated_at
obs-evo-cand-006201,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6201_obs-evo-cand-006201_evobc-cat-06201_evolution-candidate,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6201_obs-evo-cand-006201_evobc-cat-06201_evolution-candidate/01_candidate-evolution-packet.json,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6201_obs-evo-cand-006201_evobc-cat-06201_evolution-candidate/02_evolution-source-index.csv,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6201_obs-evo-cand-006201_evobc-cat-06201_evolution-candidate/03_era-source-code-index.csv,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6201_obs-evo-cand-006201_evobc-cat-06201_evolution-candidate/05_image-reference-route-index.csv,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6201_obs-evo-cand-006201_evobc-cat-06201_evolution-candidate/06_image-reference-route-gallery.md,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6201_obs-evo-cand-006201_evobc-cat-06201_evolution-candidate/04_human-review-sheet.md,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6201_obs-evo-cand-006201_evobc-cat-06201_evolution-candidate/07_human-evolution-dossier.md,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6201_obs-evo-cand-006201_evobc-cat-06201_evolution-candidate/08_evolution-dossier-index.json,竞,U+7ADE,5,needs_human_evolution_review,2026-06-20
obs-evo-cand-006202,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6202_obs-evo-cand-006202_evobc-cat-06202_evolution-candidate,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6202_obs-evo-cand-006202_evobc-cat-06202_evolution-candidate/01_candidate-evolution-packet.json,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6202_obs-evo-cand-006202_evobc-cat-06202_evolution-candidate/02_evolution-source-index.csv,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6202_obs-evo-cand-006202_evobc-cat-06202_evolution-candidate/03_era-source-code-index.csv,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6202_obs-evo-cand-006202_evobc-cat-06202_evolution-candidate/05_image-reference-route-index.csv,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6202_obs-evo-cand-006202_evobc-cat-06202_evolution-candidate/06_image-reference-route-gallery.md,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6202_obs-evo-cand-006202_evobc-cat-06202_evolution-candidate/04_human-review-sheet.md,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6202_obs-evo-cand-006202_evobc-cat-06202_evolution-candidate/07_human-evolution-dossier.md,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6202_obs-evo-cand-006202_evobc-cat-06202_evolution-candidate/08_evolution-dossier-index.json,竟,U+7ADF,41,needs_human_evolution_review,2026-06-20
obs-evo-cand-006203,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6203_obs-evo-cand-006203_evobc-cat-06203_evolution-candidate,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6203_obs-evo-cand-006203_evobc-cat-06203_evolution-candidate/01_candidate-evolution-packet.json,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6203_obs-evo-cand-006203_evobc-cat-06203_evolution-candidate/02_evolution-source-index.csv,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6203_obs-evo-cand-006203_evobc-cat-06203_evolution-candidate/03_era-source-code-index.csv,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6203_obs-evo-cand-006203_evobc-cat-06203_evolution-candidate/05_image-reference-route-index.csv,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6203_obs-evo-cand-006203_evobc-cat-06203_evolution-candidate/06_image-reference-route-gallery.md,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6203_obs-evo-cand-006203_evobc-cat-06203_evolution-candidate/04_human-review-sheet.md,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6203_obs-evo-cand-006203_evobc-cat-06203_evolution-candidate/07_human-evolution-dossier.md,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6203_obs-evo-cand-006203_evobc-cat-06203_evolution-candidate/08_evolution-dossier-index.json,章,U+7AE0,102,needs_human_evolution_review,2026-06-20
obs-evo-cand-006204,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6204_obs-evo-cand-006204_evobc-cat-06204_evolution-candidate,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6204_obs-evo-cand-006204_evobc-cat-06204_evolution-candidate/01_candidate-evolution-packet.json,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6204_obs-evo-cand-006204_evobc-cat-06204_evolution-candidate/02_evolution-source-index.csv,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6204_obs-evo-cand-006204_evobc-cat-06204_evolution-candidate/03_era-source-code-index.csv,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6204_obs-evo-cand-006204_evobc-cat-06204_evolution-candidate/05_image-reference-route-index.csv,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6204_obs-evo-cand-006204_evobc-cat-06204_evolution-candidate/06_image-reference-route-gallery.md,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6204_obs-evo-cand-006204_evobc-cat-06204_evolution-candidate/04_human-review-sheet.md,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6204_obs-evo-cand-006204_evobc-cat-06204_evolution-candidate/07_human-evolution-dossier.md,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6204_obs-evo-cand-006204_evobc-cat-06204_evolution-candidate/08_evolution-dossier-index.json,竢,U+7AE2,5,needs_human_evolution_review,2026-06-20
obs-evo-cand-006205,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6205_obs-evo-cand-006205_evobc-cat-06205_evolution-candidate,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6205_obs-evo-cand-006205_evobc-cat-06205_evolution-candidate/01_candidate-evolution-packet.json,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6205_obs-evo-cand-006205_evobc-cat-06205_evolution-candidate/02_evolution-source-index.csv,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6205_obs-evo-cand-006205_evobc-cat-06205_evolution-candidate/03_era-source-code-index.csv,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6205_obs-evo-cand-006205_evobc-cat-06205_evolution-candidate/05_image-reference-route-index.csv,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6205_obs-evo-cand-006205_evobc-cat-06205_evolution-candidate/06_image-reference-route-gallery.md,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6205_obs-evo-cand-006205_evobc-cat-06205_evolution-candidate/04_human-review-sheet.md,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6205_obs-evo-cand-006205_evobc-cat-06205_evolution-candidate/07_human-evolution-dossier.md,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6205_obs-evo-cand-006205_evobc-cat-06205_evolution-candidate/08_evolution-dossier-index.json,竣,U+7AE3,6,needs_human_evolution_review,2026-06-20
obs-evo-cand-006206,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6206_obs-evo-cand-006206_evobc-cat-06206_evolution-candidate,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6206_obs-evo-cand-006206_evobc-cat-06206_evolution-candidate/01_candidate-evolution-packet.json,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6206_obs-evo-cand-006206_evobc-cat-06206_evolution-candidate/02_evolution-source-index.csv,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6206_obs-evo-cand-006206_evobc-cat-06206_evolution-candidate/03_era-source-code-index.csv,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6206_obs-evo-cand-006206_evobc-cat-06206_evolution-candidate/05_image-reference-route-index.csv,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6206_obs-evo-cand-006206_evobc-cat-06206_evolution-candidate/06_image-reference-route-gallery.md,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6206_obs-evo-cand-006206_evobc-cat-06206_evolution-candidate/04_human-review-sheet.md,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6206_obs-evo-cand-006206_evobc-cat-06206_evolution-candidate/07_human-evolution-dossier.md,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6206_obs-evo-cand-006206_evobc-cat-06206_evolution-candidate/08_evolution-dossier-index.json,童,U+7AE5,127,needs_human_evolution_review,2026-06-20
obs-evo-cand-006207,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6207_obs-evo-cand-006207_evobc-cat-06207_evolution-candidate,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6207_obs-evo-cand-006207_evobc-cat-06207_evolution-candidate/01_candidate-evolution-packet.json,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6207_obs-evo-cand-006207_evobc-cat-06207_evolution-candidate/02_evolution-source-index.csv,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6207_obs-evo-cand-006207_evobc-cat-06207_evolution-candidate/03_era-source-code-index.csv,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6207_obs-evo-cand-006207_evobc-cat-06207_evolution-candidate/05_image-reference-route-index.csv,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6207_obs-evo-cand-006207_evobc-cat-06207_evolution-candidate/06_image-reference-route-gallery.md,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6207_obs-evo-cand-006207_evobc-cat-06207_evolution-candidate/04_human-review-sheet.md,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6207_obs-evo-cand-006207_evobc-cat-06207_evolution-candidate/07_human-evolution-dossier.md,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6207_obs-evo-cand-006207_evobc-cat-06207_evolution-candidate/08_evolution-dossier-index.json,竦,U+7AE6,2,needs_human_evolution_review,2026-06-20
obs-evo-cand-006208,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6208_obs-evo-cand-006208_evobc-cat-06208_evolution-candidate,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6208_obs-evo-cand-006208_evobc-cat-06208_evolution-candidate/01_candidate-evolution-packet.json,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6208_obs-evo-cand-006208_evobc-cat-06208_evolution-candidate/02_evolution-source-index.csv,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6208_obs-evo-cand-006208_evobc-cat-06208_evolution-candidate/03_era-source-code-index.csv,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6208_obs-evo-cand-006208_evobc-cat-06208_evolution-candidate/05_image-reference-route-index.csv,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6208_obs-evo-cand-006208_evobc-cat-06208_evolution-candidate/06_image-reference-route-gallery.md,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6208_obs-evo-cand-006208_evobc-cat-06208_evolution-candidate/04_human-review-sheet.md,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6208_obs-evo-cand-006208_evobc-cat-06208_evolution-candidate/07_human-evolution-dossier.md,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6208_obs-evo-cand-006208_evobc-cat-06208_evolution-candidate/08_evolution-dossier-index.json,竩,U+7AE9,1,needs_human_evolution_review,2026-06-20
obs-evo-cand-006209,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6209_obs-evo-cand-006209_evobc-cat-06209_evolution-candidate,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6209_obs-evo-cand-006209_evobc-cat-06209_evolution-candidate/01_candidate-evolution-packet.json,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6209_obs-evo-cand-006209_evobc-cat-06209_evolution-candidate/02_evolution-source-index.csv,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6209_obs-evo-cand-006209_evobc-cat-06209_evolution-candidate/03_era-source-code-index.csv,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6209_obs-evo-cand-006209_evobc-cat-06209_evolution-candidate/05_image-reference-route-index.csv,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6209_obs-evo-cand-006209_evobc-cat-06209_evolution-candidate/06_image-reference-route-gallery.md,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6209_obs-evo-cand-006209_evobc-cat-06209_evolution-candidate/04_human-review-sheet.md,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6209_obs-evo-cand-006209_evobc-cat-06209_evolution-candidate/07_human-evolution-dossier.md,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6209_obs-evo-cand-006209_evobc-cat-06209_evolution-candidate/08_evolution-dossier-index.json,竪,U+7AEA,7,needs_human_evolution_review,2026-06-20
obs-evo-cand-006210,evolution_correspondence_candidate,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6210_obs-evo-cand-006210_evobc-cat-06210_evolution-candidate,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6210_obs-evo-cand-006210_evobc-cat-06210_evolution-candidate/01_candidate-evolution-packet.json,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6210_obs-evo-cand-006210_evobc-cat-06210_evolution-candidate/02_evolution-source-index.csv,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6210_obs-evo-cand-006210_evobc-cat-06210_evolution-candidate/03_era-source-code-index.csv,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6210_obs-evo-cand-006210_evobc-cat-06210_evolution-candidate/05_image-reference-route-index.csv,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6210_obs-evo-cand-006210_evobc-cat-06210_evolution-candidate/06_image-reference-route-gallery.md,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6210_obs-evo-cand-006210_evobc-cat-06210_evolution-candidate/04_human-review-sheet.md,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6210_obs-evo-cand-006210_evobc-cat-06210_evolution-candidate/07_human-evolution-dossier.md,corpus/004_bronze-seal-modern-correspondences/063_006201-006300_obs-evo-cand-bucket_evolution-candidates/6210_obs-evo-cand-006210_evobc-cat-06210_evolution-candidate/08_evolution-dossier-index.json,竫,U+7AEB,1,needs_human_evolution_review,2026-06-20
