evidence_snapshot_id,source_engineering_gap_id,review_log_draft_id,source_id,gap_type,priority_rank,current_stage,source_title,provider,source_url,authority_tier,rights_status,risk_note,source_review_status,download_manifest_ids,download_manifest_artifact_kinds,download_manifest_commit_policies,download_log_ids,download_log_status_counts,download_log_http_status_counts,download_log_file_size_bytes_total,download_log_checksum_present_count,download_log_risk_notes,field_map_ids,field_map_target_record_types,field_map_review_status_counts,package_file_ids,package_file_kinds,package_file_commit_policies,metadata_profile_ids,metadata_profile_metrics,metadata_profile_review_status_counts,pipeline_observed_counts,coverage_observed_counts,route_files_to_open,route_file_missing_count,draft_path,required_next_checks,evidence_status,rights_decision_status,source_promotion_status,corpus_import_status,research_boundary,caution,updated_at
source-engineering-gap-evidence-snapshot-0001,source-engineering-gap-0001,source-engineering-gap-review-log-draft-0001,src-british-museum-oracle-bone,access_boundary_or_error_followup,1,discovered_access_boundary_or_error,British Museum oracle-bone object record OA+.165,British Museum,https://www.britishmuseum.org/collection/object/A_OA-165,museum_collection,metadata_only_until_verified,Official museum collection record; image/licensing policies require object-level review.,reviewed,dl-british-museum-oa-165,museum_object_page,download_to_tmp_log_checksum_only,dl-british-museum-oa-165,http_error:1,403:1,0,0,Forbidden,,,,,,,,,,download_manifest_count=1;download_log_count=1;downloaded_count=0;access_boundary_or_error_count=0;checksum_present_count=0;size_recorded_count=1;field_map_count=0;large_source_register_count=0;package_manifest_count=0;metadata_profile_count=0;asset_count=0;candidate_queue_count=0;graph_edge_count=0,download_manifest_count=1;download_log_count=1;downloaded_file_bytes=0;metadata_profile_metric_count=0;committed_asset_count=0;committed_asset_bytes=0;graph_edge_count=0;graph_edge_type_count=0;promotion_queue_candidate_count=0;coverage_status=has_download_log_only,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/007_source-coverage-summary.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,0,doc/public/user_research/009_source-engineering-gap-review-queues/0001_src-british-museum-oracle-bone_access_boundary_or_error_followup_review-log.md,open_download_log_and_status_codebook;record_retry_manual_access_or_metadata_only_boundary;do_not_promote_failed_or_restricted_download_as_source_content,metadata_only_existing_records_snapshot,no_new_rights_decision,not_promoted,not_imported,source_engineering_gap_evidence_snapshot_not_scholarship,"This row snapshots existing source-engineering metadata only. It is not a new download, not checksum recalculation, not rights clearance, not source promotion, not corpus import, not an oracle-character identity claim, and not a decipherment conclusion.",2026-06-19
source-engineering-gap-evidence-snapshot-0002,source-engineering-gap-0002,source-engineering-gap-review-log-draft-0002,src-sinica-da-xiaoxuetang-site,access_boundary_or_error_followup,1,pending_human_review,小學堂文字學資料庫 / Academia Sinica Digital Archives Xiaoxuetang Profile,Academia Sinica Digital Culture Center,https://sinica.digitalarchives.tw/site_6071.html,institutional_portal,metadata_only_until_verified,Portal description is database-level evidence and does not provide row-level character or inscription records.,reviewed,dl-sinica-da-xiaoxuetang-site,institutional_portal_page,download_to_tmp_log_checksum_only,dl-sinica-da-xiaoxuetang-site,download_error:1,,0,0,"<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'sinica.digitalarchives.tw'. (_ssl.c:1032)>",field-map-000052,source_reference,reviewed_metadata_only:1,,,,metadata-profile-000044;metadata-profile-000045;metadata-profile-000046,xiaoxuetang_glyph_total_over;xiaoxuetang_phonology_total_over;xiaoxuetang_dictionary_index_total_over,reviewed_metadata_only:3,download_manifest_count=1;download_log_count=1;downloaded_count=0;access_boundary_or_error_count=1;checksum_present_count=0;size_recorded_count=1;field_map_count=1;large_source_register_count=0;package_manifest_count=0;metadata_profile_count=3;asset_count=0;candidate_queue_count=0;graph_edge_count=0,download_manifest_count=1;download_log_count=1;downloaded_file_bytes=0;metadata_profile_metric_count=3;committed_asset_count=0;committed_asset_bytes=0;graph_edge_count=0;graph_edge_type_count=0;promotion_queue_candidate_count=0;coverage_status=has_downloaded_metadata_profile,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/007_source-coverage-summary.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,0,doc/public/user_research/009_source-engineering-gap-review-queues/0002_src-sinica-da-xiaoxuetang-site_access_boundary_or_error_followup_review-log.md,open_download_log_and_status_codebook;record_retry_manual_access_or_metadata_only_boundary;do_not_promote_failed_or_restricted_download_as_source_content,metadata_only_existing_records_snapshot,no_new_rights_decision,not_promoted,not_imported,source_engineering_gap_evidence_snapshot_not_scholarship,"This row snapshots existing source-engineering metadata only. It is not a new download, not checksum recalculation, not rights clearance, not source promotion, not corpus import, not an oracle-character identity claim, and not a decipherment conclusion.",2026-06-19
source-engineering-gap-evidence-snapshot-0003,source-engineering-gap-0003,source-engineering-gap-review-log-draft-0003,src-sinica-yinshang-oracle-vocabulary,access_boundary_or_error_followup,1,pending_human_review,殷商甲骨詞彙 / Yin-Shang Oracle-Bone Vocabulary,Academia Sinica Institute of Linguistics,https://sinica.digitalarchives.tw/collection_3334351.html,institutional_database,metadata_only_until_verified,Collection profile states scope and management; original linked database and reuse rules require separate access review.,reviewed,dl-sinica-yinshang-oracle-vocabulary,institutional_collection_profile,download_to_tmp_log_checksum_only,dl-sinica-yinshang-oracle-vocabulary,download_error:1,,0,0,"<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'sinica.digitalarchives.tw'. (_ssl.c:1032)>",field-map-000053;field-map-000054,source_reference;research_topic,reviewed_metadata_only:2,,,,metadata-profile-000047;metadata-profile-000048,yinshang_oracle_bone_piece_count;yinshang_oracle_character_count_about,reviewed_metadata_only:2,download_manifest_count=1;download_log_count=1;downloaded_count=0;access_boundary_or_error_count=1;checksum_present_count=0;size_recorded_count=1;field_map_count=2;large_source_register_count=0;package_manifest_count=0;metadata_profile_count=2;asset_count=0;candidate_queue_count=0;graph_edge_count=0,download_manifest_count=1;download_log_count=1;downloaded_file_bytes=0;metadata_profile_metric_count=2;committed_asset_count=0;committed_asset_bytes=0;graph_edge_count=0;graph_edge_type_count=0;promotion_queue_candidate_count=0;coverage_status=has_downloaded_metadata_profile,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/007_source-coverage-summary.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,0,doc/public/user_research/009_source-engineering-gap-review-queues/0003_src-sinica-yinshang-oracle-vocabulary_access_boundary_or_error_followup_review-log.md,open_download_log_and_status_codebook;record_retry_manual_access_or_metadata_only_boundary;do_not_promote_failed_or_restricted_download_as_source_content,metadata_only_existing_records_snapshot,no_new_rights_decision,not_promoted,not_imported,source_engineering_gap_evidence_snapshot_not_scholarship,"This row snapshots existing source-engineering metadata only. It is not a new download, not checksum recalculation, not rights clearance, not source promotion, not corpus import, not an oracle-character identity claim, and not a decipherment conclusion.",2026-06-19
source-engineering-gap-evidence-snapshot-0004,source-engineering-gap-0004,source-engineering-gap-review-log-draft-0004,src-smithsonian-nmaa-oracle-bone,access_boundary_or_error_followup,1,pending_human_review,Smithsonian National Museum of Asian Art oracle bone object records,Smithsonian National Museum of Asian Art,https://asia-archive.si.edu/object/FSC-O-26,national_museum_collection,public_domain_verified,"Smithsonian/NMAA archive page marks FSC-O-26 image/media as CC0, but current si.edu pages may use request verification and object details may be revised.",reviewed,dl-smithsonian-nmaa-fsc-o-28;dl-smithsonian-nmaa-fsc-o-26-archive,museum_object_page;museum_object_archive_page,download_to_tmp_log_checksum_only,dl-smithsonian-nmaa-fsc-o-28;dl-smithsonian-nmaa-fsc-o-26-archive,downloaded:1;http_error:1,200:1;403:1,115569,1,Forbidden;Stored under ignored tmp directory; commit log/checksum only.,field-map-000043;field-map-000044;field-map-000045,asset_metadata; excavation_or_collection_context;excavation_or_collection_context;asset_metadata,reviewed_metadata_only:3,pkg-file-000028,lightweight_html_page,download_to_tmp_log_checksum_only,metadata-profile-000031;metadata-profile-000032;metadata-profile-000033,accession_number;rights_status;iiif_source_image_id,reviewed_metadata_only:3,download_manifest_count=2;download_log_count=2;downloaded_count=1;access_boundary_or_error_count=0;checksum_present_count=1;size_recorded_count=2;field_map_count=3;large_source_register_count=1;package_manifest_count=1;metadata_profile_count=3;asset_count=1;candidate_queue_count=0;graph_edge_count=0,download_manifest_count=2;download_log_count=2;downloaded_file_bytes=115569;metadata_profile_metric_count=3;committed_asset_count=1;committed_asset_bytes=633418;graph_edge_count=0;graph_edge_type_count=0;promotion_queue_candidate_count=0;coverage_status=has_committed_public_asset_or_metadata,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/007_source-coverage-summary.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,0,doc/public/user_research/009_source-engineering-gap-review-queues/0004_src-smithsonian-nmaa-oracle-bone_access_boundary_or_error_followup_review-log.md,open_download_log_and_status_codebook;record_retry_manual_access_or_metadata_only_boundary;do_not_promote_failed_or_restricted_download_as_source_content,metadata_only_existing_records_snapshot,no_new_rights_decision,not_promoted,not_imported,source_engineering_gap_evidence_snapshot_not_scholarship,"This row snapshots existing source-engineering metadata only. It is not a new download, not checksum recalculation, not rights clearance, not source promotion, not corpus import, not an oracle-character identity claim, and not a decipherment conclusion.",2026-06-19
source-engineering-gap-evidence-snapshot-0005,source-engineering-gap-0005,source-engineering-gap-review-log-draft-0005,src-xiaoxuetang-jiaguwen,access_boundary_or_error_followup,1,structured,小學堂甲骨文資料庫 / Xiaoxuetang Oracle Bone Script Database,Academia Sinica,https://xiaoxue.iis.sinica.edu.tw/jiaguwen,core_institutional,metadata_only_until_verified,Official academic database; automated downloads may be restricted and raw glyph images require source and rights review.,reviewed,dl-xxt-jgw-home;dl-xxt-jgw-about;dl-xxt-jgw-kaiorder-0502;dl-xxt-jgw-kaiorder-1176,landing_page;about_page;character_detail_page,download_to_tmp_log_checksum_only,dl-xxt-jgw-home;dl-xxt-jgw-about;dl-xxt-jgw-kaiorder-0502;dl-xxt-jgw-kaiorder-1176,download_error:2;downloaded_access_restricted_page:2,200:2,73834,2,Site returned an access-restricted HTML page; treat as access evidence only.;Local route probe failed before HTML capture. Python urllib/OpenSSL returned SSL UNEXPECTED_EOF_WHILE_READING; curl schannel returned failed to receive handshake. Treat as official route-access boundary evidence only.,field-map-000024;field-map-000025;field-map-000026;field-map-000027;field-map-000028;field-map-000029,oracle_character;oracle_glyph_form;oracle_character_occurrence;source_reference,reviewed_metadata_only:6,pkg-file-000030;pkg-file-000031,access_restricted_page_capture,download_to_tmp_log_checksum_only,,,,download_manifest_count=4;download_log_count=4;downloaded_count=2;access_boundary_or_error_count=4;checksum_present_count=2;size_recorded_count=4;field_map_count=6;large_source_register_count=1;package_manifest_count=2;metadata_profile_count=0;asset_count=0;candidate_queue_count=0;graph_edge_count=0,download_manifest_count=4;download_log_count=4;downloaded_file_bytes=73834;metadata_profile_metric_count=0;committed_asset_count=0;committed_asset_bytes=0;graph_edge_count=0;graph_edge_type_count=0;promotion_queue_candidate_count=0;coverage_status=has_download_log_only,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/007_source-coverage-summary.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,0,doc/public/user_research/009_source-engineering-gap-review-queues/0005_src-xiaoxuetang-jiaguwen_access_boundary_or_error_followup_review-log.md,open_download_log_and_status_codebook;record_retry_manual_access_or_metadata_only_boundary;do_not_promote_failed_or_restricted_download_as_source_content,metadata_only_existing_records_snapshot,no_new_rights_decision,not_promoted,not_imported,source_engineering_gap_evidence_snapshot_not_scholarship,"This row snapshots existing source-engineering metadata only. It is not a new download, not checksum recalculation, not rights clearance, not source promotion, not corpus import, not an oracle-character identity claim, and not a decipherment conclusion.",2026-06-19
source-engineering-gap-evidence-snapshot-0006,source-engineering-gap-0006,source-engineering-gap-review-log-draft-0006,src-xiaoxuetang-obm,access_boundary_or_error_followup,1,structured,甲骨文合集材料來源表 / Source Table for Collection of Oracle Bone Inscriptions,Academia Sinica,https://xiaoxue.iis.sinica.edu.tw/obm,core_institutional,metadata_only_until_verified,Official source table; Heji identifiers are plate/material references and not universal character IDs.,reviewed,dl-xxt-obm-example;dl-xxt-obm-guide;dl-xxt-obm-appendix01;dl-xxt-obm-appendix02,source_table_rules_page;user_guide_pdf;old_catalog_abbreviation_appendix;holding_abbreviation_appendix,download_to_tmp_log_checksum_only,dl-xxt-obm-example;dl-xxt-obm-guide;dl-xxt-obm-appendix01;dl-xxt-obm-appendix02,downloaded_access_restricted_page:4,200:4,147668,4,Site returned an access-restricted HTML page; treat as access evidence only.,field-map-000030;field-map-000031;field-map-000032;field-map-000033;field-map-000035;field-map-000036,oracle_inscription;source_reference;excavation_or_collection_context,reviewed_metadata_only:6,pkg-file-000032;pkg-file-000033;pkg-file-000034;pkg-file-000035,access_restricted_page_capture,download_to_tmp_log_checksum_only,,,,download_manifest_count=4;download_log_count=4;downloaded_count=4;access_boundary_or_error_count=4;checksum_present_count=4;size_recorded_count=4;field_map_count=6;large_source_register_count=1;package_manifest_count=4;metadata_profile_count=0;asset_count=0;candidate_queue_count=0;graph_edge_count=0,download_manifest_count=4;download_log_count=4;downloaded_file_bytes=147668;metadata_profile_metric_count=0;committed_asset_count=0;committed_asset_bytes=0;graph_edge_count=0;graph_edge_type_count=0;promotion_queue_candidate_count=0;coverage_status=has_download_log_only,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/007_source-coverage-summary.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,0,doc/public/user_research/009_source-engineering-gap-review-queues/0006_src-xiaoxuetang-obm_access_boundary_or_error_followup_review-log.md,open_download_log_and_status_codebook;record_retry_manual_access_or_metadata_only_boundary;do_not_promote_failed_or_restricted_download_as_source_content,metadata_only_existing_records_snapshot,no_new_rights_decision,not_promoted,not_imported,source_engineering_gap_evidence_snapshot_not_scholarship,"This row snapshots existing source-engineering metadata only. It is not a new download, not checksum recalculation, not rights clearance, not source promotion, not corpus import, not an oracle-character identity claim, and not a decipherment conclusion.",2026-06-19
source-engineering-gap-evidence-snapshot-0007,source-engineering-gap-0007,source-engineering-gap-review-log-draft-0007,src-british-museum-oracle-bone,checksum_or_failed_download_status_review_needed,2,discovered_access_boundary_or_error,British Museum oracle-bone object record OA+.165,British Museum,https://www.britishmuseum.org/collection/object/A_OA-165,museum_collection,metadata_only_until_verified,Official museum collection record; image/licensing policies require object-level review.,reviewed,dl-british-museum-oa-165,museum_object_page,download_to_tmp_log_checksum_only,dl-british-museum-oa-165,http_error:1,403:1,0,0,Forbidden,,,,,,,,,,download_manifest_count=1;download_log_count=1;downloaded_count=0;access_boundary_or_error_count=0;checksum_present_count=0;size_recorded_count=1;field_map_count=0;large_source_register_count=0;package_manifest_count=0;metadata_profile_count=0;asset_count=0;candidate_queue_count=0;graph_edge_count=0,download_manifest_count=1;download_log_count=1;downloaded_file_bytes=0;metadata_profile_metric_count=0;committed_asset_count=0;committed_asset_bytes=0;graph_edge_count=0;graph_edge_type_count=0;promotion_queue_candidate_count=0;coverage_status=has_download_log_only,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,0,doc/public/user_research/009_source-engineering-gap-review-queues/0007_src-british-museum-oracle-bone_checksum_or_failed_download_status_review_needed_review-log.md,open_download_log;separate_failed_or_restricted_rows_from checksum-bearing downloads;record_no_source_package_or_metadata_promotion_without verified checksum,metadata_only_existing_records_snapshot,no_new_rights_decision,not_promoted,not_imported,source_engineering_gap_evidence_snapshot_not_scholarship,"This row snapshots existing source-engineering metadata only. It is not a new download, not checksum recalculation, not rights clearance, not source promotion, not corpus import, not an oracle-character identity claim, and not a decipherment conclusion.",2026-06-19
source-engineering-gap-evidence-snapshot-0008,source-engineering-gap-0008,source-engineering-gap-review-log-draft-0008,src-sinica-da-xiaoxuetang-site,checksum_or_failed_download_status_review_needed,2,pending_human_review,小學堂文字學資料庫 / Academia Sinica Digital Archives Xiaoxuetang Profile,Academia Sinica Digital Culture Center,https://sinica.digitalarchives.tw/site_6071.html,institutional_portal,metadata_only_until_verified,Portal description is database-level evidence and does not provide row-level character or inscription records.,reviewed,dl-sinica-da-xiaoxuetang-site,institutional_portal_page,download_to_tmp_log_checksum_only,dl-sinica-da-xiaoxuetang-site,download_error:1,,0,0,"<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'sinica.digitalarchives.tw'. (_ssl.c:1032)>",field-map-000052,source_reference,reviewed_metadata_only:1,,,,metadata-profile-000044;metadata-profile-000045;metadata-profile-000046,xiaoxuetang_glyph_total_over;xiaoxuetang_phonology_total_over;xiaoxuetang_dictionary_index_total_over,reviewed_metadata_only:3,download_manifest_count=1;download_log_count=1;downloaded_count=0;access_boundary_or_error_count=1;checksum_present_count=0;size_recorded_count=1;field_map_count=1;large_source_register_count=0;package_manifest_count=0;metadata_profile_count=3;asset_count=0;candidate_queue_count=0;graph_edge_count=0,download_manifest_count=1;download_log_count=1;downloaded_file_bytes=0;metadata_profile_metric_count=3;committed_asset_count=0;committed_asset_bytes=0;graph_edge_count=0;graph_edge_type_count=0;promotion_queue_candidate_count=0;coverage_status=has_downloaded_metadata_profile,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,0,doc/public/user_research/009_source-engineering-gap-review-queues/0008_src-sinica-da-xiaoxuetang-site_checksum_or_failed_download_status_review_needed_review-log.md,open_download_log;separate_failed_or_restricted_rows_from checksum-bearing downloads;record_no_source_package_or_metadata_promotion_without verified checksum,metadata_only_existing_records_snapshot,no_new_rights_decision,not_promoted,not_imported,source_engineering_gap_evidence_snapshot_not_scholarship,"This row snapshots existing source-engineering metadata only. It is not a new download, not checksum recalculation, not rights clearance, not source promotion, not corpus import, not an oracle-character identity claim, and not a decipherment conclusion.",2026-06-19
source-engineering-gap-evidence-snapshot-0009,source-engineering-gap-0009,source-engineering-gap-review-log-draft-0009,src-sinica-yinshang-oracle-vocabulary,checksum_or_failed_download_status_review_needed,2,pending_human_review,殷商甲骨詞彙 / Yin-Shang Oracle-Bone Vocabulary,Academia Sinica Institute of Linguistics,https://sinica.digitalarchives.tw/collection_3334351.html,institutional_database,metadata_only_until_verified,Collection profile states scope and management; original linked database and reuse rules require separate access review.,reviewed,dl-sinica-yinshang-oracle-vocabulary,institutional_collection_profile,download_to_tmp_log_checksum_only,dl-sinica-yinshang-oracle-vocabulary,download_error:1,,0,0,"<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'sinica.digitalarchives.tw'. (_ssl.c:1032)>",field-map-000053;field-map-000054,source_reference;research_topic,reviewed_metadata_only:2,,,,metadata-profile-000047;metadata-profile-000048,yinshang_oracle_bone_piece_count;yinshang_oracle_character_count_about,reviewed_metadata_only:2,download_manifest_count=1;download_log_count=1;downloaded_count=0;access_boundary_or_error_count=1;checksum_present_count=0;size_recorded_count=1;field_map_count=2;large_source_register_count=0;package_manifest_count=0;metadata_profile_count=2;asset_count=0;candidate_queue_count=0;graph_edge_count=0,download_manifest_count=1;download_log_count=1;downloaded_file_bytes=0;metadata_profile_metric_count=2;committed_asset_count=0;committed_asset_bytes=0;graph_edge_count=0;graph_edge_type_count=0;promotion_queue_candidate_count=0;coverage_status=has_downloaded_metadata_profile,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,0,doc/public/user_research/009_source-engineering-gap-review-queues/0009_src-sinica-yinshang-oracle-vocabulary_checksum_or_failed_download_status_review_needed_review-log.md,open_download_log;separate_failed_or_restricted_rows_from checksum-bearing downloads;record_no_source_package_or_metadata_promotion_without verified checksum,metadata_only_existing_records_snapshot,no_new_rights_decision,not_promoted,not_imported,source_engineering_gap_evidence_snapshot_not_scholarship,"This row snapshots existing source-engineering metadata only. It is not a new download, not checksum recalculation, not rights clearance, not source promotion, not corpus import, not an oracle-character identity claim, and not a decipherment conclusion.",2026-06-19
source-engineering-gap-evidence-snapshot-0010,source-engineering-gap-0010,source-engineering-gap-review-log-draft-0010,src-smithsonian-nmaa-oracle-bone,checksum_or_failed_download_status_review_needed,2,pending_human_review,Smithsonian National Museum of Asian Art oracle bone object records,Smithsonian National Museum of Asian Art,https://asia-archive.si.edu/object/FSC-O-26,national_museum_collection,public_domain_verified,"Smithsonian/NMAA archive page marks FSC-O-26 image/media as CC0, but current si.edu pages may use request verification and object details may be revised.",reviewed,dl-smithsonian-nmaa-fsc-o-28;dl-smithsonian-nmaa-fsc-o-26-archive,museum_object_page;museum_object_archive_page,download_to_tmp_log_checksum_only,dl-smithsonian-nmaa-fsc-o-28;dl-smithsonian-nmaa-fsc-o-26-archive,downloaded:1;http_error:1,200:1;403:1,115569,1,Forbidden;Stored under ignored tmp directory; commit log/checksum only.,field-map-000043;field-map-000044;field-map-000045,asset_metadata; excavation_or_collection_context;excavation_or_collection_context;asset_metadata,reviewed_metadata_only:3,pkg-file-000028,lightweight_html_page,download_to_tmp_log_checksum_only,metadata-profile-000031;metadata-profile-000032;metadata-profile-000033,accession_number;rights_status;iiif_source_image_id,reviewed_metadata_only:3,download_manifest_count=2;download_log_count=2;downloaded_count=1;access_boundary_or_error_count=0;checksum_present_count=1;size_recorded_count=2;field_map_count=3;large_source_register_count=1;package_manifest_count=1;metadata_profile_count=3;asset_count=1;candidate_queue_count=0;graph_edge_count=0,download_manifest_count=2;download_log_count=2;downloaded_file_bytes=115569;metadata_profile_metric_count=3;committed_asset_count=1;committed_asset_bytes=633418;graph_edge_count=0;graph_edge_type_count=0;promotion_queue_candidate_count=0;coverage_status=has_committed_public_asset_or_metadata,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,0,doc/public/user_research/009_source-engineering-gap-review-queues/0010_src-smithsonian-nmaa-oracle-bone_checksum_or_failed_download_status_review_needed_review-log.md,open_download_log;separate_failed_or_restricted_rows_from checksum-bearing downloads;record_no_source_package_or_metadata_promotion_without verified checksum,metadata_only_existing_records_snapshot,no_new_rights_decision,not_promoted,not_imported,source_engineering_gap_evidence_snapshot_not_scholarship,"This row snapshots existing source-engineering metadata only. It is not a new download, not checksum recalculation, not rights clearance, not source promotion, not corpus import, not an oracle-character identity claim, and not a decipherment conclusion.",2026-06-19
