audit_row_id,area_type,label_en,label_zh,current_stage,count_summary,next_entry_path,review_status,caution,updated_at
pre-audit-001,source_registry,Authoritative and dataset source registry,权威来源与数据集来源登记,verified,download_error_or_boundary_rows:6;download_log_rows:48;download_manifest_rows:47;downloaded_rows:42;metadata_profile_rows:62;package_manifest_rows:36;source_rows:21,corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,reviewed_metadata_only,"Preprocessing audit only; all identity, component, evolution, inscription, and decipherment-facing rows remain candidates or review routes until source evidence and human review promote them.",2026-06-20
pre-audit-002,large_source_register,Large source packages and local-only raw archives,大型来源包与本地原始归档,verified,downloaded_large_source_rows:2;large_source_rows:4;not_downloaded_registered_rows:2,project_registry/006_large-source-register/001_large-source-register.csv,reviewed_metadata_only,"Preprocessing audit only; all identity, component, evolution, inscription, and decipherment-facing rows remain candidates or review routes until source evidence and human review promote them.",2026-06-20
pre-audit-003,oracle_character_candidates,HUST-OBC deciphered-class candidate packets,HUST-OBC 已释类别候选包,pending_human_review,accepted_character_index_rows:0;candidate_character_packet_json_files:1588;label_crosswalk_rows:1588;promotion_review_queue_rows:1588;source_category_rows:1781;validation_class_rows:1588,corpus/001_oracle-characters/000_character-registers/009_hust-obc-obs-char-promotion-review-queue.csv,candidate_not_promoted,"Preprocessing audit only; all identity, component, evolution, inscription, and decipherment-facing rows remain candidates or review routes until source evidence and human review promote them.",2026-06-20
pre-audit-004,undeciphered_character_candidates,HUST-OBC undeciphered candidate packets,HUST-OBC 未释字候选包,pending_human_review,review_log_draft_rows:2;review_queue_rows:9408;source_image_reference_rows:111;undeciphered_candidate_packet_json_files:9408;undeciphered_index_rows:9408,corpus/001_oracle-characters/000_character-registers/003_undeciphered-oracle-characters-index.csv,candidate_not_promoted,"Preprocessing audit only; all identity, component, evolution, inscription, and decipherment-facing rows remain candidates or review routes until source evidence and human review promote them.",2026-06-20
pre-audit-005,components_and_glyph_links,OBIMD component and glyph-codepoint staging,OBIMD 构件与字形码位暂存,pending_human_review,obimd_cross_review_logs:1;obimd_graph_edges:54856;obimd_main_character_rows:3936,corpus/008_relationship-graph/006_obimd-component-graph-edges.jsonl,candidate_graph_edges,"Preprocessing audit only; all identity, component, evolution, inscription, and decipherment-facing rows remain candidates or review routes until source evidence and human review promote them.",2026-06-20
pre-audit-006,evolution_correspondence_candidates,EVOBC evolution and era/source code staging,EVOBC 字形演化与时代/来源码暂存,pending_human_review,era_code_edges:26378;evobc_cross_review_logs:1;evobc_graph_edges:51948;source_code_edges:25301,corpus/008_relationship-graph/007_evobc-evolution-graph-edges.jsonl,candidate_graph_edges,"Preprocessing audit only; all identity, component, evolution, inscription, and decipherment-facing rows remain candidates or review routes until source evidence and human review promote them.",2026-06-20
pre-audit-007,inscription_and_collection_staging,"Inscription, plate, and collection provenance staging",卜辞、图版与馆藏出处暂存,pending_human_review,cambridge_hopkins_crosswalk_review_queue_rows:612;cambridge_hopkins_graph_edges:5075;candidate_inscription_crosswalk_map_rows:612;candidate_inscription_crosswalk_packet_files:612;formal_inscription_id_map_rows:0;formal_inscription_record_files:0;xxt_obm_access_capture_rows:4;xxt_obm_review_logs:4,corpus/005_excavation-sites-periods-and-batches/000_collection-registers/,metadata_only_pending_review,"Preprocessing audit only; all identity, component, evolution, inscription, and decipherment-facing rows remain candidates or review routes until source evidence and human review promote them.",2026-06-20
pre-audit-008,assets,Committed public-domain or source-marked image assets,已提交的公版或来源标注图像资产,verified,asset_id_map_rows:21363;asset_source_rows:21363;technical_profile_rows:21363;visual_profile_rows:21363,project_registry/004_asset-source-and-rights-index/001_asset-source-index.csv,reviewed_assets_only,"Preprocessing audit only; all identity, component, evolution, inscription, and decipherment-facing rows remain candidates or review routes until source evidence and human review promote them.",2026-06-20
pre-audit-009,relationship_graph,Candidate relationship graph edges and summaries,候选关系图边与统计,verified,edge_type_count:24;edge_type_summary_rows:30;graph_edge_rows:127846;node_degree_summary_rows:101619,corpus/008_relationship-graph/,candidate_graph_edges,"Preprocessing audit only; all identity, component, evolution, inscription, and decipherment-facing rows remain candidates or review routes until source evidence and human review promote them.",2026-06-20
pre-audit-010,review_queues,AI/user review queues and evidence collection drafts,AI/用户复核队列与证据收集草稿,pending_human_review,cambridge_hopkins_crosswalk_review_queue_rows:612;codepoint_review_queue_rows:134;collection_provenance_phase_gap_review_checklist_rows:3;core_corpus_phase_coverage_rows:10;core_corpus_phase_gap_action_queue_rows:20;evidence_collection_note_files:49;inscription_plate_crosswalk_phase_gap_review_checklist_rows:2;object_local_material_coverage_audit_rows:28166;object_local_material_coverage_summary_files:1;published_research_note_phase_gap_review_checklist_rows:4;research_source_phase_gap_review_checklist_rows:5;review_log_files:78;shape_component_evolution_verification_gap_review_checklist_rows:3;source_access_boundary_review_route_pack_files:1;source_checksum_review_route_pack_files:1;source_engineering_execution_matrix_rows:21;source_engineering_first_wave_followup_queue_rows:6;source_engineering_first_wave_result_record_manifest_rows:6;source_engineering_first_wave_review_result_rows:6;source_engineering_first_wave_source_status_rows:4;source_engineering_gap_evidence_snapshot_rows:22;source_engineering_gap_queue_rows:22;source_engineering_gap_review_log_draft_rows:22;source_engineering_lane_route_pack_files:1;source_engineering_next_action_checklist_rows:22;source_engineering_next_action_result_scaffold_rows:22;source_engineering_review_route_summary_files:1;source_engineering_review_wave_handoff_scaffold_files:1;source_engineering_second_wave_handoff_review_checklist_rows:4;source_engineering_second_wave_handoff_route_summary_files:1;source_engineering_second_wave_outcome_handoff_scaffold_files:1;source_engineering_second_wave_outcome_route_pack_files:1;source_engineering_second_wave_result_scaffold_rows:4;source_engineering_second_wave_review_checklist_rows:4;source_engineering_second_wave_review_draft_manifest_rows:4;source_engineering_second_wave_review_outcome_scaffold_rows:4;source_engineering_second_wave_source_checklist_rows:4;source_field_map_review_checklist_rows:4;source_field_map_review_result_scaffold_rows:4;source_field_map_review_route_pack_files:1;source_field_map_scaffold_rows:4;source_metadata_profile_review_route_pack_files:1;source_package_manifest_review_route_pack_files:1;source_pipeline_evidence_ledger_rows:21;source_pipeline_gap_matrix_rows:21;source_pipeline_gap_review_checklist_rows:21;source_pipeline_missing_evidence_outcome_routes_assignment_checklist_rows:5;source_pipeline_missing_evidence_outcome_routes_assignment_plan_files:1;source_pipeline_phase_action_evidence_gap_summary_rows:21;source_pipeline_phase_action_evidence_presence_rows:210;source_pipeline_phase_action_file_checklist_rows:210;source_pipeline_phase_action_missing_evidence_action_queue_rows:32;source_pipeline_phase_action_missing_evidence_result_scaffold_rows:32;source_pipeline_phase_action_missing_evidence_review_checklist_rows:18;source_pipeline_phase_action_missing_evidence_review_draft_rows:18;source_pipeline_phase_action_missing_evidence_review_handoff_checklist_rows:18;source_pipeline_phase_action_missing_evidence_review_handoff_route_summary_files:1;source_pipeline_phase_action_missing_evidence_review_handoff_scaffold_files:1;source_pipeline_phase_action_missing_evidence_review_outcome_assignment_plan_files:1;source_pipeline_phase_action_missing_evidence_review_outcome_handoff_checklist_rows:18;source_pipeline_phase_action_missing_evidence_review_outcome_handoff_route_summary_files:1;source_pipeline_phase_action_missing_evidence_review_outcome_handoff_scaffold_files:1;source_pipeline_phase_action_missing_evidence_review_outcome_route_pack_files:1;source_pipeline_phase_action_missing_evidence_review_outcome_scaffold_rows:18;source_pipeline_phase_action_missing_evidence_review_outcome_wave_handoff_assignment_checklist_rows:18;source_pipeline_phase_action_missing_evidence_review_outcome_wave_handoff_assignment_outcome_route_summary_files:1;source_pipeline_phase_action_missing_evidence_review_outcome_wave_handoff_assignment_outcome_scaffold_rows:18;source_pipeline_phase_action_missing_evidence_review_outcome_wave_handoff_assignment_outcome_source_checklist_rows:18;source_pipeline_phase_action_missing_evidence_review_outcome_wave_handoff_assignment_outcome_source_handoff_checklist_rows:18;source_pipeline_phase_action_missing_evidence_review_outcome_wave_handoff_assignment_outcome_source_handoff_outcome_checklist_outcome_route_summary_files:1;source_pipeline_phase_action_missing_evidence_review_outcome_wave_handoff_assignment_outcome_source_handoff_outcome_checklist_outcome_route_summary_outcome_route_summary_files:1;source_pipeline_phase_action_missing_evidence_review_outcome_wave_handoff_assignment_outcome_source_handoff_outcome_checklist_outcome_route_summary_outcome_scaffold_rows:18;source_pipeline_phase_action_missing_evidence_review_outcome_wave_handoff_assignment_outcome_source_handoff_outcome_checklist_outcome_routes_checklist_rows:18;source_pipeline_phase_action_missing_evidence_review_outcome_wave_handoff_assignment_outcome_source_handoff_outcome_checklist_outcome_routes_summary_files:1;source_pipeline_phase_action_missing_evidence_review_outcome_wave_handoff_assignment_outcome_source_handoff_outcome_checklist_outcome_scaffold_rows:18;source_pipeline_phase_action_missing_evidence_review_outcome_wave_handoff_assignment_outcome_source_handoff_outcome_checklist_route_summary_files:1;source_pipeline_phase_action_missing_evidence_review_outcome_wave_handoff_assignment_outcome_source_handoff_outcome_checklist_rows:18;source_pipeline_phase_action_missing_evidence_review_outcome_wave_handoff_assignment_outcome_source_handoff_outcome_route_summary_files:1;source_pipeline_phase_action_missing_evidence_review_outcome_wave_handoff_assignment_outcome_source_handoff_outcome_scaffold_rows:18;source_pipeline_phase_action_missing_evidence_review_outcome_wave_handoff_assignment_outcome_source_handoff_route_summary_files:1;source_pipeline_phase_action_missing_evidence_review_outcome_wave_handoff_assignment_outcome_source_handoff_scaffold_files:1;source_pipeline_phase_action_missing_evidence_review_outcome_wave_handoff_assignment_outcome_source_route_pack_files:1;source_pipeline_phase_action_missing_evidence_review_outcome_wave_handoff_assignment_outcome_source_summary_rows:18;source_pipeline_phase_action_missing_evidence_review_outcome_wave_handoff_assignment_plan_files:1;source_pipeline_phase_action_missing_evidence_review_outcome_wave_handoff_checklist_rows:18;source_pipeline_phase_action_missing_evidence_review_outcome_wave_handoff_route_summary_files:1;source_pipeline_phase_action_missing_evidence_review_outcome_wave_handoff_scaffold_files:1;source_pipeline_phase_action_missing_evidence_review_result_scaffold_rows:18;source_pipeline_phase_action_missing_evidence_review_route_pack_files:1;source_pipeline_phase_action_missing_evidence_route_summary_files:1;source_pipeline_phase_action_missing_evidence_source_summary_rows:18;source_pipeline_phase_action_queue_rows:62;source_pipeline_phase_action_result_scaffold_rows:62;source_pipeline_phase_action_route_summary_files:1;source_pipeline_phase_action_source_summary_rows:21;source_pipeline_phase_coverage_rows:21;source_safe_derived_record_review_route_pack_files:1;undeciphered_review_queue_rows:9408,doc/public/user_research/,pending_human_review,"Preprocessing audit only; all identity, component, evolution, inscription, and decipherment-facing rows remain candidates or review routes until source evidence and human review promote them.",2026-06-20
