gap_matrix_row_id,source_id,source_type,provider,authority_tier,adoption_status,rights_status,risk_note,source_review_status,current_stage,pipeline_gap_status,review_lane,gap_flags,download_manifest_count,download_log_count,downloaded_count,access_boundary_or_error_count,checksum_present_count,size_recorded_count,field_map_count,large_source_register_count,package_manifest_count,metadata_profile_count,asset_count,candidate_queue_count,cross_source_crosswalk_match_count,graph_edge_count,source_route_review_queue_count,source_register_path,pipeline_audit_path,next_entry_path,claim_boundary,rights_decision_status,source_promotion_status,corpus_import_status,decipherment_claim_status,caution,updated_at
source-pipeline-gap-001,src-british-museum-oracle-bone,museum_collection,British Museum,museum_collection,adopted_collection_reference,metadata_only_until_verified,Official museum collection record; image/licensing policies require object-level review.,reviewed,pending_human_review,needs_download_or_access_review,access_and_checksum_boundary_resolution,not_downloaded_or_access_not_resolved;missing_package_manifest,1,1,0,0,0,1,5,0,0,5,0,0,0,0,1,corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv,corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,source_pipeline_gap_matrix_not_scholarship_not_import_not_rights_decision,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,"Source pipeline gap matrix only; not a corpus import, not a rights decision, not source promotion, and not a decipherment conclusion.",2026-06-19
source-pipeline-gap-002,src-cambridge-hopkins,library_collection,Cambridge University Library,university_library_collection,adopted_collection_reference,metadata_only_until_verified,Official university library finding list; linked digitized assets require separate rights and IIIF review.,reviewed,pending_human_review,needs_safe_derived_record_review,safe_derived_record_decision,candidate_or_graph_derivatives_pending_review,1,1,1,0,1,1,2,1,1,6,0,0,0,4403,1,corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv,corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,source_pipeline_gap_matrix_not_scholarship_not_import_not_rights_decision,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,"Source pipeline gap matrix only; not a corpus import, not a rights decision, not source promotion, and not a decipherment conclusion.",2026-06-19
source-pipeline-gap-003,src-evobc,open_research_dataset,Yuliang Liu research group / arXiv / Open-Oracle,peer_reviewed_or_preprint_dataset,candidate_evolution_source,source_marked_risk_noted,"Useful for evolution-chain experiments, but source texts/websites and image rights need separate review before corpus import.",reviewed,pending_human_review,needs_safe_derived_record_review,safe_derived_record_decision,candidate_or_graph_derivatives_pending_review,5,5,5,0,5,5,2,1,3,7,0,0,127,51948,1,corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv,corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,source_pipeline_gap_matrix_not_scholarship_not_import_not_rights_decision,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,"Source pipeline gap matrix only; not a corpus import, not a rights decision, not source promotion, and not a decipherment conclusion.",2026-06-19
source-pipeline-gap-004,src-gbedobc,open_research_dataset,Qingju Jiao et al. / npj Heritage Science / GitHub,peer_reviewed_dataset,candidate_evolution_source,source_marked_risk_noted,"Useful for graph/evolution research and reports 756 groups/3780 graph-based characters, but not a primary corpus authority.",reviewed,pending_human_review,ready_for_source_engineering_review,source_register_monitoring,no_automatic_gap_detected_keep_monitoring,2,2,2,0,2,2,1,1,2,3,0,0,0,0,1,corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv,corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,source_pipeline_gap_matrix_not_scholarship_not_import_not_rights_decision,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,"Source pipeline gap matrix only; not a corpus import, not a rights decision, not source promotion, and not a decipherment conclusion.",2026-06-19
source-pipeline-gap-005,src-hust-obc,open_research_dataset,Huazhong University of Science and Technology research team / Scientific Data,peer_reviewed_dataset,candidate_large_source,source_marked_risk_noted,"Dataset is directly relevant to 1500+ deciphered and undeciphered characters, but raw images are large, non-commercially licensed and compiled from diverse sources including an unreliable GuoXueDaShi split.",reviewed,pending_human_review,needs_safe_derived_record_review,safe_derived_record_decision,candidate_or_graph_derivatives_pending_review,7,8,8,0,8,8,7,1,4,11,10996,10996,1588,16295,1,corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv,corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,source_pipeline_gap_matrix_not_scholarship_not_import_not_rights_decision,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,"Source pipeline gap matrix only; not a corpus import, not a rights decision, not source promotion, and not a decipherment conclusion.",2026-06-19
source-pipeline-gap-006,src-ihp-museum-oracle-bones,museum_collection,Museum of the Institute of History and Philology Academia Sinica,core_institutional,adopted_core,metadata_only_until_verified,Official museum page; image reuse requires museum policy review.,reviewed,pending_human_review,ready_for_source_engineering_review,source_register_monitoring,no_automatic_gap_detected_keep_monitoring,1,1,1,0,1,1,3,1,1,2,0,0,0,0,1,corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv,corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,source_pipeline_gap_matrix_not_scholarship_not_import_not_rights_decision,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,"Source pipeline gap matrix only; not a corpus import, not a rights decision, not source promotion, and not a decipherment conclusion.",2026-06-19
source-pipeline-gap-007,src-ihp-oracle-rubbings,online_database,Fu Ssu Nien Library / Institute of History and Philology Academia Sinica,core_institutional,adopted_core,metadata_only_until_verified,Official collection database with explicit site policy; raw image reuse requires policy review.,reviewed,pending_human_review,ready_for_source_engineering_review,source_register_monitoring,no_automatic_gap_detected_keep_monitoring,1,1,1,0,1,1,1,1,1,2,0,0,0,0,1,corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv,corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,source_pipeline_gap_matrix_not_scholarship_not_import_not_rights_decision,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,"Source pipeline gap matrix only; not a corpus import, not a rights decision, not source promotion, and not a decipherment conclusion.",2026-06-19
source-pipeline-gap-008,src-metmuseum-oracle-bone,museum_collection,The Metropolitan Museum of Art,museum_collection,adopted_public_domain_sample_source,public_domain_verified,"The Met API marks selected objects as public domain, but object metadata and image URLs can be revised and should retain object-level timestamps and source URLs.",reviewed,pending_human_review,ready_for_source_engineering_review,source_register_monitoring,no_automatic_gap_detected_keep_monitoring,2,2,2,0,2,2,3,1,2,6,2,0,0,0,1,corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv,corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,source_pipeline_gap_matrix_not_scholarship_not_import_not_rights_decision,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,"Source pipeline gap matrix only; not a corpus import, not a rights decision, not source promotion, and not a decipherment conclusion.",2026-06-19
source-pipeline-gap-009,src-nlc-oracle-world,library_database,National Library of China / Chinese Ancient Books Resource Platform,national_library,candidate_institutional_official_scope_confirmed,metadata_only_until_verified,Official NLC materials confirm collection/database scope but not a stable current bulk endpoint; do not use mirrored summaries or third-party portals as source data.,reviewed,pending_human_review,ready_for_source_engineering_review,source_register_monitoring,no_automatic_gap_detected_keep_monitoring,2,2,2,0,2,2,4,1,2,7,0,0,0,0,1,corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv,corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,source_pipeline_gap_matrix_not_scholarship_not_import_not_rights_decision,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,"Source pipeline gap matrix only; not a corpus import, not a rights decision, not source promotion, and not a decipherment conclusion.",2026-06-19
source-pipeline-gap-010,src-obid-ancientbooks,online_database,浙江师范大学; 陈年福教授; 古联（北京）数字传媒科技有限公司,scholarly_commercial_platform,adopted_professional_discovery_with_rights_caution,source_marked_risk_noted,Professional/editorial source but commercial platform; access and redistribution rights require visible caution.,reviewed,pending_human_review,needs_access_boundary_review,access_and_checksum_boundary_resolution,checksum_or_failed_download_status_pending_review,2,2,1,0,1,2,2,1,1,2,0,0,0,0,1,corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv,corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,source_pipeline_gap_matrix_not_scholarship_not_import_not_rights_decision,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,"Source pipeline gap matrix only; not a corpus import, not a rights decision, not source promotion, and not a decipherment conclusion.",2026-06-19
source-pipeline-gap-011,src-obimd,open_research_dataset,Key Laboratory of Oracle Bone Inscriptions Information Processing Anyang Normal University; Xiamen University; Tencent Youtu Lab; University of Cambridge; Scientific Data,peer_reviewed_dataset,candidate_large_source,licensed_for_repository,Dataset card reports CC-BY 4.0 while the GitHub README includes narrower academic-use wording; raw files remain large and need rights review before import.,reviewed,pending_human_review,needs_safe_derived_record_review,safe_derived_record_decision,candidate_or_graph_derivatives_pending_review,7,7,7,0,7,7,9,1,7,5,10364,0,22,44492,1,corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv,corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,source_pipeline_gap_matrix_not_scholarship_not_import_not_rights_decision,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,"Source pipeline gap matrix only; not a corpus import, not a rights decision, not source promotion, and not a decipherment conclusion.",2026-06-19
source-pipeline-gap-012,src-open-oracle,project_repository,Yuliang Liu research group,scholarly_project,adopted_project_index,source_marked_risk_noted,Useful for locating academic datasets and AI task strategies; underlying dataset rights and source chains must be reviewed separately.,reviewed,pending_human_review,ready_for_source_engineering_review,source_register_monitoring,no_automatic_gap_detected_keep_monitoring,2,2,2,0,2,2,5,1,2,5,0,0,0,0,1,corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv,corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,source_pipeline_gap_matrix_not_scholarship_not_import_not_rights_decision,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,"Source pipeline gap matrix only; not a corpus import, not a rights decision, not source promotion, and not a decipherment conclusion.",2026-06-19
source-pipeline-gap-013,src-oracle-mnist,open_research_dataset,Published research team / GitHub / Figshare / Science Data Bank,peer_reviewed_dataset,candidate_ai_benchmark,source_marked_risk_noted,Useful for recognition tests but too narrow for corpus construction.,reviewed,pending_human_review,ready_for_source_engineering_review,source_register_monitoring,no_automatic_gap_detected_keep_monitoring,2,2,2,0,2,2,7,1,2,6,0,0,0,0,1,corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv,corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,source_pipeline_gap_matrix_not_scholarship_not_import_not_rights_decision,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,"Source pipeline gap matrix only; not a corpus import, not a rights decision, not source promotion, and not a decipherment conclusion.",2026-06-19
source-pipeline-gap-014,src-penn-museum-oracle-bone,museum_collection,University of Pennsylvania Museum of Archaeology and Anthropology,university_museum_collection,adopted_collection_reference,metadata_only_until_verified,Official university museum object page; image and rights reuse require object-level review before raw asset import.,reviewed,pending_human_review,ready_for_source_engineering_review,source_register_monitoring,no_automatic_gap_detected_keep_monitoring,1,1,1,0,1,1,3,1,1,4,0,0,0,0,1,corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv,corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,source_pipeline_gap_matrix_not_scholarship_not_import_not_rights_decision,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,"Source pipeline gap matrix only; not a corpus import, not a rights decision, not source promotion, and not a decipherment conclusion.",2026-06-19
source-pipeline-gap-015,src-sinica-da-xiaoxuetang-site,online_portal,Academia Sinica Digital Culture Center,institutional_portal,adopted_source_context,metadata_only_until_verified,Portal description is database-level evidence and does not provide row-level character or inscription records.,reviewed,pending_human_review,needs_download_or_access_review,access_and_checksum_boundary_resolution,not_downloaded_or_access_not_resolved;access_boundary_or_error_pending_review;missing_package_manifest,1,1,0,1,0,1,1,0,0,3,0,0,0,0,1,corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv,corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,source_pipeline_gap_matrix_not_scholarship_not_import_not_rights_decision,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,"Source pipeline gap matrix only; not a corpus import, not a rights decision, not source promotion, and not a decipherment conclusion.",2026-06-19
source-pipeline-gap-016,src-sinica-yinshang-oracle-vocabulary,online_database,Academia Sinica Institute of Linguistics,institutional_database,adopted_source_context,metadata_only_until_verified,Collection profile states scope and management; original linked database and reuse rules require separate access review.,reviewed,pending_human_review,needs_download_or_access_review,access_and_checksum_boundary_resolution,not_downloaded_or_access_not_resolved;access_boundary_or_error_pending_review;missing_package_manifest,1,1,0,1,0,1,2,0,0,2,0,0,0,0,1,corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv,corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,source_pipeline_gap_matrix_not_scholarship_not_import_not_rights_decision,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,"Source pipeline gap matrix only; not a corpus import, not a rights decision, not source promotion, and not a decipherment conclusion.",2026-06-19
source-pipeline-gap-017,src-smithsonian-nmaa-oracle-bone,museum_collection,Smithsonian National Museum of Asian Art,national_museum_collection,adopted_public_domain_sample_source,public_domain_verified,"Smithsonian/NMAA archive page marks FSC-O-26 image/media as CC0, but current si.edu pages may use request verification and object details may be revised.",reviewed,pending_human_review,needs_access_boundary_review,access_and_checksum_boundary_resolution,checksum_or_failed_download_status_pending_review,2,2,1,0,1,2,3,1,1,3,1,0,0,0,1,corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv,corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,source_pipeline_gap_matrix_not_scholarship_not_import_not_rights_decision,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,"Source pipeline gap matrix only; not a corpus import, not a rights decision, not source promotion, and not a decipherment conclusion.",2026-06-19
source-pipeline-gap-018,src-tsinghua-oracle-bones,library_collection,Tsinghua University Library,university_library_collection,adopted_collection_reference,metadata_only_until_verified,Official library page; not a full searchable corpus endpoint by itself.,reviewed,pending_human_review,ready_for_source_engineering_review,source_register_monitoring,no_automatic_gap_detected_keep_monitoring,1,1,1,0,1,1,2,1,1,3,0,0,0,0,1,corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv,corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,source_pipeline_gap_matrix_not_scholarship_not_import_not_rights_decision,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,"Source pipeline gap matrix only; not a corpus import, not a rights decision, not source promotion, and not a decipherment conclusion.",2026-06-19
source-pipeline-gap-019,src-xiaoxuetang-jiaguwen,online_database,Academia Sinica,core_institutional,adopted_core,metadata_only_until_verified,Official academic database; automated downloads may be restricted and raw glyph images require source and rights review.,reviewed,pending_human_review,needs_access_boundary_review,access_and_checksum_boundary_resolution,access_boundary_or_error_pending_review;checksum_or_failed_download_status_pending_review,4,4,2,4,2,4,6,1,2,4,0,0,0,0,1,corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv,corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,source_pipeline_gap_matrix_not_scholarship_not_import_not_rights_decision,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,"Source pipeline gap matrix only; not a corpus import, not a rights decision, not source promotion, and not a decipherment conclusion.",2026-06-19
