source_execution_id,source_id,current_stage,authority_tier,rights_status,download_status_counts,gap_count,highest_priority_rank,gap_type_counts,required_next_checks,route_files_to_open,expected_review_log_paths,safe_derivative_route_status,source_promotion_status,commit_policy_boundary,research_boundary,review_status,caution,updated_at
source-engineering-exec-001,src-british-museum-oracle-bone,pending_human_review,museum_collection,metadata_only_until_verified,http_error:2,0,0,,,,,metadata_profile_exists_needs_derivative_decision,not_promoted,metadata_review_only_raw_or_temporary_material_stays_outside_regular_git,source_engineering_execution_matrix_metadata_only_not_scholarship,no_current_source_engineering_gap,"This source-engineering execution row is a preprocessing work index only. It records source-level gaps and routes for provenance, manifest, field-map, metadata-profile, and safe-derivative review; it is not rights clearance, not a corpus import, not a source promotion decision, not an identity claim, and not a decipherment conclusion.",2026-06-19
source-engineering-exec-002,src-cambridge-hopkins,pending_human_review,university_library_collection,metadata_only_until_verified,downloaded:1,0,0,,,,,graph_derivative_exists_review_before_promotion,not_promoted,metadata_review_only_raw_or_temporary_material_stays_outside_regular_git,source_engineering_execution_matrix_metadata_only_not_scholarship,no_current_source_engineering_gap,"This source-engineering execution row is a preprocessing work index only. It records source-level gaps and routes for provenance, manifest, field-map, metadata-profile, and safe-derivative review; it is not rights clearance, not a corpus import, not a source promotion decision, not an identity claim, and not a decipherment conclusion.",2026-06-19
source-engineering-exec-003,src-evobc,pending_human_review,peer_reviewed_or_preprint_dataset,source_marked_risk_noted,downloaded:5,0,0,,,,,graph_derivative_exists_review_before_promotion,not_promoted,metadata_review_only_raw_or_temporary_material_stays_outside_regular_git,source_engineering_execution_matrix_metadata_only_not_scholarship,no_current_source_engineering_gap,"This source-engineering execution row is a preprocessing work index only. It records source-level gaps and routes for provenance, manifest, field-map, metadata-profile, and safe-derivative review; it is not rights clearance, not a corpus import, not a source promotion decision, not an identity claim, and not a decipherment conclusion.",2026-06-19
source-engineering-exec-004,src-gbedobc,pending_human_review,peer_reviewed_dataset,source_marked_risk_noted,downloaded:2,0,0,,,,,metadata_profile_exists_needs_derivative_decision,not_promoted,metadata_review_only_raw_or_temporary_material_stays_outside_regular_git,source_engineering_execution_matrix_metadata_only_not_scholarship,no_current_source_engineering_gap,"This source-engineering execution row is a preprocessing work index only. It records source-level gaps and routes for provenance, manifest, field-map, metadata-profile, and safe-derivative review; it is not rights clearance, not a corpus import, not a source promotion decision, not an identity claim, and not a decipherment conclusion.",2026-06-19
source-engineering-exec-005,src-hust-obc,pending_human_review,peer_reviewed_dataset,source_marked_risk_noted,downloaded:8,0,0,,,,,graph_derivative_exists_review_before_promotion,not_promoted,metadata_review_only_raw_or_temporary_material_stays_outside_regular_git,source_engineering_execution_matrix_metadata_only_not_scholarship,no_current_source_engineering_gap,"This source-engineering execution row is a preprocessing work index only. It records source-level gaps and routes for provenance, manifest, field-map, metadata-profile, and safe-derivative review; it is not rights clearance, not a corpus import, not a source promotion decision, not an identity claim, and not a decipherment conclusion.",2026-06-19
source-engineering-exec-006,src-ihp-museum-oracle-bones,pending_human_review,core_institutional,metadata_only_until_verified,downloaded:1,0,0,,,,,metadata_profile_exists_needs_derivative_decision,not_promoted,metadata_review_only_raw_or_temporary_material_stays_outside_regular_git,source_engineering_execution_matrix_metadata_only_not_scholarship,no_current_source_engineering_gap,"This source-engineering execution row is a preprocessing work index only. It records source-level gaps and routes for provenance, manifest, field-map, metadata-profile, and safe-derivative review; it is not rights clearance, not a corpus import, not a source promotion decision, not an identity claim, and not a decipherment conclusion.",2026-06-19
source-engineering-exec-007,src-ihp-oracle-rubbings,pending_human_review,core_institutional,metadata_only_until_verified,downloaded:1,0,0,,,,,metadata_profile_exists_needs_derivative_decision,not_promoted,metadata_review_only_raw_or_temporary_material_stays_outside_regular_git,source_engineering_execution_matrix_metadata_only_not_scholarship,no_current_source_engineering_gap,"This source-engineering execution row is a preprocessing work index only. It records source-level gaps and routes for provenance, manifest, field-map, metadata-profile, and safe-derivative review; it is not rights clearance, not a corpus import, not a source promotion decision, not an identity claim, and not a decipherment conclusion.",2026-06-19
source-engineering-exec-008,src-metmuseum-oracle-bone,pending_human_review,museum_collection,public_domain_verified,downloaded:2,0,0,,,,,asset_derivative_exists_review_before_reuse,not_promoted,metadata_review_only_raw_or_temporary_material_stays_outside_regular_git,source_engineering_execution_matrix_metadata_only_not_scholarship,no_current_source_engineering_gap,"This source-engineering execution row is a preprocessing work index only. It records source-level gaps and routes for provenance, manifest, field-map, metadata-profile, and safe-derivative review; it is not rights clearance, not a corpus import, not a source promotion decision, not an identity claim, and not a decipherment conclusion.",2026-06-19
source-engineering-exec-009,src-nlc-oracle-world,pending_human_review,national_library,metadata_only_until_verified,downloaded:2,0,0,,,,,metadata_profile_exists_needs_derivative_decision,not_promoted,metadata_review_only_raw_or_temporary_material_stays_outside_regular_git,source_engineering_execution_matrix_metadata_only_not_scholarship,no_current_source_engineering_gap,"This source-engineering execution row is a preprocessing work index only. It records source-level gaps and routes for provenance, manifest, field-map, metadata-profile, and safe-derivative review; it is not rights clearance, not a corpus import, not a source promotion decision, not an identity claim, and not a decipherment conclusion.",2026-06-19
source-engineering-exec-010,src-obid-ancientbooks,pending_human_review,scholarly_commercial_platform,source_marked_risk_noted,downloaded:1;http_error:1,0,0,,,,,metadata_profile_exists_needs_derivative_decision,not_promoted,metadata_review_only_raw_or_temporary_material_stays_outside_regular_git,source_engineering_execution_matrix_metadata_only_not_scholarship,no_current_source_engineering_gap,"This source-engineering execution row is a preprocessing work index only. It records source-level gaps and routes for provenance, manifest, field-map, metadata-profile, and safe-derivative review; it is not rights clearance, not a corpus import, not a source promotion decision, not an identity claim, and not a decipherment conclusion.",2026-06-19
source-engineering-exec-011,src-obimd,pending_human_review,peer_reviewed_dataset,licensed_for_repository,downloaded:6;downloaded_to_external_archive:4,0,0,,,,,graph_derivative_exists_review_before_promotion,not_promoted,metadata_review_only_raw_or_temporary_material_stays_outside_regular_git,source_engineering_execution_matrix_metadata_only_not_scholarship,no_current_source_engineering_gap,"This source-engineering execution row is a preprocessing work index only. It records source-level gaps and routes for provenance, manifest, field-map, metadata-profile, and safe-derivative review; it is not rights clearance, not a corpus import, not a source promotion decision, not an identity claim, and not a decipherment conclusion.",2026-06-19
source-engineering-exec-012,src-open-oracle,pending_human_review,scholarly_project,source_marked_risk_noted,downloaded:2,1,5,source_field_map_needed:1,open_source_register_and_available_metadata_profile;define_source_fields_or_units_to_project_record_targets;record_rights_boundary_for_each mapped field,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/006_research-sources-and-bibliography/000_source-registers/007_source-field-map.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,doc/public/user_research/009_source-engineering-gap-review-queues/0010_src-open-oracle_source_field_map_needed_review-log.md,metadata_profile_exists_needs_derivative_decision,not_promoted,metadata_review_only_raw_or_temporary_material_stays_outside_regular_git,source_engineering_execution_matrix_metadata_only_not_scholarship,needs_source_engineering_review,"This source-engineering execution row is a preprocessing work index only. It records source-level gaps and routes for provenance, manifest, field-map, metadata-profile, and safe-derivative review; it is not rights clearance, not a corpus import, not a source promotion decision, not an identity claim, and not a decipherment conclusion.",2026-06-19
source-engineering-exec-013,src-oracle-mnist,pending_human_review,peer_reviewed_dataset,source_marked_risk_noted,downloaded:2,1,5,source_field_map_needed:1,open_source_register_and_available_metadata_profile;define_source_fields_or_units_to_project_record_targets;record_rights_boundary_for_each mapped field,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/006_research-sources-and-bibliography/000_source-registers/007_source-field-map.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,doc/public/user_research/009_source-engineering-gap-review-queues/0011_src-oracle-mnist_source_field_map_needed_review-log.md,metadata_profile_exists_needs_derivative_decision,not_promoted,metadata_review_only_raw_or_temporary_material_stays_outside_regular_git,source_engineering_execution_matrix_metadata_only_not_scholarship,needs_source_engineering_review,"This source-engineering execution row is a preprocessing work index only. It records source-level gaps and routes for provenance, manifest, field-map, metadata-profile, and safe-derivative review; it is not rights clearance, not a corpus import, not a source promotion decision, not an identity claim, and not a decipherment conclusion.",2026-06-19
source-engineering-exec-014,src-penn-museum-oracle-bone,pending_human_review,university_museum_collection,metadata_only_until_verified,downloaded:1,0,0,,,,,metadata_profile_exists_needs_derivative_decision,not_promoted,metadata_review_only_raw_or_temporary_material_stays_outside_regular_git,source_engineering_execution_matrix_metadata_only_not_scholarship,no_current_source_engineering_gap,"This source-engineering execution row is a preprocessing work index only. It records source-level gaps and routes for provenance, manifest, field-map, metadata-profile, and safe-derivative review; it is not rights clearance, not a corpus import, not a source promotion decision, not an identity claim, and not a decipherment conclusion.",2026-06-19
source-engineering-exec-015,src-sinica-da-xiaoxuetang-site,pending_human_review,institutional_portal,metadata_only_until_verified,download_error:2,3,1,access_boundary_or_error_followup:1;checksum_or_failed_download_status_review_needed:1;safe_derived_record_decision_needed:1,open_download_log_and_status_codebook;record_retry_manual_access_or_metadata_only_boundary;do_not_promote_failed_or_restricted_download_as_source_content;open_download_log;separate_failed_or_restricted_rows_from checksum-bearing downloads;record_no_source_package_or_metadata_promotion_without verified checksum;open_metadata_profile_source_route_and_rights_status;decide_next_safe_derivative_staging_or_review_queue;record_no_corpus_promotion_without_source_marked_review,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/007_source-coverage-summary.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv;corpus/006_research-sources-and-bibliography/000_source-registers/014_browser-verified-metadata-capture.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv,doc/public/user_research/009_source-engineering-gap-review-queues/0001_src-sinica-da-xiaoxuetang-site_access_boundary_or_error_followup_review-log.md;doc/public/user_research/009_source-engineering-gap-review-queues/0006_src-sinica-da-xiaoxuetang-site_checksum_or_failed_download_status_review_needed_review-log.md;doc/public/user_research/009_source-engineering-gap-review-queues/0013_src-sinica-da-xiaoxuetang-site_safe_derived_record_decision_needed_review-log.md,safe_derivative_decision_needed,not_promoted,metadata_review_only_raw_or_temporary_material_stays_outside_regular_git,source_engineering_execution_matrix_metadata_only_not_scholarship,needs_source_engineering_review,"This source-engineering execution row is a preprocessing work index only. It records source-level gaps and routes for provenance, manifest, field-map, metadata-profile, and safe-derivative review; it is not rights clearance, not a corpus import, not a source promotion decision, not an identity claim, and not a decipherment conclusion.",2026-06-19
source-engineering-exec-016,src-sinica-yinshang-oracle-vocabulary,pending_human_review,institutional_database,metadata_only_until_verified,download_error:2,3,1,access_boundary_or_error_followup:1;checksum_or_failed_download_status_review_needed:1;safe_derived_record_decision_needed:1,open_download_log_and_status_codebook;record_retry_manual_access_or_metadata_only_boundary;do_not_promote_failed_or_restricted_download_as_source_content;open_download_log;separate_failed_or_restricted_rows_from checksum-bearing downloads;record_no_source_package_or_metadata_promotion_without verified checksum;open_metadata_profile_source_route_and_rights_status;decide_next_safe_derivative_staging_or_review_queue;record_no_corpus_promotion_without_source_marked_review,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/007_source-coverage-summary.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv;corpus/006_research-sources-and-bibliography/000_source-registers/014_browser-verified-metadata-capture.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv,doc/public/user_research/009_source-engineering-gap-review-queues/0002_src-sinica-yinshang-oracle-vocabulary_access_boundary_or_error_followup_review-log.md;doc/public/user_research/009_source-engineering-gap-review-queues/0007_src-sinica-yinshang-oracle-vocabulary_checksum_or_failed_download_status_review_needed_review-log.md;doc/public/user_research/009_source-engineering-gap-review-queues/0014_src-sinica-yinshang-oracle-vocabulary_safe_derived_record_decision_needed_review-log.md,safe_derivative_decision_needed,not_promoted,metadata_review_only_raw_or_temporary_material_stays_outside_regular_git,source_engineering_execution_matrix_metadata_only_not_scholarship,needs_source_engineering_review,"This source-engineering execution row is a preprocessing work index only. It records source-level gaps and routes for provenance, manifest, field-map, metadata-profile, and safe-derivative review; it is not rights clearance, not a corpus import, not a source promotion decision, not an identity claim, and not a decipherment conclusion.",2026-06-19
