cambridge_hopkins_review_task_id,candidate_inscription_crosswalk_id,source_id,evidence_download_id,priority_rank,priority_bucket,period_label,group_number,group_declared_count,period_group_observed_row_count,period_group_count_status,yingguo_ref_id,cul_ref_id,chalfant_ref_id,heji_ref_id,missing_reference_count,missing_reference_types,required_next_checks,route_files_to_open,expected_output_path,formal_inscription_assignment_status,catalog_identity_claim_status,image_evidence_status,text_transcription_status,collection_object_match_status,task_status,research_boundary,rights_status,review_status,caution,updated_at
cam-hopkins-crosswalk-review-0001,cam-hopkins-crosswalk-000259,src-cambridge-hopkins,dl-cambridge-hopkins-finding-list,1,missing_cul_chalfant_heji_refs,I,19,13,52,differs_from_declared_period_group_count,y1751,***,***,*****,3,cul_ref;chalfant_ref;heji_ref,open_cambridge_hopkins_crosswalk_row;verify_source_download_log_checksum_size_and_rights_boundary;compare_yingguo_cul_chalfant_heji_refs_against_primary_catalog_or_object_record;record_no_formal_obi_assignment_no_reading_no_object_identity_claim;locate_or_confirm_missing_cul_ref;locate_or_confirm_missing_chalfant_ref;locate_or_confirm_missing_heji_ref,corpus/002_oracle-bone-inscriptions/000_inscription-registers/002_cambridge-hopkins-crosswalk-staging.csv;corpus/002_oracle-bone-inscriptions/000_inscription-registers/003_cambridge-hopkins-classified-summary.csv;corpus/008_relationship-graph/008_cambridge-hopkins-inscription-crosswalk-graph-edges.jsonl;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/009_statistics-and-derived-features/011_ai-agent-source-route-review-results.csv,doc/public/user_research/007_inscription-crosswalk-review-queues/0001_cam-hopkins-crosswalk-000259_missing_cul_chalfant_heji_refs_review-log.md,not_assigned_formal_obi_id,not_confirmed_catalog_identity,not_collected,not_collected,not_collected,needs_catalog_crosswalk_review,cambridge_hopkins_inscription_crosswalk_review_metadata_only_not_scholarship,metadata_only_until_verified,needs_human_review,"This row is an inscription catalog-crosswalk review task only. It preserves Cambridge/Hopkins finding-list metadata and routes reviewers to source-marked references; it is not a formal obi-* assignment, not an object identity claim, not an inscription reading, not a Heji/OBM confirmation, and not a decipherment conclusion.",2026-06-19
cam-hopkins-crosswalk-review-0002,cam-hopkins-crosswalk-000005,src-cambridge-hopkins,dl-cambridge-hopkins-finding-list,2,missing_chalfant_heji_refs,I,1,30,30,matches_declared_period_group_count,y27,216,***,*****,2,chalfant_ref;heji_ref,open_cambridge_hopkins_crosswalk_row;verify_source_download_log_checksum_size_and_rights_boundary;compare_yingguo_cul_chalfant_heji_refs_against_primary_catalog_or_object_record;record_no_formal_obi_assignment_no_reading_no_object_identity_claim;locate_or_confirm_missing_chalfant_ref;locate_or_confirm_missing_heji_ref,corpus/002_oracle-bone-inscriptions/000_inscription-registers/002_cambridge-hopkins-crosswalk-staging.csv;corpus/002_oracle-bone-inscriptions/000_inscription-registers/003_cambridge-hopkins-classified-summary.csv;corpus/008_relationship-graph/008_cambridge-hopkins-inscription-crosswalk-graph-edges.jsonl;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/009_statistics-and-derived-features/011_ai-agent-source-route-review-results.csv,doc/public/user_research/007_inscription-crosswalk-review-queues/0002_cam-hopkins-crosswalk-000005_missing_chalfant_heji_refs_review-log.md,not_assigned_formal_obi_id,not_confirmed_catalog_identity,not_collected,not_collected,not_collected,needs_catalog_crosswalk_review,cambridge_hopkins_inscription_crosswalk_review_metadata_only_not_scholarship,metadata_only_until_verified,needs_human_review,"This row is an inscription catalog-crosswalk review task only. It preserves Cambridge/Hopkins finding-list metadata and routes reviewers to source-marked references; it is not a formal obi-* assignment, not an object identity claim, not an inscription reading, not a Heji/OBM confirmation, and not a decipherment conclusion.",2026-06-19
cam-hopkins-crosswalk-review-0003,cam-hopkins-crosswalk-000009,src-cambridge-hopkins,dl-cambridge-hopkins-finding-list,2,missing_chalfant_heji_refs,I,1,30,30,matches_declared_period_group_count,y50,498,***,*****,2,chalfant_ref;heji_ref,open_cambridge_hopkins_crosswalk_row;verify_source_download_log_checksum_size_and_rights_boundary;compare_yingguo_cul_chalfant_heji_refs_against_primary_catalog_or_object_record;record_no_formal_obi_assignment_no_reading_no_object_identity_claim;locate_or_confirm_missing_chalfant_ref;locate_or_confirm_missing_heji_ref,corpus/002_oracle-bone-inscriptions/000_inscription-registers/002_cambridge-hopkins-crosswalk-staging.csv;corpus/002_oracle-bone-inscriptions/000_inscription-registers/003_cambridge-hopkins-classified-summary.csv;corpus/008_relationship-graph/008_cambridge-hopkins-inscription-crosswalk-graph-edges.jsonl;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/009_statistics-and-derived-features/011_ai-agent-source-route-review-results.csv,doc/public/user_research/007_inscription-crosswalk-review-queues/0003_cam-hopkins-crosswalk-000009_missing_chalfant_heji_refs_review-log.md,not_assigned_formal_obi_id,not_confirmed_catalog_identity,not_collected,not_collected,not_collected,needs_catalog_crosswalk_review,cambridge_hopkins_inscription_crosswalk_review_metadata_only_not_scholarship,metadata_only_until_verified,needs_human_review,"This row is an inscription catalog-crosswalk review task only. It preserves Cambridge/Hopkins finding-list metadata and routes reviewers to source-marked references; it is not a formal obi-* assignment, not an object identity claim, not an inscription reading, not a Heji/OBM confirmation, and not a decipherment conclusion.",2026-06-19
cam-hopkins-crosswalk-review-0004,cam-hopkins-crosswalk-000012,src-cambridge-hopkins,dl-cambridge-hopkins-finding-list,2,missing_chalfant_heji_refs,I,1,30,30,matches_declared_period_group_count,y63,92,***,*****,2,chalfant_ref;heji_ref,open_cambridge_hopkins_crosswalk_row;verify_source_download_log_checksum_size_and_rights_boundary;compare_yingguo_cul_chalfant_heji_refs_against_primary_catalog_or_object_record;record_no_formal_obi_assignment_no_reading_no_object_identity_claim;locate_or_confirm_missing_chalfant_ref;locate_or_confirm_missing_heji_ref,corpus/002_oracle-bone-inscriptions/000_inscription-registers/002_cambridge-hopkins-crosswalk-staging.csv;corpus/002_oracle-bone-inscriptions/000_inscription-registers/003_cambridge-hopkins-classified-summary.csv;corpus/008_relationship-graph/008_cambridge-hopkins-inscription-crosswalk-graph-edges.jsonl;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/009_statistics-and-derived-features/011_ai-agent-source-route-review-results.csv,doc/public/user_research/007_inscription-crosswalk-review-queues/0004_cam-hopkins-crosswalk-000012_missing_chalfant_heji_refs_review-log.md,not_assigned_formal_obi_id,not_confirmed_catalog_identity,not_collected,not_collected,not_collected,needs_catalog_crosswalk_review,cambridge_hopkins_inscription_crosswalk_review_metadata_only_not_scholarship,metadata_only_until_verified,needs_human_review,"This row is an inscription catalog-crosswalk review task only. It preserves Cambridge/Hopkins finding-list metadata and routes reviewers to source-marked references; it is not a formal obi-* assignment, not an object identity claim, not an inscription reading, not a Heji/OBM confirmation, and not a decipherment conclusion.",2026-06-19
cam-hopkins-crosswalk-review-0005,cam-hopkins-crosswalk-000019,src-cambridge-hopkins,dl-cambridge-hopkins-finding-list,2,missing_chalfant_heji_refs,I,1,30,30,matches_declared_period_group_count,y87,174,***,*****,2,chalfant_ref;heji_ref,open_cambridge_hopkins_crosswalk_row;verify_source_download_log_checksum_size_and_rights_boundary;compare_yingguo_cul_chalfant_heji_refs_against_primary_catalog_or_object_record;record_no_formal_obi_assignment_no_reading_no_object_identity_claim;locate_or_confirm_missing_chalfant_ref;locate_or_confirm_missing_heji_ref,corpus/002_oracle-bone-inscriptions/000_inscription-registers/002_cambridge-hopkins-crosswalk-staging.csv;corpus/002_oracle-bone-inscriptions/000_inscription-registers/003_cambridge-hopkins-classified-summary.csv;corpus/008_relationship-graph/008_cambridge-hopkins-inscription-crosswalk-graph-edges.jsonl;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/009_statistics-and-derived-features/011_ai-agent-source-route-review-results.csv,doc/public/user_research/007_inscription-crosswalk-review-queues/0005_cam-hopkins-crosswalk-000019_missing_chalfant_heji_refs_review-log.md,not_assigned_formal_obi_id,not_confirmed_catalog_identity,not_collected,not_collected,not_collected,needs_catalog_crosswalk_review,cambridge_hopkins_inscription_crosswalk_review_metadata_only_not_scholarship,metadata_only_until_verified,needs_human_review,"This row is an inscription catalog-crosswalk review task only. It preserves Cambridge/Hopkins finding-list metadata and routes reviewers to source-marked references; it is not a formal obi-* assignment, not an object identity claim, not an inscription reading, not a Heji/OBM confirmation, and not a decipherment conclusion.",2026-06-19
cam-hopkins-crosswalk-review-0006,cam-hopkins-crosswalk-000030,src-cambridge-hopkins,dl-cambridge-hopkins-finding-list,2,missing_chalfant_heji_refs,I,1,30,30,matches_declared_period_group_count,y183,148,***,*****,2,chalfant_ref;heji_ref,open_cambridge_hopkins_crosswalk_row;verify_source_download_log_checksum_size_and_rights_boundary;compare_yingguo_cul_chalfant_heji_refs_against_primary_catalog_or_object_record;record_no_formal_obi_assignment_no_reading_no_object_identity_claim;locate_or_confirm_missing_chalfant_ref;locate_or_confirm_missing_heji_ref,corpus/002_oracle-bone-inscriptions/000_inscription-registers/002_cambridge-hopkins-crosswalk-staging.csv;corpus/002_oracle-bone-inscriptions/000_inscription-registers/003_cambridge-hopkins-classified-summary.csv;corpus/008_relationship-graph/008_cambridge-hopkins-inscription-crosswalk-graph-edges.jsonl;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/009_statistics-and-derived-features/011_ai-agent-source-route-review-results.csv,doc/public/user_research/007_inscription-crosswalk-review-queues/0006_cam-hopkins-crosswalk-000030_missing_chalfant_heji_refs_review-log.md,not_assigned_formal_obi_id,not_confirmed_catalog_identity,not_collected,not_collected,not_collected,needs_catalog_crosswalk_review,cambridge_hopkins_inscription_crosswalk_review_metadata_only_not_scholarship,metadata_only_until_verified,needs_human_review,"This row is an inscription catalog-crosswalk review task only. It preserves Cambridge/Hopkins finding-list metadata and routes reviewers to source-marked references; it is not a formal obi-* assignment, not an object identity claim, not an inscription reading, not a Heji/OBM confirmation, and not a decipherment conclusion.",2026-06-19
cam-hopkins-crosswalk-review-0007,cam-hopkins-crosswalk-000033,src-cambridge-hopkins,dl-cambridge-hopkins-finding-list,2,missing_chalfant_heji_refs,I,2,4,4,matches_declared_period_group_count,y192,184,***,*****,2,chalfant_ref;heji_ref,open_cambridge_hopkins_crosswalk_row;verify_source_download_log_checksum_size_and_rights_boundary;compare_yingguo_cul_chalfant_heji_refs_against_primary_catalog_or_object_record;record_no_formal_obi_assignment_no_reading_no_object_identity_claim;locate_or_confirm_missing_chalfant_ref;locate_or_confirm_missing_heji_ref,corpus/002_oracle-bone-inscriptions/000_inscription-registers/002_cambridge-hopkins-crosswalk-staging.csv;corpus/002_oracle-bone-inscriptions/000_inscription-registers/003_cambridge-hopkins-classified-summary.csv;corpus/008_relationship-graph/008_cambridge-hopkins-inscription-crosswalk-graph-edges.jsonl;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/009_statistics-and-derived-features/011_ai-agent-source-route-review-results.csv,doc/public/user_research/007_inscription-crosswalk-review-queues/0007_cam-hopkins-crosswalk-000033_missing_chalfant_heji_refs_review-log.md,not_assigned_formal_obi_id,not_confirmed_catalog_identity,not_collected,not_collected,not_collected,needs_catalog_crosswalk_review,cambridge_hopkins_inscription_crosswalk_review_metadata_only_not_scholarship,metadata_only_until_verified,needs_human_review,"This row is an inscription catalog-crosswalk review task only. It preserves Cambridge/Hopkins finding-list metadata and routes reviewers to source-marked references; it is not a formal obi-* assignment, not an object identity claim, not an inscription reading, not a Heji/OBM confirmation, and not a decipherment conclusion.",2026-06-19
cam-hopkins-crosswalk-review-0008,cam-hopkins-crosswalk-000034,src-cambridge-hopkins,dl-cambridge-hopkins-finding-list,2,missing_chalfant_heji_refs,I,2,4,4,matches_declared_period_group_count,y198,125,***,*****,2,chalfant_ref;heji_ref,open_cambridge_hopkins_crosswalk_row;verify_source_download_log_checksum_size_and_rights_boundary;compare_yingguo_cul_chalfant_heji_refs_against_primary_catalog_or_object_record;record_no_formal_obi_assignment_no_reading_no_object_identity_claim;locate_or_confirm_missing_chalfant_ref;locate_or_confirm_missing_heji_ref,corpus/002_oracle-bone-inscriptions/000_inscription-registers/002_cambridge-hopkins-crosswalk-staging.csv;corpus/002_oracle-bone-inscriptions/000_inscription-registers/003_cambridge-hopkins-classified-summary.csv;corpus/008_relationship-graph/008_cambridge-hopkins-inscription-crosswalk-graph-edges.jsonl;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/009_statistics-and-derived-features/011_ai-agent-source-route-review-results.csv,doc/public/user_research/007_inscription-crosswalk-review-queues/0008_cam-hopkins-crosswalk-000034_missing_chalfant_heji_refs_review-log.md,not_assigned_formal_obi_id,not_confirmed_catalog_identity,not_collected,not_collected,not_collected,needs_catalog_crosswalk_review,cambridge_hopkins_inscription_crosswalk_review_metadata_only_not_scholarship,metadata_only_until_verified,needs_human_review,"This row is an inscription catalog-crosswalk review task only. It preserves Cambridge/Hopkins finding-list metadata and routes reviewers to source-marked references; it is not a formal obi-* assignment, not an object identity claim, not an inscription reading, not a Heji/OBM confirmation, and not a decipherment conclusion.",2026-06-19
cam-hopkins-crosswalk-review-0009,cam-hopkins-crosswalk-000040,src-cambridge-hopkins,dl-cambridge-hopkins-finding-list,2,missing_chalfant_heji_refs,I,3,33,33,matches_declared_period_group_count,y211,214,***,*****,2,chalfant_ref;heji_ref,open_cambridge_hopkins_crosswalk_row;verify_source_download_log_checksum_size_and_rights_boundary;compare_yingguo_cul_chalfant_heji_refs_against_primary_catalog_or_object_record;record_no_formal_obi_assignment_no_reading_no_object_identity_claim;locate_or_confirm_missing_chalfant_ref;locate_or_confirm_missing_heji_ref,corpus/002_oracle-bone-inscriptions/000_inscription-registers/002_cambridge-hopkins-crosswalk-staging.csv;corpus/002_oracle-bone-inscriptions/000_inscription-registers/003_cambridge-hopkins-classified-summary.csv;corpus/008_relationship-graph/008_cambridge-hopkins-inscription-crosswalk-graph-edges.jsonl;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/009_statistics-and-derived-features/011_ai-agent-source-route-review-results.csv,doc/public/user_research/007_inscription-crosswalk-review-queues/0009_cam-hopkins-crosswalk-000040_missing_chalfant_heji_refs_review-log.md,not_assigned_formal_obi_id,not_confirmed_catalog_identity,not_collected,not_collected,not_collected,needs_catalog_crosswalk_review,cambridge_hopkins_inscription_crosswalk_review_metadata_only_not_scholarship,metadata_only_until_verified,needs_human_review,"This row is an inscription catalog-crosswalk review task only. It preserves Cambridge/Hopkins finding-list metadata and routes reviewers to source-marked references; it is not a formal obi-* assignment, not an object identity claim, not an inscription reading, not a Heji/OBM confirmation, and not a decipherment conclusion.",2026-06-19
cam-hopkins-crosswalk-review-0010,cam-hopkins-crosswalk-000041,src-cambridge-hopkins,dl-cambridge-hopkins-finding-list,2,missing_chalfant_heji_refs,I,3,33,33,matches_declared_period_group_count,y216,227,***,*****,2,chalfant_ref;heji_ref,open_cambridge_hopkins_crosswalk_row;verify_source_download_log_checksum_size_and_rights_boundary;compare_yingguo_cul_chalfant_heji_refs_against_primary_catalog_or_object_record;record_no_formal_obi_assignment_no_reading_no_object_identity_claim;locate_or_confirm_missing_chalfant_ref;locate_or_confirm_missing_heji_ref,corpus/002_oracle-bone-inscriptions/000_inscription-registers/002_cambridge-hopkins-crosswalk-staging.csv;corpus/002_oracle-bone-inscriptions/000_inscription-registers/003_cambridge-hopkins-classified-summary.csv;corpus/008_relationship-graph/008_cambridge-hopkins-inscription-crosswalk-graph-edges.jsonl;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/009_statistics-and-derived-features/011_ai-agent-source-route-review-results.csv,doc/public/user_research/007_inscription-crosswalk-review-queues/0010_cam-hopkins-crosswalk-000041_missing_chalfant_heji_refs_review-log.md,not_assigned_formal_obi_id,not_confirmed_catalog_identity,not_collected,not_collected,not_collected,needs_catalog_crosswalk_review,cambridge_hopkins_inscription_crosswalk_review_metadata_only_not_scholarship,metadata_only_until_verified,needs_human_review,"This row is an inscription catalog-crosswalk review task only. It preserves Cambridge/Hopkins finding-list metadata and routes reviewers to source-marked references; it is not a formal obi-* assignment, not an object identity claim, not an inscription reading, not a Heji/OBM confirmation, and not a decipherment conclusion.",2026-06-19
cam-hopkins-crosswalk-review-0011,cam-hopkins-crosswalk-000042,src-cambridge-hopkins,dl-cambridge-hopkins-finding-list,2,missing_chalfant_heji_refs,I,3,33,33,matches_declared_period_group_count,y245,203,***,*****,2,chalfant_ref;heji_ref,open_cambridge_hopkins_crosswalk_row;verify_source_download_log_checksum_size_and_rights_boundary;compare_yingguo_cul_chalfant_heji_refs_against_primary_catalog_or_object_record;record_no_formal_obi_assignment_no_reading_no_object_identity_claim;locate_or_confirm_missing_chalfant_ref;locate_or_confirm_missing_heji_ref,corpus/002_oracle-bone-inscriptions/000_inscription-registers/002_cambridge-hopkins-crosswalk-staging.csv;corpus/002_oracle-bone-inscriptions/000_inscription-registers/003_cambridge-hopkins-classified-summary.csv;corpus/008_relationship-graph/008_cambridge-hopkins-inscription-crosswalk-graph-edges.jsonl;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/009_statistics-and-derived-features/011_ai-agent-source-route-review-results.csv,doc/public/user_research/007_inscription-crosswalk-review-queues/0011_cam-hopkins-crosswalk-000042_missing_chalfant_heji_refs_review-log.md,not_assigned_formal_obi_id,not_confirmed_catalog_identity,not_collected,not_collected,not_collected,needs_catalog_crosswalk_review,cambridge_hopkins_inscription_crosswalk_review_metadata_only_not_scholarship,metadata_only_until_verified,needs_human_review,"This row is an inscription catalog-crosswalk review task only. It preserves Cambridge/Hopkins finding-list metadata and routes reviewers to source-marked references; it is not a formal obi-* assignment, not an object identity claim, not an inscription reading, not a Heji/OBM confirmation, and not a decipherment conclusion.",2026-06-19
