evidence_collection_review_task_id,evidence_collection_result_id,evidence_collection_note_draft_id,evidence_collection_task_id,context_pack_id,source_id,primary_review_record_id,primary_external_ref_id,source_record_id,target_evidence_section,priority_rank,priority_tags,required_collection_action,required_review_checks,result_scaffold_path,note_draft_path,route_pack_path,manifest_path,task_queue_source_path,route_files_to_open,counter_source_ids_to_check,result_update_target_path,assignment_status,review_status,evidence_collection_status,source_promotion_status,decipherment_claim_status,research_boundary,output_scope,caution,updated_at
graph-source-evidence-review-001,graph-source-evidence-result-001,graph-source-evidence-note-draft-001,graph-source-evidence-task-001,ai-context-graph-source-evidence-collection-001,src-hust-obc,hust-obc-evidence-request-000001,hust-obc-cat-0001,0001,source_register,1,section:source_register;source:src-hust-obc;provenance_first,collect_source_register_provenance_fields,open_source_register_row_before_copying_provenance;record_source_id_external_ref_and_review_status_only;keep_result_row_not_collected_until_evidence_is_source_marked;do_not_write_ai_hypothesis_as_scholarship,corpus/009_statistics-and-derived-features/027_ai-agent-graph-source-evidence-collection-result-scaffold.csv,doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-001_source-register_collection-note.md,corpus/009_statistics-and-derived-features/026_ai-agent-graph-source-evidence-collection-route-pack.json,corpus/009_statistics-and-derived-features/017_ai-agent-graph-source-evidence-collection-note-draft-manifest.csv,corpus/009_statistics-and-derived-features/016_ai-agent-graph-source-evidence-collection-task-queue.csv,corpus/009_statistics-and-derived-features/026_ai-agent-graph-source-evidence-collection-route-pack.json;corpus/009_statistics-and-derived-features/017_ai-agent-graph-source-evidence-collection-note-draft-manifest.csv;corpus/009_statistics-and-derived-features/016_ai-agent-graph-source-evidence-collection-task-queue.csv;doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-001_source-register_collection-note.md;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,src-hust-obc;src-xiaoxuetang-jiaguwen;src-xiaoxuetang-obm;src-obimd;src-evobc;src-ihp-oracle-rubbings,corpus/009_statistics-and-derived-features/027_ai-agent-graph-source-evidence-collection-result-scaffold.csv,unassigned,needs_evidence_collection_review,not_collected,not_promoted,no_claim,evidence_collection_review_queue_not_scholarship,graph_source_evidence_collection_review_queue_only,"This row is an AI Agent evidence-collection review queue item only. Open the result scaffold row, note draft, route pack, manifest, and route files before recording any evidence. Do not use this queue as collected evidence, a rights decision, a source promotion decision, a component or evolution-chain assignment, or a decipherment conclusion.",2026-06-10
graph-source-evidence-review-002,graph-source-evidence-result-002,graph-source-evidence-note-draft-001,graph-source-evidence-task-002,ai-context-graph-source-evidence-collection-001,src-hust-obc,hust-obc-evidence-request-000001,hust-obc-cat-0001,0001,download_log,2,section:download_log;source:src-hust-obc;provenance_first,collect_download_log_status_size_checksum_access_notes,open_download_log_before_recording_access_or_checksum_status;do_not_infer_rights_from_download_success;keep_result_row_not_collected_until_evidence_is_source_marked;do_not_write_ai_hypothesis_as_scholarship,corpus/009_statistics-and-derived-features/027_ai-agent-graph-source-evidence-collection-result-scaffold.csv,doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-002_download-log_collection-note.md,corpus/009_statistics-and-derived-features/026_ai-agent-graph-source-evidence-collection-route-pack.json,corpus/009_statistics-and-derived-features/018_ai-agent-graph-source-download-log-note-draft-manifest.csv,corpus/009_statistics-and-derived-features/016_ai-agent-graph-source-evidence-collection-task-queue.csv,corpus/009_statistics-and-derived-features/026_ai-agent-graph-source-evidence-collection-route-pack.json;corpus/009_statistics-and-derived-features/018_ai-agent-graph-source-download-log-note-draft-manifest.csv;corpus/009_statistics-and-derived-features/016_ai-agent-graph-source-evidence-collection-task-queue.csv;doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-002_download-log_collection-note.md;project_registry/006_large-source-register/002_source-download-log.csv,src-hust-obc;src-xiaoxuetang-jiaguwen;src-xiaoxuetang-obm;src-obimd;src-evobc;src-ihp-oracle-rubbings,corpus/009_statistics-and-derived-features/027_ai-agent-graph-source-evidence-collection-result-scaffold.csv,unassigned,needs_evidence_collection_review,not_collected,not_promoted,no_claim,evidence_collection_review_queue_not_scholarship,graph_source_evidence_collection_review_queue_only,"This row is an AI Agent evidence-collection review queue item only. Open the result scaffold row, note draft, route pack, manifest, and route files before recording any evidence. Do not use this queue as collected evidence, a rights decision, a source promotion decision, a component or evolution-chain assignment, or a decipherment conclusion.",2026-06-10
graph-source-evidence-review-003,graph-source-evidence-result-003,graph-source-evidence-note-draft-001,graph-source-evidence-task-003,ai-context-graph-source-evidence-collection-001,src-hust-obc,hust-obc-evidence-request-000001,hust-obc-cat-0001,0001,package_manifest,3,section:package_manifest;source:src-hust-obc;provenance_first,collect_package_manifest_file_size_checksum_and_storage_boundary,open_package_manifest_before_recording_file_size_or_checksum;keep_raw_package_storage_boundary_explicit;keep_result_row_not_collected_until_evidence_is_source_marked;do_not_write_ai_hypothesis_as_scholarship,corpus/009_statistics-and-derived-features/027_ai-agent-graph-source-evidence-collection-result-scaffold.csv,doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-003_package-manifest_collection-note.md,corpus/009_statistics-and-derived-features/026_ai-agent-graph-source-evidence-collection-route-pack.json,corpus/009_statistics-and-derived-features/019_ai-agent-graph-source-package-manifest-note-draft-manifest.csv,corpus/009_statistics-and-derived-features/016_ai-agent-graph-source-evidence-collection-task-queue.csv,corpus/009_statistics-and-derived-features/026_ai-agent-graph-source-evidence-collection-route-pack.json;corpus/009_statistics-and-derived-features/019_ai-agent-graph-source-package-manifest-note-draft-manifest.csv;corpus/009_statistics-and-derived-features/016_ai-agent-graph-source-evidence-collection-task-queue.csv;doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-003_package-manifest_collection-note.md;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv,src-hust-obc;src-xiaoxuetang-jiaguwen;src-xiaoxuetang-obm;src-obimd;src-evobc;src-ihp-oracle-rubbings,corpus/009_statistics-and-derived-features/027_ai-agent-graph-source-evidence-collection-result-scaffold.csv,unassigned,needs_evidence_collection_review,not_collected,not_promoted,no_claim,evidence_collection_review_queue_not_scholarship,graph_source_evidence_collection_review_queue_only,"This row is an AI Agent evidence-collection review queue item only. Open the result scaffold row, note draft, route pack, manifest, and route files before recording any evidence. Do not use this queue as collected evidence, a rights decision, a source promotion decision, a component or evolution-chain assignment, or a decipherment conclusion.",2026-06-10
graph-source-evidence-review-004,graph-source-evidence-result-004,graph-source-evidence-note-draft-001,graph-source-evidence-task-004,ai-context-graph-source-evidence-collection-001,src-hust-obc,hust-obc-evidence-request-000001,hust-obc-cat-0001,0001,metadata_profile,4,section:metadata_profile;source:src-hust-obc;provenance_first,collect_metadata_profile_fields_and_extraction_scope,open_metadata_profile_before_recording_metric_or_field_counts;keep_metadata_extraction_separate_from_source_promotion;keep_result_row_not_collected_until_evidence_is_source_marked;do_not_write_ai_hypothesis_as_scholarship,corpus/009_statistics-and-derived-features/027_ai-agent-graph-source-evidence-collection-result-scaffold.csv,doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-004_metadata-profile_collection-note.md,corpus/009_statistics-and-derived-features/026_ai-agent-graph-source-evidence-collection-route-pack.json,corpus/009_statistics-and-derived-features/020_ai-agent-graph-source-metadata-profile-note-draft-manifest.csv,corpus/009_statistics-and-derived-features/016_ai-agent-graph-source-evidence-collection-task-queue.csv,corpus/009_statistics-and-derived-features/026_ai-agent-graph-source-evidence-collection-route-pack.json;corpus/009_statistics-and-derived-features/020_ai-agent-graph-source-metadata-profile-note-draft-manifest.csv;corpus/009_statistics-and-derived-features/016_ai-agent-graph-source-evidence-collection-task-queue.csv;doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-004_metadata-profile_collection-note.md;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv,src-hust-obc;src-xiaoxuetang-jiaguwen;src-xiaoxuetang-obm;src-obimd;src-evobc;src-ihp-oracle-rubbings,corpus/009_statistics-and-derived-features/027_ai-agent-graph-source-evidence-collection-result-scaffold.csv,unassigned,needs_evidence_collection_review,not_collected,not_promoted,no_claim,evidence_collection_review_queue_not_scholarship,graph_source_evidence_collection_review_queue_only,"This row is an AI Agent evidence-collection review queue item only. Open the result scaffold row, note draft, route pack, manifest, and route files before recording any evidence. Do not use this queue as collected evidence, a rights decision, a source promotion decision, a component or evolution-chain assignment, or a decipherment conclusion.",2026-06-10
graph-source-evidence-review-005,graph-source-evidence-result-005,graph-source-evidence-note-draft-001,graph-source-evidence-task-005,ai-context-graph-source-evidence-collection-001,src-hust-obc,hust-obc-evidence-request-000001,hust-obc-cat-0001,0001,graph_edges,6,section:graph_edges;source:src-hust-obc;cross_source_candidate_check,collect_graph_edge_source_status_and_claim_boundary,open_graph_edge_files_before_recording_edge_evidence;do_not_promote_edges_to_component_or_evolution_assignments;keep_result_row_not_collected_until_evidence_is_source_marked;do_not_write_ai_hypothesis_as_scholarship,corpus/009_statistics-and-derived-features/027_ai-agent-graph-source-evidence-collection-result-scaffold.csv,doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-005_graph-edges_collection-note.md,corpus/009_statistics-and-derived-features/026_ai-agent-graph-source-evidence-collection-route-pack.json,corpus/009_statistics-and-derived-features/021_ai-agent-graph-source-graph-edges-note-draft-manifest.csv,corpus/009_statistics-and-derived-features/016_ai-agent-graph-source-evidence-collection-task-queue.csv,corpus/009_statistics-and-derived-features/026_ai-agent-graph-source-evidence-collection-route-pack.json;corpus/009_statistics-and-derived-features/021_ai-agent-graph-source-graph-edges-note-draft-manifest.csv;corpus/009_statistics-and-derived-features/016_ai-agent-graph-source-evidence-collection-task-queue.csv;doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-005_graph-edges_collection-note.md;corpus/008_relationship-graph/005_hust-obc-candidate-graph-edges.jsonl;corpus/008_relationship-graph/006_obimd-component-graph-edges.jsonl;corpus/008_relationship-graph/007_evobc-evolution-graph-edges.jsonl,src-hust-obc;src-xiaoxuetang-jiaguwen;src-xiaoxuetang-obm;src-obimd;src-evobc;src-ihp-oracle-rubbings,corpus/009_statistics-and-derived-features/027_ai-agent-graph-source-evidence-collection-result-scaffold.csv,unassigned,needs_evidence_collection_review,not_collected,not_promoted,no_claim,evidence_collection_review_queue_not_scholarship,graph_source_evidence_collection_review_queue_only,"This row is an AI Agent evidence-collection review queue item only. Open the result scaffold row, note draft, route pack, manifest, and route files before recording any evidence. Do not use this queue as collected evidence, a rights decision, a source promotion decision, a component or evolution-chain assignment, or a decipherment conclusion.",2026-06-10
graph-source-evidence-review-006,graph-source-evidence-result-006,graph-source-evidence-note-draft-001,graph-source-evidence-task-006,ai-context-graph-source-evidence-collection-001,src-hust-obc,hust-obc-evidence-request-000001,hust-obc-cat-0001,0001,staging_row,7,section:staging_row;source:src-hust-obc;cross_source_candidate_check,collect_staging_row_field_map_and_review_status,open_candidate_or_staging_rows_before_recording_dataset_fields;keep_dataset_labels_as_candidates;keep_result_row_not_collected_until_evidence_is_source_marked;do_not_write_ai_hypothesis_as_scholarship,corpus/009_statistics-and-derived-features/027_ai-agent-graph-source-evidence-collection-result-scaffold.csv,doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-006_staging-row_collection-note.md,corpus/009_statistics-and-derived-features/026_ai-agent-graph-source-evidence-collection-route-pack.json,corpus/009_statistics-and-derived-features/022_ai-agent-graph-source-staging-row-note-draft-manifest.csv,corpus/009_statistics-and-derived-features/016_ai-agent-graph-source-evidence-collection-task-queue.csv,corpus/009_statistics-and-derived-features/026_ai-agent-graph-source-evidence-collection-route-pack.json;corpus/009_statistics-and-derived-features/022_ai-agent-graph-source-staging-row-note-draft-manifest.csv;corpus/009_statistics-and-derived-features/016_ai-agent-graph-source-evidence-collection-task-queue.csv;doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-006_staging-row_collection-note.md;corpus/009_statistics-and-derived-features/005_ai-agent-hust-obc-candidate-evidence-pack-request-queue.csv;corpus/001_oracle-characters/000_character-registers/009_hust-obc-obs-char-promotion-review-queue.csv;corpus/001_oracle-characters/001_000001-000100_obs-char-bucket_oracle-characters/000_hust-obc-promotion-bucket-manifest.csv,src-hust-obc;src-xiaoxuetang-jiaguwen;src-xiaoxuetang-obm;src-obimd;src-evobc;src-ihp-oracle-rubbings,corpus/009_statistics-and-derived-features/027_ai-agent-graph-source-evidence-collection-result-scaffold.csv,unassigned,needs_evidence_collection_review,not_collected,not_promoted,no_claim,evidence_collection_review_queue_not_scholarship,graph_source_evidence_collection_review_queue_only,"This row is an AI Agent evidence-collection review queue item only. Open the result scaffold row, note draft, route pack, manifest, and route files before recording any evidence. Do not use this queue as collected evidence, a rights decision, a source promotion decision, a component or evolution-chain assignment, or a decipherment conclusion.",2026-06-10
graph-source-evidence-review-007,graph-source-evidence-result-007,graph-source-evidence-note-draft-001,graph-source-evidence-task-007,ai-context-graph-source-evidence-collection-001,src-hust-obc,hust-obc-evidence-request-000001,hust-obc-cat-0001,0001,counter_source_lookup,8,section:counter_source_lookup;source:src-hust-obc;cross_source_candidate_check,collect_counter_source_lookup_notes_without_identity_claim,open_counter_source_rows_before_recording_cross_source_notes;do_not_claim_identity_match_from_lookup_queue;keep_result_row_not_collected_until_evidence_is_source_marked;do_not_write_ai_hypothesis_as_scholarship,corpus/009_statistics-and-derived-features/027_ai-agent-graph-source-evidence-collection-result-scaffold.csv,doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-007_counter-source-lookup_collection-note.md,corpus/009_statistics-and-derived-features/026_ai-agent-graph-source-evidence-collection-route-pack.json,corpus/009_statistics-and-derived-features/023_ai-agent-graph-source-counter-source-lookup-note-draft-manifest.csv,corpus/009_statistics-and-derived-features/016_ai-agent-graph-source-evidence-collection-task-queue.csv,corpus/009_statistics-and-derived-features/026_ai-agent-graph-source-evidence-collection-route-pack.json;corpus/009_statistics-and-derived-features/023_ai-agent-graph-source-counter-source-lookup-note-draft-manifest.csv;corpus/009_statistics-and-derived-features/016_ai-agent-graph-source-evidence-collection-task-queue.csv;doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-007_counter-source-lookup_collection-note.md;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,src-hust-obc;src-xiaoxuetang-jiaguwen;src-xiaoxuetang-obm;src-obimd;src-evobc;src-ihp-oracle-rubbings,corpus/009_statistics-and-derived-features/027_ai-agent-graph-source-evidence-collection-result-scaffold.csv,unassigned,needs_evidence_collection_review,not_collected,not_promoted,no_claim,evidence_collection_review_queue_not_scholarship,graph_source_evidence_collection_review_queue_only,"This row is an AI Agent evidence-collection review queue item only. Open the result scaffold row, note draft, route pack, manifest, and route files before recording any evidence. Do not use this queue as collected evidence, a rights decision, a source promotion decision, a component or evolution-chain assignment, or a decipherment conclusion.",2026-06-10
graph-source-evidence-review-008,graph-source-evidence-result-008,graph-source-evidence-note-draft-001,graph-source-evidence-task-008,ai-context-graph-source-evidence-collection-001,src-hust-obc,hust-obc-evidence-request-000001,hust-obc-cat-0001,0001,rights_risk_review,5,section:rights_risk_review;source:src-hust-obc;rights_boundary,collect_rights_risk_notes_without_rights_decision,open_rights_and_risk_route_files_before_recording_status;do_not_turn_review_queue_into_rights_decision;keep_result_row_not_collected_until_evidence_is_source_marked;do_not_write_ai_hypothesis_as_scholarship,corpus/009_statistics-and-derived-features/027_ai-agent-graph-source-evidence-collection-result-scaffold.csv,doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-008_rights-risk-review_collection-note.md,corpus/009_statistics-and-derived-features/026_ai-agent-graph-source-evidence-collection-route-pack.json,corpus/009_statistics-and-derived-features/024_ai-agent-graph-source-rights-risk-review-note-draft-manifest.csv,corpus/009_statistics-and-derived-features/016_ai-agent-graph-source-evidence-collection-task-queue.csv,corpus/009_statistics-and-derived-features/026_ai-agent-graph-source-evidence-collection-route-pack.json;corpus/009_statistics-and-derived-features/024_ai-agent-graph-source-rights-risk-review-note-draft-manifest.csv;corpus/009_statistics-and-derived-features/016_ai-agent-graph-source-evidence-collection-task-queue.csv;doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-008_rights-risk-review_collection-note.md;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv,src-hust-obc;src-xiaoxuetang-jiaguwen;src-xiaoxuetang-obm;src-obimd;src-evobc;src-ihp-oracle-rubbings,corpus/009_statistics-and-derived-features/027_ai-agent-graph-source-evidence-collection-result-scaffold.csv,unassigned,needs_evidence_collection_review,not_collected,not_promoted,no_claim,evidence_collection_review_queue_not_scholarship,graph_source_evidence_collection_review_queue_only,"This row is an AI Agent evidence-collection review queue item only. Open the result scaffold row, note draft, route pack, manifest, and route files before recording any evidence. Do not use this queue as collected evidence, a rights decision, a source promotion decision, a component or evolution-chain assignment, or a decipherment conclusion.",2026-06-10
graph-source-evidence-review-009,graph-source-evidence-result-009,graph-source-evidence-note-draft-001,graph-source-evidence-task-009,ai-context-graph-source-evidence-collection-001,src-hust-obc,hust-obc-evidence-request-000001,hust-obc-cat-0001,0001,review_log,9,section:review_log;source:src-hust-obc;review_trace,collect_review_log_notes_without_promotion_decision,open_prior_review_logs_before_recording_human_or_agent_review_notes;do_not_promote_review_notes_without_source_marked_evidence;keep_result_row_not_collected_until_evidence_is_source_marked;do_not_write_ai_hypothesis_as_scholarship,corpus/009_statistics-and-derived-features/027_ai-agent-graph-source-evidence-collection-result-scaffold.csv,doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-009_review-log_collection-note.md,corpus/009_statistics-and-derived-features/026_ai-agent-graph-source-evidence-collection-route-pack.json,corpus/009_statistics-and-derived-features/025_ai-agent-graph-source-review-log-note-draft-manifest.csv,corpus/009_statistics-and-derived-features/016_ai-agent-graph-source-evidence-collection-task-queue.csv,corpus/009_statistics-and-derived-features/026_ai-agent-graph-source-evidence-collection-route-pack.json;corpus/009_statistics-and-derived-features/025_ai-agent-graph-source-review-log-note-draft-manifest.csv;corpus/009_statistics-and-derived-features/016_ai-agent-graph-source-evidence-collection-task-queue.csv;doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-009_review-log_collection-note.md;corpus/009_statistics-and-derived-features/015_ai-agent-graph-source-cross-review-log-results.csv;doc/public/user_research/002_cross-source-review-queues/hust-obc/001_hust-obc-evidence-request-000001_cross-source-review-log.md,src-hust-obc;src-xiaoxuetang-jiaguwen;src-xiaoxuetang-obm;src-obimd;src-evobc;src-ihp-oracle-rubbings,corpus/009_statistics-and-derived-features/027_ai-agent-graph-source-evidence-collection-result-scaffold.csv,unassigned,needs_evidence_collection_review,not_collected,not_promoted,no_claim,evidence_collection_review_queue_not_scholarship,graph_source_evidence_collection_review_queue_only,"This row is an AI Agent evidence-collection review queue item only. Open the result scaffold row, note draft, route pack, manifest, and route files before recording any evidence. Do not use this queue as collected evidence, a rights decision, a source promotion decision, a component or evolution-chain assignment, or a decipherment conclusion.",2026-06-10
graph-source-evidence-review-010,graph-source-evidence-result-010,graph-source-evidence-note-draft-002,graph-source-evidence-task-010,ai-context-graph-source-evidence-collection-001,src-evobc,evobc-evo-cat-00001,evobc-cat-00001,00001,source_register,1,section:source_register;source:src-evobc;provenance_first,collect_source_register_provenance_fields,open_source_register_row_before_copying_provenance;record_source_id_external_ref_and_review_status_only;keep_result_row_not_collected_until_evidence_is_source_marked;do_not_write_ai_hypothesis_as_scholarship,corpus/009_statistics-and-derived-features/027_ai-agent-graph-source-evidence-collection-result-scaffold.csv,doc/public/user_research/003_evidence-collection-tasks/evobc/graph-source-evidence-task-010_source-register_collection-note.md,corpus/009_statistics-and-derived-features/026_ai-agent-graph-source-evidence-collection-route-pack.json,corpus/009_statistics-and-derived-features/017_ai-agent-graph-source-evidence-collection-note-draft-manifest.csv,corpus/009_statistics-and-derived-features/016_ai-agent-graph-source-evidence-collection-task-queue.csv,corpus/009_statistics-and-derived-features/026_ai-agent-graph-source-evidence-collection-route-pack.json;corpus/009_statistics-and-derived-features/017_ai-agent-graph-source-evidence-collection-note-draft-manifest.csv;corpus/009_statistics-and-derived-features/016_ai-agent-graph-source-evidence-collection-task-queue.csv;doc/public/user_research/003_evidence-collection-tasks/evobc/graph-source-evidence-task-010_source-register_collection-note.md;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,src-xiaoxuetang-jiaguwen;src-xiaoxuetang-obm;src-hust-obc;src-obimd;src-ihp-oracle-rubbings,corpus/009_statistics-and-derived-features/027_ai-agent-graph-source-evidence-collection-result-scaffold.csv,unassigned,needs_evidence_collection_review,not_collected,not_promoted,no_claim,evidence_collection_review_queue_not_scholarship,graph_source_evidence_collection_review_queue_only,"This row is an AI Agent evidence-collection review queue item only. Open the result scaffold row, note draft, route pack, manifest, and route files before recording any evidence. Do not use this queue as collected evidence, a rights decision, a source promotion decision, a component or evolution-chain assignment, or a decipherment conclusion.",2026-06-10
