result_scaffold_id,next_action_id,evidence_snapshot_id,source_engineering_gap_id,review_log_draft_id,source_id,gap_type,priority_rank,action_lane,source_checklist_path,source_review_log_path,expected_result_path,result_record_path,result_status,evidence_collection_status,reviewed_evidence_paths,access_outcome,checksum_outcome,manifest_decision,field_map_decision,metadata_profile_decision,safe_derived_record_decision,remaining_blockers,required_followup,human_review_status,rights_decision_status,source_promotion_status,corpus_import_status,decipherment_claim_status,research_boundary,caution,updated_at
source-engineering-next-action-result-scaffold-0001,source-engineering-next-action-0001,source-engineering-gap-evidence-snapshot-0001,source-engineering-gap-0001,source-engineering-gap-review-log-draft-0001,src-sinica-da-xiaoxuetang-site,access_boundary_or_error_followup,1,access_boundary_followup,corpus/009_statistics-and-derived-features/104_ai-agent-source-engineering-next-action-checklist.csv,doc/public/user_research/009_source-engineering-gap-review-queues/0001_src-sinica-da-xiaoxuetang-site_access_boundary_or_error_followup_review-log.md,doc/public/user_research/009_source-engineering-gap-review-queues/0001_src-sinica-da-xiaoxuetang-site_access_boundary_or_error_followup_next-action-result.md,doc/public/user_research/009_source-engineering-gap-review-queues/0001_src-sinica-da-xiaoxuetang-site_access_boundary_or_error_followup_next-action-result.md,not_started,not_collected,,,,,,,,no_content_import_until_access_or_metadata_only_boundary_is_reviewed,open_download_log;open_status_codebook;record_access_outcome;separate_http_tls_access_boundary_from_source_content,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_engineering_next_action_result_scaffold_not_scholarship,"This scaffold does not record completed evidence. It is not a rights decision, not source promotion, not a corpus import, not an oracle-character identity claim, and not a decipherment conclusion.",2026-06-19
source-engineering-next-action-result-scaffold-0002,source-engineering-next-action-0002,source-engineering-gap-evidence-snapshot-0002,source-engineering-gap-0002,source-engineering-gap-review-log-draft-0002,src-sinica-yinshang-oracle-vocabulary,access_boundary_or_error_followup,1,access_boundary_followup,corpus/009_statistics-and-derived-features/104_ai-agent-source-engineering-next-action-checklist.csv,doc/public/user_research/009_source-engineering-gap-review-queues/0002_src-sinica-yinshang-oracle-vocabulary_access_boundary_or_error_followup_review-log.md,doc/public/user_research/009_source-engineering-gap-review-queues/0002_src-sinica-yinshang-oracle-vocabulary_access_boundary_or_error_followup_next-action-result.md,doc/public/user_research/009_source-engineering-gap-review-queues/0002_src-sinica-yinshang-oracle-vocabulary_access_boundary_or_error_followup_next-action-result.md,not_started,not_collected,,,,,,,,no_content_import_until_access_or_metadata_only_boundary_is_reviewed,open_download_log;open_status_codebook;record_access_outcome;separate_http_tls_access_boundary_from_source_content,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_engineering_next_action_result_scaffold_not_scholarship,"This scaffold does not record completed evidence. It is not a rights decision, not source promotion, not a corpus import, not an oracle-character identity claim, and not a decipherment conclusion.",2026-06-19
source-engineering-next-action-result-scaffold-0003,source-engineering-next-action-0003,source-engineering-gap-evidence-snapshot-0003,source-engineering-gap-0003,source-engineering-gap-review-log-draft-0003,src-smithsonian-nmaa-oracle-bone,access_boundary_or_error_followup,1,access_boundary_followup,corpus/009_statistics-and-derived-features/104_ai-agent-source-engineering-next-action-checklist.csv,doc/public/user_research/009_source-engineering-gap-review-queues/0003_src-smithsonian-nmaa-oracle-bone_access_boundary_or_error_followup_review-log.md,doc/public/user_research/009_source-engineering-gap-review-queues/0003_src-smithsonian-nmaa-oracle-bone_access_boundary_or_error_followup_next-action-result.md,doc/public/user_research/009_source-engineering-gap-review-queues/0003_src-smithsonian-nmaa-oracle-bone_access_boundary_or_error_followup_next-action-result.md,not_started,not_collected,,,,,,,,no_content_import_until_access_or_metadata_only_boundary_is_reviewed,open_download_log;open_status_codebook;record_access_outcome;separate_http_tls_access_boundary_from_source_content,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_engineering_next_action_result_scaffold_not_scholarship,"This scaffold does not record completed evidence. It is not a rights decision, not source promotion, not a corpus import, not an oracle-character identity claim, and not a decipherment conclusion.",2026-06-19
source-engineering-next-action-result-scaffold-0004,source-engineering-next-action-0004,source-engineering-gap-evidence-snapshot-0004,source-engineering-gap-0004,source-engineering-gap-review-log-draft-0004,src-xiaoxuetang-jiaguwen,access_boundary_or_error_followup,1,access_boundary_followup,corpus/009_statistics-and-derived-features/104_ai-agent-source-engineering-next-action-checklist.csv,doc/public/user_research/009_source-engineering-gap-review-queues/0004_src-xiaoxuetang-jiaguwen_access_boundary_or_error_followup_review-log.md,doc/public/user_research/009_source-engineering-gap-review-queues/0004_src-xiaoxuetang-jiaguwen_access_boundary_or_error_followup_next-action-result.md,doc/public/user_research/009_source-engineering-gap-review-queues/0004_src-xiaoxuetang-jiaguwen_access_boundary_or_error_followup_next-action-result.md,not_started,not_collected,,,,,,,,no_content_import_until_access_or_metadata_only_boundary_is_reviewed,open_download_log;open_status_codebook;record_access_outcome;separate_http_tls_access_boundary_from_source_content,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_engineering_next_action_result_scaffold_not_scholarship,"This scaffold does not record completed evidence. It is not a rights decision, not source promotion, not a corpus import, not an oracle-character identity claim, and not a decipherment conclusion.",2026-06-19
source-engineering-next-action-result-scaffold-0005,source-engineering-next-action-0005,source-engineering-gap-evidence-snapshot-0005,source-engineering-gap-0005,source-engineering-gap-review-log-draft-0005,src-xiaoxuetang-obm,access_boundary_or_error_followup,1,access_boundary_followup,corpus/009_statistics-and-derived-features/104_ai-agent-source-engineering-next-action-checklist.csv,doc/public/user_research/009_source-engineering-gap-review-queues/0005_src-xiaoxuetang-obm_access_boundary_or_error_followup_review-log.md,doc/public/user_research/009_source-engineering-gap-review-queues/0005_src-xiaoxuetang-obm_access_boundary_or_error_followup_next-action-result.md,doc/public/user_research/009_source-engineering-gap-review-queues/0005_src-xiaoxuetang-obm_access_boundary_or_error_followup_next-action-result.md,not_started,not_collected,,,,,,,,no_content_import_until_access_or_metadata_only_boundary_is_reviewed,open_download_log;open_status_codebook;record_access_outcome;separate_http_tls_access_boundary_from_source_content,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_engineering_next_action_result_scaffold_not_scholarship,"This scaffold does not record completed evidence. It is not a rights decision, not source promotion, not a corpus import, not an oracle-character identity claim, and not a decipherment conclusion.",2026-06-19
source-engineering-next-action-result-scaffold-0006,source-engineering-next-action-0006,source-engineering-gap-evidence-snapshot-0006,source-engineering-gap-0006,source-engineering-gap-review-log-draft-0006,src-sinica-da-xiaoxuetang-site,checksum_or_failed_download_status_review_needed,2,checksum_and_download_status_review,corpus/009_statistics-and-derived-features/104_ai-agent-source-engineering-next-action-checklist.csv,doc/public/user_research/009_source-engineering-gap-review-queues/0006_src-sinica-da-xiaoxuetang-site_checksum_or_failed_download_status_review_needed_review-log.md,doc/public/user_research/009_source-engineering-gap-review-queues/0006_src-sinica-da-xiaoxuetang-site_checksum_or_failed_download_status_review_needed_next-action-result.md,doc/public/user_research/009_source-engineering-gap-review-queues/0006_src-sinica-da-xiaoxuetang-site_checksum_or_failed_download_status_review_needed_next-action-result.md,not_started,not_collected,,,,,,,,no_source_package_or_derivative_promotion_without_reviewed_download_status,open_download_log;verify_status_and_size_fields;confirm_checksum_absence_or_presence;record_retry_or_no-retry_decision,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_engineering_next_action_result_scaffold_not_scholarship,"This scaffold does not record completed evidence. It is not a rights decision, not source promotion, not a corpus import, not an oracle-character identity claim, and not a decipherment conclusion.",2026-06-19
source-engineering-next-action-result-scaffold-0007,source-engineering-next-action-0007,source-engineering-gap-evidence-snapshot-0007,source-engineering-gap-0007,source-engineering-gap-review-log-draft-0007,src-sinica-yinshang-oracle-vocabulary,checksum_or_failed_download_status_review_needed,2,checksum_and_download_status_review,corpus/009_statistics-and-derived-features/104_ai-agent-source-engineering-next-action-checklist.csv,doc/public/user_research/009_source-engineering-gap-review-queues/0007_src-sinica-yinshang-oracle-vocabulary_checksum_or_failed_download_status_review_needed_review-log.md,doc/public/user_research/009_source-engineering-gap-review-queues/0007_src-sinica-yinshang-oracle-vocabulary_checksum_or_failed_download_status_review_needed_next-action-result.md,doc/public/user_research/009_source-engineering-gap-review-queues/0007_src-sinica-yinshang-oracle-vocabulary_checksum_or_failed_download_status_review_needed_next-action-result.md,not_started,not_collected,,,,,,,,no_source_package_or_derivative_promotion_without_reviewed_download_status,open_download_log;verify_status_and_size_fields;confirm_checksum_absence_or_presence;record_retry_or_no-retry_decision,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_engineering_next_action_result_scaffold_not_scholarship,"This scaffold does not record completed evidence. It is not a rights decision, not source promotion, not a corpus import, not an oracle-character identity claim, and not a decipherment conclusion.",2026-06-19
source-engineering-next-action-result-scaffold-0008,source-engineering-next-action-0008,source-engineering-gap-evidence-snapshot-0008,source-engineering-gap-0008,source-engineering-gap-review-log-draft-0008,src-smithsonian-nmaa-oracle-bone,checksum_or_failed_download_status_review_needed,2,checksum_and_download_status_review,corpus/009_statistics-and-derived-features/104_ai-agent-source-engineering-next-action-checklist.csv,doc/public/user_research/009_source-engineering-gap-review-queues/0008_src-smithsonian-nmaa-oracle-bone_checksum_or_failed_download_status_review_needed_review-log.md,doc/public/user_research/009_source-engineering-gap-review-queues/0008_src-smithsonian-nmaa-oracle-bone_checksum_or_failed_download_status_review_needed_next-action-result.md,doc/public/user_research/009_source-engineering-gap-review-queues/0008_src-smithsonian-nmaa-oracle-bone_checksum_or_failed_download_status_review_needed_next-action-result.md,not_started,not_collected,,,,,,,,no_source_package_or_derivative_promotion_without_reviewed_download_status,open_download_log;verify_status_and_size_fields;confirm_checksum_absence_or_presence;record_retry_or_no-retry_decision,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_engineering_next_action_result_scaffold_not_scholarship,"This scaffold does not record completed evidence. It is not a rights decision, not source promotion, not a corpus import, not an oracle-character identity claim, and not a decipherment conclusion.",2026-06-19
source-engineering-next-action-result-scaffold-0009,source-engineering-next-action-0009,source-engineering-gap-evidence-snapshot-0009,source-engineering-gap-0009,source-engineering-gap-review-log-draft-0009,src-xiaoxuetang-jiaguwen,checksum_or_failed_download_status_review_needed,2,checksum_and_download_status_review,corpus/009_statistics-and-derived-features/104_ai-agent-source-engineering-next-action-checklist.csv,doc/public/user_research/009_source-engineering-gap-review-queues/0009_src-xiaoxuetang-jiaguwen_checksum_or_failed_download_status_review_needed_review-log.md,doc/public/user_research/009_source-engineering-gap-review-queues/0009_src-xiaoxuetang-jiaguwen_checksum_or_failed_download_status_review_needed_next-action-result.md,doc/public/user_research/009_source-engineering-gap-review-queues/0009_src-xiaoxuetang-jiaguwen_checksum_or_failed_download_status_review_needed_next-action-result.md,not_started,not_collected,,,,,,,,no_source_package_or_derivative_promotion_without_reviewed_download_status,open_download_log;verify_status_and_size_fields;confirm_checksum_absence_or_presence;record_retry_or_no-retry_decision,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_engineering_next_action_result_scaffold_not_scholarship,"This scaffold does not record completed evidence. It is not a rights decision, not source promotion, not a corpus import, not an oracle-character identity claim, and not a decipherment conclusion.",2026-06-19
source-engineering-next-action-result-scaffold-0010,source-engineering-next-action-0010,source-engineering-gap-evidence-snapshot-0010,source-engineering-gap-0010,source-engineering-gap-review-log-draft-0010,src-open-oracle,source_field_map_needed,5,source_field_map_planning,corpus/009_statistics-and-derived-features/104_ai-agent-source-engineering-next-action-checklist.csv,doc/public/user_research/009_source-engineering-gap-review-queues/0010_src-open-oracle_source_field_map_needed_review-log.md,doc/public/user_research/009_source-engineering-gap-review-queues/0010_src-open-oracle_source_field_map_needed_next-action-result.md,doc/public/user_research/009_source-engineering-gap-review-queues/0010_src-open-oracle_source_field_map_needed_next-action-result.md,not_started,not_collected,,,,,,,,no_import_until_field_semantics_are_reviewed,open_source_register;open_existing_field_map;identify_target_record_type;draft_field_mapping;mark_unknown_fields_pending_review,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_engineering_next_action_result_scaffold_not_scholarship,"This scaffold does not record completed evidence. It is not a rights decision, not source promotion, not a corpus import, not an oracle-character identity claim, and not a decipherment conclusion.",2026-06-19
