readiness_check_id,route_result_id,review_log_draft_id,codepoint_review_task_id,crosswalk_candidate_id,suggested_oracle_character_id,candidate_packet_capture_result_id,source_register_capture_result_ids,download_log_capture_result_ids,candidate_packet_id,source_ids_captured,download_ids_captured,route_cross_source_refs,candidate_packet_capture_count,source_register_capture_count,download_log_capture_count,captured_section_count,required_section_count,candidate_packet_evidence_status,source_register_evidence_statuses,download_log_evidence_statuses,candidate_packet_capture_status,source_register_capture_statuses,download_log_capture_statuses,candidate_packet_ready_status,source_register_ready_status,download_log_ready_status,overall_readiness_status,missing_required_sections,blocking_issue_count,source_register_rights_statuses,download_log_access_statuses,rights_decision_status,source_promotion_status,identity_claim_status,decipherment_claim_status,component_claim_status,evolution_chain_claim_status,research_boundary,checklist_status,evidence_pack_action,required_next_checks,caution,updated_at
codepoint-evidence-readiness-001,codepoint-crosswalk-route-result-001,codepoint-crosswalk-review-log-draft-001,codepoint-crosswalk-review-001,hust-obimd-evobc-xwalk-000047,obs-char-000047,codepoint-candidate-packet-capture-result-001,codepoint-source-register-capture-result-001;codepoint-source-register-capture-result-002;codepoint-source-register-capture-result-003,codepoint-download-log-capture-result-001;codepoint-download-log-capture-result-002;codepoint-download-log-capture-result-003;codepoint-download-log-capture-result-004;codepoint-download-log-capture-result-005,hust-obc-candidate-packet-000047,src-hust-obc;src-obimd;src-evobc,dl-hust-obc-validation-label;dl-hust-obc-ocr-id-to-chinese;dl-obimd-main-character-json;dl-evobc-key-value-json;dl-evobc-list-json,hust-obc-candidate-packet-000047;obs-cand-000047;46;obimd-main-cand-002255;evobc-evo-cat-00005,1,3,5,3,3,metadata_captured_from_reviewed_candidate_packet,metadata_captured_from_reviewed_source_register=3,metadata_captured_from_reviewed_download_log=5,reviewed_metadata_only,reviewed_metadata_only=3,reviewed_metadata_only=5,ready_metadata_only,ready_metadata_only,ready_metadata_only,ready_for_human_evidence_pack_review_metadata_only,none,0,src-hust-obc=source_marked_risk_noted;src-obimd=licensed_for_repository;src-evobc=source_marked_risk_noted,dl-hust-obc-validation-label=downloaded:200;dl-hust-obc-ocr-id-to-chinese=downloaded:200;dl-obimd-main-character-json=downloaded:200;dl-evobc-key-value-json=downloaded:200;dl-evobc-list-json=downloaded:200,no_new_rights_decision,not_promoted,no_identity_claim,no_claim,no_claim,no_claim,codepoint_crosswalk_evidence_readiness_checklist_not_scholarship,ready_for_human_review,open_review_log_draft_then_attach_metadata_captures,open_review_log_draft;verify_candidate_packet_source_register_download_log_rows;compare_against_xiaoxuetang_obm_and_primary_inscription_context_before_any_identity_or_decipherment_claim,"This row is a metadata-readiness checklist for later human evidence-pack review. It only confirms that 045 source-register metadata, 046 download-log metadata, and 047 candidate-packet metadata have been captured for the route; it is not source evidence by itself, not an oracle-character identity decision, not an accepted reading, not a component assignment, not an evolution-chain assignment, not a rights decision, not a source promotion, and not a decipherment conclusion.",2026-06-10
codepoint-evidence-readiness-002,codepoint-crosswalk-route-result-002,codepoint-crosswalk-review-log-draft-002,codepoint-crosswalk-review-002,hust-obimd-evobc-xwalk-000051,obs-char-000051,codepoint-candidate-packet-capture-result-002,codepoint-source-register-capture-result-004;codepoint-source-register-capture-result-005;codepoint-source-register-capture-result-006,codepoint-download-log-capture-result-006;codepoint-download-log-capture-result-007;codepoint-download-log-capture-result-008;codepoint-download-log-capture-result-009;codepoint-download-log-capture-result-010,hust-obc-candidate-packet-000051,src-hust-obc;src-obimd;src-evobc,dl-hust-obc-validation-label;dl-hust-obc-ocr-id-to-chinese;dl-obimd-main-character-json;dl-evobc-key-value-json;dl-evobc-list-json,hust-obc-candidate-packet-000051;obs-cand-000051;50;obimd-main-cand-001015;evobc-evo-cat-00006,1,3,5,3,3,metadata_captured_from_reviewed_candidate_packet,metadata_captured_from_reviewed_source_register=3,metadata_captured_from_reviewed_download_log=5,reviewed_metadata_only,reviewed_metadata_only=3,reviewed_metadata_only=5,ready_metadata_only,ready_metadata_only,ready_metadata_only,ready_for_human_evidence_pack_review_metadata_only,none,0,src-hust-obc=source_marked_risk_noted;src-obimd=licensed_for_repository;src-evobc=source_marked_risk_noted,dl-hust-obc-validation-label=downloaded:200;dl-hust-obc-ocr-id-to-chinese=downloaded:200;dl-obimd-main-character-json=downloaded:200;dl-evobc-key-value-json=downloaded:200;dl-evobc-list-json=downloaded:200,no_new_rights_decision,not_promoted,no_identity_claim,no_claim,no_claim,no_claim,codepoint_crosswalk_evidence_readiness_checklist_not_scholarship,ready_for_human_review,open_review_log_draft_then_attach_metadata_captures,open_review_log_draft;verify_candidate_packet_source_register_download_log_rows;compare_against_xiaoxuetang_obm_and_primary_inscription_context_before_any_identity_or_decipherment_claim,"This row is a metadata-readiness checklist for later human evidence-pack review. It only confirms that 045 source-register metadata, 046 download-log metadata, and 047 candidate-packet metadata have been captured for the route; it is not source evidence by itself, not an oracle-character identity decision, not an accepted reading, not a component assignment, not an evolution-chain assignment, not a rights decision, not a source promotion, and not a decipherment conclusion.",2026-06-10
codepoint-evidence-readiness-003,codepoint-crosswalk-route-result-003,codepoint-crosswalk-review-log-draft-003,codepoint-crosswalk-review-003,hust-obimd-evobc-xwalk-000209,obs-char-000209,codepoint-candidate-packet-capture-result-003,codepoint-source-register-capture-result-007;codepoint-source-register-capture-result-008;codepoint-source-register-capture-result-009,codepoint-download-log-capture-result-011;codepoint-download-log-capture-result-012;codepoint-download-log-capture-result-013;codepoint-download-log-capture-result-014;codepoint-download-log-capture-result-015,hust-obc-candidate-packet-000209,src-hust-obc;src-obimd;src-evobc,dl-hust-obc-validation-label;dl-hust-obc-ocr-id-to-chinese;dl-obimd-main-character-json;dl-evobc-key-value-json;dl-evobc-list-json,hust-obc-candidate-packet-000209;obs-cand-000209;208;obimd-main-cand-003002;evobc-evo-cat-00021,1,3,5,3,3,metadata_captured_from_reviewed_candidate_packet,metadata_captured_from_reviewed_source_register=3,metadata_captured_from_reviewed_download_log=5,reviewed_metadata_only,reviewed_metadata_only=3,reviewed_metadata_only=5,ready_metadata_only,ready_metadata_only,ready_metadata_only,ready_for_human_evidence_pack_review_metadata_only,none,0,src-hust-obc=source_marked_risk_noted;src-obimd=licensed_for_repository;src-evobc=source_marked_risk_noted,dl-hust-obc-validation-label=downloaded:200;dl-hust-obc-ocr-id-to-chinese=downloaded:200;dl-obimd-main-character-json=downloaded:200;dl-evobc-key-value-json=downloaded:200;dl-evobc-list-json=downloaded:200,no_new_rights_decision,not_promoted,no_identity_claim,no_claim,no_claim,no_claim,codepoint_crosswalk_evidence_readiness_checklist_not_scholarship,ready_for_human_review,open_review_log_draft_then_attach_metadata_captures,open_review_log_draft;verify_candidate_packet_source_register_download_log_rows;compare_against_xiaoxuetang_obm_and_primary_inscription_context_before_any_identity_or_decipherment_claim,"This row is a metadata-readiness checklist for later human evidence-pack review. It only confirms that 045 source-register metadata, 046 download-log metadata, and 047 candidate-packet metadata have been captured for the route; it is not source evidence by itself, not an oracle-character identity decision, not an accepted reading, not a component assignment, not an evolution-chain assignment, not a rights decision, not a source promotion, and not a decipherment conclusion.",2026-06-10
codepoint-evidence-readiness-004,codepoint-crosswalk-route-result-004,codepoint-crosswalk-review-log-draft-004,codepoint-crosswalk-review-004,hust-obimd-evobc-xwalk-000412,obs-char-000412,codepoint-candidate-packet-capture-result-004,codepoint-source-register-capture-result-010;codepoint-source-register-capture-result-011;codepoint-source-register-capture-result-012,codepoint-download-log-capture-result-016;codepoint-download-log-capture-result-017;codepoint-download-log-capture-result-018;codepoint-download-log-capture-result-019;codepoint-download-log-capture-result-020,hust-obc-candidate-packet-000412,src-hust-obc;src-obimd;src-evobc,dl-hust-obc-validation-label;dl-hust-obc-ocr-id-to-chinese;dl-obimd-main-character-json;dl-evobc-key-value-json;dl-evobc-list-json,hust-obc-candidate-packet-000412;obs-cand-000412;411;obimd-main-cand-001642;evobc-evo-cat-00035,1,3,5,3,3,metadata_captured_from_reviewed_candidate_packet,metadata_captured_from_reviewed_source_register=3,metadata_captured_from_reviewed_download_log=5,reviewed_metadata_only,reviewed_metadata_only=3,reviewed_metadata_only=5,ready_metadata_only,ready_metadata_only,ready_metadata_only,ready_for_human_evidence_pack_review_metadata_only,none,0,src-hust-obc=source_marked_risk_noted;src-obimd=licensed_for_repository;src-evobc=source_marked_risk_noted,dl-hust-obc-validation-label=downloaded:200;dl-hust-obc-ocr-id-to-chinese=downloaded:200;dl-obimd-main-character-json=downloaded:200;dl-evobc-key-value-json=downloaded:200;dl-evobc-list-json=downloaded:200,no_new_rights_decision,not_promoted,no_identity_claim,no_claim,no_claim,no_claim,codepoint_crosswalk_evidence_readiness_checklist_not_scholarship,ready_for_human_review,open_review_log_draft_then_attach_metadata_captures,open_review_log_draft;verify_candidate_packet_source_register_download_log_rows;compare_against_xiaoxuetang_obm_and_primary_inscription_context_before_any_identity_or_decipherment_claim,"This row is a metadata-readiness checklist for later human evidence-pack review. It only confirms that 045 source-register metadata, 046 download-log metadata, and 047 candidate-packet metadata have been captured for the route; it is not source evidence by itself, not an oracle-character identity decision, not an accepted reading, not a component assignment, not an evolution-chain assignment, not a rights decision, not a source promotion, and not a decipherment conclusion.",2026-06-10
codepoint-evidence-readiness-005,codepoint-crosswalk-route-result-005,codepoint-crosswalk-review-log-draft-005,codepoint-crosswalk-review-005,hust-obimd-evobc-xwalk-000486,obs-char-000486,codepoint-candidate-packet-capture-result-005,codepoint-source-register-capture-result-013;codepoint-source-register-capture-result-014;codepoint-source-register-capture-result-015,codepoint-download-log-capture-result-021;codepoint-download-log-capture-result-022;codepoint-download-log-capture-result-023;codepoint-download-log-capture-result-024;codepoint-download-log-capture-result-025,hust-obc-candidate-packet-000486,src-hust-obc;src-obimd;src-evobc,dl-hust-obc-validation-label;dl-hust-obc-ocr-id-to-chinese;dl-obimd-main-character-json;dl-evobc-key-value-json;dl-evobc-list-json,hust-obc-candidate-packet-000486;obs-cand-000486;485;obimd-main-cand-002432;evobc-evo-cat-00038,1,3,5,3,3,metadata_captured_from_reviewed_candidate_packet,metadata_captured_from_reviewed_source_register=3,metadata_captured_from_reviewed_download_log=5,reviewed_metadata_only,reviewed_metadata_only=3,reviewed_metadata_only=5,ready_metadata_only,ready_metadata_only,ready_metadata_only,ready_for_human_evidence_pack_review_metadata_only,none,0,src-hust-obc=source_marked_risk_noted;src-obimd=licensed_for_repository;src-evobc=source_marked_risk_noted,dl-hust-obc-validation-label=downloaded:200;dl-hust-obc-ocr-id-to-chinese=downloaded:200;dl-obimd-main-character-json=downloaded:200;dl-evobc-key-value-json=downloaded:200;dl-evobc-list-json=downloaded:200,no_new_rights_decision,not_promoted,no_identity_claim,no_claim,no_claim,no_claim,codepoint_crosswalk_evidence_readiness_checklist_not_scholarship,ready_for_human_review,open_review_log_draft_then_attach_metadata_captures,open_review_log_draft;verify_candidate_packet_source_register_download_log_rows;compare_against_xiaoxuetang_obm_and_primary_inscription_context_before_any_identity_or_decipherment_claim,"This row is a metadata-readiness checklist for later human evidence-pack review. It only confirms that 045 source-register metadata, 046 download-log metadata, and 047 candidate-packet metadata have been captured for the route; it is not source evidence by itself, not an oracle-character identity decision, not an accepted reading, not a component assignment, not an evolution-chain assignment, not a rights decision, not a source promotion, and not a decipherment conclusion.",2026-06-10
codepoint-evidence-readiness-006,codepoint-crosswalk-route-result-006,codepoint-crosswalk-review-log-draft-006,codepoint-crosswalk-review-006,hust-obimd-evobc-xwalk-000621,obs-char-000621,codepoint-candidate-packet-capture-result-006,codepoint-source-register-capture-result-016;codepoint-source-register-capture-result-017;codepoint-source-register-capture-result-018,codepoint-download-log-capture-result-026;codepoint-download-log-capture-result-027;codepoint-download-log-capture-result-028;codepoint-download-log-capture-result-029;codepoint-download-log-capture-result-030,hust-obc-candidate-packet-000621,src-hust-obc;src-obimd;src-evobc,dl-hust-obc-validation-label;dl-hust-obc-ocr-id-to-chinese;dl-obimd-main-character-json;dl-evobc-key-value-json;dl-evobc-list-json,hust-obc-candidate-packet-000621;obs-cand-000621;620;obimd-main-cand-001412;evobc-evo-cat-00049,1,3,5,3,3,metadata_captured_from_reviewed_candidate_packet,metadata_captured_from_reviewed_source_register=3,metadata_captured_from_reviewed_download_log=5,reviewed_metadata_only,reviewed_metadata_only=3,reviewed_metadata_only=5,ready_metadata_only,ready_metadata_only,ready_metadata_only,ready_for_human_evidence_pack_review_metadata_only,none,0,src-hust-obc=source_marked_risk_noted;src-obimd=licensed_for_repository;src-evobc=source_marked_risk_noted,dl-hust-obc-validation-label=downloaded:200;dl-hust-obc-ocr-id-to-chinese=downloaded:200;dl-obimd-main-character-json=downloaded:200;dl-evobc-key-value-json=downloaded:200;dl-evobc-list-json=downloaded:200,no_new_rights_decision,not_promoted,no_identity_claim,no_claim,no_claim,no_claim,codepoint_crosswalk_evidence_readiness_checklist_not_scholarship,ready_for_human_review,open_review_log_draft_then_attach_metadata_captures,open_review_log_draft;verify_candidate_packet_source_register_download_log_rows;compare_against_xiaoxuetang_obm_and_primary_inscription_context_before_any_identity_or_decipherment_claim,"This row is a metadata-readiness checklist for later human evidence-pack review. It only confirms that 045 source-register metadata, 046 download-log metadata, and 047 candidate-packet metadata have been captured for the route; it is not source evidence by itself, not an oracle-character identity decision, not an accepted reading, not a component assignment, not an evolution-chain assignment, not a rights decision, not a source promotion, and not a decipherment conclusion.",2026-06-10
codepoint-evidence-readiness-007,codepoint-crosswalk-route-result-007,codepoint-crosswalk-review-log-draft-007,codepoint-crosswalk-review-007,hust-obimd-evobc-xwalk-000771,obs-char-000771,codepoint-candidate-packet-capture-result-007,codepoint-source-register-capture-result-019;codepoint-source-register-capture-result-020;codepoint-source-register-capture-result-021,codepoint-download-log-capture-result-031;codepoint-download-log-capture-result-032;codepoint-download-log-capture-result-033;codepoint-download-log-capture-result-034;codepoint-download-log-capture-result-035,hust-obc-candidate-packet-000771,src-hust-obc;src-obimd;src-evobc,dl-hust-obc-validation-label;dl-hust-obc-ocr-id-to-chinese;dl-obimd-main-character-json;dl-evobc-key-value-json;dl-evobc-list-json,hust-obc-candidate-packet-000771;obs-cand-000771;770;obimd-main-cand-002291;evobc-evo-cat-00070,1,3,5,3,3,metadata_captured_from_reviewed_candidate_packet,metadata_captured_from_reviewed_source_register=3,metadata_captured_from_reviewed_download_log=5,reviewed_metadata_only,reviewed_metadata_only=3,reviewed_metadata_only=5,ready_metadata_only,ready_metadata_only,ready_metadata_only,ready_for_human_evidence_pack_review_metadata_only,none,0,src-hust-obc=source_marked_risk_noted;src-obimd=licensed_for_repository;src-evobc=source_marked_risk_noted,dl-hust-obc-validation-label=downloaded:200;dl-hust-obc-ocr-id-to-chinese=downloaded:200;dl-obimd-main-character-json=downloaded:200;dl-evobc-key-value-json=downloaded:200;dl-evobc-list-json=downloaded:200,no_new_rights_decision,not_promoted,no_identity_claim,no_claim,no_claim,no_claim,codepoint_crosswalk_evidence_readiness_checklist_not_scholarship,ready_for_human_review,open_review_log_draft_then_attach_metadata_captures,open_review_log_draft;verify_candidate_packet_source_register_download_log_rows;compare_against_xiaoxuetang_obm_and_primary_inscription_context_before_any_identity_or_decipherment_claim,"This row is a metadata-readiness checklist for later human evidence-pack review. It only confirms that 045 source-register metadata, 046 download-log metadata, and 047 candidate-packet metadata have been captured for the route; it is not source evidence by itself, not an oracle-character identity decision, not an accepted reading, not a component assignment, not an evolution-chain assignment, not a rights decision, not a source promotion, and not a decipherment conclusion.",2026-06-10
codepoint-evidence-readiness-008,codepoint-crosswalk-route-result-008,codepoint-crosswalk-review-log-draft-008,codepoint-crosswalk-review-008,hust-obimd-evobc-xwalk-000780,obs-char-000780,codepoint-candidate-packet-capture-result-008,codepoint-source-register-capture-result-022;codepoint-source-register-capture-result-023;codepoint-source-register-capture-result-024,codepoint-download-log-capture-result-036;codepoint-download-log-capture-result-037;codepoint-download-log-capture-result-038;codepoint-download-log-capture-result-039;codepoint-download-log-capture-result-040,hust-obc-candidate-packet-000780,src-hust-obc;src-obimd;src-evobc,dl-hust-obc-validation-label;dl-hust-obc-ocr-id-to-chinese;dl-obimd-main-character-json;dl-evobc-key-value-json;dl-evobc-list-json,hust-obc-candidate-packet-000780;obs-cand-000780;779;obimd-main-cand-003071;evobc-evo-cat-00074,1,3,5,3,3,metadata_captured_from_reviewed_candidate_packet,metadata_captured_from_reviewed_source_register=3,metadata_captured_from_reviewed_download_log=5,reviewed_metadata_only,reviewed_metadata_only=3,reviewed_metadata_only=5,ready_metadata_only,ready_metadata_only,ready_metadata_only,ready_for_human_evidence_pack_review_metadata_only,none,0,src-hust-obc=source_marked_risk_noted;src-obimd=licensed_for_repository;src-evobc=source_marked_risk_noted,dl-hust-obc-validation-label=downloaded:200;dl-hust-obc-ocr-id-to-chinese=downloaded:200;dl-obimd-main-character-json=downloaded:200;dl-evobc-key-value-json=downloaded:200;dl-evobc-list-json=downloaded:200,no_new_rights_decision,not_promoted,no_identity_claim,no_claim,no_claim,no_claim,codepoint_crosswalk_evidence_readiness_checklist_not_scholarship,ready_for_human_review,open_review_log_draft_then_attach_metadata_captures,open_review_log_draft;verify_candidate_packet_source_register_download_log_rows;compare_against_xiaoxuetang_obm_and_primary_inscription_context_before_any_identity_or_decipherment_claim,"This row is a metadata-readiness checklist for later human evidence-pack review. It only confirms that 045 source-register metadata, 046 download-log metadata, and 047 candidate-packet metadata have been captured for the route; it is not source evidence by itself, not an oracle-character identity decision, not an accepted reading, not a component assignment, not an evolution-chain assignment, not a rights decision, not a source promotion, and not a decipherment conclusion.",2026-06-10
codepoint-evidence-readiness-009,codepoint-crosswalk-route-result-009,codepoint-crosswalk-review-log-draft-009,codepoint-crosswalk-review-009,hust-obimd-evobc-xwalk-000782,obs-char-000782,codepoint-candidate-packet-capture-result-009,codepoint-source-register-capture-result-025;codepoint-source-register-capture-result-026;codepoint-source-register-capture-result-027,codepoint-download-log-capture-result-041;codepoint-download-log-capture-result-042;codepoint-download-log-capture-result-043;codepoint-download-log-capture-result-044;codepoint-download-log-capture-result-045,hust-obc-candidate-packet-000782,src-hust-obc;src-obimd;src-evobc,dl-hust-obc-validation-label;dl-hust-obc-ocr-id-to-chinese;dl-obimd-main-character-json;dl-evobc-key-value-json;dl-evobc-list-json,hust-obc-candidate-packet-000782;obs-cand-000782;781;obimd-main-cand-000981;evobc-evo-cat-00075,1,3,5,3,3,metadata_captured_from_reviewed_candidate_packet,metadata_captured_from_reviewed_source_register=3,metadata_captured_from_reviewed_download_log=5,reviewed_metadata_only,reviewed_metadata_only=3,reviewed_metadata_only=5,ready_metadata_only,ready_metadata_only,ready_metadata_only,ready_for_human_evidence_pack_review_metadata_only,none,0,src-hust-obc=source_marked_risk_noted;src-obimd=licensed_for_repository;src-evobc=source_marked_risk_noted,dl-hust-obc-validation-label=downloaded:200;dl-hust-obc-ocr-id-to-chinese=downloaded:200;dl-obimd-main-character-json=downloaded:200;dl-evobc-key-value-json=downloaded:200;dl-evobc-list-json=downloaded:200,no_new_rights_decision,not_promoted,no_identity_claim,no_claim,no_claim,no_claim,codepoint_crosswalk_evidence_readiness_checklist_not_scholarship,ready_for_human_review,open_review_log_draft_then_attach_metadata_captures,open_review_log_draft;verify_candidate_packet_source_register_download_log_rows;compare_against_xiaoxuetang_obm_and_primary_inscription_context_before_any_identity_or_decipherment_claim,"This row is a metadata-readiness checklist for later human evidence-pack review. It only confirms that 045 source-register metadata, 046 download-log metadata, and 047 candidate-packet metadata have been captured for the route; it is not source evidence by itself, not an oracle-character identity decision, not an accepted reading, not a component assignment, not an evolution-chain assignment, not a rights decision, not a source promotion, and not a decipherment conclusion.",2026-06-10
codepoint-evidence-readiness-010,codepoint-crosswalk-route-result-010,codepoint-crosswalk-review-log-draft-010,codepoint-crosswalk-review-010,hust-obimd-evobc-xwalk-000791,obs-char-000791,codepoint-candidate-packet-capture-result-010,codepoint-source-register-capture-result-028;codepoint-source-register-capture-result-029;codepoint-source-register-capture-result-030,codepoint-download-log-capture-result-046;codepoint-download-log-capture-result-047;codepoint-download-log-capture-result-048;codepoint-download-log-capture-result-049;codepoint-download-log-capture-result-050,hust-obc-candidate-packet-000791,src-hust-obc;src-obimd;src-evobc,dl-hust-obc-validation-label;dl-hust-obc-ocr-id-to-chinese;dl-obimd-main-character-json;dl-evobc-key-value-json;dl-evobc-list-json,hust-obc-candidate-packet-000791;obs-cand-000791;790;obimd-main-cand-000853;evobc-evo-cat-00078,1,3,5,3,3,metadata_captured_from_reviewed_candidate_packet,metadata_captured_from_reviewed_source_register=3,metadata_captured_from_reviewed_download_log=5,reviewed_metadata_only,reviewed_metadata_only=3,reviewed_metadata_only=5,ready_metadata_only,ready_metadata_only,ready_metadata_only,ready_for_human_evidence_pack_review_metadata_only,none,0,src-hust-obc=source_marked_risk_noted;src-obimd=licensed_for_repository;src-evobc=source_marked_risk_noted,dl-hust-obc-validation-label=downloaded:200;dl-hust-obc-ocr-id-to-chinese=downloaded:200;dl-obimd-main-character-json=downloaded:200;dl-evobc-key-value-json=downloaded:200;dl-evobc-list-json=downloaded:200,no_new_rights_decision,not_promoted,no_identity_claim,no_claim,no_claim,no_claim,codepoint_crosswalk_evidence_readiness_checklist_not_scholarship,ready_for_human_review,open_review_log_draft_then_attach_metadata_captures,open_review_log_draft;verify_candidate_packet_source_register_download_log_rows;compare_against_xiaoxuetang_obm_and_primary_inscription_context_before_any_identity_or_decipherment_claim,"This row is a metadata-readiness checklist for later human evidence-pack review. It only confirms that 045 source-register metadata, 046 download-log metadata, and 047 candidate-packet metadata have been captured for the route; it is not source evidence by itself, not an oracle-character identity decision, not an accepted reading, not a component assignment, not an evolution-chain assignment, not a rights decision, not a source promotion, and not a decipherment conclusion.",2026-06-10
