quality_row_id,dataset_id,dataset_type,path,row_count,key_fields,required_fields,duplicate_key_count,missing_required_value_count,unknown_source_ref_count,unknown_download_ref_count,unknown_large_source_ref_count,missing_path_count,boundary_status_violation_count,issue_count,completeness_percent,status_counts,quality_status,caution,updated_at
data-quality-001,source_index,source_registry,corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,21,source_id,source_id;source_type;title;provider;source_url;rights_status;risk_note;review_status,0,0,0,0,0,0,0,0,100.00,review_status=reviewed:21,pass,"Data-quality audit only; zero engineering issues here does not confirm oracle-character identity, readings, components, inscription context, or evolution/correspondence claims.",2026-06-19
data-quality-002,source_download_manifest,download_manifest,corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv,46,download_id,download_id;source_id;url;artifact_kind;commit_policy;max_bytes,0,0,0,0,0,0,0,0,100.00,,pass,"Data-quality audit only; zero engineering issues here does not confirm oracle-character identity, readings, components, inscription context, or evolution/correspondence claims.",2026-06-19
data-quality-003,source_download_log,download_log,project_registry/006_large-source-register/002_source-download-log.csv,47,download_id,download_id;source_id;url;downloaded_at;status;risk_note,0,0,0,0,0,0,0,0,100.00,,pass,"Data-quality audit only; zero engineering issues here does not confirm oracle-character identity, readings, components, inscription context, or evolution/correspondence claims.",2026-06-19
data-quality-004,large_source_register,large_source_register,project_registry/006_large-source-register/001_large-source-register.csv,3,source_package_id,source_package_id;title;provider;source_url;storage_status;handling_strategy;derived_record_paths;rights_status;risk_note;review_status,0,0,0,0,0,0,0,0,100.00,review_status=reviewed_metadata_only:3,pass,"Data-quality audit only; zero engineering issues here does not confirm oracle-character identity, readings, components, inscription context, or evolution/correspondence claims.",2026-06-19
data-quality-005,source_package_file_manifest,package_manifest,corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv,14,package_file_id,package_file_id;source_package_id;source_id;file_name;file_kind;commit_policy;handling_strategy;rights_status;review_status,0,0,0,0,0,0,0,0,100.00,review_status=reviewed_metadata_only:14,pass,"Data-quality audit only; zero engineering issues here does not confirm oracle-character identity, readings, components, inscription context, or evolution/correspondence claims.",2026-06-19
data-quality-006,asset_source_index,asset_registry,project_registry/004_asset-source-and-rights-index/001_asset-source-index.csv,1005,asset_id,asset_id;asset_type;canonical_path;file_size_bytes;primary_external_ref_id;source_ids;rights_status;risk_note;review_status,0,0,0,0,0,0,0,0,100.00,review_status=needs_human_visual_review:1002;review_status=reviewed:3,pass,"Data-quality audit only; zero engineering issues here does not confirm oracle-character identity, readings, components, inscription context, or evolution/correspondence claims.",2026-06-19
data-quality-007,hust_obc_promotion_review_queue,candidate_character_queue,corpus/001_oracle-characters/000_character-registers/009_hust-obc-obs-char-promotion-review-queue.csv,1588,promotion_queue_id,promotion_queue_id;suggested_oracle_character_id;suggested_character_directory;candidate_class_id;source_id;primary_external_ref_id;promotion_status;required_next_review;rights_status;caution;review_status,0,0,0,0,0,0,0,0,100.00,assignment_status=reserved_candidate_not_assigned:1588;promotion_status=needs_cross_source_review:1588;review_status=needs_review:1588,pass,"Data-quality audit only; zero engineering issues here does not confirm oracle-character identity, readings, components, inscription context, or evolution/correspondence claims.",2026-06-19
data-quality-008,hust_obc_undeciphered_candidate_index,undeciphered_candidate_index,corpus/001_oracle-characters/000_character-registers/003_undeciphered-oracle-characters-index.csv,9408,unknown_candidate_id,unknown_candidate_id;source_id;source_package_id;evidence_download_id;primary_external_ref_id;source_image_count;materialized_candidate_packet_path;identity_claim_status;promotion_status;rights_status;caution;review_status,0,0,0,0,0,0,0,0,100.00,assignment_status=unknown_candidate_id_not_formal_obs_char_assignment:9408;identity_claim_status=no_identity_claim:9408;promotion_status=not_promoted:9408;review_status=reviewed_metadata_only:9408,pass,"Data-quality audit only; zero engineering issues here does not confirm oracle-character identity, readings, components, inscription context, or evolution/correspondence claims.",2026-06-19
data-quality-009,obimd_main_character_staging,component_glyph_staging,corpus/001_oracle-characters/000_character-registers/006_obimd-main-character-staging.csv,3936,candidate_main_character_id,candidate_main_character_id;source_id;evidence_download_id;source_uid;primary_external_ref_id;codepoint;project_import_status;rights_status;caution;review_status,0,0,0,0,0,0,0,0,100.00,review_status=reviewed_metadata_only:3936,pass,"Data-quality audit only; zero engineering issues here does not confirm oracle-character identity, readings, components, inscription context, or evolution/correspondence claims.",2026-06-19
data-quality-010,hust_obimd_evobc_codepoint_crosswalk,cross_source_candidate_crosswalk,corpus/001_oracle-characters/000_character-registers/011_hust-obimd-evobc-codepoint-crosswalk-staging.csv,1588,crosswalk_candidate_id,crosswalk_candidate_id;suggested_oracle_character_id;promotion_queue_id;hust_primary_external_ref_id;matched_source_ids;cross_source_status;identity_claim_status;promotion_status;rights_status;review_status;route_files;caution,0,0,0,0,0,0,0,0,100.00,identity_claim_status=no_identity_claim:1588;promotion_status=not_promoted:1588;review_status=needs_cross_source_review:1588,pass,"Data-quality audit only; zero engineering issues here does not confirm oracle-character identity, readings, components, inscription context, or evolution/correspondence claims.",2026-06-19
data-quality-011,cambridge_hopkins_inscription_crosswalk_review_queue,inscription_crosswalk_review_queue,corpus/009_statistics-and-derived-features/098_ai-agent-cambridge-hopkins-inscription-crosswalk-review-queue.csv,612,cambridge_hopkins_review_task_id,cambridge_hopkins_review_task_id;candidate_inscription_crosswalk_id;source_id;evidence_download_id;priority_rank;priority_bucket;yingguo_ref_id;missing_reference_count;required_next_checks;route_files_to_open;formal_inscription_assignment_status;catalog_identity_claim_status;image_evidence_status;text_transcription_status;collection_object_match_status;task_status;research_boundary;rights_status;review_status;caution,0,0,0,0,0,0,0,0,100.00,review_status=needs_human_review:612,pass,"Data-quality audit only; zero engineering issues here does not confirm oracle-character identity, readings, components, inscription context, or evolution/correspondence claims.",2026-06-19
data-quality-012,source_engineering_gap_queue,source_engineering_gap_queue,corpus/009_statistics-and-derived-features/099_ai-agent-source-engineering-gap-queue.csv,45,source_engineering_gap_id,source_engineering_gap_id;source_id;priority_rank;gap_type;current_stage;rights_status;observed_gap_evidence;required_next_checks;route_files_to_open;expected_output_path;commit_policy_boundary;source_promotion_status;research_boundary;review_status;caution,0,0,0,0,0,0,0,0,100.00,review_status=needs_source_engineering_review:45;source_promotion_status=not_promoted:45,pass,"Data-quality audit only; zero engineering issues here does not confirm oracle-character identity, readings, components, inscription context, or evolution/correspondence claims.",2026-06-19
data-quality-013,source_engineering_execution_matrix,source_engineering_execution_matrix,corpus/009_statistics-and-derived-features/100_ai-agent-source-engineering-execution-matrix.csv,21,source_execution_id,source_execution_id;source_id;current_stage;authority_tier;rights_status;gap_count;highest_priority_rank;safe_derivative_route_status;source_promotion_status;commit_policy_boundary;research_boundary;review_status;caution,0,0,0,0,0,0,0,0,100.00,review_status=needs_source_engineering_review:18;review_status=no_current_source_engineering_gap:3;source_promotion_status=not_promoted:21,pass,"Data-quality audit only; zero engineering issues here does not confirm oracle-character identity, readings, components, inscription context, or evolution/correspondence claims.",2026-06-19
data-quality-014,source_engineering_gap_review_log_draft_manifest,source_engineering_gap_review_log_draft_manifest,corpus/009_statistics-and-derived-features/102_ai-agent-source-engineering-gap-review-log-draft-manifest.csv,45,review_log_draft_id,review_log_draft_id;source_engineering_gap_id;source_id;gap_type;priority_rank;draft_path;source_queue_path;route_files_to_open;observed_gap_evidence;required_next_checks;draft_status;evidence_collection_status;human_review_status;rights_decision_status;source_promotion_status;commit_policy_boundary;research_boundary;caution,0,0,0,0,0,0,0,0,100.00,draft_status=draft_not_collected:45;evidence_collection_status=not_collected:45;human_review_status=pending_human_review:45;rights_decision_status=no_new_rights_decision:45;source_promotion_status=not_promoted:45,pass,"Data-quality audit only; zero engineering issues here does not confirm oracle-character identity, readings, components, inscription context, or evolution/correspondence claims.",2026-06-19
data-quality-015,source_engineering_gap_evidence_snapshot,source_engineering_gap_evidence_snapshot,corpus/009_statistics-and-derived-features/103_ai-agent-source-engineering-gap-evidence-snapshot.csv,45,evidence_snapshot_id,evidence_snapshot_id;source_engineering_gap_id;review_log_draft_id;source_id;gap_type;priority_rank;current_stage;source_title;provider;source_url;authority_tier;rights_status;risk_note;source_review_status;route_files_to_open;route_file_missing_count;draft_path;required_next_checks;evidence_status;rights_decision_status;source_promotion_status;corpus_import_status;research_boundary;caution,0,0,0,0,0,0,0,0,100.00,corpus_import_status=not_imported:45;evidence_status=metadata_only_existing_records_snapshot:45;rights_decision_status=no_new_rights_decision:45;source_promotion_status=not_promoted:45,pass,"Data-quality audit only; zero engineering issues here does not confirm oracle-character identity, readings, components, inscription context, or evolution/correspondence claims.",2026-06-19
data-quality-016,source_engineering_next_action_checklist,source_engineering_next_action_checklist,corpus/009_statistics-and-derived-features/104_ai-agent-source-engineering-next-action-checklist.csv,45,next_action_id,next_action_id;evidence_snapshot_id;source_engineering_gap_id;review_log_draft_id;source_id;gap_type;priority_rank;action_lane;automation_scope;human_gate;primary_input_path;secondary_input_paths;review_log_path;expected_result_path;checklist_items;blocking_condition;safe_to_automate_status;action_status;human_review_status;rights_decision_status;source_promotion_status;corpus_import_status;research_boundary;caution,0,0,0,0,0,0,0,0,100.00,action_status=ready_for_source_engineering_review:45;corpus_import_status=not_imported:45;human_review_status=pending_human_review:45;rights_decision_status=no_new_rights_decision:45;safe_to_automate_status=metadata_audit_safe_checksum_recalculation_blocked:5;safe_to_automate_status=metadata_review_safe_manifest_decision_requires_human:15;safe_to_automate_status=metadata_routing_safe_content_capture_blocked:6;safe_to_automate_status=planning_safe_derivative_promotion_blocked:10;safe_to_automate_status=schema_scaffold_safe_semantic_mapping_requires_review:4;safe_to_automate_status=scriptable_after_route_review:5;source_promotion_status=not_promoted:45,pass,"Data-quality audit only; zero engineering issues here does not confirm oracle-character identity, readings, components, inscription context, or evolution/correspondence claims.",2026-06-19
