source_summary_id,source_id,source_type,rights_status,pipeline_gap_status,review_lanes,phase_names,route_count,downloaded_count_max,checksum_present_count_max,package_manifest_count_max,metadata_profile_count_max,candidate_queue_count_total,cross_source_crosswalk_match_count_total,graph_edge_count_total,route_ids,result_scaffold_ids,action_ids,phase_row_ids,action_types,action_priorities,route_files_to_open,phase_evidence_paths,source_route_summary_path,action_result_scaffold_path,route_status,result_status,evidence_collection_status,reviewed_evidence_paths,reviewed_outcome_summary,remaining_blockers_reviewed,required_followup_reviewed,human_review_status,rights_decision_status,source_promotion_status,corpus_import_status,decipherment_claim_status,research_boundary,caution,updated_at
source-pipeline-phase-action-source-summary-001,src-british-museum-oracle-bone,museum_collection,metadata_only_until_verified,needs_download_or_access_review,access_and_checksum_boundary_resolution,cleaned;downloaded;extracted;linked;structured;unpacked;verified,7,0,0,0,0,0,0,0,source-pipeline-phase-action-route-001;source-pipeline-phase-action-route-002;source-pipeline-phase-action-route-003;source-pipeline-phase-action-route-004;source-pipeline-phase-action-route-005;source-pipeline-phase-action-route-006;source-pipeline-phase-action-route-007,source-pipeline-phase-action-result-scaffold-001;source-pipeline-phase-action-result-scaffold-002;source-pipeline-phase-action-result-scaffold-003;source-pipeline-phase-action-result-scaffold-004;source-pipeline-phase-action-result-scaffold-005;source-pipeline-phase-action-result-scaffold-006;source-pipeline-phase-action-result-scaffold-007,source-pipeline-phase-action-001;source-pipeline-phase-action-002;source-pipeline-phase-action-003;source-pipeline-phase-action-004;source-pipeline-phase-action-005;source-pipeline-phase-action-006;source-pipeline-phase-action-007,source-pipeline-phase-001,create_or_review_structured_derivatives;plan_metadata_or_record_extraction;record_human_review_outcome;resolve_download_or_access_boundary;review_cleaning_and_normalization_rules;review_cross_source_or_graph_linkage;review_package_manifest_or_raw_package_handling,high_access_boundary_review;high_package_boundary_review;human_outcome_review;source_pipeline_review,corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/007_source-field-map.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv;project_registry/006_large-source-register/001_large-source-register.csv,corpus/009_statistics-and-derived-features/134_ai-agent-source-pipeline-evidence-ledger.csv;corpus/009_statistics-and-derived-features/133_ai-agent-source-pipeline-gap-review-checklist.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv,corpus/009_statistics-and-derived-features/139_source-pipeline-phase-action-route-summary.json,corpus/009_statistics-and-derived-features/138_source-pipeline-phase-action-result-scaffold.csv,not_started,not_started,not_collected,,,open_source_register_and_risk_note;verify_rights_status_before_any_use;verify_download_or_access_boundary;verify_field_map_absence_or_plan;review_package_manifest_or_not_applicable;review_metadata_profile_or_not_applicable;record_human_review_outcome_before_promotion,,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_pipeline_phase_action_source_summary_not_scholarship,"This source pipeline phase action source summary is routing-only. It is not collected evidence, not a reviewed outcome, not a rights decision, not source promotion, not a corpus import, and not a decipherment conclusion.",2026-06-19
source-pipeline-phase-action-source-summary-002,src-cambridge-hopkins,library_collection,metadata_only_until_verified,needs_safe_derived_record_review,safe_derived_record_decision,unpacked;verified,2,1,1,0,0,0,0,8806,source-pipeline-phase-action-route-008;source-pipeline-phase-action-route-009,source-pipeline-phase-action-result-scaffold-008;source-pipeline-phase-action-result-scaffold-009,source-pipeline-phase-action-008;source-pipeline-phase-action-009,source-pipeline-phase-002,record_human_review_outcome;review_package_manifest_or_raw_package_handling,high_package_boundary_review;human_outcome_review,corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/007_source-field-map.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv;project_registry/006_large-source-register/001_large-source-register.csv,corpus/009_statistics-and-derived-features/134_ai-agent-source-pipeline-evidence-ledger.csv;corpus/009_statistics-and-derived-features/133_ai-agent-source-pipeline-gap-review-checklist.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv,corpus/009_statistics-and-derived-features/139_source-pipeline-phase-action-route-summary.json,corpus/009_statistics-and-derived-features/138_source-pipeline-phase-action-result-scaffold.csv,not_started,not_started,not_collected,,,open_source_register_and_risk_note;verify_rights_status_before_any_use;review_package_manifest_or_not_applicable;review_metadata_profile_or_not_applicable;review_candidate_or_graph_derivatives;record_human_review_outcome_before_promotion,,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_pipeline_phase_action_source_summary_not_scholarship,"This source pipeline phase action source summary is routing-only. It is not collected evidence, not a reviewed outcome, not a rights decision, not source promotion, not a corpus import, and not a decipherment conclusion.",2026-06-19
source-pipeline-phase-action-source-summary-003,src-evobc,open_research_dataset,source_marked_risk_noted,needs_safe_derived_record_review,safe_derived_record_decision,verified,1,5,5,3,7,0,127,51679,source-pipeline-phase-action-route-010,source-pipeline-phase-action-result-scaffold-010,source-pipeline-phase-action-010,source-pipeline-phase-003,record_human_review_outcome,human_outcome_review,corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/007_source-field-map.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv;project_registry/006_large-source-register/001_large-source-register.csv,corpus/009_statistics-and-derived-features/134_ai-agent-source-pipeline-evidence-ledger.csv;corpus/009_statistics-and-derived-features/133_ai-agent-source-pipeline-gap-review-checklist.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv,corpus/009_statistics-and-derived-features/139_source-pipeline-phase-action-route-summary.json,corpus/009_statistics-and-derived-features/138_source-pipeline-phase-action-result-scaffold.csv,not_started,not_started,not_collected,,,open_source_register_and_risk_note;verify_rights_status_before_any_use;review_candidate_or_graph_derivatives;record_human_review_outcome_before_promotion,,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_pipeline_phase_action_source_summary_not_scholarship,"This source pipeline phase action source summary is routing-only. It is not collected evidence, not a reviewed outcome, not a rights decision, not source promotion, not a corpus import, and not a decipherment conclusion.",2026-06-19
source-pipeline-phase-action-source-summary-004,src-gbedobc,open_research_dataset,source_marked_risk_noted,needs_package_manifest_review,metadata_profile_and_package_manifest_decision,linked;unpacked;verified,3,2,2,0,3,0,0,0,source-pipeline-phase-action-route-011;source-pipeline-phase-action-route-012;source-pipeline-phase-action-route-013,source-pipeline-phase-action-result-scaffold-011;source-pipeline-phase-action-result-scaffold-012;source-pipeline-phase-action-result-scaffold-013,source-pipeline-phase-action-011;source-pipeline-phase-action-012;source-pipeline-phase-action-013,source-pipeline-phase-004,record_human_review_outcome;review_cross_source_or_graph_linkage;review_package_manifest_or_raw_package_handling,high_package_boundary_review;human_outcome_review;source_pipeline_review,corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/007_source-field-map.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv;project_registry/006_large-source-register/001_large-source-register.csv,corpus/009_statistics-and-derived-features/134_ai-agent-source-pipeline-evidence-ledger.csv;corpus/009_statistics-and-derived-features/133_ai-agent-source-pipeline-gap-review-checklist.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv,corpus/009_statistics-and-derived-features/139_source-pipeline-phase-action-route-summary.json,corpus/009_statistics-and-derived-features/138_source-pipeline-phase-action-result-scaffold.csv,not_started,not_started,not_collected,,,open_source_register_and_risk_note;verify_rights_status_before_any_use;review_package_manifest_or_not_applicable;review_metadata_profile_or_not_applicable;record_human_review_outcome_before_promotion,,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_pipeline_phase_action_source_summary_not_scholarship,"This source pipeline phase action source summary is routing-only. It is not collected evidence, not a reviewed outcome, not a rights decision, not source promotion, not a corpus import, and not a decipherment conclusion.",2026-06-19
source-pipeline-phase-action-source-summary-005,src-hust-obc,open_research_dataset,source_marked_risk_noted,needs_safe_derived_record_review,safe_derived_record_decision,verified,1,8,8,4,11,10996,1588,3562,source-pipeline-phase-action-route-014,source-pipeline-phase-action-result-scaffold-014,source-pipeline-phase-action-014,source-pipeline-phase-005,record_human_review_outcome,human_outcome_review,corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/007_source-field-map.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv;project_registry/006_large-source-register/001_large-source-register.csv,corpus/009_statistics-and-derived-features/134_ai-agent-source-pipeline-evidence-ledger.csv;corpus/009_statistics-and-derived-features/133_ai-agent-source-pipeline-gap-review-checklist.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv,corpus/009_statistics-and-derived-features/139_source-pipeline-phase-action-route-summary.json,corpus/009_statistics-and-derived-features/138_source-pipeline-phase-action-result-scaffold.csv,not_started,not_started,not_collected,,,open_source_register_and_risk_note;verify_rights_status_before_any_use;review_candidate_or_graph_derivatives;record_human_review_outcome_before_promotion,,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_pipeline_phase_action_source_summary_not_scholarship,"This source pipeline phase action source summary is routing-only. It is not collected evidence, not a reviewed outcome, not a rights decision, not source promotion, not a corpus import, and not a decipherment conclusion.",2026-06-19
source-pipeline-phase-action-source-summary-006,src-ihp-museum-oracle-bones,museum_collection,metadata_only_until_verified,needs_field_map_review,field_map_semantics_review,linked;unpacked;verified,3,1,1,0,2,0,0,0,source-pipeline-phase-action-route-015;source-pipeline-phase-action-route-016;source-pipeline-phase-action-route-017,source-pipeline-phase-action-result-scaffold-015;source-pipeline-phase-action-result-scaffold-016;source-pipeline-phase-action-result-scaffold-017,source-pipeline-phase-action-015;source-pipeline-phase-action-016;source-pipeline-phase-action-017,source-pipeline-phase-006,record_human_review_outcome;review_cross_source_or_graph_linkage;review_package_manifest_or_raw_package_handling,high_package_boundary_review;human_outcome_review;source_pipeline_review,corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/007_source-field-map.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv;project_registry/006_large-source-register/001_large-source-register.csv,corpus/009_statistics-and-derived-features/134_ai-agent-source-pipeline-evidence-ledger.csv;corpus/009_statistics-and-derived-features/133_ai-agent-source-pipeline-gap-review-checklist.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv,corpus/009_statistics-and-derived-features/139_source-pipeline-phase-action-route-summary.json,corpus/009_statistics-and-derived-features/138_source-pipeline-phase-action-result-scaffold.csv,not_started,not_started,not_collected,,,open_source_register_and_risk_note;verify_rights_status_before_any_use;verify_field_map_absence_or_plan;review_package_manifest_or_not_applicable;review_metadata_profile_or_not_applicable;record_human_review_outcome_before_promotion,,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_pipeline_phase_action_source_summary_not_scholarship,"This source pipeline phase action source summary is routing-only. It is not collected evidence, not a reviewed outcome, not a rights decision, not source promotion, not a corpus import, and not a decipherment conclusion.",2026-06-19
source-pipeline-phase-action-source-summary-007,src-ihp-oracle-rubbings,online_database,metadata_only_until_verified,needs_package_manifest_review,metadata_profile_and_package_manifest_decision,cleaned;extracted;linked;structured;unpacked;verified,6,1,1,0,0,0,0,0,source-pipeline-phase-action-route-018;source-pipeline-phase-action-route-019;source-pipeline-phase-action-route-020;source-pipeline-phase-action-route-021;source-pipeline-phase-action-route-022;source-pipeline-phase-action-route-023,source-pipeline-phase-action-result-scaffold-018;source-pipeline-phase-action-result-scaffold-019;source-pipeline-phase-action-result-scaffold-020;source-pipeline-phase-action-result-scaffold-021;source-pipeline-phase-action-result-scaffold-022;source-pipeline-phase-action-result-scaffold-023,source-pipeline-phase-action-018;source-pipeline-phase-action-019;source-pipeline-phase-action-020;source-pipeline-phase-action-021;source-pipeline-phase-action-022;source-pipeline-phase-action-023,source-pipeline-phase-007,create_or_review_structured_derivatives;plan_metadata_or_record_extraction;record_human_review_outcome;review_cleaning_and_normalization_rules;review_cross_source_or_graph_linkage;review_package_manifest_or_raw_package_handling,high_package_boundary_review;human_outcome_review;source_pipeline_review,corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/007_source-field-map.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv;project_registry/006_large-source-register/001_large-source-register.csv,corpus/009_statistics-and-derived-features/134_ai-agent-source-pipeline-evidence-ledger.csv;corpus/009_statistics-and-derived-features/133_ai-agent-source-pipeline-gap-review-checklist.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv,corpus/009_statistics-and-derived-features/139_source-pipeline-phase-action-route-summary.json,corpus/009_statistics-and-derived-features/138_source-pipeline-phase-action-result-scaffold.csv,not_started,not_started,not_collected,,,open_source_register_and_risk_note;verify_rights_status_before_any_use;review_package_manifest_or_not_applicable;review_metadata_profile_or_not_applicable;record_human_review_outcome_before_promotion,,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_pipeline_phase_action_source_summary_not_scholarship,"This source pipeline phase action source summary is routing-only. It is not collected evidence, not a reviewed outcome, not a rights decision, not source promotion, not a corpus import, and not a decipherment conclusion.",2026-06-19
source-pipeline-phase-action-source-summary-008,src-metmuseum-oracle-bone,museum_collection,public_domain_verified,needs_package_manifest_review,metadata_profile_and_package_manifest_decision,linked;unpacked;verified,3,2,2,0,6,0,0,0,source-pipeline-phase-action-route-024;source-pipeline-phase-action-route-025;source-pipeline-phase-action-route-026,source-pipeline-phase-action-result-scaffold-024;source-pipeline-phase-action-result-scaffold-025;source-pipeline-phase-action-result-scaffold-026,source-pipeline-phase-action-024;source-pipeline-phase-action-025;source-pipeline-phase-action-026,source-pipeline-phase-008,record_human_review_outcome;review_cross_source_or_graph_linkage;review_package_manifest_or_raw_package_handling,high_package_boundary_review;human_outcome_review;source_pipeline_review,corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/007_source-field-map.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv;project_registry/006_large-source-register/001_large-source-register.csv,corpus/009_statistics-and-derived-features/134_ai-agent-source-pipeline-evidence-ledger.csv;corpus/009_statistics-and-derived-features/133_ai-agent-source-pipeline-gap-review-checklist.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv,corpus/009_statistics-and-derived-features/139_source-pipeline-phase-action-route-summary.json,corpus/009_statistics-and-derived-features/138_source-pipeline-phase-action-result-scaffold.csv,not_started,not_started,not_collected,,,open_source_register_and_risk_note;verify_rights_status_before_any_use;review_package_manifest_or_not_applicable;review_metadata_profile_or_not_applicable;record_human_review_outcome_before_promotion,,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_pipeline_phase_action_source_summary_not_scholarship,"This source pipeline phase action source summary is routing-only. It is not collected evidence, not a reviewed outcome, not a rights decision, not source promotion, not a corpus import, and not a decipherment conclusion.",2026-06-19
source-pipeline-phase-action-source-summary-009,src-nlc-oracle-world,library_database,metadata_only_until_verified,needs_package_manifest_review,metadata_profile_and_package_manifest_decision,linked;unpacked;verified,3,2,2,0,7,0,0,0,source-pipeline-phase-action-route-027;source-pipeline-phase-action-route-028;source-pipeline-phase-action-route-029,source-pipeline-phase-action-result-scaffold-027;source-pipeline-phase-action-result-scaffold-028;source-pipeline-phase-action-result-scaffold-029,source-pipeline-phase-action-027;source-pipeline-phase-action-028;source-pipeline-phase-action-029,source-pipeline-phase-009,record_human_review_outcome;review_cross_source_or_graph_linkage;review_package_manifest_or_raw_package_handling,high_package_boundary_review;human_outcome_review;source_pipeline_review,corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/007_source-field-map.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv;project_registry/006_large-source-register/001_large-source-register.csv,corpus/009_statistics-and-derived-features/134_ai-agent-source-pipeline-evidence-ledger.csv;corpus/009_statistics-and-derived-features/133_ai-agent-source-pipeline-gap-review-checklist.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv,corpus/009_statistics-and-derived-features/139_source-pipeline-phase-action-route-summary.json,corpus/009_statistics-and-derived-features/138_source-pipeline-phase-action-result-scaffold.csv,not_started,not_started,not_collected,,,open_source_register_and_risk_note;verify_rights_status_before_any_use;review_package_manifest_or_not_applicable;review_metadata_profile_or_not_applicable;record_human_review_outcome_before_promotion,,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_pipeline_phase_action_source_summary_not_scholarship,"This source pipeline phase action source summary is routing-only. It is not collected evidence, not a reviewed outcome, not a rights decision, not source promotion, not a corpus import, and not a decipherment conclusion.",2026-06-19
source-pipeline-phase-action-source-summary-010,src-obid-ancientbooks,online_database,source_marked_risk_noted,needs_package_manifest_review,metadata_profile_and_package_manifest_decision,cleaned;extracted;linked;structured;unpacked;verified,6,1,1,0,0,0,0,0,source-pipeline-phase-action-route-030;source-pipeline-phase-action-route-031;source-pipeline-phase-action-route-032;source-pipeline-phase-action-route-033;source-pipeline-phase-action-route-034;source-pipeline-phase-action-route-035,source-pipeline-phase-action-result-scaffold-030;source-pipeline-phase-action-result-scaffold-031;source-pipeline-phase-action-result-scaffold-032;source-pipeline-phase-action-result-scaffold-033;source-pipeline-phase-action-result-scaffold-034;source-pipeline-phase-action-result-scaffold-035,source-pipeline-phase-action-030;source-pipeline-phase-action-031;source-pipeline-phase-action-032;source-pipeline-phase-action-033;source-pipeline-phase-action-034;source-pipeline-phase-action-035,source-pipeline-phase-010,create_or_review_structured_derivatives;plan_metadata_or_record_extraction;record_human_review_outcome;review_cleaning_and_normalization_rules;review_cross_source_or_graph_linkage;review_package_manifest_or_raw_package_handling,high_package_boundary_review;human_outcome_review;source_pipeline_review,corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/007_source-field-map.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv;project_registry/006_large-source-register/001_large-source-register.csv,corpus/009_statistics-and-derived-features/134_ai-agent-source-pipeline-evidence-ledger.csv;corpus/009_statistics-and-derived-features/133_ai-agent-source-pipeline-gap-review-checklist.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv,corpus/009_statistics-and-derived-features/139_source-pipeline-phase-action-route-summary.json,corpus/009_statistics-and-derived-features/138_source-pipeline-phase-action-result-scaffold.csv,not_started,not_started,not_collected,,,open_source_register_and_risk_note;verify_rights_status_before_any_use;review_package_manifest_or_not_applicable;review_metadata_profile_or_not_applicable;record_human_review_outcome_before_promotion,,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_pipeline_phase_action_source_summary_not_scholarship,"This source pipeline phase action source summary is routing-only. It is not collected evidence, not a reviewed outcome, not a rights decision, not source promotion, not a corpus import, and not a decipherment conclusion.",2026-06-19
