evidence_request_id,route_pack_id,promotion_queue_id,suggested_oracle_character_id,candidate_class_id,bucket_summary_id,bucket_number,bucket_manifest_path,primary_external_ref_id,source_category_id,source_modern_label_codepoints,has_multi_component_label,source_category_member_count,route_files,source_route_requirement_ids,evidence_gap_types,required_evidence_pack_sections,draft_output_path,draft_status,assignment_status,promotion_status,review_status,caution,updated_at
hust-obc-evidence-request-000001,ai-context-hust-obc-bucket-review-001,hust-obc-obs-char-promo-000001,obs-char-000001,obs-cand-000001,hust-obc-bucket-summary-001,001,corpus/001_oracle-characters/001_000001-000100_obs-char-bucket_oracle-characters/000_hust-obc-promotion-bucket-manifest.csv,hust-obc-cat-0001,0001,U+2E80,false,1,corpus/001_oracle-characters/001_000001-000100_obs-char-bucket_oracle-characters/000_hust-obc-promotion-bucket-manifest.csv;corpus/008_relationship-graph/005_hust-obc-candidate-graph-edges.jsonl;corpus/008_relationship-graph/006_obimd-component-graph-edges.jsonl;corpus/008_relationship-graph/007_evobc-evolution-graph-edges.jsonl;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,src-hust-obc;src-xiaoxuetang-jiaguwen;src-xiaoxuetang-obm;src-obimd;src-evobc;src-ihp-oracle-rubbings,source_provenance;primary_inscription_context;neighboring_characters;component_breakdown;variant_chain;bronze_seal_modern_correspondence;cooccurrence_distribution;supporting_evidence;opposing_evidence,character_or_unknown_glyph_id;source_references_and_asset_metadata;full_inscription_context;neighboring_characters;component_breakdown_and_variant_notes;excavation_period_and_catalog_provenance;bronze_seal_or_modern_comparanda;supporting_evidence;opposing_evidence;open_questions_and_next_checks,doc/public/user_research/001_ai-agent-evidence-packs/hust-obc/001_000001-000100_obs-char-bucket/001_obs-char-000001_hust-obc-cat-0001_evidence-pack-draft.json,not_started,reserved_candidate_not_assigned,needs_cross_source_review,needs_evidence_pack,This is an AI evidence-pack request only. It must not be treated as a decipherment result or formal obs-char assignment. Draft output belongs under doc/public/user_research/ until human review.,2026-06-04
hust-obc-evidence-request-000002,ai-context-hust-obc-bucket-review-001,hust-obc-obs-char-promo-000002,obs-char-000002,obs-cand-000002,hust-obc-bucket-summary-001,001,corpus/001_oracle-characters/001_000001-000100_obs-char-bucket_oracle-characters/000_hust-obc-promotion-bucket-manifest.csv,hust-obc-cat-0002,0002,U+2E84,false,1,corpus/001_oracle-characters/001_000001-000100_obs-char-bucket_oracle-characters/000_hust-obc-promotion-bucket-manifest.csv;corpus/008_relationship-graph/005_hust-obc-candidate-graph-edges.jsonl;corpus/008_relationship-graph/006_obimd-component-graph-edges.jsonl;corpus/008_relationship-graph/007_evobc-evolution-graph-edges.jsonl;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,src-hust-obc;src-xiaoxuetang-jiaguwen;src-xiaoxuetang-obm;src-obimd;src-evobc;src-ihp-oracle-rubbings,source_provenance;primary_inscription_context;neighboring_characters;component_breakdown;variant_chain;bronze_seal_modern_correspondence;cooccurrence_distribution;supporting_evidence;opposing_evidence,character_or_unknown_glyph_id;source_references_and_asset_metadata;full_inscription_context;neighboring_characters;component_breakdown_and_variant_notes;excavation_period_and_catalog_provenance;bronze_seal_or_modern_comparanda;supporting_evidence;opposing_evidence;open_questions_and_next_checks,doc/public/user_research/001_ai-agent-evidence-packs/hust-obc/001_000001-000100_obs-char-bucket/001_obs-char-000002_hust-obc-cat-0002_evidence-pack-draft.json,not_started,reserved_candidate_not_assigned,needs_cross_source_review,needs_evidence_pack,This is an AI evidence-pack request only. It must not be treated as a decipherment result or formal obs-char assignment. Draft output belongs under doc/public/user_research/ until human review.,2026-06-04
hust-obc-evidence-request-000003,ai-context-hust-obc-bucket-review-001,hust-obc-obs-char-promo-000003,obs-char-000003,obs-cand-000003,hust-obc-bucket-summary-001,001,corpus/001_oracle-characters/001_000001-000100_obs-char-bucket_oracle-characters/000_hust-obc-promotion-bucket-manifest.csv,hust-obc-cat-0003,0003,U+2E86,false,1,corpus/001_oracle-characters/001_000001-000100_obs-char-bucket_oracle-characters/000_hust-obc-promotion-bucket-manifest.csv;corpus/008_relationship-graph/005_hust-obc-candidate-graph-edges.jsonl;corpus/008_relationship-graph/006_obimd-component-graph-edges.jsonl;corpus/008_relationship-graph/007_evobc-evolution-graph-edges.jsonl;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,src-hust-obc;src-xiaoxuetang-jiaguwen;src-xiaoxuetang-obm;src-obimd;src-evobc;src-ihp-oracle-rubbings,source_provenance;primary_inscription_context;neighboring_characters;component_breakdown;variant_chain;bronze_seal_modern_correspondence;cooccurrence_distribution;supporting_evidence;opposing_evidence,character_or_unknown_glyph_id;source_references_and_asset_metadata;full_inscription_context;neighboring_characters;component_breakdown_and_variant_notes;excavation_period_and_catalog_provenance;bronze_seal_or_modern_comparanda;supporting_evidence;opposing_evidence;open_questions_and_next_checks,doc/public/user_research/001_ai-agent-evidence-packs/hust-obc/001_000001-000100_obs-char-bucket/001_obs-char-000003_hust-obc-cat-0003_evidence-pack-draft.json,not_started,reserved_candidate_not_assigned,needs_cross_source_review,needs_evidence_pack,This is an AI evidence-pack request only. It must not be treated as a decipherment result or formal obs-char assignment. Draft output belongs under doc/public/user_research/ until human review.,2026-06-04
hust-obc-evidence-request-000004,ai-context-hust-obc-bucket-review-001,hust-obc-obs-char-promo-000004,obs-char-000004,obs-cand-000004,hust-obc-bucket-summary-001,001,corpus/001_oracle-characters/001_000001-000100_obs-char-bucket_oracle-characters/000_hust-obc-promotion-bucket-manifest.csv,hust-obc-cat-0004,0004,U+2E8A,false,1,corpus/001_oracle-characters/001_000001-000100_obs-char-bucket_oracle-characters/000_hust-obc-promotion-bucket-manifest.csv;corpus/008_relationship-graph/005_hust-obc-candidate-graph-edges.jsonl;corpus/008_relationship-graph/006_obimd-component-graph-edges.jsonl;corpus/008_relationship-graph/007_evobc-evolution-graph-edges.jsonl;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,src-hust-obc;src-xiaoxuetang-jiaguwen;src-xiaoxuetang-obm;src-obimd;src-evobc;src-ihp-oracle-rubbings,source_provenance;primary_inscription_context;neighboring_characters;component_breakdown;variant_chain;bronze_seal_modern_correspondence;cooccurrence_distribution;supporting_evidence;opposing_evidence,character_or_unknown_glyph_id;source_references_and_asset_metadata;full_inscription_context;neighboring_characters;component_breakdown_and_variant_notes;excavation_period_and_catalog_provenance;bronze_seal_or_modern_comparanda;supporting_evidence;opposing_evidence;open_questions_and_next_checks,doc/public/user_research/001_ai-agent-evidence-packs/hust-obc/001_000001-000100_obs-char-bucket/001_obs-char-000004_hust-obc-cat-0004_evidence-pack-draft.json,not_started,reserved_candidate_not_assigned,needs_cross_source_review,needs_evidence_pack,This is an AI evidence-pack request only. It must not be treated as a decipherment result or formal obs-char assignment. Draft output belongs under doc/public/user_research/ until human review.,2026-06-04
hust-obc-evidence-request-000005,ai-context-hust-obc-bucket-review-001,hust-obc-obs-char-promo-000005,obs-char-000005,obs-cand-000005,hust-obc-bucket-summary-001,001,corpus/001_oracle-characters/001_000001-000100_obs-char-bucket_oracle-characters/000_hust-obc-promotion-bucket-manifest.csv,hust-obc-cat-0005,0005,U+2E8C,false,1,corpus/001_oracle-characters/001_000001-000100_obs-char-bucket_oracle-characters/000_hust-obc-promotion-bucket-manifest.csv;corpus/008_relationship-graph/005_hust-obc-candidate-graph-edges.jsonl;corpus/008_relationship-graph/006_obimd-component-graph-edges.jsonl;corpus/008_relationship-graph/007_evobc-evolution-graph-edges.jsonl;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,src-hust-obc;src-xiaoxuetang-jiaguwen;src-xiaoxuetang-obm;src-obimd;src-evobc;src-ihp-oracle-rubbings,source_provenance;primary_inscription_context;neighboring_characters;component_breakdown;variant_chain;bronze_seal_modern_correspondence;cooccurrence_distribution;supporting_evidence;opposing_evidence,character_or_unknown_glyph_id;source_references_and_asset_metadata;full_inscription_context;neighboring_characters;component_breakdown_and_variant_notes;excavation_period_and_catalog_provenance;bronze_seal_or_modern_comparanda;supporting_evidence;opposing_evidence;open_questions_and_next_checks,doc/public/user_research/001_ai-agent-evidence-packs/hust-obc/001_000001-000100_obs-char-bucket/001_obs-char-000005_hust-obc-cat-0005_evidence-pack-draft.json,not_started,reserved_candidate_not_assigned,needs_cross_source_review,needs_evidence_pack,This is an AI evidence-pack request only. It must not be treated as a decipherment result or formal obs-char assignment. Draft output belongs under doc/public/user_research/ until human review.,2026-06-04
hust-obc-evidence-request-000006,ai-context-hust-obc-bucket-review-001,hust-obc-obs-char-promo-000006,obs-char-000006,obs-cand-000006,hust-obc-bucket-summary-001,001,corpus/001_oracle-characters/001_000001-000100_obs-char-bucket_oracle-characters/000_hust-obc-promotion-bucket-manifest.csv,hust-obc-cat-0006,0006,U+2EB8,false,1,corpus/001_oracle-characters/001_000001-000100_obs-char-bucket_oracle-characters/000_hust-obc-promotion-bucket-manifest.csv;corpus/008_relationship-graph/005_hust-obc-candidate-graph-edges.jsonl;corpus/008_relationship-graph/006_obimd-component-graph-edges.jsonl;corpus/008_relationship-graph/007_evobc-evolution-graph-edges.jsonl;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,src-hust-obc;src-xiaoxuetang-jiaguwen;src-xiaoxuetang-obm;src-obimd;src-evobc;src-ihp-oracle-rubbings,source_provenance;primary_inscription_context;neighboring_characters;component_breakdown;variant_chain;bronze_seal_modern_correspondence;cooccurrence_distribution;supporting_evidence;opposing_evidence,character_or_unknown_glyph_id;source_references_and_asset_metadata;full_inscription_context;neighboring_characters;component_breakdown_and_variant_notes;excavation_period_and_catalog_provenance;bronze_seal_or_modern_comparanda;supporting_evidence;opposing_evidence;open_questions_and_next_checks,doc/public/user_research/001_ai-agent-evidence-packs/hust-obc/001_000001-000100_obs-char-bucket/001_obs-char-000006_hust-obc-cat-0006_evidence-pack-draft.json,not_started,reserved_candidate_not_assigned,needs_cross_source_review,needs_evidence_pack,This is an AI evidence-pack request only. It must not be treated as a decipherment result or formal obs-char assignment. Draft output belongs under doc/public/user_research/ until human review.,2026-06-04
hust-obc-evidence-request-000007,ai-context-hust-obc-bucket-review-001,hust-obc-obs-char-promo-000007,obs-char-000007,obs-cand-000007,hust-obc-bucket-summary-001,001,corpus/001_oracle-characters/001_000001-000100_obs-char-bucket_oracle-characters/000_hust-obc-promotion-bucket-manifest.csv,hust-obc-cat-0007,0007,U+2EBB,false,1,corpus/001_oracle-characters/001_000001-000100_obs-char-bucket_oracle-characters/000_hust-obc-promotion-bucket-manifest.csv;corpus/008_relationship-graph/005_hust-obc-candidate-graph-edges.jsonl;corpus/008_relationship-graph/006_obimd-component-graph-edges.jsonl;corpus/008_relationship-graph/007_evobc-evolution-graph-edges.jsonl;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,src-hust-obc;src-xiaoxuetang-jiaguwen;src-xiaoxuetang-obm;src-obimd;src-evobc;src-ihp-oracle-rubbings,source_provenance;primary_inscription_context;neighboring_characters;component_breakdown;variant_chain;bronze_seal_modern_correspondence;cooccurrence_distribution;supporting_evidence;opposing_evidence,character_or_unknown_glyph_id;source_references_and_asset_metadata;full_inscription_context;neighboring_characters;component_breakdown_and_variant_notes;excavation_period_and_catalog_provenance;bronze_seal_or_modern_comparanda;supporting_evidence;opposing_evidence;open_questions_and_next_checks,doc/public/user_research/001_ai-agent-evidence-packs/hust-obc/001_000001-000100_obs-char-bucket/001_obs-char-000007_hust-obc-cat-0007_evidence-pack-draft.json,not_started,reserved_candidate_not_assigned,needs_cross_source_review,needs_evidence_pack,This is an AI evidence-pack request only. It must not be treated as a decipherment result or formal obs-char assignment. Draft output belongs under doc/public/user_research/ until human review.,2026-06-04
hust-obc-evidence-request-000008,ai-context-hust-obc-bucket-review-001,hust-obc-obs-char-promo-000008,obs-char-000008,obs-cand-000008,hust-obc-bucket-summary-001,001,corpus/001_oracle-characters/001_000001-000100_obs-char-bucket_oracle-characters/000_hust-obc-promotion-bucket-manifest.csv,hust-obc-cat-0008,0008,U+2EBC,false,1,corpus/001_oracle-characters/001_000001-000100_obs-char-bucket_oracle-characters/000_hust-obc-promotion-bucket-manifest.csv;corpus/008_relationship-graph/005_hust-obc-candidate-graph-edges.jsonl;corpus/008_relationship-graph/006_obimd-component-graph-edges.jsonl;corpus/008_relationship-graph/007_evobc-evolution-graph-edges.jsonl;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,src-hust-obc;src-xiaoxuetang-jiaguwen;src-xiaoxuetang-obm;src-obimd;src-evobc;src-ihp-oracle-rubbings,source_provenance;primary_inscription_context;neighboring_characters;component_breakdown;variant_chain;bronze_seal_modern_correspondence;cooccurrence_distribution;supporting_evidence;opposing_evidence,character_or_unknown_glyph_id;source_references_and_asset_metadata;full_inscription_context;neighboring_characters;component_breakdown_and_variant_notes;excavation_period_and_catalog_provenance;bronze_seal_or_modern_comparanda;supporting_evidence;opposing_evidence;open_questions_and_next_checks,doc/public/user_research/001_ai-agent-evidence-packs/hust-obc/001_000001-000100_obs-char-bucket/001_obs-char-000008_hust-obc-cat-0008_evidence-pack-draft.json,not_started,reserved_candidate_not_assigned,needs_cross_source_review,needs_evidence_pack,This is an AI evidence-pack request only. It must not be treated as a decipherment result or formal obs-char assignment. Draft output belongs under doc/public/user_research/ until human review.,2026-06-04
hust-obc-evidence-request-000009,ai-context-hust-obc-bucket-review-001,hust-obc-obs-char-promo-000009,obs-char-000009,obs-cand-000009,hust-obc-bucket-summary-001,001,corpus/001_oracle-characters/001_000001-000100_obs-char-bucket_oracle-characters/000_hust-obc-promotion-bucket-manifest.csv,hust-obc-cat-0009,0009,U+3022,false,1,corpus/001_oracle-characters/001_000001-000100_obs-char-bucket_oracle-characters/000_hust-obc-promotion-bucket-manifest.csv;corpus/008_relationship-graph/005_hust-obc-candidate-graph-edges.jsonl;corpus/008_relationship-graph/006_obimd-component-graph-edges.jsonl;corpus/008_relationship-graph/007_evobc-evolution-graph-edges.jsonl;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,src-hust-obc;src-xiaoxuetang-jiaguwen;src-xiaoxuetang-obm;src-obimd;src-evobc;src-ihp-oracle-rubbings,source_provenance;primary_inscription_context;neighboring_characters;component_breakdown;variant_chain;bronze_seal_modern_correspondence;cooccurrence_distribution;supporting_evidence;opposing_evidence,character_or_unknown_glyph_id;source_references_and_asset_metadata;full_inscription_context;neighboring_characters;component_breakdown_and_variant_notes;excavation_period_and_catalog_provenance;bronze_seal_or_modern_comparanda;supporting_evidence;opposing_evidence;open_questions_and_next_checks,doc/public/user_research/001_ai-agent-evidence-packs/hust-obc/001_000001-000100_obs-char-bucket/001_obs-char-000009_hust-obc-cat-0009_evidence-pack-draft.json,not_started,reserved_candidate_not_assigned,needs_cross_source_review,needs_evidence_pack,This is an AI evidence-pack request only. It must not be treated as a decipherment result or formal obs-char assignment. Draft output belongs under doc/public/user_research/ until human review.,2026-06-04
hust-obc-evidence-request-000010,ai-context-hust-obc-bucket-review-001,hust-obc-obs-char-promo-000010,obs-char-000010,obs-cand-000010,hust-obc-bucket-summary-001,001,corpus/001_oracle-characters/001_000001-000100_obs-char-bucket_oracle-characters/000_hust-obc-promotion-bucket-manifest.csv,hust-obc-cat-0010,0010,U+3400,false,1,corpus/001_oracle-characters/001_000001-000100_obs-char-bucket_oracle-characters/000_hust-obc-promotion-bucket-manifest.csv;corpus/008_relationship-graph/005_hust-obc-candidate-graph-edges.jsonl;corpus/008_relationship-graph/006_obimd-component-graph-edges.jsonl;corpus/008_relationship-graph/007_evobc-evolution-graph-edges.jsonl;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,src-hust-obc;src-xiaoxuetang-jiaguwen;src-xiaoxuetang-obm;src-obimd;src-evobc;src-ihp-oracle-rubbings,source_provenance;primary_inscription_context;neighboring_characters;component_breakdown;variant_chain;bronze_seal_modern_correspondence;cooccurrence_distribution;supporting_evidence;opposing_evidence,character_or_unknown_glyph_id;source_references_and_asset_metadata;full_inscription_context;neighboring_characters;component_breakdown_and_variant_notes;excavation_period_and_catalog_provenance;bronze_seal_or_modern_comparanda;supporting_evidence;opposing_evidence;open_questions_and_next_checks,doc/public/user_research/001_ai-agent-evidence-packs/hust-obc/001_000001-000100_obs-char-bucket/001_obs-char-000010_hust-obc-cat-0010_evidence-pack-draft.json,not_started,reserved_candidate_not_assigned,needs_cross_source_review,needs_evidence_pack,This is an AI evidence-pack request only. It must not be treated as a decipherment result or formal obs-char assignment. Draft output belongs under doc/public/user_research/ until human review.,2026-06-04
