review_draft_id,source_summary_id,source_id,source_type,rights_status,pipeline_gap_status,missing_route_count,missing_file_role_count,missing_file_roles,draft_path,source_summary_path,route_summary_path,route_ids,missing_evidence_action_ids,missing_evidence_result_scaffold_ids,evidence_presence_row_ids,files_to_open,required_review_actions,draft_status,evidence_collection_status,human_review_status,rights_decision_status,source_promotion_status,corpus_import_status,decipherment_claim_status,reviewed_evidence_paths,reviewed_outcome_summary,required_followup_reviewed,research_boundary,caution,updated_at
source-pipeline-missing-evidence-review-draft-001,source-pipeline-phase-action-missing-evidence-source-summary-001,src-british-museum-oracle-bone,museum_collection,metadata_only_until_verified,needs_download_or_access_review,3,3,large_source_register;source_field_map;source_package_file_manifest,doc/public/user_research/010_source-pipeline-missing-evidence-review-queues/001_src-british-museum-oracle-bone.md,corpus/009_statistics-and-derived-features/147_source-pipeline-phase-action-missing-evidence-source-summary.csv,corpus/009_statistics-and-derived-features/146_source-pipeline-phase-action-missing-evidence-route-summary.json,source-pipeline-phase-action-missing-evidence-route-001;source-pipeline-phase-action-missing-evidence-route-002;source-pipeline-phase-action-missing-evidence-route-003,source-pipeline-phase-action-missing-evidence-001;source-pipeline-phase-action-missing-evidence-002;source-pipeline-phase-action-missing-evidence-003,source-pipeline-phase-action-missing-evidence-result-001;source-pipeline-phase-action-missing-evidence-result-002;source-pipeline-phase-action-missing-evidence-result-003,source-pipeline-phase-action-evidence-presence-010;source-pipeline-phase-action-evidence-presence-007;source-pipeline-phase-action-evidence-presence-008,project_registry/006_large-source-register/001_large-source-register.csv;corpus/006_research-sources-and-bibliography/000_source-registers/007_source-field-map.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv,review_large_source_register_applicability_or_mark_not_applicable;review_or_create_source_field_map_row;review_package_manifest_applicability_or_create_row,draft_not_collected,not_collected,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,,,,source_pipeline_phase_action_missing_evidence_review_draft_not_scholarship,"This source pipeline missing-evidence review draft is a human-review work surface only. It is not collected evidence, not a reviewed outcome, not a rights decision, not source promotion, not a corpus import, and not a decipherment conclusion.",2026-06-19
source-pipeline-missing-evidence-review-draft-002,source-pipeline-phase-action-missing-evidence-source-summary-002,src-cambridge-hopkins,library_collection,metadata_only_until_verified,needs_safe_derived_record_review,1,1,large_source_register,doc/public/user_research/010_source-pipeline-missing-evidence-review-queues/002_src-cambridge-hopkins.md,corpus/009_statistics-and-derived-features/147_source-pipeline-phase-action-missing-evidence-source-summary.csv,corpus/009_statistics-and-derived-features/146_source-pipeline-phase-action-missing-evidence-route-summary.json,source-pipeline-phase-action-missing-evidence-route-004,source-pipeline-phase-action-missing-evidence-004,source-pipeline-phase-action-missing-evidence-result-004,source-pipeline-phase-action-evidence-presence-020,project_registry/006_large-source-register/001_large-source-register.csv,review_large_source_register_applicability_or_mark_not_applicable,draft_not_collected,not_collected,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,,,,source_pipeline_phase_action_missing_evidence_review_draft_not_scholarship,"This source pipeline missing-evidence review draft is a human-review work surface only. It is not collected evidence, not a reviewed outcome, not a rights decision, not source promotion, not a corpus import, and not a decipherment conclusion.",2026-06-19
source-pipeline-missing-evidence-review-draft-003,source-pipeline-phase-action-missing-evidence-source-summary-003,src-gbedobc,open_research_dataset,source_marked_risk_noted,needs_package_manifest_review,1,1,large_source_register,doc/public/user_research/010_source-pipeline-missing-evidence-review-queues/003_src-gbedobc.md,corpus/009_statistics-and-derived-features/147_source-pipeline-phase-action-missing-evidence-source-summary.csv,corpus/009_statistics-and-derived-features/146_source-pipeline-phase-action-missing-evidence-route-summary.json,source-pipeline-phase-action-missing-evidence-route-005,source-pipeline-phase-action-missing-evidence-005,source-pipeline-phase-action-missing-evidence-result-005,source-pipeline-phase-action-evidence-presence-040,project_registry/006_large-source-register/001_large-source-register.csv,review_large_source_register_applicability_or_mark_not_applicable,draft_not_collected,not_collected,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,,,,source_pipeline_phase_action_missing_evidence_review_draft_not_scholarship,"This source pipeline missing-evidence review draft is a human-review work surface only. It is not collected evidence, not a reviewed outcome, not a rights decision, not source promotion, not a corpus import, and not a decipherment conclusion.",2026-06-19
source-pipeline-missing-evidence-review-draft-004,source-pipeline-phase-action-missing-evidence-source-summary-004,src-ihp-museum-oracle-bones,museum_collection,metadata_only_until_verified,needs_field_map_review,1,1,large_source_register,doc/public/user_research/010_source-pipeline-missing-evidence-review-queues/004_src-ihp-museum-oracle-bones.md,corpus/009_statistics-and-derived-features/147_source-pipeline-phase-action-missing-evidence-source-summary.csv,corpus/009_statistics-and-derived-features/146_source-pipeline-phase-action-missing-evidence-route-summary.json,source-pipeline-phase-action-missing-evidence-route-006,source-pipeline-phase-action-missing-evidence-006,source-pipeline-phase-action-missing-evidence-result-006,source-pipeline-phase-action-evidence-presence-060,project_registry/006_large-source-register/001_large-source-register.csv,review_large_source_register_applicability_or_mark_not_applicable,draft_not_collected,not_collected,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,,,,source_pipeline_phase_action_missing_evidence_review_draft_not_scholarship,"This source pipeline missing-evidence review draft is a human-review work surface only. It is not collected evidence, not a reviewed outcome, not a rights decision, not source promotion, not a corpus import, and not a decipherment conclusion.",2026-06-19
source-pipeline-missing-evidence-review-draft-005,source-pipeline-phase-action-missing-evidence-source-summary-005,src-ihp-oracle-rubbings,online_database,metadata_only_until_verified,needs_package_manifest_review,1,1,large_source_register,doc/public/user_research/010_source-pipeline-missing-evidence-review-queues/005_src-ihp-oracle-rubbings.md,corpus/009_statistics-and-derived-features/147_source-pipeline-phase-action-missing-evidence-source-summary.csv,corpus/009_statistics-and-derived-features/146_source-pipeline-phase-action-missing-evidence-route-summary.json,source-pipeline-phase-action-missing-evidence-route-007,source-pipeline-phase-action-missing-evidence-007,source-pipeline-phase-action-missing-evidence-result-007,source-pipeline-phase-action-evidence-presence-070,project_registry/006_large-source-register/001_large-source-register.csv,review_large_source_register_applicability_or_mark_not_applicable,draft_not_collected,not_collected,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,,,,source_pipeline_phase_action_missing_evidence_review_draft_not_scholarship,"This source pipeline missing-evidence review draft is a human-review work surface only. It is not collected evidence, not a reviewed outcome, not a rights decision, not source promotion, not a corpus import, and not a decipherment conclusion.",2026-06-19
source-pipeline-missing-evidence-review-draft-006,source-pipeline-phase-action-missing-evidence-source-summary-006,src-metmuseum-oracle-bone,museum_collection,public_domain_verified,needs_package_manifest_review,1,1,large_source_register,doc/public/user_research/010_source-pipeline-missing-evidence-review-queues/006_src-metmuseum-oracle-bone.md,corpus/009_statistics-and-derived-features/147_source-pipeline-phase-action-missing-evidence-source-summary.csv,corpus/009_statistics-and-derived-features/146_source-pipeline-phase-action-missing-evidence-route-summary.json,source-pipeline-phase-action-missing-evidence-route-008,source-pipeline-phase-action-missing-evidence-008,source-pipeline-phase-action-missing-evidence-result-008,source-pipeline-phase-action-evidence-presence-080,project_registry/006_large-source-register/001_large-source-register.csv,review_large_source_register_applicability_or_mark_not_applicable,draft_not_collected,not_collected,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,,,,source_pipeline_phase_action_missing_evidence_review_draft_not_scholarship,"This source pipeline missing-evidence review draft is a human-review work surface only. It is not collected evidence, not a reviewed outcome, not a rights decision, not source promotion, not a corpus import, and not a decipherment conclusion.",2026-06-19
source-pipeline-missing-evidence-review-draft-007,source-pipeline-phase-action-missing-evidence-source-summary-007,src-nlc-oracle-world,library_database,metadata_only_until_verified,needs_package_manifest_review,1,1,large_source_register,doc/public/user_research/010_source-pipeline-missing-evidence-review-queues/007_src-nlc-oracle-world.md,corpus/009_statistics-and-derived-features/147_source-pipeline-phase-action-missing-evidence-source-summary.csv,corpus/009_statistics-and-derived-features/146_source-pipeline-phase-action-missing-evidence-route-summary.json,source-pipeline-phase-action-missing-evidence-route-009,source-pipeline-phase-action-missing-evidence-009,source-pipeline-phase-action-missing-evidence-result-009,source-pipeline-phase-action-evidence-presence-090,project_registry/006_large-source-register/001_large-source-register.csv,review_large_source_register_applicability_or_mark_not_applicable,draft_not_collected,not_collected,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,,,,source_pipeline_phase_action_missing_evidence_review_draft_not_scholarship,"This source pipeline missing-evidence review draft is a human-review work surface only. It is not collected evidence, not a reviewed outcome, not a rights decision, not source promotion, not a corpus import, and not a decipherment conclusion.",2026-06-19
source-pipeline-missing-evidence-review-draft-008,source-pipeline-phase-action-missing-evidence-source-summary-008,src-obid-ancientbooks,online_database,source_marked_risk_noted,needs_package_manifest_review,1,1,large_source_register,doc/public/user_research/010_source-pipeline-missing-evidence-review-queues/008_src-obid-ancientbooks.md,corpus/009_statistics-and-derived-features/147_source-pipeline-phase-action-missing-evidence-source-summary.csv,corpus/009_statistics-and-derived-features/146_source-pipeline-phase-action-missing-evidence-route-summary.json,source-pipeline-phase-action-missing-evidence-route-010,source-pipeline-phase-action-missing-evidence-010,source-pipeline-phase-action-missing-evidence-result-010,source-pipeline-phase-action-evidence-presence-100,project_registry/006_large-source-register/001_large-source-register.csv,review_large_source_register_applicability_or_mark_not_applicable,draft_not_collected,not_collected,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,,,,source_pipeline_phase_action_missing_evidence_review_draft_not_scholarship,"This source pipeline missing-evidence review draft is a human-review work surface only. It is not collected evidence, not a reviewed outcome, not a rights decision, not source promotion, not a corpus import, and not a decipherment conclusion.",2026-06-19
source-pipeline-missing-evidence-review-draft-009,source-pipeline-phase-action-missing-evidence-source-summary-009,src-open-oracle,project_repository,source_marked_risk_noted,needs_field_map_review,2,2,large_source_register;source_field_map,doc/public/user_research/010_source-pipeline-missing-evidence-review-queues/009_src-open-oracle.md,corpus/009_statistics-and-derived-features/147_source-pipeline-phase-action-missing-evidence-source-summary.csv,corpus/009_statistics-and-derived-features/146_source-pipeline-phase-action-missing-evidence-route-summary.json,source-pipeline-phase-action-missing-evidence-route-011;source-pipeline-phase-action-missing-evidence-route-012,source-pipeline-phase-action-missing-evidence-011;source-pipeline-phase-action-missing-evidence-012,source-pipeline-phase-action-missing-evidence-result-011;source-pipeline-phase-action-missing-evidence-result-012,source-pipeline-phase-action-evidence-presence-120;source-pipeline-phase-action-evidence-presence-117,project_registry/006_large-source-register/001_large-source-register.csv;corpus/006_research-sources-and-bibliography/000_source-registers/007_source-field-map.csv,review_large_source_register_applicability_or_mark_not_applicable;review_or_create_source_field_map_row,draft_not_collected,not_collected,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,,,,source_pipeline_phase_action_missing_evidence_review_draft_not_scholarship,"This source pipeline missing-evidence review draft is a human-review work surface only. It is not collected evidence, not a reviewed outcome, not a rights decision, not source promotion, not a corpus import, and not a decipherment conclusion.",2026-06-19
source-pipeline-missing-evidence-review-draft-010,source-pipeline-phase-action-missing-evidence-source-summary-010,src-oracle-mnist,open_research_dataset,source_marked_risk_noted,needs_field_map_review,2,2,large_source_register;source_field_map,doc/public/user_research/010_source-pipeline-missing-evidence-review-queues/010_src-oracle-mnist.md,corpus/009_statistics-and-derived-features/147_source-pipeline-phase-action-missing-evidence-source-summary.csv,corpus/009_statistics-and-derived-features/146_source-pipeline-phase-action-missing-evidence-route-summary.json,source-pipeline-phase-action-missing-evidence-route-013;source-pipeline-phase-action-missing-evidence-route-014,source-pipeline-phase-action-missing-evidence-013;source-pipeline-phase-action-missing-evidence-014,source-pipeline-phase-action-missing-evidence-result-013;source-pipeline-phase-action-missing-evidence-result-014,source-pipeline-phase-action-evidence-presence-130;source-pipeline-phase-action-evidence-presence-127,project_registry/006_large-source-register/001_large-source-register.csv;corpus/006_research-sources-and-bibliography/000_source-registers/007_source-field-map.csv,review_large_source_register_applicability_or_mark_not_applicable;review_or_create_source_field_map_row,draft_not_collected,not_collected,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,,,,source_pipeline_phase_action_missing_evidence_review_draft_not_scholarship,"This source pipeline missing-evidence review draft is a human-review work surface only. It is not collected evidence, not a reviewed outcome, not a rights decision, not source promotion, not a corpus import, and not a decipherment conclusion.",2026-06-19
