source_route_task_id,context_pack_id,source_id,priority_rank,priority_tags,route,route_zh,coverage_status,rights_status,authority_tier,review_focus,route_files,required_next_checks,research_boundary,assignment_status,review_status,caution,updated_at
source-route-review-001,ai-context-source-coverage-001,src-hust-obc,1,candidate_queue;graph_derivative;metadata_profile;download_log,open_graph_and_metadata_derivatives,先打开关系图谱派生记录和来源 metadata,has_relationship_graph_derivatives,source_marked_risk_noted,peer_reviewed_dataset,open_candidate_queue_and_graph_routes_before_evidence_pack_work,corpus/009_statistics-and-derived-features/008_ai-agent-source-coverage-context-pack.json;corpus/009_statistics-and-derived-features/007_source-coverage-summary.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv;corpus/009_statistics-and-derived-features/001_relationship-graph-edge-type-summary.csv;corpus/009_statistics-and-derived-features/002_relationship-graph-node-degree-summary.csv;corpus/009_statistics-and-derived-features/003_ai-agent-relationship-graph-context-pack.json;corpus/008_relationship-graph/005_hust-obc-candidate-graph-edges.jsonl;corpus/001_oracle-characters/000_character-registers/009_hust-obc-obs-char-promotion-review-queue.csv;corpus/009_statistics-and-derived-features/004_ai-agent-hust-obc-bucket-review-route-pack.json;corpus/009_statistics-and-derived-features/005_ai-agent-hust-obc-candidate-evidence-pack-request-queue.csv,verify_candidate_queue_rows_remain_reserved_and_cross_source_review_only;verify_graph_edges_are_metadata_routes_not_component_or_decipherment_claims;open_metadata_profile_rows_and_keep_extraction_reviewed_metadata_only;confirm_source_size_checksum_rights_and_risk_before_promoting_derivatives,routing_metadata_only_not_scholarship,unassigned,needs_source_route_review,"This source-route task is a routing and provenance review aid only. Open the cited source rows before making any claim; do not treat coverage, dataset labels, graph edges, or asset metadata as decipherment conclusions.",2026-06-10
source-route-review-002,ai-context-source-coverage-001,src-evobc,2,graph_derivative;metadata_profile;download_log,open_graph_and_metadata_derivatives,先打开关系图谱派生记录和来源 metadata,has_relationship_graph_derivatives,source_marked_risk_noted,peer_reviewed_or_preprint_dataset,open_graph_derivatives_and_source_metadata_before_using_edges,corpus/009_statistics-and-derived-features/008_ai-agent-source-coverage-context-pack.json;corpus/009_statistics-and-derived-features/007_source-coverage-summary.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv;corpus/009_statistics-and-derived-features/001_relationship-graph-edge-type-summary.csv;corpus/009_statistics-and-derived-features/002_relationship-graph-node-degree-summary.csv;corpus/009_statistics-and-derived-features/003_ai-agent-relationship-graph-context-pack.json;corpus/008_relationship-graph/007_evobc-evolution-graph-edges.jsonl,verify_graph_edges_are_metadata_routes_not_component_or_decipherment_claims;open_metadata_profile_rows_and_keep_extraction_reviewed_metadata_only;confirm_source_size_checksum_rights_and_risk_before_promoting_derivatives,routing_metadata_only_not_scholarship,unassigned,needs_source_route_review,"This source-route task is a routing and provenance review aid only. Open the cited source rows before making any claim; do not treat coverage, dataset labels, graph edges, or asset metadata as decipherment conclusions.",2026-06-10
source-route-review-003,ai-context-source-coverage-001,src-obimd,2,graph_derivative;metadata_profile;download_log,open_graph_and_metadata_derivatives,先打开关系图谱派生记录和来源 metadata,has_relationship_graph_derivatives,licensed_for_repository,peer_reviewed_dataset,open_graph_derivatives_and_source_metadata_before_using_edges,corpus/009_statistics-and-derived-features/008_ai-agent-source-coverage-context-pack.json;corpus/009_statistics-and-derived-features/007_source-coverage-summary.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv;corpus/009_statistics-and-derived-features/001_relationship-graph-edge-type-summary.csv;corpus/009_statistics-and-derived-features/002_relationship-graph-node-degree-summary.csv;corpus/009_statistics-and-derived-features/003_ai-agent-relationship-graph-context-pack.json;corpus/008_relationship-graph/006_obimd-component-graph-edges.jsonl,verify_graph_edges_are_metadata_routes_not_component_or_decipherment_claims;open_metadata_profile_rows_and_keep_extraction_reviewed_metadata_only;confirm_source_size_checksum_rights_and_risk_before_promoting_derivatives,routing_metadata_only_not_scholarship,unassigned,needs_source_route_review,"This source-route task is a routing and provenance review aid only. Open the cited source rows before making any claim; do not treat coverage, dataset labels, graph edges, or asset metadata as decipherment conclusions.",2026-06-10
source-route-review-004,ai-context-source-coverage-001,src-metmuseum-oracle-bone,3,public_asset;metadata_profile;download_log,open_asset_and_rights_records,先打开资产登记和权利复核记录,has_committed_public_asset_or_metadata,public_domain_verified,museum_collection,open_asset_rights_and_image_metadata_before_visual_review,corpus/009_statistics-and-derived-features/008_ai-agent-source-coverage-context-pack.json;corpus/009_statistics-and-derived-features/007_source-coverage-summary.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv;project_registry/004_asset-source-and-rights-index/001_asset-source-index.csv;project_registry/004_asset-source-and-rights-index/002_asset-rights-review-log.csv;project_registry/004_asset-source-and-rights-index/004_asset-image-technical-profile.csv;project_registry/004_asset-source-and-rights-index/005_asset-image-visual-profile.csv;corpus/009_statistics-and-derived-features/006_ai-agent-public-domain-asset-context-pack.json,verify_asset_rights_checksums_and_visual_profiles_before_image_use;open_metadata_profile_rows_and_keep_extraction_reviewed_metadata_only;confirm_source_size_checksum_rights_and_risk_before_promoting_derivatives,routing_metadata_only_not_scholarship,unassigned,needs_source_route_review,"This source-route task is a routing and provenance review aid only. Open the cited source rows before making any claim; do not treat coverage, dataset labels, graph edges, or asset metadata as decipherment conclusions.",2026-06-10
source-route-review-005,ai-context-source-coverage-001,src-smithsonian-nmaa-oracle-bone,3,public_asset;access_limited_or_error;metadata_profile;download_log,open_asset_and_rights_records,先打开资产登记和权利复核记录,has_committed_public_asset_or_metadata,public_domain_verified,national_museum_collection,open_asset_rights_and_image_metadata_before_visual_review,corpus/009_statistics-and-derived-features/008_ai-agent-source-coverage-context-pack.json;corpus/009_statistics-and-derived-features/007_source-coverage-summary.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv;project_registry/004_asset-source-and-rights-index/001_asset-source-index.csv;project_registry/004_asset-source-and-rights-index/002_asset-rights-review-log.csv;project_registry/004_asset-source-and-rights-index/004_asset-image-technical-profile.csv;project_registry/004_asset-source-and-rights-index/005_asset-image-visual-profile.csv;corpus/009_statistics-and-derived-features/006_ai-agent-public-domain-asset-context-pack.json,verify_asset_rights_checksums_and_visual_profiles_before_image_use;review_download_log_status_and_record_retry_or_metadata_only_decision;open_metadata_profile_rows_and_keep_extraction_reviewed_metadata_only;confirm_source_size_checksum_rights_and_risk_before_promoting_derivatives,routing_metadata_only_not_scholarship,unassigned,needs_source_route_review,"This source-route task is a routing and provenance review aid only. Open the cited source rows before making any claim; do not treat coverage, dataset labels, graph edges, or asset metadata as decipherment conclusions.",2026-06-10
source-route-review-006,ai-context-source-coverage-001,src-british-museum-oracle-bone,4,access_limited_or_error;download_log,open_download_log_and_source_register,先打开下载日志和来源登记,has_download_log_only,metadata_only_until_verified,museum_collection,open_download_logs_and_resolve_access_or_error_boundary,corpus/009_statistics-and-derived-features/008_ai-agent-source-coverage-context-pack.json;corpus/009_statistics-and-derived-features/007_source-coverage-summary.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv,review_download_log_status_and_record_retry_or_metadata_only_decision;confirm_source_size_checksum_rights_and_risk_before_promoting_derivatives,routing_metadata_only_not_scholarship,unassigned,needs_source_route_review,"This source-route task is a routing and provenance review aid only. Open the cited source rows before making any claim; do not treat coverage, dataset labels, graph edges, or asset metadata as decipherment conclusions.",2026-06-10
source-route-review-007,ai-context-source-coverage-001,src-xiaoxuetang-jiaguwen,4,access_limited_or_error;download_log,open_download_log_and_source_register,先打开下载日志和来源登记,has_download_log_only,metadata_only_until_verified,core_institutional,open_download_logs_and_resolve_access_or_error_boundary,corpus/009_statistics-and-derived-features/008_ai-agent-source-coverage-context-pack.json;corpus/009_statistics-and-derived-features/007_source-coverage-summary.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv,review_download_log_status_and_record_retry_or_metadata_only_decision;confirm_source_size_checksum_rights_and_risk_before_promoting_derivatives,routing_metadata_only_not_scholarship,unassigned,needs_source_route_review,"This source-route task is a routing and provenance review aid only. Open the cited source rows before making any claim; do not treat coverage, dataset labels, graph edges, or asset metadata as decipherment conclusions.",2026-06-10
source-route-review-008,ai-context-source-coverage-001,src-xiaoxuetang-obm,4,access_limited_or_error;download_log,open_download_log_and_source_register,先打开下载日志和来源登记,has_download_log_only,metadata_only_until_verified,core_institutional,open_download_logs_and_resolve_access_or_error_boundary,corpus/009_statistics-and-derived-features/008_ai-agent-source-coverage-context-pack.json;corpus/009_statistics-and-derived-features/007_source-coverage-summary.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv,review_download_log_status_and_record_retry_or_metadata_only_decision;confirm_source_size_checksum_rights_and_risk_before_promoting_derivatives,routing_metadata_only_not_scholarship,unassigned,needs_source_route_review,"This source-route task is a routing and provenance review aid only. Open the cited source rows before making any claim; do not treat coverage, dataset labels, graph edges, or asset metadata as decipherment conclusions.",2026-06-10
source-route-review-009,ai-context-source-coverage-001,src-nlc-oracle-world,5,metadata_profile;download_log,open_metadata_profile_and_source_register,先打开 metadata profile 和来源登记,has_downloaded_metadata_profile,metadata_only_until_verified,national_library,open_metadata_profile_and_source_register_before_extraction,corpus/009_statistics-and-derived-features/008_ai-agent-source-coverage-context-pack.json;corpus/009_statistics-and-derived-features/007_source-coverage-summary.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv,open_metadata_profile_rows_and_keep_extraction_reviewed_metadata_only;confirm_source_size_checksum_rights_and_risk_before_promoting_derivatives,routing_metadata_only_not_scholarship,unassigned,needs_source_route_review,"This source-route task is a routing and provenance review aid only. Open the cited source rows before making any claim; do not treat coverage, dataset labels, graph edges, or asset metadata as decipherment conclusions.",2026-06-10
source-route-review-010,ai-context-source-coverage-001,src-penn-museum-oracle-bone,5,metadata_profile;download_log,open_metadata_profile_and_source_register,先打开 metadata profile 和来源登记,has_downloaded_metadata_profile,metadata_only_until_verified,university_museum_collection,open_metadata_profile_and_source_register_before_extraction,corpus/009_statistics-and-derived-features/008_ai-agent-source-coverage-context-pack.json;corpus/009_statistics-and-derived-features/007_source-coverage-summary.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv,open_metadata_profile_rows_and_keep_extraction_reviewed_metadata_only;confirm_source_size_checksum_rights_and_risk_before_promoting_derivatives,routing_metadata_only_not_scholarship,unassigned,needs_source_route_review,"This source-route task is a routing and provenance review aid only. Open the cited source rows before making any claim; do not treat coverage, dataset labels, graph edges, or asset metadata as decipherment conclusions.",2026-06-10
