coverage_id,project_id,project_id_type,object_dir,asset_count,observation_path,visual_observation_status,review_status,rights_status,next_human_action
character-visual-observation-00001,obs-char-000001,oracle_character,corpus/001_oracle-characters/001_000001-000100_obs-char-bucket_oracle-characters/001_obs-char-000001_hust-obc-cat-0001_oracle-character,1,corpus/001_oracle-characters/001_000001-000100_obs-char-bucket_oracle-characters/001_obs-char-000001_hust-obc-cat-0001_oracle-character/14_material-visual-observation.md,direct_visual_record_present,needs_human_visual_review,source_marked_risk_noted,check source cross-links and inscription context
character-visual-observation-00002,obs-char-000002,oracle_character,corpus/001_oracle-characters/001_000001-000100_obs-char-bucket_oracle-characters/002_obs-char-000002_hust-obc-cat-0002_oracle-character,1,corpus/001_oracle-characters/001_000001-000100_obs-char-bucket_oracle-characters/002_obs-char-000002_hust-obc-cat-0002_oracle-character/14_material-visual-observation.md,direct_visual_record_present,needs_human_visual_review,source_marked_risk_noted,check source cross-links and inscription context
character-visual-observation-00003,obs-char-000003,oracle_character,corpus/001_oracle-characters/001_000001-000100_obs-char-bucket_oracle-characters/003_obs-char-000003_hust-obc-cat-0003_oracle-character,1,corpus/001_oracle-characters/001_000001-000100_obs-char-bucket_oracle-characters/003_obs-char-000003_hust-obc-cat-0003_oracle-character/14_material-visual-observation.md,direct_visual_record_present,needs_human_visual_review,source_marked_risk_noted,check source cross-links and inscription context
character-visual-observation-00004,obs-char-000004,oracle_character,corpus/001_oracle-characters/001_000001-000100_obs-char-bucket_oracle-characters/004_obs-char-000004_hust-obc-cat-0004_oracle-character,1,corpus/001_oracle-characters/001_000001-000100_obs-char-bucket_oracle-characters/004_obs-char-000004_hust-obc-cat-0004_oracle-character/14_material-visual-observation.md,direct_visual_record_present,needs_human_visual_review,source_marked_risk_noted,check source cross-links and inscription context
character-visual-observation-00005,obs-char-000005,oracle_character,corpus/001_oracle-characters/001_000001-000100_obs-char-bucket_oracle-characters/005_obs-char-000005_hust-obc-cat-0005_oracle-character,1,corpus/001_oracle-characters/001_000001-000100_obs-char-bucket_oracle-characters/005_obs-char-000005_hust-obc-cat-0005_oracle-character/14_material-visual-observation.md,direct_visual_record_present,needs_human_visual_review,source_marked_risk_noted,check source cross-links and inscription context
character-visual-observation-00006,obs-char-000006,oracle_character,corpus/001_oracle-characters/001_000001-000100_obs-char-bucket_oracle-characters/006_obs-char-000006_hust-obc-cat-0006_oracle-character,1,corpus/001_oracle-characters/001_000001-000100_obs-char-bucket_oracle-characters/006_obs-char-000006_hust-obc-cat-0006_oracle-character/14_material-visual-observation.md,direct_visual_record_present,needs_human_visual_review,source_marked_risk_noted,check source cross-links and inscription context
character-visual-observation-00007,obs-char-000007,oracle_character,corpus/001_oracle-characters/001_000001-000100_obs-char-bucket_oracle-characters/007_obs-char-000007_hust-obc-cat-0007_oracle-character,1,corpus/001_oracle-characters/001_000001-000100_obs-char-bucket_oracle-characters/007_obs-char-000007_hust-obc-cat-0007_oracle-character/14_material-visual-observation.md,direct_visual_record_present,needs_human_visual_review,source_marked_risk_noted,check source cross-links and inscription context
character-visual-observation-00008,obs-char-000008,oracle_character,corpus/001_oracle-characters/001_000001-000100_obs-char-bucket_oracle-characters/008_obs-char-000008_hust-obc-cat-0008_oracle-character,1,corpus/001_oracle-characters/001_000001-000100_obs-char-bucket_oracle-characters/008_obs-char-000008_hust-obc-cat-0008_oracle-character/14_material-visual-observation.md,direct_visual_record_present,needs_human_visual_review,source_marked_risk_noted,check source cross-links and inscription context
character-visual-observation-00009,obs-char-000009,oracle_character,corpus/001_oracle-characters/001_000001-000100_obs-char-bucket_oracle-characters/009_obs-char-000009_hust-obc-cat-0009_oracle-character,1,corpus/001_oracle-characters/001_000001-000100_obs-char-bucket_oracle-characters/009_obs-char-000009_hust-obc-cat-0009_oracle-character/14_material-visual-observation.md,direct_visual_record_present,needs_human_visual_review,source_marked_risk_noted,check source cross-links and inscription context
character-visual-observation-00010,obs-char-000010,oracle_character,corpus/001_oracle-characters/001_000001-000100_obs-char-bucket_oracle-characters/010_obs-char-000010_hust-obc-cat-0010_oracle-character,1,corpus/001_oracle-characters/001_000001-000100_obs-char-bucket_oracle-characters/010_obs-char-000010_hust-obc-cat-0010_oracle-character/14_material-visual-observation.md,direct_visual_record_present,needs_human_visual_review,source_marked_risk_noted,check source cross-links and inscription context
