node_degree_row_id,node_id,total_degree,out_degree,in_degree,outgoing_edge_type_counts,incoming_edge_type_counts,source_ids,graph_files,review_status_counts,generated_from,updated_at
graph-node-degree-000001,evobc-code-008,10158,0,10158,,EVOBC_CATEGORY_HAS_SOURCE_CODE:10158,src-evobc,corpus/008_relationship-graph/007_evobc-evolution-graph-edges.jsonl,reviewed:10158,relationship_graph_jsonl,2026-06-04
graph-node-degree-000002,evobc-code-003,9147,0,9147,,EVOBC_CATEGORY_HAS_ERA_CODE:9147,src-evobc,corpus/008_relationship-graph/007_evobc-evolution-graph-edges.jsonl,reviewed:9147,relationship_graph_jsonl,2026-06-04
graph-node-degree-000003,evobc-code-005,7222,0,7222,,EVOBC_CATEGORY_HAS_ERA_CODE:7222,src-evobc,corpus/008_relationship-graph/007_evobc-evolution-graph-edges.jsonl,reviewed:7222,relationship_graph_jsonl,2026-06-04
graph-node-degree-000004,evobc-code-012,6656,0,6656,,EVOBC_CATEGORY_HAS_SOURCE_CODE:6656,src-evobc,corpus/008_relationship-graph/007_evobc-evolution-graph-edges.jsonl,reviewed:6656,relationship_graph_jsonl,2026-06-04
graph-node-degree-000005,evobc-code-002,3452,0,3452,,EVOBC_CATEGORY_HAS_ERA_CODE:3452,src-evobc,corpus/008_relationship-graph/007_evobc-evolution-graph-edges.jsonl,reviewed:3452,relationship_graph_jsonl,2026-06-04
graph-node-degree-000006,evobc-code-006,2890,0,2890,,EVOBC_CATEGORY_HAS_ERA_CODE:2890,src-evobc,corpus/008_relationship-graph/007_evobc-evolution-graph-edges.jsonl,reviewed:2890,relationship_graph_jsonl,2026-06-04
graph-node-degree-000007,evobc-code-010,2040,0,2040,,EVOBC_CATEGORY_HAS_SOURCE_CODE:2040,src-evobc,corpus/008_relationship-graph/007_evobc-evolution-graph-edges.jsonl,reviewed:2040,relationship_graph_jsonl,2026-06-04
graph-node-degree-000008,evobc-code-004,1905,0,1905,,EVOBC_CATEGORY_HAS_ERA_CODE:1905,src-evobc,corpus/008_relationship-graph/007_evobc-evolution-graph-edges.jsonl,reviewed:1905,relationship_graph_jsonl,2026-06-04
graph-node-degree-000009,evobc-code-011,1905,0,1905,,EVOBC_CATEGORY_HAS_SOURCE_CODE:1905,src-evobc,corpus/008_relationship-graph/007_evobc-evolution-graph-edges.jsonl,reviewed:1905,relationship_graph_jsonl,2026-06-04
graph-node-degree-000010,evobc-code-001,1762,0,1762,,EVOBC_CATEGORY_HAS_ERA_CODE:1762,src-evobc,corpus/008_relationship-graph/007_evobc-evolution-graph-edges.jsonl,reviewed:1762,relationship_graph_jsonl,2026-06-04
