evidence_collection_task_id,cross_review_result_id,draft_log_id,cross_review_log_id,cross_review_task_id,source_id,primary_review_record_id,primary_external_ref_id,source_record_id,target_evidence_section,collection_scope,route_files_to_open,counter_source_ids_to_check,expected_output_path,route_file_count,prerequisite_status,task_status,evidence_collection_status,promotion_status,research_boundary,output_scope,caution,updated_at
graph-source-evidence-task-001,graph-source-cross-review-result-001,graph-source-cross-review-draft-001,graph-source-cross-review-log-001,graph-source-cross-review-001,src-hust-obc,hust-obc-evidence-request-000001,hust-obc-cat-0001,0001,source_register,collect_source_register_rows_for_primary_and_counter_sources,corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,src-hust-obc;src-xiaoxuetang-jiaguwen;src-xiaoxuetang-obm;src-obimd;src-evobc;src-ihp-oracle-rubbings,doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-001_source-register_collection-note.md,1,ready_from_015_metadata_review,not_started,not_collected,not_promoted,evidence_collection_task_queue_not_scholarship,route_to_future_evidence_collection_only,"This row is an evidence-collection task only. It is not collected evidence, not a rights decision, not a promotion decision, not a component or evolution-chain assignment, and not a decipherment conclusion.",2026-06-10
graph-source-evidence-task-002,graph-source-cross-review-result-001,graph-source-cross-review-draft-001,graph-source-cross-review-log-001,graph-source-cross-review-001,src-hust-obc,hust-obc-evidence-request-000001,hust-obc-cat-0001,0001,download_log,collect_download_log_rows_and_access_or_checksum_notes,project_registry/006_large-source-register/002_source-download-log.csv,src-hust-obc;src-xiaoxuetang-jiaguwen;src-xiaoxuetang-obm;src-obimd;src-evobc;src-ihp-oracle-rubbings,doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-002_download-log_collection-note.md,1,ready_from_015_metadata_review,not_started,not_collected,not_promoted,evidence_collection_task_queue_not_scholarship,route_to_future_evidence_collection_only,"This row is an evidence-collection task only. It is not collected evidence, not a rights decision, not a promotion decision, not a component or evolution-chain assignment, and not a decipherment conclusion.",2026-06-10
graph-source-evidence-task-003,graph-source-cross-review-result-001,graph-source-cross-review-draft-001,graph-source-cross-review-log-001,graph-source-cross-review-001,src-hust-obc,hust-obc-evidence-request-000001,hust-obc-cat-0001,0001,package_manifest,collect_package_manifest_rows_and_commit_policy_notes,corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv,src-hust-obc;src-xiaoxuetang-jiaguwen;src-xiaoxuetang-obm;src-obimd;src-evobc;src-ihp-oracle-rubbings,doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-003_package-manifest_collection-note.md,1,ready_from_015_metadata_review,not_started,not_collected,not_promoted,evidence_collection_task_queue_not_scholarship,route_to_future_evidence_collection_only,"This row is an evidence-collection task only. It is not collected evidence, not a rights decision, not a promotion decision, not a component or evolution-chain assignment, and not a decipherment conclusion.",2026-06-10
graph-source-evidence-task-004,graph-source-cross-review-result-001,graph-source-cross-review-draft-001,graph-source-cross-review-log-001,graph-source-cross-review-001,src-hust-obc,hust-obc-evidence-request-000001,hust-obc-cat-0001,0001,metadata_profile,collect_metadata_profile_metrics_and_cautions,corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv,src-hust-obc;src-xiaoxuetang-jiaguwen;src-xiaoxuetang-obm;src-obimd;src-evobc;src-ihp-oracle-rubbings,doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-004_metadata-profile_collection-note.md,1,ready_from_015_metadata_review,not_started,not_collected,not_promoted,evidence_collection_task_queue_not_scholarship,route_to_future_evidence_collection_only,"This row is an evidence-collection task only. It is not collected evidence, not a rights decision, not a promotion decision, not a component or evolution-chain assignment, and not a decipherment conclusion.",2026-06-10
graph-source-evidence-task-005,graph-source-cross-review-result-001,graph-source-cross-review-draft-001,graph-source-cross-review-log-001,graph-source-cross-review-001,src-hust-obc,hust-obc-evidence-request-000001,hust-obc-cat-0001,0001,graph_edges,collect_graph_edge_rows_or_counts_as_metadata_only,corpus/008_relationship-graph/005_hust-obc-candidate-graph-edges.jsonl;corpus/008_relationship-graph/006_obimd-component-graph-edges.jsonl;corpus/008_relationship-graph/007_evobc-evolution-graph-edges.jsonl,src-hust-obc;src-xiaoxuetang-jiaguwen;src-xiaoxuetang-obm;src-obimd;src-evobc;src-ihp-oracle-rubbings,doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-005_graph-edges_collection-note.md,3,ready_from_015_metadata_review,not_started,not_collected,not_promoted,evidence_collection_task_queue_not_scholarship,route_to_future_evidence_collection_only,"This row is an evidence-collection task only. It is not collected evidence, not a rights decision, not a promotion decision, not a component or evolution-chain assignment, and not a decipherment conclusion.",2026-06-10
graph-source-evidence-task-006,graph-source-cross-review-result-001,graph-source-cross-review-draft-001,graph-source-cross-review-log-001,graph-source-cross-review-001,src-hust-obc,hust-obc-evidence-request-000001,hust-obc-cat-0001,0001,staging_row,collect_candidate_or_staging_rows_for_primary_record,corpus/009_statistics-and-derived-features/005_ai-agent-hust-obc-candidate-evidence-pack-request-queue.csv;corpus/001_oracle-characters/000_character-registers/009_hust-obc-obs-char-promotion-review-queue.csv;corpus/001_oracle-characters/001_000001-000100_obs-char-bucket_oracle-characters/000_hust-obc-promotion-bucket-manifest.csv,src-hust-obc;src-xiaoxuetang-jiaguwen;src-xiaoxuetang-obm;src-obimd;src-evobc;src-ihp-oracle-rubbings,doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-006_staging-row_collection-note.md,3,ready_from_015_metadata_review,not_started,not_collected,not_promoted,evidence_collection_task_queue_not_scholarship,route_to_future_evidence_collection_only,"This row is an evidence-collection task only. It is not collected evidence, not a rights decision, not a promotion decision, not a component or evolution-chain assignment, and not a decipherment conclusion.",2026-06-10
graph-source-evidence-task-007,graph-source-cross-review-result-001,graph-source-cross-review-draft-001,graph-source-cross-review-log-001,graph-source-cross-review-001,src-hust-obc,hust-obc-evidence-request-000001,hust-obc-cat-0001,0001,counter_source_lookup,collect_counter_source_lookup_plan_without_claiming_identity,corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,src-hust-obc;src-xiaoxuetang-jiaguwen;src-xiaoxuetang-obm;src-obimd;src-evobc;src-ihp-oracle-rubbings,doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-007_counter-source-lookup_collection-note.md,1,ready_from_015_metadata_review,not_started,not_collected,not_promoted,evidence_collection_task_queue_not_scholarship,route_to_future_evidence_collection_only,"This row is an evidence-collection task only. It is not collected evidence, not a rights decision, not a promotion decision, not a component or evolution-chain assignment, and not a decipherment conclusion.",2026-06-10
graph-source-evidence-task-008,graph-source-cross-review-result-001,graph-source-cross-review-draft-001,graph-source-cross-review-log-001,graph-source-cross-review-001,src-hust-obc,hust-obc-evidence-request-000001,hust-obc-cat-0001,0001,rights_risk_review,collect_rights_risk_and_size_boundary_notes,corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv,src-hust-obc;src-xiaoxuetang-jiaguwen;src-xiaoxuetang-obm;src-obimd;src-evobc;src-ihp-oracle-rubbings,doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-008_rights-risk-review_collection-note.md,4,ready_from_015_metadata_review,not_started,not_collected,not_promoted,evidence_collection_task_queue_not_scholarship,route_to_future_evidence_collection_only,"This row is an evidence-collection task only. It is not collected evidence, not a rights decision, not a promotion decision, not a component or evolution-chain assignment, and not a decipherment conclusion.",2026-06-10
graph-source-evidence-task-009,graph-source-cross-review-result-001,graph-source-cross-review-draft-001,graph-source-cross-review-log-001,graph-source-cross-review-001,src-hust-obc,hust-obc-evidence-request-000001,hust-obc-cat-0001,0001,review_log,collect_human_or_agent_review_log_notes_under_user_research,corpus/009_statistics-and-derived-features/015_ai-agent-graph-source-cross-review-log-results.csv;doc/public/user_research/002_cross-source-review-queues/hust-obc/001_hust-obc-evidence-request-000001_cross-source-review-log.md,src-hust-obc;src-xiaoxuetang-jiaguwen;src-xiaoxuetang-obm;src-obimd;src-evobc;src-ihp-oracle-rubbings,doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-009_review-log_collection-note.md,2,ready_from_015_metadata_review,not_started,not_collected,not_promoted,evidence_collection_task_queue_not_scholarship,route_to_future_evidence_collection_only,"This row is an evidence-collection task only. It is not collected evidence, not a rights decision, not a promotion decision, not a component or evolution-chain assignment, and not a decipherment conclusion.",2026-06-10
graph-source-evidence-task-010,graph-source-cross-review-result-002,graph-source-cross-review-draft-002,graph-source-cross-review-log-002,graph-source-cross-review-002,src-evobc,evobc-evo-cat-00001,evobc-cat-00001,00001,source_register,collect_source_register_rows_for_primary_and_counter_sources,corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,src-xiaoxuetang-jiaguwen;src-xiaoxuetang-obm;src-hust-obc;src-obimd;src-ihp-oracle-rubbings,doc/public/user_research/003_evidence-collection-tasks/evobc/graph-source-evidence-task-010_source-register_collection-note.md,1,ready_from_015_metadata_review,not_started,not_collected,not_promoted,evidence_collection_task_queue_not_scholarship,route_to_future_evidence_collection_only,"This row is an evidence-collection task only. It is not collected evidence, not a rights decision, not a promotion decision, not a component or evolution-chain assignment, and not a decipherment conclusion.",2026-06-10
