phase_row_id,ledger_id,source_id,source_type,rights_status,pipeline_gap_status,review_lane,discovered_status,downloaded_status,registered_status,unpacked_status,extracted_status,cleaned_status,structured_status,linked_status,verified_status,pending_human_review_status,manifest_status,metadata_profile_status,derivative_status,download_manifest_count,downloaded_count,checksum_present_count,package_manifest_count,metadata_profile_count,candidate_queue_count,cross_source_crosswalk_match_count,graph_edge_count,phase_coverage_status,missing_or_review_needed_phases,next_review_steps,phase_evidence_paths,route_files_to_open,review_outcome_status,claim_boundary,rights_decision_status,source_promotion_status,corpus_import_status,decipherment_claim_status,caution,updated_at
source-pipeline-phase-001,source-pipeline-evidence-ledger-001,src-british-museum-oracle-bone,museum_collection,metadata_only_until_verified,needs_download_or_access_review,access_and_checksum_boundary_resolution,present,missing,present,review_needed,review_needed,review_needed,review_needed,missing,pending_human_review,present,review_needed,review_needed,review_needed,1,0,0,0,0,0,0,0,source_evidence_has_gaps_pending_review,downloaded;unpacked;extracted;cleaned;structured;linked;verified,open_source_register_and_risk_note;verify_rights_status_before_any_use;verify_download_or_access_boundary;verify_field_map_absence_or_plan;review_package_manifest_or_not_applicable;review_metadata_profile_or_not_applicable;record_human_review_outcome_before_promotion,corpus/009_statistics-and-derived-features/134_ai-agent-source-pipeline-evidence-ledger.csv;corpus/009_statistics-and-derived-features/133_ai-agent-source-pipeline-gap-review-checklist.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv,corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/007_source-field-map.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv;project_registry/006_large-source-register/001_large-source-register.csv,not_recorded,source_pipeline_phase_coverage_not_review_outcome_not_scholarship,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,"Source pipeline phase coverage only; phase statuses summarize existing engineering evidence and do not decide rights, promote sources, import corpus records, or make decipherment claims.",2026-06-19
source-pipeline-phase-002,source-pipeline-evidence-ledger-002,src-cambridge-hopkins,library_collection,metadata_only_until_verified,needs_safe_derived_record_review,safe_derived_record_decision,present,present,present,review_needed,present,present,present,present,pending_human_review,present,review_needed,review_needed,present,1,1,1,0,0,0,0,4403,source_evidence_has_gaps_pending_review,unpacked;verified,open_source_register_and_risk_note;verify_rights_status_before_any_use;review_package_manifest_or_not_applicable;review_metadata_profile_or_not_applicable;review_candidate_or_graph_derivatives;record_human_review_outcome_before_promotion,corpus/009_statistics-and-derived-features/134_ai-agent-source-pipeline-evidence-ledger.csv;corpus/009_statistics-and-derived-features/133_ai-agent-source-pipeline-gap-review-checklist.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv,corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/007_source-field-map.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv;project_registry/006_large-source-register/001_large-source-register.csv,not_recorded,source_pipeline_phase_coverage_not_review_outcome_not_scholarship,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,"Source pipeline phase coverage only; phase statuses summarize existing engineering evidence and do not decide rights, promote sources, import corpus records, or make decipherment claims.",2026-06-19
source-pipeline-phase-003,source-pipeline-evidence-ledger-003,src-evobc,open_research_dataset,source_marked_risk_noted,needs_safe_derived_record_review,safe_derived_record_decision,present,present,present,present,present,present,present,present,pending_human_review,present,present,present,present,5,5,5,3,7,0,127,51679,source_evidence_and_derivatives_present_pending_review,verified,open_source_register_and_risk_note;verify_rights_status_before_any_use;review_candidate_or_graph_derivatives;record_human_review_outcome_before_promotion,corpus/009_statistics-and-derived-features/134_ai-agent-source-pipeline-evidence-ledger.csv;corpus/009_statistics-and-derived-features/133_ai-agent-source-pipeline-gap-review-checklist.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv,corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/007_source-field-map.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv;project_registry/006_large-source-register/001_large-source-register.csv,not_recorded,source_pipeline_phase_coverage_not_review_outcome_not_scholarship,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,"Source pipeline phase coverage only; phase statuses summarize existing engineering evidence and do not decide rights, promote sources, import corpus records, or make decipherment claims.",2026-06-19
source-pipeline-phase-004,source-pipeline-evidence-ledger-004,src-gbedobc,open_research_dataset,source_marked_risk_noted,needs_package_manifest_review,metadata_profile_and_package_manifest_decision,present,present,present,review_needed,present,present,present,missing,pending_human_review,present,review_needed,present,review_needed,2,2,2,0,3,0,0,0,source_evidence_has_gaps_pending_review,unpacked;linked;verified,open_source_register_and_risk_note;verify_rights_status_before_any_use;review_package_manifest_or_not_applicable;review_metadata_profile_or_not_applicable;record_human_review_outcome_before_promotion,corpus/009_statistics-and-derived-features/134_ai-agent-source-pipeline-evidence-ledger.csv;corpus/009_statistics-and-derived-features/133_ai-agent-source-pipeline-gap-review-checklist.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv,corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/007_source-field-map.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv;project_registry/006_large-source-register/001_large-source-register.csv,not_recorded,source_pipeline_phase_coverage_not_review_outcome_not_scholarship,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,"Source pipeline phase coverage only; phase statuses summarize existing engineering evidence and do not decide rights, promote sources, import corpus records, or make decipherment claims.",2026-06-19
source-pipeline-phase-005,source-pipeline-evidence-ledger-005,src-hust-obc,open_research_dataset,source_marked_risk_noted,needs_safe_derived_record_review,safe_derived_record_decision,present,present,present,present,present,present,present,present,pending_human_review,present,present,present,present,7,8,8,4,11,10996,1588,3562,source_evidence_and_derivatives_present_pending_review,verified,open_source_register_and_risk_note;verify_rights_status_before_any_use;review_candidate_or_graph_derivatives;record_human_review_outcome_before_promotion,corpus/009_statistics-and-derived-features/134_ai-agent-source-pipeline-evidence-ledger.csv;corpus/009_statistics-and-derived-features/133_ai-agent-source-pipeline-gap-review-checklist.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv,corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/007_source-field-map.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv;project_registry/006_large-source-register/001_large-source-register.csv,not_recorded,source_pipeline_phase_coverage_not_review_outcome_not_scholarship,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,"Source pipeline phase coverage only; phase statuses summarize existing engineering evidence and do not decide rights, promote sources, import corpus records, or make decipherment claims.",2026-06-19
source-pipeline-phase-006,source-pipeline-evidence-ledger-006,src-ihp-museum-oracle-bones,museum_collection,metadata_only_until_verified,needs_field_map_review,field_map_semantics_review,present,present,present,review_needed,present,present,present,missing,pending_human_review,present,review_needed,present,review_needed,1,1,1,0,2,0,0,0,source_evidence_has_gaps_pending_review,unpacked;linked;verified,open_source_register_and_risk_note;verify_rights_status_before_any_use;verify_field_map_absence_or_plan;review_package_manifest_or_not_applicable;review_metadata_profile_or_not_applicable;record_human_review_outcome_before_promotion,corpus/009_statistics-and-derived-features/134_ai-agent-source-pipeline-evidence-ledger.csv;corpus/009_statistics-and-derived-features/133_ai-agent-source-pipeline-gap-review-checklist.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv,corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/007_source-field-map.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv;project_registry/006_large-source-register/001_large-source-register.csv,not_recorded,source_pipeline_phase_coverage_not_review_outcome_not_scholarship,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,"Source pipeline phase coverage only; phase statuses summarize existing engineering evidence and do not decide rights, promote sources, import corpus records, or make decipherment claims.",2026-06-19
source-pipeline-phase-007,source-pipeline-evidence-ledger-007,src-ihp-oracle-rubbings,online_database,metadata_only_until_verified,needs_package_manifest_review,metadata_profile_and_package_manifest_decision,present,present,present,review_needed,review_needed,review_needed,review_needed,missing,pending_human_review,present,review_needed,review_needed,review_needed,1,1,1,0,0,0,0,0,source_evidence_has_gaps_pending_review,unpacked;extracted;cleaned;structured;linked;verified,open_source_register_and_risk_note;verify_rights_status_before_any_use;review_package_manifest_or_not_applicable;review_metadata_profile_or_not_applicable;record_human_review_outcome_before_promotion,corpus/009_statistics-and-derived-features/134_ai-agent-source-pipeline-evidence-ledger.csv;corpus/009_statistics-and-derived-features/133_ai-agent-source-pipeline-gap-review-checklist.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv,corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/007_source-field-map.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv;project_registry/006_large-source-register/001_large-source-register.csv,not_recorded,source_pipeline_phase_coverage_not_review_outcome_not_scholarship,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,"Source pipeline phase coverage only; phase statuses summarize existing engineering evidence and do not decide rights, promote sources, import corpus records, or make decipherment claims.",2026-06-19
source-pipeline-phase-008,source-pipeline-evidence-ledger-008,src-metmuseum-oracle-bone,museum_collection,public_domain_verified,needs_package_manifest_review,metadata_profile_and_package_manifest_decision,present,present,present,review_needed,present,present,present,missing,pending_human_review,present,review_needed,present,review_needed,2,2,2,0,6,0,0,0,source_evidence_has_gaps_pending_review,unpacked;linked;verified,open_source_register_and_risk_note;verify_rights_status_before_any_use;review_package_manifest_or_not_applicable;review_metadata_profile_or_not_applicable;record_human_review_outcome_before_promotion,corpus/009_statistics-and-derived-features/134_ai-agent-source-pipeline-evidence-ledger.csv;corpus/009_statistics-and-derived-features/133_ai-agent-source-pipeline-gap-review-checklist.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv,corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/007_source-field-map.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv;project_registry/006_large-source-register/001_large-source-register.csv,not_recorded,source_pipeline_phase_coverage_not_review_outcome_not_scholarship,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,"Source pipeline phase coverage only; phase statuses summarize existing engineering evidence and do not decide rights, promote sources, import corpus records, or make decipherment claims.",2026-06-19
source-pipeline-phase-009,source-pipeline-evidence-ledger-009,src-nlc-oracle-world,library_database,metadata_only_until_verified,needs_package_manifest_review,metadata_profile_and_package_manifest_decision,present,present,present,review_needed,present,present,present,missing,pending_human_review,present,review_needed,present,review_needed,2,2,2,0,7,0,0,0,source_evidence_has_gaps_pending_review,unpacked;linked;verified,open_source_register_and_risk_note;verify_rights_status_before_any_use;review_package_manifest_or_not_applicable;review_metadata_profile_or_not_applicable;record_human_review_outcome_before_promotion,corpus/009_statistics-and-derived-features/134_ai-agent-source-pipeline-evidence-ledger.csv;corpus/009_statistics-and-derived-features/133_ai-agent-source-pipeline-gap-review-checklist.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv,corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/007_source-field-map.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv;project_registry/006_large-source-register/001_large-source-register.csv,not_recorded,source_pipeline_phase_coverage_not_review_outcome_not_scholarship,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,"Source pipeline phase coverage only; phase statuses summarize existing engineering evidence and do not decide rights, promote sources, import corpus records, or make decipherment claims.",2026-06-19
source-pipeline-phase-010,source-pipeline-evidence-ledger-010,src-obid-ancientbooks,online_database,source_marked_risk_noted,needs_package_manifest_review,metadata_profile_and_package_manifest_decision,present,present,present,review_needed,review_needed,review_needed,review_needed,missing,pending_human_review,present,review_needed,review_needed,review_needed,1,1,1,0,0,0,0,0,source_evidence_has_gaps_pending_review,unpacked;extracted;cleaned;structured;linked;verified,open_source_register_and_risk_note;verify_rights_status_before_any_use;review_package_manifest_or_not_applicable;review_metadata_profile_or_not_applicable;record_human_review_outcome_before_promotion,corpus/009_statistics-and-derived-features/134_ai-agent-source-pipeline-evidence-ledger.csv;corpus/009_statistics-and-derived-features/133_ai-agent-source-pipeline-gap-review-checklist.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv,corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/007_source-field-map.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv;project_registry/006_large-source-register/001_large-source-register.csv,not_recorded,source_pipeline_phase_coverage_not_review_outcome_not_scholarship,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,"Source pipeline phase coverage only; phase statuses summarize existing engineering evidence and do not decide rights, promote sources, import corpus records, or make decipherment claims.",2026-06-19
