evidence_collection_task_id,evidence_pack_scaffold_id,readiness_check_id,route_result_id,review_log_draft_id,undeciphered_review_task_id,context_pack_id,unknown_candidate_id,primary_external_ref_id,target_evidence_section,collection_scope,route_hints,route_files_to_open,candidate_packet_capture_result_id,source_register_capture_result_id,download_log_capture_result_id,large_source_register_capture_result_id,expected_output_path,route_file_count,prerequisite_status,task_status,evidence_collection_status,human_review_status,formal_schema_compatibility_status,identity_claim_status,assignment_status,decipherment_claim_status,component_claim_status,evolution_chain_claim_status,rights_decision_status,source_promotion_status,research_boundary,output_scope,required_next_checks,caution,updated_at
hust-obc-undeciphered-evidence-task-0001,hust-obc-undeciphered-evidence-pack-scaffold-0001,hust-obc-undeciphered-evidence-readiness-0001,hust-obc-undeciphered-route-result-0001,hust-obc-undeciphered-review-log-draft-0001,hust-obc-undeciphered-review-0001,ai-context-hust-obc-undeciphered-candidate-001,obs-unk-006294,hust-obc-und-X-006294,character_or_unknown_glyph_id,verify_unknown_candidate_id_external_ref_and_local_candidate_packet,open_061_scaffold_row;open_candidate_packet;open_bucket_manifest,corpus/009_statistics-and-derived-features/061_ai-agent-hust-obc-undeciphered-candidate-evidence-pack-scaffold-manifest.csv;doc/public/user_research/005_undeciphered-candidate-review-queues/001_image_count_050_plus/0001_obs-unk-006294_hust-obc-und-X-006294_review-log.md;corpus/001_oracle-characters/079_undeciphered-006201-006300_obs-unk-bucket_oracle-character-candidates/094_obs-unk-006294_hust-obc-und-X-006294_oracle-character-candidate/01_undeciphered-candidate-packet.json;corpus/001_oracle-characters/079_undeciphered-006201-006300_obs-unk-bucket_oracle-character-candidates/000_hust-obc-undeciphered-candidate-bucket-manifest.csv,hust-obc-undeciphered-candidate-packet-capture-result-0001,hust-obc-undeciphered-source-register-capture-result-0001,hust-obc-undeciphered-download-log-capture-result-0001,hust-obc-undeciphered-large-source-capture-result-0001,doc/public/user_research/006_undeciphered-candidate-evidence-collection-tasks/obs-unk-006294_hust-obc-und-X-006294/hust-obc-undeciphered-evidence-task-0001_character-or-unknown-glyph-id_collection-note.md,4,ready_from_061_scaffold_manifest,not_started,not_collected,not_started,not_formal_obs_char_schema,no_identity_claim,unknown_candidate_id_not_formal_obs_char_assignment,no_claim,no_claim,no_claim,no_new_rights_decision,not_promoted,hust_obc_undeciphered_candidate_evidence_collection_task_queue_not_scholarship,route_to_future_source_marked_evidence_collection_only,open_062_task_row;open_061_scaffold_row;open_route_files;record_source_marked_evidence_only_after_verification,"This row is an evidence-collection task only for a HUST-OBC undeciphered candidate scaffold. It is not collected evidence, not an accepted glyph identity, not a formal obs-char assignment, not a reading, not a component or evolution-chain assignment, not a rights decision, not a source promotion, and not a decipherment conclusion.",2026-06-11
hust-obc-undeciphered-evidence-task-0002,hust-obc-undeciphered-evidence-pack-scaffold-0001,hust-obc-undeciphered-evidence-readiness-0001,hust-obc-undeciphered-route-result-0001,hust-obc-undeciphered-review-log-draft-0001,hust-obc-undeciphered-review-0001,ai-context-hust-obc-undeciphered-candidate-001,obs-unk-006294,hust-obc-und-X-006294,source_references_and_asset_metadata,collect_source_register_download_log_large_source_and_candidate_packet_metadata,open_056_057_058_059_capture_rows;open_candidate_packet;open_bucket_manifest,corpus/009_statistics-and-derived-features/061_ai-agent-hust-obc-undeciphered-candidate-evidence-pack-scaffold-manifest.csv;doc/public/user_research/005_undeciphered-candidate-review-queues/001_image_count_050_plus/0001_obs-unk-006294_hust-obc-und-X-006294_review-log.md;corpus/001_oracle-characters/079_undeciphered-006201-006300_obs-unk-bucket_oracle-character-candidates/094_obs-unk-006294_hust-obc-und-X-006294_oracle-character-candidate/01_undeciphered-candidate-packet.json;corpus/001_oracle-characters/079_undeciphered-006201-006300_obs-unk-bucket_oracle-character-candidates/000_hust-obc-undeciphered-candidate-bucket-manifest.csv;corpus/009_statistics-and-derived-features/056_ai-agent-hust-obc-undeciphered-candidate-source-register-capture-results.csv;corpus/009_statistics-and-derived-features/057_ai-agent-hust-obc-undeciphered-candidate-download-log-capture-results.csv;corpus/009_statistics-and-derived-features/058_ai-agent-hust-obc-undeciphered-candidate-large-source-register-capture-results.csv;corpus/009_statistics-and-derived-features/059_ai-agent-hust-obc-undeciphered-candidate-packet-capture-results.csv;corpus/009_statistics-and-derived-features/060_ai-agent-hust-obc-undeciphered-candidate-evidence-readiness-checklist.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;project_registry/006_large-source-register/001_large-source-register.csv,hust-obc-undeciphered-candidate-packet-capture-result-0001,hust-obc-undeciphered-source-register-capture-result-0001,hust-obc-undeciphered-download-log-capture-result-0001,hust-obc-undeciphered-large-source-capture-result-0001,doc/public/user_research/006_undeciphered-candidate-evidence-collection-tasks/obs-unk-006294_hust-obc-und-X-006294/hust-obc-undeciphered-evidence-task-0002_source-references-and-asset-metadata_collection-note.md,11,ready_from_061_scaffold_manifest,not_started,not_collected,not_started,not_formal_obs_char_schema,no_identity_claim,unknown_candidate_id_not_formal_obs_char_assignment,no_claim,no_claim,no_claim,no_new_rights_decision,not_promoted,hust_obc_undeciphered_candidate_evidence_collection_task_queue_not_scholarship,route_to_future_source_marked_evidence_collection_only,open_062_task_row;open_061_scaffold_row;open_route_files;record_source_marked_evidence_only_after_verification,"This row is an evidence-collection task only for a HUST-OBC undeciphered candidate scaffold. It is not collected evidence, not an accepted glyph identity, not a formal obs-char assignment, not a reading, not a component or evolution-chain assignment, not a rights decision, not a source promotion, and not a decipherment conclusion.",2026-06-11
hust-obc-undeciphered-evidence-task-0003,hust-obc-undeciphered-evidence-pack-scaffold-0001,hust-obc-undeciphered-evidence-readiness-0001,hust-obc-undeciphered-route-result-0001,hust-obc-undeciphered-review-log-draft-0001,hust-obc-undeciphered-review-0001,ai-context-hust-obc-undeciphered-candidate-001,obs-unk-006294,hust-obc-und-X-006294,full_inscription_context,find_and_collect_source_marked_inscription_or_catalog_context_when_available,search_registered_catalog_sources_for_inscription_context;open_candidate_packet_source_image_refs,corpus/009_statistics-and-derived-features/061_ai-agent-hust-obc-undeciphered-candidate-evidence-pack-scaffold-manifest.csv;doc/public/user_research/005_undeciphered-candidate-review-queues/001_image_count_050_plus/0001_obs-unk-006294_hust-obc-und-X-006294_review-log.md;corpus/001_oracle-characters/079_undeciphered-006201-006300_obs-unk-bucket_oracle-character-candidates/094_obs-unk-006294_hust-obc-und-X-006294_oracle-character-candidate/01_undeciphered-candidate-packet.json;corpus/001_oracle-characters/079_undeciphered-006201-006300_obs-unk-bucket_oracle-character-candidates/000_hust-obc-undeciphered-candidate-bucket-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;project_registry/006_large-source-register/001_large-source-register.csv,hust-obc-undeciphered-candidate-packet-capture-result-0001,hust-obc-undeciphered-source-register-capture-result-0001,hust-obc-undeciphered-download-log-capture-result-0001,hust-obc-undeciphered-large-source-capture-result-0001,doc/public/user_research/006_undeciphered-candidate-evidence-collection-tasks/obs-unk-006294_hust-obc-und-X-006294/hust-obc-undeciphered-evidence-task-0003_full-inscription-context_collection-note.md,6,ready_from_061_scaffold_manifest,not_started,not_collected,not_started,not_formal_obs_char_schema,no_identity_claim,unknown_candidate_id_not_formal_obs_char_assignment,no_claim,no_claim,no_claim,no_new_rights_decision,not_promoted,hust_obc_undeciphered_candidate_evidence_collection_task_queue_not_scholarship,route_to_future_source_marked_evidence_collection_only,open_062_task_row;open_061_scaffold_row;open_route_files;record_source_marked_evidence_only_after_verification,"This row is an evidence-collection task only for a HUST-OBC undeciphered candidate scaffold. It is not collected evidence, not an accepted glyph identity, not a formal obs-char assignment, not a reading, not a component or evolution-chain assignment, not a rights decision, not a source promotion, and not a decipherment conclusion.",2026-06-11
hust-obc-undeciphered-evidence-task-0004,hust-obc-undeciphered-evidence-pack-scaffold-0001,hust-obc-undeciphered-evidence-readiness-0001,hust-obc-undeciphered-route-result-0001,hust-obc-undeciphered-review-log-draft-0001,hust-obc-undeciphered-review-0001,ai-context-hust-obc-undeciphered-candidate-001,obs-unk-006294,hust-obc-und-X-006294,neighboring_characters,collect_source_marked_neighboring_character_context_when_available,search_registered_catalog_sources_for_same_inscription_neighbors;open_candidate_packet_source_image_refs,corpus/009_statistics-and-derived-features/061_ai-agent-hust-obc-undeciphered-candidate-evidence-pack-scaffold-manifest.csv;doc/public/user_research/005_undeciphered-candidate-review-queues/001_image_count_050_plus/0001_obs-unk-006294_hust-obc-und-X-006294_review-log.md;corpus/001_oracle-characters/079_undeciphered-006201-006300_obs-unk-bucket_oracle-character-candidates/094_obs-unk-006294_hust-obc-und-X-006294_oracle-character-candidate/01_undeciphered-candidate-packet.json;corpus/001_oracle-characters/079_undeciphered-006201-006300_obs-unk-bucket_oracle-character-candidates/000_hust-obc-undeciphered-candidate-bucket-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;project_registry/006_large-source-register/001_large-source-register.csv,hust-obc-undeciphered-candidate-packet-capture-result-0001,hust-obc-undeciphered-source-register-capture-result-0001,hust-obc-undeciphered-download-log-capture-result-0001,hust-obc-undeciphered-large-source-capture-result-0001,doc/public/user_research/006_undeciphered-candidate-evidence-collection-tasks/obs-unk-006294_hust-obc-und-X-006294/hust-obc-undeciphered-evidence-task-0004_neighboring-characters_collection-note.md,6,ready_from_061_scaffold_manifest,not_started,not_collected,not_started,not_formal_obs_char_schema,no_identity_claim,unknown_candidate_id_not_formal_obs_char_assignment,no_claim,no_claim,no_claim,no_new_rights_decision,not_promoted,hust_obc_undeciphered_candidate_evidence_collection_task_queue_not_scholarship,route_to_future_source_marked_evidence_collection_only,open_062_task_row;open_061_scaffold_row;open_route_files;record_source_marked_evidence_only_after_verification,"This row is an evidence-collection task only for a HUST-OBC undeciphered candidate scaffold. It is not collected evidence, not an accepted glyph identity, not a formal obs-char assignment, not a reading, not a component or evolution-chain assignment, not a rights decision, not a source promotion, and not a decipherment conclusion.",2026-06-11
hust-obc-undeciphered-evidence-task-0005,hust-obc-undeciphered-evidence-pack-scaffold-0001,hust-obc-undeciphered-evidence-readiness-0001,hust-obc-undeciphered-route-result-0001,hust-obc-undeciphered-review-log-draft-0001,hust-obc-undeciphered-review-0001,ai-context-hust-obc-undeciphered-candidate-001,obs-unk-006294,hust-obc-und-X-006294,component_breakdown_and_variant_notes,collect_existing_source_marked_component_or_variant_notes_without_new_breakdown,search_registered_component_and_variant_sources;do_not_create_unsourced_component_split,corpus/009_statistics-and-derived-features/061_ai-agent-hust-obc-undeciphered-candidate-evidence-pack-scaffold-manifest.csv;doc/public/user_research/005_undeciphered-candidate-review-queues/001_image_count_050_plus/0001_obs-unk-006294_hust-obc-und-X-006294_review-log.md;corpus/001_oracle-characters/079_undeciphered-006201-006300_obs-unk-bucket_oracle-character-candidates/094_obs-unk-006294_hust-obc-und-X-006294_oracle-character-candidate/01_undeciphered-candidate-packet.json;corpus/001_oracle-characters/079_undeciphered-006201-006300_obs-unk-bucket_oracle-character-candidates/000_hust-obc-undeciphered-candidate-bucket-manifest.csv;corpus/003_graphemic-components/000_component-registers/001_all-components-index.csv;corpus/008_relationship-graph/004_graph-edges.jsonl,hust-obc-undeciphered-candidate-packet-capture-result-0001,hust-obc-undeciphered-source-register-capture-result-0001,hust-obc-undeciphered-download-log-capture-result-0001,hust-obc-undeciphered-large-source-capture-result-0001,doc/public/user_research/006_undeciphered-candidate-evidence-collection-tasks/obs-unk-006294_hust-obc-und-X-006294/hust-obc-undeciphered-evidence-task-0005_component-breakdown-and-variant-notes_collection-note.md,6,ready_from_061_scaffold_manifest,not_started,not_collected,not_started,not_formal_obs_char_schema,no_identity_claim,unknown_candidate_id_not_formal_obs_char_assignment,no_claim,no_claim,no_claim,no_new_rights_decision,not_promoted,hust_obc_undeciphered_candidate_evidence_collection_task_queue_not_scholarship,route_to_future_source_marked_evidence_collection_only,open_062_task_row;open_061_scaffold_row;open_route_files;record_source_marked_evidence_only_after_verification,"This row is an evidence-collection task only for a HUST-OBC undeciphered candidate scaffold. It is not collected evidence, not an accepted glyph identity, not a formal obs-char assignment, not a reading, not a component or evolution-chain assignment, not a rights decision, not a source promotion, and not a decipherment conclusion.",2026-06-11
hust-obc-undeciphered-evidence-task-0006,hust-obc-undeciphered-evidence-pack-scaffold-0001,hust-obc-undeciphered-evidence-readiness-0001,hust-obc-undeciphered-route-result-0001,hust-obc-undeciphered-review-log-draft-0001,hust-obc-undeciphered-review-0001,ai-context-hust-obc-undeciphered-candidate-001,obs-unk-006294,hust-obc-und-X-006294,excavation_period_and_catalog_provenance,collect_catalog_collection_excavation_period_and_provenance_metadata,search_collection_catalog_and_large_source_register_routes;separate_collection_catalog_and_excavation_provenance,corpus/009_statistics-and-derived-features/061_ai-agent-hust-obc-undeciphered-candidate-evidence-pack-scaffold-manifest.csv;doc/public/user_research/005_undeciphered-candidate-review-queues/001_image_count_050_plus/0001_obs-unk-006294_hust-obc-und-X-006294_review-log.md;corpus/001_oracle-characters/079_undeciphered-006201-006300_obs-unk-bucket_oracle-character-candidates/094_obs-unk-006294_hust-obc-und-X-006294_oracle-character-candidate/01_undeciphered-candidate-packet.json;corpus/001_oracle-characters/079_undeciphered-006201-006300_obs-unk-bucket_oracle-character-candidates/000_hust-obc-undeciphered-candidate-bucket-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;project_registry/006_large-source-register/001_large-source-register.csv,hust-obc-undeciphered-candidate-packet-capture-result-0001,hust-obc-undeciphered-source-register-capture-result-0001,hust-obc-undeciphered-download-log-capture-result-0001,hust-obc-undeciphered-large-source-capture-result-0001,doc/public/user_research/006_undeciphered-candidate-evidence-collection-tasks/obs-unk-006294_hust-obc-und-X-006294/hust-obc-undeciphered-evidence-task-0006_excavation-period-and-catalog-provenance_collection-note.md,6,ready_from_061_scaffold_manifest,not_started,not_collected,not_started,not_formal_obs_char_schema,no_identity_claim,unknown_candidate_id_not_formal_obs_char_assignment,no_claim,no_claim,no_claim,no_new_rights_decision,not_promoted,hust_obc_undeciphered_candidate_evidence_collection_task_queue_not_scholarship,route_to_future_source_marked_evidence_collection_only,open_062_task_row;open_061_scaffold_row;open_route_files;record_source_marked_evidence_only_after_verification,"This row is an evidence-collection task only for a HUST-OBC undeciphered candidate scaffold. It is not collected evidence, not an accepted glyph identity, not a formal obs-char assignment, not a reading, not a component or evolution-chain assignment, not a rights decision, not a source promotion, and not a decipherment conclusion.",2026-06-11
hust-obc-undeciphered-evidence-task-0007,hust-obc-undeciphered-evidence-pack-scaffold-0001,hust-obc-undeciphered-evidence-readiness-0001,hust-obc-undeciphered-route-result-0001,hust-obc-undeciphered-review-log-draft-0001,hust-obc-undeciphered-review-0001,ai-context-hust-obc-undeciphered-candidate-001,obs-unk-006294,hust-obc-und-X-006294,bronze_seal_or_modern_comparanda,collect_existing_bronze_seal_or_modern_comparanda_sources_without_claiming_correspondence,search_registered_bronze_seal_modern_correspondence_sources;do_not_claim_correspondence_without_source,corpus/009_statistics-and-derived-features/061_ai-agent-hust-obc-undeciphered-candidate-evidence-pack-scaffold-manifest.csv;doc/public/user_research/005_undeciphered-candidate-review-queues/001_image_count_050_plus/0001_obs-unk-006294_hust-obc-und-X-006294_review-log.md;corpus/001_oracle-characters/079_undeciphered-006201-006300_obs-unk-bucket_oracle-character-candidates/094_obs-unk-006294_hust-obc-und-X-006294_oracle-character-candidate/01_undeciphered-candidate-packet.json;corpus/001_oracle-characters/079_undeciphered-006201-006300_obs-unk-bucket_oracle-character-candidates/000_hust-obc-undeciphered-candidate-bucket-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;project_registry/006_large-source-register/001_large-source-register.csv,hust-obc-undeciphered-candidate-packet-capture-result-0001,hust-obc-undeciphered-source-register-capture-result-0001,hust-obc-undeciphered-download-log-capture-result-0001,hust-obc-undeciphered-large-source-capture-result-0001,doc/public/user_research/006_undeciphered-candidate-evidence-collection-tasks/obs-unk-006294_hust-obc-und-X-006294/hust-obc-undeciphered-evidence-task-0007_bronze-seal-or-modern-comparanda_collection-note.md,6,ready_from_061_scaffold_manifest,not_started,not_collected,not_started,not_formal_obs_char_schema,no_identity_claim,unknown_candidate_id_not_formal_obs_char_assignment,no_claim,no_claim,no_claim,no_new_rights_decision,not_promoted,hust_obc_undeciphered_candidate_evidence_collection_task_queue_not_scholarship,route_to_future_source_marked_evidence_collection_only,open_062_task_row;open_061_scaffold_row;open_route_files;record_source_marked_evidence_only_after_verification,"This row is an evidence-collection task only for a HUST-OBC undeciphered candidate scaffold. It is not collected evidence, not an accepted glyph identity, not a formal obs-char assignment, not a reading, not a component or evolution-chain assignment, not a rights decision, not a source promotion, and not a decipherment conclusion.",2026-06-11
hust-obc-undeciphered-evidence-task-0008,hust-obc-undeciphered-evidence-pack-scaffold-0001,hust-obc-undeciphered-evidence-readiness-0001,hust-obc-undeciphered-route-result-0001,hust-obc-undeciphered-review-log-draft-0001,hust-obc-undeciphered-review-0001,ai-context-hust-obc-undeciphered-candidate-001,obs-unk-006294,hust-obc-und-X-006294,supporting_evidence,collect_source_marked_supporting_evidence_after_primary_context_is_found,collect_only_after_primary_source_context_exists;separate_dataset_label_from_evidence,corpus/009_statistics-and-derived-features/061_ai-agent-hust-obc-undeciphered-candidate-evidence-pack-scaffold-manifest.csv;doc/public/user_research/005_undeciphered-candidate-review-queues/001_image_count_050_plus/0001_obs-unk-006294_hust-obc-und-X-006294_review-log.md;corpus/001_oracle-characters/079_undeciphered-006201-006300_obs-unk-bucket_oracle-character-candidates/094_obs-unk-006294_hust-obc-und-X-006294_oracle-character-candidate/01_undeciphered-candidate-packet.json;corpus/001_oracle-characters/079_undeciphered-006201-006300_obs-unk-bucket_oracle-character-candidates/000_hust-obc-undeciphered-candidate-bucket-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;project_registry/006_large-source-register/001_large-source-register.csv,hust-obc-undeciphered-candidate-packet-capture-result-0001,hust-obc-undeciphered-source-register-capture-result-0001,hust-obc-undeciphered-download-log-capture-result-0001,hust-obc-undeciphered-large-source-capture-result-0001,doc/public/user_research/006_undeciphered-candidate-evidence-collection-tasks/obs-unk-006294_hust-obc-und-X-006294/hust-obc-undeciphered-evidence-task-0008_supporting-evidence_collection-note.md,6,ready_from_061_scaffold_manifest,not_started,not_collected,not_started,not_formal_obs_char_schema,no_identity_claim,unknown_candidate_id_not_formal_obs_char_assignment,no_claim,no_claim,no_claim,no_new_rights_decision,not_promoted,hust_obc_undeciphered_candidate_evidence_collection_task_queue_not_scholarship,route_to_future_source_marked_evidence_collection_only,open_062_task_row;open_061_scaffold_row;open_route_files;record_source_marked_evidence_only_after_verification,"This row is an evidence-collection task only for a HUST-OBC undeciphered candidate scaffold. It is not collected evidence, not an accepted glyph identity, not a formal obs-char assignment, not a reading, not a component or evolution-chain assignment, not a rights decision, not a source promotion, and not a decipherment conclusion.",2026-06-11
hust-obc-undeciphered-evidence-task-0009,hust-obc-undeciphered-evidence-pack-scaffold-0001,hust-obc-undeciphered-evidence-readiness-0001,hust-obc-undeciphered-route-result-0001,hust-obc-undeciphered-review-log-draft-0001,hust-obc-undeciphered-review-0001,ai-context-hust-obc-undeciphered-candidate-001,obs-unk-006294,hust-obc-und-X-006294,opposing_evidence,collect_source_marked_opposing_or_conflicting_evidence_after_primary_context_is_found,collect_conflicting_or_absent_evidence_when_found;separate_dataset_label_from_evidence,corpus/009_statistics-and-derived-features/061_ai-agent-hust-obc-undeciphered-candidate-evidence-pack-scaffold-manifest.csv;doc/public/user_research/005_undeciphered-candidate-review-queues/001_image_count_050_plus/0001_obs-unk-006294_hust-obc-und-X-006294_review-log.md;corpus/001_oracle-characters/079_undeciphered-006201-006300_obs-unk-bucket_oracle-character-candidates/094_obs-unk-006294_hust-obc-und-X-006294_oracle-character-candidate/01_undeciphered-candidate-packet.json;corpus/001_oracle-characters/079_undeciphered-006201-006300_obs-unk-bucket_oracle-character-candidates/000_hust-obc-undeciphered-candidate-bucket-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;project_registry/006_large-source-register/001_large-source-register.csv,hust-obc-undeciphered-candidate-packet-capture-result-0001,hust-obc-undeciphered-source-register-capture-result-0001,hust-obc-undeciphered-download-log-capture-result-0001,hust-obc-undeciphered-large-source-capture-result-0001,doc/public/user_research/006_undeciphered-candidate-evidence-collection-tasks/obs-unk-006294_hust-obc-und-X-006294/hust-obc-undeciphered-evidence-task-0009_opposing-evidence_collection-note.md,6,ready_from_061_scaffold_manifest,not_started,not_collected,not_started,not_formal_obs_char_schema,no_identity_claim,unknown_candidate_id_not_formal_obs_char_assignment,no_claim,no_claim,no_claim,no_new_rights_decision,not_promoted,hust_obc_undeciphered_candidate_evidence_collection_task_queue_not_scholarship,route_to_future_source_marked_evidence_collection_only,open_062_task_row;open_061_scaffold_row;open_route_files;record_source_marked_evidence_only_after_verification,"This row is an evidence-collection task only for a HUST-OBC undeciphered candidate scaffold. It is not collected evidence, not an accepted glyph identity, not a formal obs-char assignment, not a reading, not a component or evolution-chain assignment, not a rights decision, not a source promotion, and not a decipherment conclusion.",2026-06-11
hust-obc-undeciphered-evidence-task-0010,hust-obc-undeciphered-evidence-pack-scaffold-0001,hust-obc-undeciphered-evidence-readiness-0001,hust-obc-undeciphered-route-result-0001,hust-obc-undeciphered-review-log-draft-0001,hust-obc-undeciphered-review-0001,ai-context-hust-obc-undeciphered-candidate-001,obs-unk-006294,hust-obc-und-X-006294,open_questions_and_next_checks,record_missing_sources_blockers_and_next_verification_steps,record_missing_sources;record_required_cross_checks,corpus/009_statistics-and-derived-features/061_ai-agent-hust-obc-undeciphered-candidate-evidence-pack-scaffold-manifest.csv;doc/public/user_research/005_undeciphered-candidate-review-queues/001_image_count_050_plus/0001_obs-unk-006294_hust-obc-und-X-006294_review-log.md;corpus/001_oracle-characters/079_undeciphered-006201-006300_obs-unk-bucket_oracle-character-candidates/094_obs-unk-006294_hust-obc-und-X-006294_oracle-character-candidate/01_undeciphered-candidate-packet.json;corpus/001_oracle-characters/079_undeciphered-006201-006300_obs-unk-bucket_oracle-character-candidates/000_hust-obc-undeciphered-candidate-bucket-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;project_registry/006_large-source-register/001_large-source-register.csv,hust-obc-undeciphered-candidate-packet-capture-result-0001,hust-obc-undeciphered-source-register-capture-result-0001,hust-obc-undeciphered-download-log-capture-result-0001,hust-obc-undeciphered-large-source-capture-result-0001,doc/public/user_research/006_undeciphered-candidate-evidence-collection-tasks/obs-unk-006294_hust-obc-und-X-006294/hust-obc-undeciphered-evidence-task-0010_open-questions-and-next-checks_collection-note.md,6,ready_from_061_scaffold_manifest,not_started,not_collected,not_started,not_formal_obs_char_schema,no_identity_claim,unknown_candidate_id_not_formal_obs_char_assignment,no_claim,no_claim,no_claim,no_new_rights_decision,not_promoted,hust_obc_undeciphered_candidate_evidence_collection_task_queue_not_scholarship,route_to_future_source_marked_evidence_collection_only,open_062_task_row;open_061_scaffold_row;open_route_files;record_source_marked_evidence_only_after_verification,"This row is an evidence-collection task only for a HUST-OBC undeciphered candidate scaffold. It is not collected evidence, not an accepted glyph identity, not a formal obs-char assignment, not a reading, not a component or evolution-chain assignment, not a rights decision, not a source promotion, and not a decipherment conclusion.",2026-06-11
