evidence_collection_result_id,evidence_collection_note_draft_id,evidence_collection_task_id,context_pack_id,source_id,primary_review_record_id,primary_external_ref_id,source_record_id,target_evidence_section,required_collection_action,note_draft_path,route_pack_path,manifest_path,task_queue_source_path,route_files_to_open,counter_source_ids_to_check,result_status,note_draft_open_status,route_files_open_status,evidence_collection_status,source_register_evidence_status,download_log_evidence_status,package_manifest_evidence_status,metadata_profile_evidence_status,graph_edge_evidence_status,staging_row_evidence_status,counter_source_lookup_status,rights_risk_review_status,review_log_status,source_promotion_status,decipherment_claim_status,next_artifact_recommendation,research_boundary,output_scope,caution,updated_at
graph-source-evidence-result-001,graph-source-evidence-note-draft-001,graph-source-evidence-task-001,ai-context-graph-source-evidence-collection-001,src-hust-obc,hust-obc-evidence-request-000001,hust-obc-cat-0001,0001,source_register,collect_source_register_provenance_fields,doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-001_source-register_collection-note.md,corpus/009_statistics-and-derived-features/026_ai-agent-graph-source-evidence-collection-route-pack.json,corpus/009_statistics-and-derived-features/017_ai-agent-graph-source-evidence-collection-note-draft-manifest.csv,corpus/009_statistics-and-derived-features/016_ai-agent-graph-source-evidence-collection-task-queue.csv,corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,src-hust-obc;src-xiaoxuetang-jiaguwen;src-xiaoxuetang-obm;src-obimd;src-evobc;src-ihp-oracle-rubbings,not_started,not_opened,not_opened,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_promoted,no_claim,not_collected,evidence_collection_result_scaffold_not_scholarship,graph_source_evidence_collection_result_scaffold_only,"This row is an empty graph-source evidence collection result scaffold only. All evidence sections remain not_collected until an agent opens the note draft and cited route files. Do not use it as collected evidence, a rights decision, a source promotion decision, a component or evolution-chain assignment, or a decipherment conclusion.",2026-06-10
graph-source-evidence-result-002,graph-source-evidence-note-draft-001,graph-source-evidence-task-002,ai-context-graph-source-evidence-collection-001,src-hust-obc,hust-obc-evidence-request-000001,hust-obc-cat-0001,0001,download_log,collect_download_log_status_size_checksum_access_notes,doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-002_download-log_collection-note.md,corpus/009_statistics-and-derived-features/026_ai-agent-graph-source-evidence-collection-route-pack.json,corpus/009_statistics-and-derived-features/018_ai-agent-graph-source-download-log-note-draft-manifest.csv,corpus/009_statistics-and-derived-features/016_ai-agent-graph-source-evidence-collection-task-queue.csv,project_registry/006_large-source-register/002_source-download-log.csv,src-hust-obc;src-xiaoxuetang-jiaguwen;src-xiaoxuetang-obm;src-obimd;src-evobc;src-ihp-oracle-rubbings,not_started,not_opened,not_opened,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_promoted,no_claim,not_collected,evidence_collection_result_scaffold_not_scholarship,graph_source_evidence_collection_result_scaffold_only,"This row is an empty graph-source evidence collection result scaffold only. All evidence sections remain not_collected until an agent opens the note draft and cited route files. Do not use it as collected evidence, a rights decision, a source promotion decision, a component or evolution-chain assignment, or a decipherment conclusion.",2026-06-10
graph-source-evidence-result-003,graph-source-evidence-note-draft-001,graph-source-evidence-task-003,ai-context-graph-source-evidence-collection-001,src-hust-obc,hust-obc-evidence-request-000001,hust-obc-cat-0001,0001,package_manifest,collect_package_manifest_file_size_checksum_and_storage_boundary,doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-003_package-manifest_collection-note.md,corpus/009_statistics-and-derived-features/026_ai-agent-graph-source-evidence-collection-route-pack.json,corpus/009_statistics-and-derived-features/019_ai-agent-graph-source-package-manifest-note-draft-manifest.csv,corpus/009_statistics-and-derived-features/016_ai-agent-graph-source-evidence-collection-task-queue.csv,corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv,src-hust-obc;src-xiaoxuetang-jiaguwen;src-xiaoxuetang-obm;src-obimd;src-evobc;src-ihp-oracle-rubbings,not_started,not_opened,not_opened,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_promoted,no_claim,not_collected,evidence_collection_result_scaffold_not_scholarship,graph_source_evidence_collection_result_scaffold_only,"This row is an empty graph-source evidence collection result scaffold only. All evidence sections remain not_collected until an agent opens the note draft and cited route files. Do not use it as collected evidence, a rights decision, a source promotion decision, a component or evolution-chain assignment, or a decipherment conclusion.",2026-06-10
graph-source-evidence-result-004,graph-source-evidence-note-draft-001,graph-source-evidence-task-004,ai-context-graph-source-evidence-collection-001,src-hust-obc,hust-obc-evidence-request-000001,hust-obc-cat-0001,0001,metadata_profile,collect_metadata_profile_fields_and_extraction_scope,doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-004_metadata-profile_collection-note.md,corpus/009_statistics-and-derived-features/026_ai-agent-graph-source-evidence-collection-route-pack.json,corpus/009_statistics-and-derived-features/020_ai-agent-graph-source-metadata-profile-note-draft-manifest.csv,corpus/009_statistics-and-derived-features/016_ai-agent-graph-source-evidence-collection-task-queue.csv,corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv,src-hust-obc;src-xiaoxuetang-jiaguwen;src-xiaoxuetang-obm;src-obimd;src-evobc;src-ihp-oracle-rubbings,not_started,not_opened,not_opened,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_promoted,no_claim,not_collected,evidence_collection_result_scaffold_not_scholarship,graph_source_evidence_collection_result_scaffold_only,"This row is an empty graph-source evidence collection result scaffold only. All evidence sections remain not_collected until an agent opens the note draft and cited route files. Do not use it as collected evidence, a rights decision, a source promotion decision, a component or evolution-chain assignment, or a decipherment conclusion.",2026-06-10
graph-source-evidence-result-005,graph-source-evidence-note-draft-001,graph-source-evidence-task-005,ai-context-graph-source-evidence-collection-001,src-hust-obc,hust-obc-evidence-request-000001,hust-obc-cat-0001,0001,graph_edges,collect_graph_edge_source_status_and_claim_boundary,doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-005_graph-edges_collection-note.md,corpus/009_statistics-and-derived-features/026_ai-agent-graph-source-evidence-collection-route-pack.json,corpus/009_statistics-and-derived-features/021_ai-agent-graph-source-graph-edges-note-draft-manifest.csv,corpus/009_statistics-and-derived-features/016_ai-agent-graph-source-evidence-collection-task-queue.csv,corpus/008_relationship-graph/005_hust-obc-candidate-graph-edges.jsonl;corpus/008_relationship-graph/006_obimd-component-graph-edges.jsonl;corpus/008_relationship-graph/007_evobc-evolution-graph-edges.jsonl,src-hust-obc;src-xiaoxuetang-jiaguwen;src-xiaoxuetang-obm;src-obimd;src-evobc;src-ihp-oracle-rubbings,not_started,not_opened,not_opened,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_promoted,no_claim,not_collected,evidence_collection_result_scaffold_not_scholarship,graph_source_evidence_collection_result_scaffold_only,"This row is an empty graph-source evidence collection result scaffold only. All evidence sections remain not_collected until an agent opens the note draft and cited route files. Do not use it as collected evidence, a rights decision, a source promotion decision, a component or evolution-chain assignment, or a decipherment conclusion.",2026-06-10
graph-source-evidence-result-006,graph-source-evidence-note-draft-001,graph-source-evidence-task-006,ai-context-graph-source-evidence-collection-001,src-hust-obc,hust-obc-evidence-request-000001,hust-obc-cat-0001,0001,staging_row,collect_staging_row_field_map_and_review_status,doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-006_staging-row_collection-note.md,corpus/009_statistics-and-derived-features/026_ai-agent-graph-source-evidence-collection-route-pack.json,corpus/009_statistics-and-derived-features/022_ai-agent-graph-source-staging-row-note-draft-manifest.csv,corpus/009_statistics-and-derived-features/016_ai-agent-graph-source-evidence-collection-task-queue.csv,corpus/009_statistics-and-derived-features/005_ai-agent-hust-obc-candidate-evidence-pack-request-queue.csv;corpus/001_oracle-characters/000_character-registers/009_hust-obc-obs-char-promotion-review-queue.csv;corpus/001_oracle-characters/001_000001-000100_obs-char-bucket_oracle-characters/000_hust-obc-promotion-bucket-manifest.csv,src-hust-obc;src-xiaoxuetang-jiaguwen;src-xiaoxuetang-obm;src-obimd;src-evobc;src-ihp-oracle-rubbings,not_started,not_opened,not_opened,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_promoted,no_claim,not_collected,evidence_collection_result_scaffold_not_scholarship,graph_source_evidence_collection_result_scaffold_only,"This row is an empty graph-source evidence collection result scaffold only. All evidence sections remain not_collected until an agent opens the note draft and cited route files. Do not use it as collected evidence, a rights decision, a source promotion decision, a component or evolution-chain assignment, or a decipherment conclusion.",2026-06-10
graph-source-evidence-result-007,graph-source-evidence-note-draft-001,graph-source-evidence-task-007,ai-context-graph-source-evidence-collection-001,src-hust-obc,hust-obc-evidence-request-000001,hust-obc-cat-0001,0001,counter_source_lookup,collect_counter_source_lookup_notes_without_identity_claim,doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-007_counter-source-lookup_collection-note.md,corpus/009_statistics-and-derived-features/026_ai-agent-graph-source-evidence-collection-route-pack.json,corpus/009_statistics-and-derived-features/023_ai-agent-graph-source-counter-source-lookup-note-draft-manifest.csv,corpus/009_statistics-and-derived-features/016_ai-agent-graph-source-evidence-collection-task-queue.csv,corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,src-hust-obc;src-xiaoxuetang-jiaguwen;src-xiaoxuetang-obm;src-obimd;src-evobc;src-ihp-oracle-rubbings,not_started,not_opened,not_opened,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_promoted,no_claim,not_collected,evidence_collection_result_scaffold_not_scholarship,graph_source_evidence_collection_result_scaffold_only,"This row is an empty graph-source evidence collection result scaffold only. All evidence sections remain not_collected until an agent opens the note draft and cited route files. Do not use it as collected evidence, a rights decision, a source promotion decision, a component or evolution-chain assignment, or a decipherment conclusion.",2026-06-10
graph-source-evidence-result-008,graph-source-evidence-note-draft-001,graph-source-evidence-task-008,ai-context-graph-source-evidence-collection-001,src-hust-obc,hust-obc-evidence-request-000001,hust-obc-cat-0001,0001,rights_risk_review,collect_rights_risk_notes_without_rights_decision,doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-008_rights-risk-review_collection-note.md,corpus/009_statistics-and-derived-features/026_ai-agent-graph-source-evidence-collection-route-pack.json,corpus/009_statistics-and-derived-features/024_ai-agent-graph-source-rights-risk-review-note-draft-manifest.csv,corpus/009_statistics-and-derived-features/016_ai-agent-graph-source-evidence-collection-task-queue.csv,corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv,src-hust-obc;src-xiaoxuetang-jiaguwen;src-xiaoxuetang-obm;src-obimd;src-evobc;src-ihp-oracle-rubbings,not_started,not_opened,not_opened,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_promoted,no_claim,not_collected,evidence_collection_result_scaffold_not_scholarship,graph_source_evidence_collection_result_scaffold_only,"This row is an empty graph-source evidence collection result scaffold only. All evidence sections remain not_collected until an agent opens the note draft and cited route files. Do not use it as collected evidence, a rights decision, a source promotion decision, a component or evolution-chain assignment, or a decipherment conclusion.",2026-06-10
graph-source-evidence-result-009,graph-source-evidence-note-draft-001,graph-source-evidence-task-009,ai-context-graph-source-evidence-collection-001,src-hust-obc,hust-obc-evidence-request-000001,hust-obc-cat-0001,0001,review_log,collect_review_log_notes_without_promotion_decision,doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-009_review-log_collection-note.md,corpus/009_statistics-and-derived-features/026_ai-agent-graph-source-evidence-collection-route-pack.json,corpus/009_statistics-and-derived-features/025_ai-agent-graph-source-review-log-note-draft-manifest.csv,corpus/009_statistics-and-derived-features/016_ai-agent-graph-source-evidence-collection-task-queue.csv,corpus/009_statistics-and-derived-features/015_ai-agent-graph-source-cross-review-log-results.csv;doc/public/user_research/002_cross-source-review-queues/hust-obc/001_hust-obc-evidence-request-000001_cross-source-review-log.md,src-hust-obc;src-xiaoxuetang-jiaguwen;src-xiaoxuetang-obm;src-obimd;src-evobc;src-ihp-oracle-rubbings,not_started,not_opened,not_opened,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_promoted,no_claim,not_collected,evidence_collection_result_scaffold_not_scholarship,graph_source_evidence_collection_result_scaffold_only,"This row is an empty graph-source evidence collection result scaffold only. All evidence sections remain not_collected until an agent opens the note draft and cited route files. Do not use it as collected evidence, a rights decision, a source promotion decision, a component or evolution-chain assignment, or a decipherment conclusion.",2026-06-10
graph-source-evidence-result-010,graph-source-evidence-note-draft-002,graph-source-evidence-task-010,ai-context-graph-source-evidence-collection-001,src-evobc,evobc-evo-cat-00001,evobc-cat-00001,00001,source_register,collect_source_register_provenance_fields,doc/public/user_research/003_evidence-collection-tasks/evobc/graph-source-evidence-task-010_source-register_collection-note.md,corpus/009_statistics-and-derived-features/026_ai-agent-graph-source-evidence-collection-route-pack.json,corpus/009_statistics-and-derived-features/017_ai-agent-graph-source-evidence-collection-note-draft-manifest.csv,corpus/009_statistics-and-derived-features/016_ai-agent-graph-source-evidence-collection-task-queue.csv,corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,src-xiaoxuetang-jiaguwen;src-xiaoxuetang-obm;src-hust-obc;src-obimd;src-ihp-oracle-rubbings,not_started,not_opened,not_opened,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_promoted,no_claim,not_collected,evidence_collection_result_scaffold_not_scholarship,graph_source_evidence_collection_result_scaffold_only,"This row is an empty graph-source evidence collection result scaffold only. All evidence sections remain not_collected until an agent opens the note draft and cited route files. Do not use it as collected evidence, a rights decision, a source promotion decision, a component or evolution-chain assignment, or a decipherment conclusion.",2026-06-10
