evidence_gap_summary_id,source_id,source_type,rights_status,pipeline_gap_status,review_lanes,phase_names,present_file_role_count,missing_file_role_count,total_file_role_count,total_matched_row_count,present_file_roles,missing_file_roles,gap_status,next_review_action,evidence_presence_matrix_path,evidence_presence_row_ids,missing_evidence_presence_row_ids,review_status,rights_decision_status,source_promotion_status,corpus_import_status,decipherment_claim_status,research_boundary,caution,updated_at
source-pipeline-phase-action-evidence-gap-summary-001,src-british-museum-oracle-bone,museum_collection,metadata_only_until_verified,needs_download_or_access_review,access_and_checksum_boundary_resolution,cleaned;downloaded;extracted;linked;structured;unpacked;verified,6,4,10,6,source_download_log;source_download_manifest;source_pipeline_gap_matrix;source_processing_pipeline_audit;source_register;source_route_review_queue,downloaded_metadata_profile;large_source_register;source_field_map;source_package_file_manifest,has_missing_source_evidence_rows,triage_missing_source_evidence_rows_before_review_outcome,corpus/009_statistics-and-derived-features/142_source-pipeline-phase-action-evidence-presence-matrix.csv,source-pipeline-phase-action-evidence-presence-001;source-pipeline-phase-action-evidence-presence-002;source-pipeline-phase-action-evidence-presence-003;source-pipeline-phase-action-evidence-presence-004;source-pipeline-phase-action-evidence-presence-005;source-pipeline-phase-action-evidence-presence-006;source-pipeline-phase-action-evidence-presence-007;source-pipeline-phase-action-evidence-presence-008;source-pipeline-phase-action-evidence-presence-009;source-pipeline-phase-action-evidence-presence-010,source-pipeline-phase-action-evidence-presence-007;source-pipeline-phase-action-evidence-presence-008;source-pipeline-phase-action-evidence-presence-009;source-pipeline-phase-action-evidence-presence-010,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_pipeline_phase_action_evidence_gap_summary_not_scholarship,"This source pipeline phase action evidence gap summary only rolls up existing source-file presence and missing-row signals. It is not new evidence collection, not a reviewed outcome, not a rights decision, not source promotion, not a corpus import, and not a decipherment conclusion.",2026-06-19
source-pipeline-phase-action-evidence-gap-summary-002,src-cambridge-hopkins,library_collection,metadata_only_until_verified,needs_safe_derived_record_review,safe_derived_record_decision,verified,8,2,10,9,source_download_log;source_download_manifest;source_field_map;source_package_file_manifest;source_pipeline_gap_matrix;source_processing_pipeline_audit;source_register;source_route_review_queue,downloaded_metadata_profile;large_source_register,has_missing_source_evidence_rows,triage_missing_source_evidence_rows_before_review_outcome,corpus/009_statistics-and-derived-features/142_source-pipeline-phase-action-evidence-presence-matrix.csv,source-pipeline-phase-action-evidence-presence-011;source-pipeline-phase-action-evidence-presence-012;source-pipeline-phase-action-evidence-presence-013;source-pipeline-phase-action-evidence-presence-014;source-pipeline-phase-action-evidence-presence-015;source-pipeline-phase-action-evidence-presence-016;source-pipeline-phase-action-evidence-presence-017;source-pipeline-phase-action-evidence-presence-018;source-pipeline-phase-action-evidence-presence-019;source-pipeline-phase-action-evidence-presence-020,source-pipeline-phase-action-evidence-presence-019;source-pipeline-phase-action-evidence-presence-020,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_pipeline_phase_action_evidence_gap_summary_not_scholarship,"This source pipeline phase action evidence gap summary only rolls up existing source-file presence and missing-row signals. It is not new evidence collection, not a reviewed outcome, not a rights decision, not source promotion, not a corpus import, and not a decipherment conclusion.",2026-06-19
source-pipeline-phase-action-evidence-gap-summary-003,src-evobc,open_research_dataset,source_marked_risk_noted,needs_safe_derived_record_review,safe_derived_record_decision,verified,10,0,10,27,downloaded_metadata_profile;large_source_register;source_download_log;source_download_manifest;source_field_map;source_package_file_manifest;source_pipeline_gap_matrix;source_processing_pipeline_audit;source_register;source_route_review_queue,,all_review_files_have_source_rows,open_all_matched_source_rows_and_record_review_outcomes,corpus/009_statistics-and-derived-features/142_source-pipeline-phase-action-evidence-presence-matrix.csv,source-pipeline-phase-action-evidence-presence-021;source-pipeline-phase-action-evidence-presence-022;source-pipeline-phase-action-evidence-presence-023;source-pipeline-phase-action-evidence-presence-024;source-pipeline-phase-action-evidence-presence-025;source-pipeline-phase-action-evidence-presence-026;source-pipeline-phase-action-evidence-presence-027;source-pipeline-phase-action-evidence-presence-028;source-pipeline-phase-action-evidence-presence-029;source-pipeline-phase-action-evidence-presence-030,,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_pipeline_phase_action_evidence_gap_summary_not_scholarship,"This source pipeline phase action evidence gap summary only rolls up existing source-file presence and missing-row signals. It is not new evidence collection, not a reviewed outcome, not a rights decision, not source promotion, not a corpus import, and not a decipherment conclusion.",2026-06-19
source-pipeline-phase-action-evidence-gap-summary-004,src-gbedobc,open_research_dataset,source_marked_risk_noted,needs_package_manifest_review,metadata_profile_and_package_manifest_decision,linked;verified,9,1,10,14,downloaded_metadata_profile;source_download_log;source_download_manifest;source_field_map;source_package_file_manifest;source_pipeline_gap_matrix;source_processing_pipeline_audit;source_register;source_route_review_queue,large_source_register,has_missing_source_evidence_rows,triage_missing_source_evidence_rows_before_review_outcome,corpus/009_statistics-and-derived-features/142_source-pipeline-phase-action-evidence-presence-matrix.csv,source-pipeline-phase-action-evidence-presence-031;source-pipeline-phase-action-evidence-presence-032;source-pipeline-phase-action-evidence-presence-033;source-pipeline-phase-action-evidence-presence-034;source-pipeline-phase-action-evidence-presence-035;source-pipeline-phase-action-evidence-presence-036;source-pipeline-phase-action-evidence-presence-037;source-pipeline-phase-action-evidence-presence-038;source-pipeline-phase-action-evidence-presence-039;source-pipeline-phase-action-evidence-presence-040,source-pipeline-phase-action-evidence-presence-040,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_pipeline_phase_action_evidence_gap_summary_not_scholarship,"This source pipeline phase action evidence gap summary only rolls up existing source-file presence and missing-row signals. It is not new evidence collection, not a reviewed outcome, not a rights decision, not source promotion, not a corpus import, and not a decipherment conclusion.",2026-06-19
source-pipeline-phase-action-evidence-gap-summary-005,src-hust-obc,open_research_dataset,source_marked_risk_noted,needs_safe_derived_record_review,safe_derived_record_decision,verified,10,0,10,42,downloaded_metadata_profile;large_source_register;source_download_log;source_download_manifest;source_field_map;source_package_file_manifest;source_pipeline_gap_matrix;source_processing_pipeline_audit;source_register;source_route_review_queue,,all_review_files_have_source_rows,open_all_matched_source_rows_and_record_review_outcomes,corpus/009_statistics-and-derived-features/142_source-pipeline-phase-action-evidence-presence-matrix.csv,source-pipeline-phase-action-evidence-presence-041;source-pipeline-phase-action-evidence-presence-042;source-pipeline-phase-action-evidence-presence-043;source-pipeline-phase-action-evidence-presence-044;source-pipeline-phase-action-evidence-presence-045;source-pipeline-phase-action-evidence-presence-046;source-pipeline-phase-action-evidence-presence-047;source-pipeline-phase-action-evidence-presence-048;source-pipeline-phase-action-evidence-presence-049;source-pipeline-phase-action-evidence-presence-050,,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_pipeline_phase_action_evidence_gap_summary_not_scholarship,"This source pipeline phase action evidence gap summary only rolls up existing source-file presence and missing-row signals. It is not new evidence collection, not a reviewed outcome, not a rights decision, not source promotion, not a corpus import, and not a decipherment conclusion.",2026-06-19
source-pipeline-phase-action-evidence-gap-summary-006,src-ihp-museum-oracle-bones,museum_collection,metadata_only_until_verified,needs_field_map_review,field_map_semantics_review,linked;verified,8,2,10,9,downloaded_metadata_profile;source_download_log;source_download_manifest;source_package_file_manifest;source_pipeline_gap_matrix;source_processing_pipeline_audit;source_register;source_route_review_queue,large_source_register;source_field_map,has_missing_source_evidence_rows,triage_missing_source_evidence_rows_before_review_outcome,corpus/009_statistics-and-derived-features/142_source-pipeline-phase-action-evidence-presence-matrix.csv,source-pipeline-phase-action-evidence-presence-051;source-pipeline-phase-action-evidence-presence-052;source-pipeline-phase-action-evidence-presence-053;source-pipeline-phase-action-evidence-presence-054;source-pipeline-phase-action-evidence-presence-055;source-pipeline-phase-action-evidence-presence-056;source-pipeline-phase-action-evidence-presence-057;source-pipeline-phase-action-evidence-presence-058;source-pipeline-phase-action-evidence-presence-059;source-pipeline-phase-action-evidence-presence-060,source-pipeline-phase-action-evidence-presence-057;source-pipeline-phase-action-evidence-presence-060,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_pipeline_phase_action_evidence_gap_summary_not_scholarship,"This source pipeline phase action evidence gap summary only rolls up existing source-file presence and missing-row signals. It is not new evidence collection, not a reviewed outcome, not a rights decision, not source promotion, not a corpus import, and not a decipherment conclusion.",2026-06-19
source-pipeline-phase-action-evidence-gap-summary-007,src-ihp-oracle-rubbings,online_database,metadata_only_until_verified,needs_package_manifest_review,metadata_profile_and_package_manifest_decision,cleaned;extracted;linked;structured;verified,8,2,10,8,source_download_log;source_download_manifest;source_field_map;source_package_file_manifest;source_pipeline_gap_matrix;source_processing_pipeline_audit;source_register;source_route_review_queue,downloaded_metadata_profile;large_source_register,has_missing_source_evidence_rows,triage_missing_source_evidence_rows_before_review_outcome,corpus/009_statistics-and-derived-features/142_source-pipeline-phase-action-evidence-presence-matrix.csv,source-pipeline-phase-action-evidence-presence-061;source-pipeline-phase-action-evidence-presence-062;source-pipeline-phase-action-evidence-presence-063;source-pipeline-phase-action-evidence-presence-064;source-pipeline-phase-action-evidence-presence-065;source-pipeline-phase-action-evidence-presence-066;source-pipeline-phase-action-evidence-presence-067;source-pipeline-phase-action-evidence-presence-068;source-pipeline-phase-action-evidence-presence-069;source-pipeline-phase-action-evidence-presence-070,source-pipeline-phase-action-evidence-presence-069;source-pipeline-phase-action-evidence-presence-070,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_pipeline_phase_action_evidence_gap_summary_not_scholarship,"This source pipeline phase action evidence gap summary only rolls up existing source-file presence and missing-row signals. It is not new evidence collection, not a reviewed outcome, not a rights decision, not source promotion, not a corpus import, and not a decipherment conclusion.",2026-06-19
source-pipeline-phase-action-evidence-gap-summary-008,src-metmuseum-oracle-bone,museum_collection,public_domain_verified,needs_package_manifest_review,metadata_profile_and_package_manifest_decision,linked;verified,9,1,10,19,downloaded_metadata_profile;source_download_log;source_download_manifest;source_field_map;source_package_file_manifest;source_pipeline_gap_matrix;source_processing_pipeline_audit;source_register;source_route_review_queue,large_source_register,has_missing_source_evidence_rows,triage_missing_source_evidence_rows_before_review_outcome,corpus/009_statistics-and-derived-features/142_source-pipeline-phase-action-evidence-presence-matrix.csv,source-pipeline-phase-action-evidence-presence-071;source-pipeline-phase-action-evidence-presence-072;source-pipeline-phase-action-evidence-presence-073;source-pipeline-phase-action-evidence-presence-074;source-pipeline-phase-action-evidence-presence-075;source-pipeline-phase-action-evidence-presence-076;source-pipeline-phase-action-evidence-presence-077;source-pipeline-phase-action-evidence-presence-078;source-pipeline-phase-action-evidence-presence-079;source-pipeline-phase-action-evidence-presence-080,source-pipeline-phase-action-evidence-presence-080,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_pipeline_phase_action_evidence_gap_summary_not_scholarship,"This source pipeline phase action evidence gap summary only rolls up existing source-file presence and missing-row signals. It is not new evidence collection, not a reviewed outcome, not a rights decision, not source promotion, not a corpus import, and not a decipherment conclusion.",2026-06-19
source-pipeline-phase-action-evidence-gap-summary-009,src-nlc-oracle-world,library_database,metadata_only_until_verified,needs_package_manifest_review,metadata_profile_and_package_manifest_decision,linked;verified,9,1,10,21,downloaded_metadata_profile;source_download_log;source_download_manifest;source_field_map;source_package_file_manifest;source_pipeline_gap_matrix;source_processing_pipeline_audit;source_register;source_route_review_queue,large_source_register,has_missing_source_evidence_rows,triage_missing_source_evidence_rows_before_review_outcome,corpus/009_statistics-and-derived-features/142_source-pipeline-phase-action-evidence-presence-matrix.csv,source-pipeline-phase-action-evidence-presence-081;source-pipeline-phase-action-evidence-presence-082;source-pipeline-phase-action-evidence-presence-083;source-pipeline-phase-action-evidence-presence-084;source-pipeline-phase-action-evidence-presence-085;source-pipeline-phase-action-evidence-presence-086;source-pipeline-phase-action-evidence-presence-087;source-pipeline-phase-action-evidence-presence-088;source-pipeline-phase-action-evidence-presence-089;source-pipeline-phase-action-evidence-presence-090,source-pipeline-phase-action-evidence-presence-090,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_pipeline_phase_action_evidence_gap_summary_not_scholarship,"This source pipeline phase action evidence gap summary only rolls up existing source-file presence and missing-row signals. It is not new evidence collection, not a reviewed outcome, not a rights decision, not source promotion, not a corpus import, and not a decipherment conclusion.",2026-06-19
source-pipeline-phase-action-evidence-gap-summary-010,src-obid-ancientbooks,online_database,source_marked_risk_noted,needs_package_manifest_review,metadata_profile_and_package_manifest_decision,cleaned;extracted;linked;structured;verified,8,2,10,9,source_download_log;source_download_manifest;source_field_map;source_package_file_manifest;source_pipeline_gap_matrix;source_processing_pipeline_audit;source_register;source_route_review_queue,downloaded_metadata_profile;large_source_register,has_missing_source_evidence_rows,triage_missing_source_evidence_rows_before_review_outcome,corpus/009_statistics-and-derived-features/142_source-pipeline-phase-action-evidence-presence-matrix.csv,source-pipeline-phase-action-evidence-presence-091;source-pipeline-phase-action-evidence-presence-092;source-pipeline-phase-action-evidence-presence-093;source-pipeline-phase-action-evidence-presence-094;source-pipeline-phase-action-evidence-presence-095;source-pipeline-phase-action-evidence-presence-096;source-pipeline-phase-action-evidence-presence-097;source-pipeline-phase-action-evidence-presence-098;source-pipeline-phase-action-evidence-presence-099;source-pipeline-phase-action-evidence-presence-100,source-pipeline-phase-action-evidence-presence-099;source-pipeline-phase-action-evidence-presence-100,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_pipeline_phase_action_evidence_gap_summary_not_scholarship,"This source pipeline phase action evidence gap summary only rolls up existing source-file presence and missing-row signals. It is not new evidence collection, not a reviewed outcome, not a rights decision, not source promotion, not a corpus import, and not a decipherment conclusion.",2026-06-19
