capture_task_id,route_result_id,review_log_draft_id,codepoint_review_task_id,crosswalk_candidate_id,suggested_oracle_character_id,target_evidence_section,source_route_path,source_record_refs,capturable_field_names,captured_metadata_summary,required_review_actions,evidence_collection_status,capture_status,identity_claim_status,promotion_status,research_boundary,caution,updated_at
codepoint-evidence-capture-001,codepoint-crosswalk-route-result-001,codepoint-crosswalk-review-log-draft-001,codepoint-crosswalk-review-001,hust-obimd-evobc-xwalk-000047,obs-char-000047,candidate_packet,corpus/001_oracle-characters/001_000001-000100_obs-char-bucket_oracle-characters/047_obs-char-000047_hust-obc-cat-0055_oracle-character/01_candidate-character-packet.json,hust-obc-candidate-packet-000047;obs-cand-000047;46;obimd-main-cand-002255;evobc-evo-cat-00005,hust_candidate_packet_id;hust_candidate_class_id;hust_validation_class_id;hust_source_category_id_padded;hust_dataset_label_status;hust_dataset_label_codepoints;hust_packet_status;hust_packet_review_status;hust_packet_rights_status;obimd_candidate_main_character_id;obimd_codepoint_uplus;evobc_candidate_evolution_category_id;evobc_source_character_codepoints;evobc_image_reference_count,route_result_id=codepoint-crosswalk-route-result-001;hust_candidate_packet_id=hust-obc-candidate-packet-000047;hust_packet_status=candidate_packet_created_from_source_marked_staging;hust_packet_review_status=needs_cross_source_review;hust_packet_rights_status=source_marked_risk_noted;obimd_candidate_main_character_id=obimd-main-cand-002255;obimd_codepoint_uplus=U+342D;evobc_candidate_evolution_category_id=evobc-evo-cat-00005;evobc_source_character_codepoints=U+342D;evobc_image_reference_count=71,open_hust_candidate_packet;verify_hust_obimd_evobc_staging_refs;record_metadata_only_no_identity_or_decipherment_claim,not_collected,not_started,no_identity_claim,not_promoted,codepoint_crosswalk_evidence_capture_scaffold_not_scholarship,"This row is an evidence-capture scaffold derived from metadata-only route results. It identifies which local route record to open next, but it is not collected source evidence, not a confirmed oracle-character identity, not an accepted reading, not a component assignment, not an evolution-chain assignment, and not a decipherment conclusion.",2026-06-10
codepoint-evidence-capture-002,codepoint-crosswalk-route-result-001,codepoint-crosswalk-review-log-draft-001,codepoint-crosswalk-review-001,hust-obimd-evobc-xwalk-000047,obs-char-000047,source_register,corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,src-hust-obc;src-obimd;src-evobc,source_register_required_source_ids;source_register_match_count;source_register_rights_statuses;source_register_review_statuses;source_register_review_status,route_result_id=codepoint-crosswalk-route-result-001;source_register_required_source_ids=src-hust-obc;src-obimd;src-evobc;source_register_match_count=3;source_register_rights_statuses=src-hust-obc=source_marked_risk_noted;src-obimd=licensed_for_repository;src-evobc=source_marked_risk_noted;source_register_review_statuses=src-hust-obc=reviewed;src-obimd=reviewed;src-evobc=reviewed;source_register_review_status=reviewed_required_sources_registered,open_source_register;verify_required_source_rows;record_rights_status_and_risk_note_before_evidence_capture,not_collected,not_started,no_identity_claim,not_promoted,codepoint_crosswalk_evidence_capture_scaffold_not_scholarship,"This row is an evidence-capture scaffold derived from metadata-only route results. It identifies which local route record to open next, but it is not collected source evidence, not a confirmed oracle-character identity, not an accepted reading, not a component assignment, not an evolution-chain assignment, and not a decipherment conclusion.",2026-06-10
codepoint-evidence-capture-003,codepoint-crosswalk-route-result-001,codepoint-crosswalk-review-log-draft-001,codepoint-crosswalk-review-001,hust-obimd-evobc-xwalk-000047,obs-char-000047,download_log,project_registry/006_large-source-register/002_source-download-log.csv,dl-hust-obc-validation-label;dl-hust-obc-ocr-id-to-chinese;dl-obimd-main-character-json;dl-evobc-key-value-json;dl-evobc-list-json,download_ids_required;download_log_match_count;download_total_file_size_bytes;download_checksum_present_count;download_statuses;download_log_review_status,route_result_id=codepoint-crosswalk-route-result-001;download_ids_required=dl-hust-obc-validation-label;dl-hust-obc-ocr-id-to-chinese;dl-obimd-main-character-json;dl-evobc-key-value-json;dl-evobc-list-json;download_log_match_count=5;download_total_file_size_bytes=25488968;download_checksum_present_count=5;download_statuses=dl-hust-obc-validation-label=downloaded;dl-hust-obc-ocr-id-to-chinese=downloaded;dl-obimd-main-character-json=downloaded;dl-evobc-key-value-json=downloaded;dl-evobc-list-json=downloaded;download_log_review_status=reviewed_required_download_logs_registered,open_download_log;verify_download_ids_size_checksum_and_status;do_not_infer_rights_or_identity_from_download_availability,not_collected,not_started,no_identity_claim,not_promoted,codepoint_crosswalk_evidence_capture_scaffold_not_scholarship,"This row is an evidence-capture scaffold derived from metadata-only route results. It identifies which local route record to open next, but it is not collected source evidence, not a confirmed oracle-character identity, not an accepted reading, not a component assignment, not an evolution-chain assignment, and not a decipherment conclusion.",2026-06-10
codepoint-evidence-capture-004,codepoint-crosswalk-route-result-002,codepoint-crosswalk-review-log-draft-002,codepoint-crosswalk-review-002,hust-obimd-evobc-xwalk-000051,obs-char-000051,candidate_packet,corpus/001_oracle-characters/001_000001-000100_obs-char-bucket_oracle-characters/051_obs-char-000051_hust-obc-cat-0059_oracle-character/01_candidate-character-packet.json,hust-obc-candidate-packet-000051;obs-cand-000051;50;obimd-main-cand-001015;evobc-evo-cat-00006,hust_candidate_packet_id;hust_candidate_class_id;hust_validation_class_id;hust_source_category_id_padded;hust_dataset_label_status;hust_dataset_label_codepoints;hust_packet_status;hust_packet_review_status;hust_packet_rights_status;obimd_candidate_main_character_id;obimd_codepoint_uplus;evobc_candidate_evolution_category_id;evobc_source_character_codepoints;evobc_image_reference_count,route_result_id=codepoint-crosswalk-route-result-002;hust_candidate_packet_id=hust-obc-candidate-packet-000051;hust_packet_status=candidate_packet_created_from_source_marked_staging;hust_packet_review_status=needs_cross_source_review;hust_packet_rights_status=source_marked_risk_noted;obimd_candidate_main_character_id=obimd-main-cand-001015;obimd_codepoint_uplus=U+3431;evobc_candidate_evolution_category_id=evobc-evo-cat-00006;evobc_source_character_codepoints=U+3431;evobc_image_reference_count=27,open_hust_candidate_packet;verify_hust_obimd_evobc_staging_refs;record_metadata_only_no_identity_or_decipherment_claim,not_collected,not_started,no_identity_claim,not_promoted,codepoint_crosswalk_evidence_capture_scaffold_not_scholarship,"This row is an evidence-capture scaffold derived from metadata-only route results. It identifies which local route record to open next, but it is not collected source evidence, not a confirmed oracle-character identity, not an accepted reading, not a component assignment, not an evolution-chain assignment, and not a decipherment conclusion.",2026-06-10
codepoint-evidence-capture-005,codepoint-crosswalk-route-result-002,codepoint-crosswalk-review-log-draft-002,codepoint-crosswalk-review-002,hust-obimd-evobc-xwalk-000051,obs-char-000051,source_register,corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,src-hust-obc;src-obimd;src-evobc,source_register_required_source_ids;source_register_match_count;source_register_rights_statuses;source_register_review_statuses;source_register_review_status,route_result_id=codepoint-crosswalk-route-result-002;source_register_required_source_ids=src-hust-obc;src-obimd;src-evobc;source_register_match_count=3;source_register_rights_statuses=src-hust-obc=source_marked_risk_noted;src-obimd=licensed_for_repository;src-evobc=source_marked_risk_noted;source_register_review_statuses=src-hust-obc=reviewed;src-obimd=reviewed;src-evobc=reviewed;source_register_review_status=reviewed_required_sources_registered,open_source_register;verify_required_source_rows;record_rights_status_and_risk_note_before_evidence_capture,not_collected,not_started,no_identity_claim,not_promoted,codepoint_crosswalk_evidence_capture_scaffold_not_scholarship,"This row is an evidence-capture scaffold derived from metadata-only route results. It identifies which local route record to open next, but it is not collected source evidence, not a confirmed oracle-character identity, not an accepted reading, not a component assignment, not an evolution-chain assignment, and not a decipherment conclusion.",2026-06-10
codepoint-evidence-capture-006,codepoint-crosswalk-route-result-002,codepoint-crosswalk-review-log-draft-002,codepoint-crosswalk-review-002,hust-obimd-evobc-xwalk-000051,obs-char-000051,download_log,project_registry/006_large-source-register/002_source-download-log.csv,dl-hust-obc-validation-label;dl-hust-obc-ocr-id-to-chinese;dl-obimd-main-character-json;dl-evobc-key-value-json;dl-evobc-list-json,download_ids_required;download_log_match_count;download_total_file_size_bytes;download_checksum_present_count;download_statuses;download_log_review_status,route_result_id=codepoint-crosswalk-route-result-002;download_ids_required=dl-hust-obc-validation-label;dl-hust-obc-ocr-id-to-chinese;dl-obimd-main-character-json;dl-evobc-key-value-json;dl-evobc-list-json;download_log_match_count=5;download_total_file_size_bytes=25488968;download_checksum_present_count=5;download_statuses=dl-hust-obc-validation-label=downloaded;dl-hust-obc-ocr-id-to-chinese=downloaded;dl-obimd-main-character-json=downloaded;dl-evobc-key-value-json=downloaded;dl-evobc-list-json=downloaded;download_log_review_status=reviewed_required_download_logs_registered,open_download_log;verify_download_ids_size_checksum_and_status;do_not_infer_rights_or_identity_from_download_availability,not_collected,not_started,no_identity_claim,not_promoted,codepoint_crosswalk_evidence_capture_scaffold_not_scholarship,"This row is an evidence-capture scaffold derived from metadata-only route results. It identifies which local route record to open next, but it is not collected source evidence, not a confirmed oracle-character identity, not an accepted reading, not a component assignment, not an evolution-chain assignment, and not a decipherment conclusion.",2026-06-10
codepoint-evidence-capture-007,codepoint-crosswalk-route-result-003,codepoint-crosswalk-review-log-draft-003,codepoint-crosswalk-review-003,hust-obimd-evobc-xwalk-000209,obs-char-000209,candidate_packet,corpus/001_oracle-characters/003_000201-000300_obs-char-bucket_oracle-characters/209_obs-char-000209_hust-obc-cat-0232_oracle-character/01_candidate-character-packet.json,hust-obc-candidate-packet-000209;obs-cand-000209;208;obimd-main-cand-003002;evobc-evo-cat-00021,hust_candidate_packet_id;hust_candidate_class_id;hust_validation_class_id;hust_source_category_id_padded;hust_dataset_label_status;hust_dataset_label_codepoints;hust_packet_status;hust_packet_review_status;hust_packet_rights_status;obimd_candidate_main_character_id;obimd_codepoint_uplus;evobc_candidate_evolution_category_id;evobc_source_character_codepoints;evobc_image_reference_count,route_result_id=codepoint-crosswalk-route-result-003;hust_candidate_packet_id=hust-obc-candidate-packet-000209;hust_packet_status=candidate_packet_created_from_source_marked_staging;hust_packet_review_status=needs_cross_source_review;hust_packet_rights_status=source_marked_risk_noted;obimd_candidate_main_character_id=obimd-main-cand-003002;obimd_codepoint_uplus=U+34DE;evobc_candidate_evolution_category_id=evobc-evo-cat-00021;evobc_source_character_codepoints=U+34DE;evobc_image_reference_count=28,open_hust_candidate_packet;verify_hust_obimd_evobc_staging_refs;record_metadata_only_no_identity_or_decipherment_claim,not_collected,not_started,no_identity_claim,not_promoted,codepoint_crosswalk_evidence_capture_scaffold_not_scholarship,"This row is an evidence-capture scaffold derived from metadata-only route results. It identifies which local route record to open next, but it is not collected source evidence, not a confirmed oracle-character identity, not an accepted reading, not a component assignment, not an evolution-chain assignment, and not a decipherment conclusion.",2026-06-10
codepoint-evidence-capture-008,codepoint-crosswalk-route-result-003,codepoint-crosswalk-review-log-draft-003,codepoint-crosswalk-review-003,hust-obimd-evobc-xwalk-000209,obs-char-000209,source_register,corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,src-hust-obc;src-obimd;src-evobc,source_register_required_source_ids;source_register_match_count;source_register_rights_statuses;source_register_review_statuses;source_register_review_status,route_result_id=codepoint-crosswalk-route-result-003;source_register_required_source_ids=src-hust-obc;src-obimd;src-evobc;source_register_match_count=3;source_register_rights_statuses=src-hust-obc=source_marked_risk_noted;src-obimd=licensed_for_repository;src-evobc=source_marked_risk_noted;source_register_review_statuses=src-hust-obc=reviewed;src-obimd=reviewed;src-evobc=reviewed;source_register_review_status=reviewed_required_sources_registered,open_source_register;verify_required_source_rows;record_rights_status_and_risk_note_before_evidence_capture,not_collected,not_started,no_identity_claim,not_promoted,codepoint_crosswalk_evidence_capture_scaffold_not_scholarship,"This row is an evidence-capture scaffold derived from metadata-only route results. It identifies which local route record to open next, but it is not collected source evidence, not a confirmed oracle-character identity, not an accepted reading, not a component assignment, not an evolution-chain assignment, and not a decipherment conclusion.",2026-06-10
codepoint-evidence-capture-009,codepoint-crosswalk-route-result-003,codepoint-crosswalk-review-log-draft-003,codepoint-crosswalk-review-003,hust-obimd-evobc-xwalk-000209,obs-char-000209,download_log,project_registry/006_large-source-register/002_source-download-log.csv,dl-hust-obc-validation-label;dl-hust-obc-ocr-id-to-chinese;dl-obimd-main-character-json;dl-evobc-key-value-json;dl-evobc-list-json,download_ids_required;download_log_match_count;download_total_file_size_bytes;download_checksum_present_count;download_statuses;download_log_review_status,route_result_id=codepoint-crosswalk-route-result-003;download_ids_required=dl-hust-obc-validation-label;dl-hust-obc-ocr-id-to-chinese;dl-obimd-main-character-json;dl-evobc-key-value-json;dl-evobc-list-json;download_log_match_count=5;download_total_file_size_bytes=25488968;download_checksum_present_count=5;download_statuses=dl-hust-obc-validation-label=downloaded;dl-hust-obc-ocr-id-to-chinese=downloaded;dl-obimd-main-character-json=downloaded;dl-evobc-key-value-json=downloaded;dl-evobc-list-json=downloaded;download_log_review_status=reviewed_required_download_logs_registered,open_download_log;verify_download_ids_size_checksum_and_status;do_not_infer_rights_or_identity_from_download_availability,not_collected,not_started,no_identity_claim,not_promoted,codepoint_crosswalk_evidence_capture_scaffold_not_scholarship,"This row is an evidence-capture scaffold derived from metadata-only route results. It identifies which local route record to open next, but it is not collected source evidence, not a confirmed oracle-character identity, not an accepted reading, not a component assignment, not an evolution-chain assignment, and not a decipherment conclusion.",2026-06-10
codepoint-evidence-capture-010,codepoint-crosswalk-route-result-004,codepoint-crosswalk-review-log-draft-004,codepoint-crosswalk-review-004,hust-obimd-evobc-xwalk-000412,obs-char-000412,candidate_packet,corpus/001_oracle-characters/005_000401-000500_obs-char-bucket_oracle-characters/412_obs-char-000412_hust-obc-cat-0468_oracle-character/01_candidate-character-packet.json,hust-obc-candidate-packet-000412;obs-cand-000412;411;obimd-main-cand-001642;evobc-evo-cat-00035,hust_candidate_packet_id;hust_candidate_class_id;hust_validation_class_id;hust_source_category_id_padded;hust_dataset_label_status;hust_dataset_label_codepoints;hust_packet_status;hust_packet_review_status;hust_packet_rights_status;obimd_candidate_main_character_id;obimd_codepoint_uplus;evobc_candidate_evolution_category_id;evobc_source_character_codepoints;evobc_image_reference_count,route_result_id=codepoint-crosswalk-route-result-004;hust_candidate_packet_id=hust-obc-candidate-packet-000412;hust_packet_status=candidate_packet_created_from_source_marked_staging;hust_packet_review_status=needs_cross_source_review;hust_packet_rights_status=source_marked_risk_noted;obimd_candidate_main_character_id=obimd-main-cand-001642;obimd_codepoint_uplus=U+35CA;evobc_candidate_evolution_category_id=evobc-evo-cat-00035;evobc_source_character_codepoints=U+35CA;evobc_image_reference_count=28,open_hust_candidate_packet;verify_hust_obimd_evobc_staging_refs;record_metadata_only_no_identity_or_decipherment_claim,not_collected,not_started,no_identity_claim,not_promoted,codepoint_crosswalk_evidence_capture_scaffold_not_scholarship,"This row is an evidence-capture scaffold derived from metadata-only route results. It identifies which local route record to open next, but it is not collected source evidence, not a confirmed oracle-character identity, not an accepted reading, not a component assignment, not an evolution-chain assignment, and not a decipherment conclusion.",2026-06-10
