route_availability_id,codepoint_review_task_id,context_pack_id,crosswalk_candidate_id,suggested_oracle_character_id,promotion_queue_id,priority_rank,priority_bucket,cross_source_status,matched_source_ids,hust_primary_external_ref_id,hust_label_codepoints,hust_candidate_packet_id,hust_candidate_packet_path,hust_candidate_packet_exists,hust_candidate_class_id,hust_validation_class_id,hust_source_category_id_padded,hust_dataset_label_status,hust_dataset_label_codepoints,hust_packet_status,hust_packet_review_status,hust_packet_rights_status,obimd_candidate_main_character_ids,obimd_row_count,obimd_source_uids,obimd_codepoint_uplus_values,obimd_review_statuses,obimd_rights_statuses,evobc_candidate_evolution_category_ids,evobc_row_count,evobc_source_category_ids,evobc_source_character_codepoints_values,evobc_image_reference_count_total,evobc_has_oracle_bone_refs_any,evobc_has_bronze_refs_any,evobc_has_seal_refs_any,evobc_review_statuses,evobc_rights_statuses,source_register_required_source_ids,source_register_match_count,source_register_rights_statuses,source_register_review_statuses,download_ids_required,download_log_match_count,download_total_file_size_bytes,download_checksum_present_count,download_access_statuses,route_file_count,missing_route_file_count,route_file_review_status,review_log_expected_path,review_log_materialization_status,availability_status,evidence_collection_status,rights_decision_status,source_promotion_status,identity_claim_status,decipherment_claim_status,component_claim_status,evolution_chain_claim_status,research_boundary,required_next_checks,caution,updated_at
codepoint-route-availability-001,codepoint-crosswalk-review-001,ai-context-hust-obimd-evobc-codepoint-crosswalk-001,hust-obimd-evobc-xwalk-000047,obs-char-000047,hust-obc-obs-char-promo-000047,1,both_obimd_and_evobc_codepoint_match,matched_obimd_and_evobc_by_codepoint,src-hust-obc;src-obimd;src-evobc,hust-obc-cat-0055,U+342D,hust-obc-candidate-packet-000047,corpus/001_oracle-characters/001_000001-000100_obs-char-bucket_oracle-characters/047_obs-char-000047_hust-obc-cat-0055_oracle-character/01_candidate-character-packet.json,true,obs-cand-000047,46,00055,dataset_label_candidate_not_accepted_reading,U+342D,candidate_packet_created_from_source_marked_staging,needs_cross_source_review,source_marked_risk_noted,obimd-main-cand-002255,1,dxvqlu3dcd,U+342D,obimd-main-cand-002255=reviewed_metadata_only,obimd-main-cand-002255=licensed_for_repository,evobc-evo-cat-00005,1,00005,U+342D,71,true,true,false,evobc-evo-cat-00005=reviewed_metadata_only,evobc-evo-cat-00005=source_marked_risk_noted,src-hust-obc;src-obimd;src-evobc,3,src-hust-obc=source_marked_risk_noted;src-obimd=licensed_for_repository;src-evobc=source_marked_risk_noted,src-hust-obc=reviewed;src-obimd=reviewed;src-evobc=reviewed,dl-hust-obc-validation-label;dl-hust-obc-ocr-id-to-chinese;dl-obimd-main-character-json;dl-evobc-key-value-json;dl-evobc-list-json,5,25488968,5,dl-hust-obc-validation-label=downloaded:200;dl-hust-obc-ocr-id-to-chinese=downloaded:200;dl-obimd-main-character-json=downloaded:200;dl-evobc-key-value-json=downloaded:200;dl-evobc-list-json=downloaded:200,9,0,reviewed_route_files_exist,doc/public/user_research/004_codepoint-crosswalk-review-queues/001_both_obimd_and_evobc_codepoint_match/001_hust-obimd-evobc-xwalk-000047_review-log.md,draft_log_exists,ready_for_review_log_draft_materialization_metadata_only,availability_metadata_captured_not_evidence,no_new_rights_decision,not_promoted,no_identity_claim,no_claim,no_claim,no_claim,codepoint_crosswalk_route_availability_snapshot_not_scholarship,materialize_or_open_review_log_draft;verify_hust_candidate_packet;verify_matched_source_staging_rows;verify_source_register_and_download_log;compare_against_xiaoxuetang_obm_and_primary_inscription_context_before_any_identity_or_decipherment_claim,"This row is a metadata-only route availability snapshot for a codepoint review task. It links local HUST candidate packets, matched OBIMD/EVOBC staging rows, source-register rows, and download-log rows for later human review; it is not source evidence by itself, not an oracle-character identity decision, not an accepted reading, not a component assignment, not an evolution-chain assignment, not a rights decision, not a source promotion, and not a decipherment conclusion.",2026-06-10
codepoint-route-availability-002,codepoint-crosswalk-review-002,ai-context-hust-obimd-evobc-codepoint-crosswalk-001,hust-obimd-evobc-xwalk-000051,obs-char-000051,hust-obc-obs-char-promo-000051,1,both_obimd_and_evobc_codepoint_match,matched_obimd_and_evobc_by_codepoint,src-hust-obc;src-obimd;src-evobc,hust-obc-cat-0059,U+3431,hust-obc-candidate-packet-000051,corpus/001_oracle-characters/001_000001-000100_obs-char-bucket_oracle-characters/051_obs-char-000051_hust-obc-cat-0059_oracle-character/01_candidate-character-packet.json,true,obs-cand-000051,50,00059,dataset_label_candidate_not_accepted_reading,U+3431,candidate_packet_created_from_source_marked_staging,needs_cross_source_review,source_marked_risk_noted,obimd-main-cand-001015,1,omtx3jpdtq,U+3431,obimd-main-cand-001015=reviewed_metadata_only,obimd-main-cand-001015=licensed_for_repository,evobc-evo-cat-00006,1,00006,U+3431,27,true,true,false,evobc-evo-cat-00006=reviewed_metadata_only,evobc-evo-cat-00006=source_marked_risk_noted,src-hust-obc;src-obimd;src-evobc,3,src-hust-obc=source_marked_risk_noted;src-obimd=licensed_for_repository;src-evobc=source_marked_risk_noted,src-hust-obc=reviewed;src-obimd=reviewed;src-evobc=reviewed,dl-hust-obc-validation-label;dl-hust-obc-ocr-id-to-chinese;dl-obimd-main-character-json;dl-evobc-key-value-json;dl-evobc-list-json,5,25488968,5,dl-hust-obc-validation-label=downloaded:200;dl-hust-obc-ocr-id-to-chinese=downloaded:200;dl-obimd-main-character-json=downloaded:200;dl-evobc-key-value-json=downloaded:200;dl-evobc-list-json=downloaded:200,9,0,reviewed_route_files_exist,doc/public/user_research/004_codepoint-crosswalk-review-queues/001_both_obimd_and_evobc_codepoint_match/002_hust-obimd-evobc-xwalk-000051_review-log.md,draft_log_exists,ready_for_review_log_draft_materialization_metadata_only,availability_metadata_captured_not_evidence,no_new_rights_decision,not_promoted,no_identity_claim,no_claim,no_claim,no_claim,codepoint_crosswalk_route_availability_snapshot_not_scholarship,materialize_or_open_review_log_draft;verify_hust_candidate_packet;verify_matched_source_staging_rows;verify_source_register_and_download_log;compare_against_xiaoxuetang_obm_and_primary_inscription_context_before_any_identity_or_decipherment_claim,"This row is a metadata-only route availability snapshot for a codepoint review task. It links local HUST candidate packets, matched OBIMD/EVOBC staging rows, source-register rows, and download-log rows for later human review; it is not source evidence by itself, not an oracle-character identity decision, not an accepted reading, not a component assignment, not an evolution-chain assignment, not a rights decision, not a source promotion, and not a decipherment conclusion.",2026-06-10
codepoint-route-availability-003,codepoint-crosswalk-review-003,ai-context-hust-obimd-evobc-codepoint-crosswalk-001,hust-obimd-evobc-xwalk-000209,obs-char-000209,hust-obc-obs-char-promo-000209,1,both_obimd_and_evobc_codepoint_match,matched_obimd_and_evobc_by_codepoint,src-hust-obc;src-obimd;src-evobc,hust-obc-cat-0232,U+34DE,hust-obc-candidate-packet-000209,corpus/001_oracle-characters/003_000201-000300_obs-char-bucket_oracle-characters/209_obs-char-000209_hust-obc-cat-0232_oracle-character/01_candidate-character-packet.json,true,obs-cand-000209,208,00232,dataset_label_candidate_not_accepted_reading,U+34DE,candidate_packet_created_from_source_marked_staging,needs_cross_source_review,source_marked_risk_noted,obimd-main-cand-003002,1,nzqdb3i249,U+34DE,obimd-main-cand-003002=reviewed_metadata_only,obimd-main-cand-003002=licensed_for_repository,evobc-evo-cat-00021,1,00021,U+34DE,28,true,true,false,evobc-evo-cat-00021=reviewed_metadata_only,evobc-evo-cat-00021=source_marked_risk_noted,src-hust-obc;src-obimd;src-evobc,3,src-hust-obc=source_marked_risk_noted;src-obimd=licensed_for_repository;src-evobc=source_marked_risk_noted,src-hust-obc=reviewed;src-obimd=reviewed;src-evobc=reviewed,dl-hust-obc-validation-label;dl-hust-obc-ocr-id-to-chinese;dl-obimd-main-character-json;dl-evobc-key-value-json;dl-evobc-list-json,5,25488968,5,dl-hust-obc-validation-label=downloaded:200;dl-hust-obc-ocr-id-to-chinese=downloaded:200;dl-obimd-main-character-json=downloaded:200;dl-evobc-key-value-json=downloaded:200;dl-evobc-list-json=downloaded:200,9,0,reviewed_route_files_exist,doc/public/user_research/004_codepoint-crosswalk-review-queues/001_both_obimd_and_evobc_codepoint_match/003_hust-obimd-evobc-xwalk-000209_review-log.md,draft_log_exists,ready_for_review_log_draft_materialization_metadata_only,availability_metadata_captured_not_evidence,no_new_rights_decision,not_promoted,no_identity_claim,no_claim,no_claim,no_claim,codepoint_crosswalk_route_availability_snapshot_not_scholarship,materialize_or_open_review_log_draft;verify_hust_candidate_packet;verify_matched_source_staging_rows;verify_source_register_and_download_log;compare_against_xiaoxuetang_obm_and_primary_inscription_context_before_any_identity_or_decipherment_claim,"This row is a metadata-only route availability snapshot for a codepoint review task. It links local HUST candidate packets, matched OBIMD/EVOBC staging rows, source-register rows, and download-log rows for later human review; it is not source evidence by itself, not an oracle-character identity decision, not an accepted reading, not a component assignment, not an evolution-chain assignment, not a rights decision, not a source promotion, and not a decipherment conclusion.",2026-06-10
codepoint-route-availability-004,codepoint-crosswalk-review-004,ai-context-hust-obimd-evobc-codepoint-crosswalk-001,hust-obimd-evobc-xwalk-000412,obs-char-000412,hust-obc-obs-char-promo-000412,1,both_obimd_and_evobc_codepoint_match,matched_obimd_and_evobc_by_codepoint,src-hust-obc;src-obimd;src-evobc,hust-obc-cat-0468,U+35CA,hust-obc-candidate-packet-000412,corpus/001_oracle-characters/005_000401-000500_obs-char-bucket_oracle-characters/412_obs-char-000412_hust-obc-cat-0468_oracle-character/01_candidate-character-packet.json,true,obs-cand-000412,411,00468,dataset_label_candidate_not_accepted_reading,U+35CA,candidate_packet_created_from_source_marked_staging,needs_cross_source_review,source_marked_risk_noted,obimd-main-cand-001642,1,ytmsqjgowx,U+35CA,obimd-main-cand-001642=reviewed_metadata_only,obimd-main-cand-001642=licensed_for_repository,evobc-evo-cat-00035,1,00035,U+35CA,28,true,false,false,evobc-evo-cat-00035=reviewed_metadata_only,evobc-evo-cat-00035=source_marked_risk_noted,src-hust-obc;src-obimd;src-evobc,3,src-hust-obc=source_marked_risk_noted;src-obimd=licensed_for_repository;src-evobc=source_marked_risk_noted,src-hust-obc=reviewed;src-obimd=reviewed;src-evobc=reviewed,dl-hust-obc-validation-label;dl-hust-obc-ocr-id-to-chinese;dl-obimd-main-character-json;dl-evobc-key-value-json;dl-evobc-list-json,5,25488968,5,dl-hust-obc-validation-label=downloaded:200;dl-hust-obc-ocr-id-to-chinese=downloaded:200;dl-obimd-main-character-json=downloaded:200;dl-evobc-key-value-json=downloaded:200;dl-evobc-list-json=downloaded:200,9,0,reviewed_route_files_exist,doc/public/user_research/004_codepoint-crosswalk-review-queues/001_both_obimd_and_evobc_codepoint_match/004_hust-obimd-evobc-xwalk-000412_review-log.md,draft_log_exists,ready_for_review_log_draft_materialization_metadata_only,availability_metadata_captured_not_evidence,no_new_rights_decision,not_promoted,no_identity_claim,no_claim,no_claim,no_claim,codepoint_crosswalk_route_availability_snapshot_not_scholarship,materialize_or_open_review_log_draft;verify_hust_candidate_packet;verify_matched_source_staging_rows;verify_source_register_and_download_log;compare_against_xiaoxuetang_obm_and_primary_inscription_context_before_any_identity_or_decipherment_claim,"This row is a metadata-only route availability snapshot for a codepoint review task. It links local HUST candidate packets, matched OBIMD/EVOBC staging rows, source-register rows, and download-log rows for later human review; it is not source evidence by itself, not an oracle-character identity decision, not an accepted reading, not a component assignment, not an evolution-chain assignment, not a rights decision, not a source promotion, and not a decipherment conclusion.",2026-06-10
codepoint-route-availability-005,codepoint-crosswalk-review-005,ai-context-hust-obimd-evobc-codepoint-crosswalk-001,hust-obimd-evobc-xwalk-000486,obs-char-000486,hust-obc-obs-char-promo-000486,1,both_obimd_and_evobc_codepoint_match,matched_obimd_and_evobc_by_codepoint,src-hust-obc;src-obimd;src-evobc,hust-obc-cat-0551,U+361D,hust-obc-candidate-packet-000486,corpus/001_oracle-characters/005_000401-000500_obs-char-bucket_oracle-characters/486_obs-char-000486_hust-obc-cat-0551_oracle-character/01_candidate-character-packet.json,true,obs-cand-000486,485,00551,dataset_label_candidate_not_accepted_reading,U+361D,candidate_packet_created_from_source_marked_staging,needs_cross_source_review,source_marked_risk_noted,obimd-main-cand-002432,1,a8vnbz5v1s,U+361D,obimd-main-cand-002432=reviewed_metadata_only,obimd-main-cand-002432=licensed_for_repository,evobc-evo-cat-00038,1,00038,U+361D,29,true,false,false,evobc-evo-cat-00038=reviewed_metadata_only,evobc-evo-cat-00038=source_marked_risk_noted,src-hust-obc;src-obimd;src-evobc,3,src-hust-obc=source_marked_risk_noted;src-obimd=licensed_for_repository;src-evobc=source_marked_risk_noted,src-hust-obc=reviewed;src-obimd=reviewed;src-evobc=reviewed,dl-hust-obc-validation-label;dl-hust-obc-ocr-id-to-chinese;dl-obimd-main-character-json;dl-evobc-key-value-json;dl-evobc-list-json,5,25488968,5,dl-hust-obc-validation-label=downloaded:200;dl-hust-obc-ocr-id-to-chinese=downloaded:200;dl-obimd-main-character-json=downloaded:200;dl-evobc-key-value-json=downloaded:200;dl-evobc-list-json=downloaded:200,9,0,reviewed_route_files_exist,doc/public/user_research/004_codepoint-crosswalk-review-queues/001_both_obimd_and_evobc_codepoint_match/005_hust-obimd-evobc-xwalk-000486_review-log.md,draft_log_exists,ready_for_review_log_draft_materialization_metadata_only,availability_metadata_captured_not_evidence,no_new_rights_decision,not_promoted,no_identity_claim,no_claim,no_claim,no_claim,codepoint_crosswalk_route_availability_snapshot_not_scholarship,materialize_or_open_review_log_draft;verify_hust_candidate_packet;verify_matched_source_staging_rows;verify_source_register_and_download_log;compare_against_xiaoxuetang_obm_and_primary_inscription_context_before_any_identity_or_decipherment_claim,"This row is a metadata-only route availability snapshot for a codepoint review task. It links local HUST candidate packets, matched OBIMD/EVOBC staging rows, source-register rows, and download-log rows for later human review; it is not source evidence by itself, not an oracle-character identity decision, not an accepted reading, not a component assignment, not an evolution-chain assignment, not a rights decision, not a source promotion, and not a decipherment conclusion.",2026-06-10
codepoint-route-availability-006,codepoint-crosswalk-review-006,ai-context-hust-obimd-evobc-codepoint-crosswalk-001,hust-obimd-evobc-xwalk-000621,obs-char-000621,hust-obc-obs-char-promo-000621,1,both_obimd_and_evobc_codepoint_match,matched_obimd_and_evobc_by_codepoint,src-hust-obc;src-obimd;src-evobc,hust-obc-cat-0706,U+36B8,hust-obc-candidate-packet-000621,corpus/001_oracle-characters/007_000601-000700_obs-char-bucket_oracle-characters/621_obs-char-000621_hust-obc-cat-0706_oracle-character/01_candidate-character-packet.json,true,obs-cand-000621,620,00706,dataset_label_candidate_not_accepted_reading,U+36B8,candidate_packet_created_from_source_marked_staging,needs_cross_source_review,source_marked_risk_noted,obimd-main-cand-001412,1,1mkqz99m8b,U+36B8,obimd-main-cand-001412=reviewed_metadata_only,obimd-main-cand-001412=licensed_for_repository,evobc-evo-cat-00049,1,00049,U+36B8,88,true,true,false,evobc-evo-cat-00049=reviewed_metadata_only,evobc-evo-cat-00049=source_marked_risk_noted,src-hust-obc;src-obimd;src-evobc,3,src-hust-obc=source_marked_risk_noted;src-obimd=licensed_for_repository;src-evobc=source_marked_risk_noted,src-hust-obc=reviewed;src-obimd=reviewed;src-evobc=reviewed,dl-hust-obc-validation-label;dl-hust-obc-ocr-id-to-chinese;dl-obimd-main-character-json;dl-evobc-key-value-json;dl-evobc-list-json,5,25488968,5,dl-hust-obc-validation-label=downloaded:200;dl-hust-obc-ocr-id-to-chinese=downloaded:200;dl-obimd-main-character-json=downloaded:200;dl-evobc-key-value-json=downloaded:200;dl-evobc-list-json=downloaded:200,9,0,reviewed_route_files_exist,doc/public/user_research/004_codepoint-crosswalk-review-queues/001_both_obimd_and_evobc_codepoint_match/006_hust-obimd-evobc-xwalk-000621_review-log.md,draft_log_exists,ready_for_review_log_draft_materialization_metadata_only,availability_metadata_captured_not_evidence,no_new_rights_decision,not_promoted,no_identity_claim,no_claim,no_claim,no_claim,codepoint_crosswalk_route_availability_snapshot_not_scholarship,materialize_or_open_review_log_draft;verify_hust_candidate_packet;verify_matched_source_staging_rows;verify_source_register_and_download_log;compare_against_xiaoxuetang_obm_and_primary_inscription_context_before_any_identity_or_decipherment_claim,"This row is a metadata-only route availability snapshot for a codepoint review task. It links local HUST candidate packets, matched OBIMD/EVOBC staging rows, source-register rows, and download-log rows for later human review; it is not source evidence by itself, not an oracle-character identity decision, not an accepted reading, not a component assignment, not an evolution-chain assignment, not a rights decision, not a source promotion, and not a decipherment conclusion.",2026-06-10
codepoint-route-availability-007,codepoint-crosswalk-review-007,ai-context-hust-obimd-evobc-codepoint-crosswalk-001,hust-obimd-evobc-xwalk-000771,obs-char-000771,hust-obc-obs-char-promo-000771,1,both_obimd_and_evobc_codepoint_match,matched_obimd_and_evobc_by_codepoint,src-hust-obc;src-obimd;src-evobc,hust-obc-cat-0875,U+3761,hust-obc-candidate-packet-000771,corpus/001_oracle-characters/008_000701-000800_obs-char-bucket_oracle-characters/771_obs-char-000771_hust-obc-cat-0875_oracle-character/01_candidate-character-packet.json,true,obs-cand-000771,770,00875,dataset_label_candidate_not_accepted_reading,U+3761,candidate_packet_created_from_source_marked_staging,needs_cross_source_review,source_marked_risk_noted,obimd-main-cand-002291,1,ojtpg03v54,U+3761,obimd-main-cand-002291=reviewed_metadata_only,obimd-main-cand-002291=licensed_for_repository,evobc-evo-cat-00070,1,00070,U+3761,24,true,false,false,evobc-evo-cat-00070=reviewed_metadata_only,evobc-evo-cat-00070=source_marked_risk_noted,src-hust-obc;src-obimd;src-evobc,3,src-hust-obc=source_marked_risk_noted;src-obimd=licensed_for_repository;src-evobc=source_marked_risk_noted,src-hust-obc=reviewed;src-obimd=reviewed;src-evobc=reviewed,dl-hust-obc-validation-label;dl-hust-obc-ocr-id-to-chinese;dl-obimd-main-character-json;dl-evobc-key-value-json;dl-evobc-list-json,5,25488968,5,dl-hust-obc-validation-label=downloaded:200;dl-hust-obc-ocr-id-to-chinese=downloaded:200;dl-obimd-main-character-json=downloaded:200;dl-evobc-key-value-json=downloaded:200;dl-evobc-list-json=downloaded:200,9,0,reviewed_route_files_exist,doc/public/user_research/004_codepoint-crosswalk-review-queues/001_both_obimd_and_evobc_codepoint_match/007_hust-obimd-evobc-xwalk-000771_review-log.md,draft_log_exists,ready_for_review_log_draft_materialization_metadata_only,availability_metadata_captured_not_evidence,no_new_rights_decision,not_promoted,no_identity_claim,no_claim,no_claim,no_claim,codepoint_crosswalk_route_availability_snapshot_not_scholarship,materialize_or_open_review_log_draft;verify_hust_candidate_packet;verify_matched_source_staging_rows;verify_source_register_and_download_log;compare_against_xiaoxuetang_obm_and_primary_inscription_context_before_any_identity_or_decipherment_claim,"This row is a metadata-only route availability snapshot for a codepoint review task. It links local HUST candidate packets, matched OBIMD/EVOBC staging rows, source-register rows, and download-log rows for later human review; it is not source evidence by itself, not an oracle-character identity decision, not an accepted reading, not a component assignment, not an evolution-chain assignment, not a rights decision, not a source promotion, and not a decipherment conclusion.",2026-06-10
codepoint-route-availability-008,codepoint-crosswalk-review-008,ai-context-hust-obimd-evobc-codepoint-crosswalk-001,hust-obimd-evobc-xwalk-000780,obs-char-000780,hust-obc-obs-char-promo-000780,1,both_obimd_and_evobc_codepoint_match,matched_obimd_and_evobc_by_codepoint,src-hust-obc;src-obimd;src-evobc,hust-obc-cat-0884,U+376A,hust-obc-candidate-packet-000780,corpus/001_oracle-characters/008_000701-000800_obs-char-bucket_oracle-characters/780_obs-char-000780_hust-obc-cat-0884_oracle-character/01_candidate-character-packet.json,true,obs-cand-000780,779,00884,dataset_label_candidate_not_accepted_reading,U+376A,candidate_packet_created_from_source_marked_staging,needs_cross_source_review,source_marked_risk_noted,obimd-main-cand-003071,1,x9f7dp1d6n,U+376A,obimd-main-cand-003071=reviewed_metadata_only,obimd-main-cand-003071=licensed_for_repository,evobc-evo-cat-00074,1,00074,U+376A,31,true,true,false,evobc-evo-cat-00074=reviewed_metadata_only,evobc-evo-cat-00074=source_marked_risk_noted,src-hust-obc;src-obimd;src-evobc,3,src-hust-obc=source_marked_risk_noted;src-obimd=licensed_for_repository;src-evobc=source_marked_risk_noted,src-hust-obc=reviewed;src-obimd=reviewed;src-evobc=reviewed,dl-hust-obc-validation-label;dl-hust-obc-ocr-id-to-chinese;dl-obimd-main-character-json;dl-evobc-key-value-json;dl-evobc-list-json,5,25488968,5,dl-hust-obc-validation-label=downloaded:200;dl-hust-obc-ocr-id-to-chinese=downloaded:200;dl-obimd-main-character-json=downloaded:200;dl-evobc-key-value-json=downloaded:200;dl-evobc-list-json=downloaded:200,9,0,reviewed_route_files_exist,doc/public/user_research/004_codepoint-crosswalk-review-queues/001_both_obimd_and_evobc_codepoint_match/008_hust-obimd-evobc-xwalk-000780_review-log.md,draft_log_exists,ready_for_review_log_draft_materialization_metadata_only,availability_metadata_captured_not_evidence,no_new_rights_decision,not_promoted,no_identity_claim,no_claim,no_claim,no_claim,codepoint_crosswalk_route_availability_snapshot_not_scholarship,materialize_or_open_review_log_draft;verify_hust_candidate_packet;verify_matched_source_staging_rows;verify_source_register_and_download_log;compare_against_xiaoxuetang_obm_and_primary_inscription_context_before_any_identity_or_decipherment_claim,"This row is a metadata-only route availability snapshot for a codepoint review task. It links local HUST candidate packets, matched OBIMD/EVOBC staging rows, source-register rows, and download-log rows for later human review; it is not source evidence by itself, not an oracle-character identity decision, not an accepted reading, not a component assignment, not an evolution-chain assignment, not a rights decision, not a source promotion, and not a decipherment conclusion.",2026-06-10
codepoint-route-availability-009,codepoint-crosswalk-review-009,ai-context-hust-obimd-evobc-codepoint-crosswalk-001,hust-obimd-evobc-xwalk-000782,obs-char-000782,hust-obc-obs-char-promo-000782,1,both_obimd_and_evobc_codepoint_match,matched_obimd_and_evobc_by_codepoint,src-hust-obc;src-obimd;src-evobc,hust-obc-cat-0886,U+376C,hust-obc-candidate-packet-000782,corpus/001_oracle-characters/008_000701-000800_obs-char-bucket_oracle-characters/782_obs-char-000782_hust-obc-cat-0886_oracle-character/01_candidate-character-packet.json,true,obs-cand-000782,781,00886,dataset_label_candidate_not_accepted_reading,U+376C,candidate_packet_created_from_source_marked_staging,needs_cross_source_review,source_marked_risk_noted,obimd-main-cand-000981,1,gxkrzcoj69,U+376C,obimd-main-cand-000981=reviewed_metadata_only,obimd-main-cand-000981=licensed_for_repository,evobc-evo-cat-00075,1,00075,U+376C,69,false,true,false,evobc-evo-cat-00075=reviewed_metadata_only,evobc-evo-cat-00075=source_marked_risk_noted,src-hust-obc;src-obimd;src-evobc,3,src-hust-obc=source_marked_risk_noted;src-obimd=licensed_for_repository;src-evobc=source_marked_risk_noted,src-hust-obc=reviewed;src-obimd=reviewed;src-evobc=reviewed,dl-hust-obc-validation-label;dl-hust-obc-ocr-id-to-chinese;dl-obimd-main-character-json;dl-evobc-key-value-json;dl-evobc-list-json,5,25488968,5,dl-hust-obc-validation-label=downloaded:200;dl-hust-obc-ocr-id-to-chinese=downloaded:200;dl-obimd-main-character-json=downloaded:200;dl-evobc-key-value-json=downloaded:200;dl-evobc-list-json=downloaded:200,9,0,reviewed_route_files_exist,doc/public/user_research/004_codepoint-crosswalk-review-queues/001_both_obimd_and_evobc_codepoint_match/009_hust-obimd-evobc-xwalk-000782_review-log.md,draft_log_exists,ready_for_review_log_draft_materialization_metadata_only,availability_metadata_captured_not_evidence,no_new_rights_decision,not_promoted,no_identity_claim,no_claim,no_claim,no_claim,codepoint_crosswalk_route_availability_snapshot_not_scholarship,materialize_or_open_review_log_draft;verify_hust_candidate_packet;verify_matched_source_staging_rows;verify_source_register_and_download_log;compare_against_xiaoxuetang_obm_and_primary_inscription_context_before_any_identity_or_decipherment_claim,"This row is a metadata-only route availability snapshot for a codepoint review task. It links local HUST candidate packets, matched OBIMD/EVOBC staging rows, source-register rows, and download-log rows for later human review; it is not source evidence by itself, not an oracle-character identity decision, not an accepted reading, not a component assignment, not an evolution-chain assignment, not a rights decision, not a source promotion, and not a decipherment conclusion.",2026-06-10
codepoint-route-availability-010,codepoint-crosswalk-review-010,ai-context-hust-obimd-evobc-codepoint-crosswalk-001,hust-obimd-evobc-xwalk-000791,obs-char-000791,hust-obc-obs-char-promo-000791,1,both_obimd_and_evobc_codepoint_match,matched_obimd_and_evobc_by_codepoint,src-hust-obc;src-obimd;src-evobc,hust-obc-cat-0895,U+3775,hust-obc-candidate-packet-000791,corpus/001_oracle-characters/008_000701-000800_obs-char-bucket_oracle-characters/791_obs-char-000791_hust-obc-cat-0895_oracle-character/01_candidate-character-packet.json,true,obs-cand-000791,790,00895,dataset_label_candidate_not_accepted_reading,U+3775,candidate_packet_created_from_source_marked_staging,needs_cross_source_review,source_marked_risk_noted,obimd-main-cand-000853,1,e19hd5tm0i,U+3775,obimd-main-cand-000853=reviewed_metadata_only,obimd-main-cand-000853=licensed_for_repository,evobc-evo-cat-00078,1,00078,U+3775,52,true,false,false,evobc-evo-cat-00078=reviewed_metadata_only,evobc-evo-cat-00078=source_marked_risk_noted,src-hust-obc;src-obimd;src-evobc,3,src-hust-obc=source_marked_risk_noted;src-obimd=licensed_for_repository;src-evobc=source_marked_risk_noted,src-hust-obc=reviewed;src-obimd=reviewed;src-evobc=reviewed,dl-hust-obc-validation-label;dl-hust-obc-ocr-id-to-chinese;dl-obimd-main-character-json;dl-evobc-key-value-json;dl-evobc-list-json,5,25488968,5,dl-hust-obc-validation-label=downloaded:200;dl-hust-obc-ocr-id-to-chinese=downloaded:200;dl-obimd-main-character-json=downloaded:200;dl-evobc-key-value-json=downloaded:200;dl-evobc-list-json=downloaded:200,9,0,reviewed_route_files_exist,doc/public/user_research/004_codepoint-crosswalk-review-queues/001_both_obimd_and_evobc_codepoint_match/010_hust-obimd-evobc-xwalk-000791_review-log.md,draft_log_exists,ready_for_review_log_draft_materialization_metadata_only,availability_metadata_captured_not_evidence,no_new_rights_decision,not_promoted,no_identity_claim,no_claim,no_claim,no_claim,codepoint_crosswalk_route_availability_snapshot_not_scholarship,materialize_or_open_review_log_draft;verify_hust_candidate_packet;verify_matched_source_staging_rows;verify_source_register_and_download_log;compare_against_xiaoxuetang_obm_and_primary_inscription_context_before_any_identity_or_decipherment_claim,"This row is a metadata-only route availability snapshot for a codepoint review task. It links local HUST candidate packets, matched OBIMD/EVOBC staging rows, source-register rows, and download-log rows for later human review; it is not source evidence by itself, not an oracle-character identity decision, not an accepted reading, not a component assignment, not an evolution-chain assignment, not a rights decision, not a source promotion, and not a decipherment conclusion.",2026-06-10
