ledger_id,checklist_id,source_id,source_type,rights_status,pipeline_gap_status,review_lane,required_review_steps,download_manifest_count,download_log_count,downloaded_count,access_boundary_or_error_count,checksum_present_count,size_recorded_count,field_map_count,large_source_register_count,package_manifest_count,metadata_profile_count,asset_count,candidate_queue_count,cross_source_crosswalk_match_count,graph_edge_count,download_evidence_status,manifest_evidence_status,metadata_profile_status,derivative_evidence_status,evidence_completeness_status,evidence_counts_summary,route_files_to_open,checklist_path,pipeline_audit_path,gap_matrix_path,ledger_status,reviewed_evidence_paths,review_outcome_summary,claim_boundary,rights_decision_status,source_promotion_status,corpus_import_status,decipherment_claim_status,caution,updated_at
source-pipeline-evidence-ledger-001,source-pipeline-gap-review-checklist-001,src-british-museum-oracle-bone,museum_collection,metadata_only_until_verified,needs_download_or_access_review,access_and_checksum_boundary_resolution,open_source_register_and_risk_note;verify_rights_status_before_any_use;verify_download_or_access_boundary;verify_field_map_absence_or_plan;review_package_manifest_or_not_applicable;review_metadata_profile_or_not_applicable;record_human_review_outcome_before_promotion,1,1,0,0,0,1,0,0,0,0,0,0,0,0,access_or_download_not_resolved,package_manifest_missing_or_not_applicable_unreviewed,metadata_profile_missing_or_not_applicable_unreviewed,no_candidate_or_graph_derivatives_recorded,source_evidence_has_gaps_pending_review,download_manifest:1;download_log:1;downloaded:0;checksum_present:0;size_recorded:1;package_manifest:0;metadata_profile:0;large_source_register:0;candidate_queue:0;graph_edge:0,corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/007_source-field-map.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv;project_registry/006_large-source-register/001_large-source-register.csv,corpus/009_statistics-and-derived-features/133_ai-agent-source-pipeline-gap-review-checklist.csv,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv,corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv,pending_human_review,,,source_pipeline_evidence_ledger_not_review_outcome_not_scholarship,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,"Source pipeline evidence ledger only; counts and paths are not collected review evidence, not a rights decision, not source promotion, not a corpus import, and not a decipherment conclusion.",2026-06-19
source-pipeline-evidence-ledger-002,source-pipeline-gap-review-checklist-002,src-cambridge-hopkins,library_collection,metadata_only_until_verified,needs_safe_derived_record_review,safe_derived_record_decision,open_source_register_and_risk_note;verify_rights_status_before_any_use;review_package_manifest_or_not_applicable;review_metadata_profile_or_not_applicable;review_candidate_or_graph_derivatives;record_human_review_outcome_before_promotion,1,1,1,0,1,1,2,0,0,0,0,0,0,4403,downloaded_with_size_and_checksum_evidence,package_manifest_missing_or_not_applicable_unreviewed,metadata_profile_missing_or_not_applicable_unreviewed,candidate_or_graph_derivatives_present_pending_review,source_evidence_has_gaps_pending_review,download_manifest:1;download_log:1;downloaded:1;checksum_present:1;size_recorded:1;package_manifest:0;metadata_profile:0;large_source_register:0;candidate_queue:0;graph_edge:4403,corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/007_source-field-map.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv;project_registry/006_large-source-register/001_large-source-register.csv,corpus/009_statistics-and-derived-features/133_ai-agent-source-pipeline-gap-review-checklist.csv,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv,corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv,pending_human_review,,,source_pipeline_evidence_ledger_not_review_outcome_not_scholarship,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,"Source pipeline evidence ledger only; counts and paths are not collected review evidence, not a rights decision, not source promotion, not a corpus import, and not a decipherment conclusion.",2026-06-19
source-pipeline-evidence-ledger-003,source-pipeline-gap-review-checklist-003,src-evobc,open_research_dataset,source_marked_risk_noted,needs_safe_derived_record_review,safe_derived_record_decision,open_source_register_and_risk_note;verify_rights_status_before_any_use;review_candidate_or_graph_derivatives;record_human_review_outcome_before_promotion,5,5,5,0,5,5,2,1,3,7,0,0,127,51679,downloaded_with_size_and_checksum_evidence,package_manifest_present,metadata_profile_present,candidate_or_graph_derivatives_present_pending_review,source_evidence_and_derivatives_present_pending_review,download_manifest:5;download_log:5;downloaded:5;checksum_present:5;size_recorded:5;package_manifest:3;metadata_profile:7;large_source_register:1;candidate_queue:0;graph_edge:51679,corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/007_source-field-map.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv;project_registry/006_large-source-register/001_large-source-register.csv,corpus/009_statistics-and-derived-features/133_ai-agent-source-pipeline-gap-review-checklist.csv,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv,corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv,pending_human_review,,,source_pipeline_evidence_ledger_not_review_outcome_not_scholarship,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,"Source pipeline evidence ledger only; counts and paths are not collected review evidence, not a rights decision, not source promotion, not a corpus import, and not a decipherment conclusion.",2026-06-19
source-pipeline-evidence-ledger-004,source-pipeline-gap-review-checklist-004,src-gbedobc,open_research_dataset,source_marked_risk_noted,needs_package_manifest_review,metadata_profile_and_package_manifest_decision,open_source_register_and_risk_note;verify_rights_status_before_any_use;review_package_manifest_or_not_applicable;review_metadata_profile_or_not_applicable;record_human_review_outcome_before_promotion,2,2,2,0,2,2,1,0,0,3,0,0,0,0,downloaded_with_size_and_checksum_evidence,package_manifest_missing_or_not_applicable_unreviewed,metadata_profile_present,no_candidate_or_graph_derivatives_recorded,source_evidence_has_gaps_pending_review,download_manifest:2;download_log:2;downloaded:2;checksum_present:2;size_recorded:2;package_manifest:0;metadata_profile:3;large_source_register:0;candidate_queue:0;graph_edge:0,corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/007_source-field-map.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv;project_registry/006_large-source-register/001_large-source-register.csv,corpus/009_statistics-and-derived-features/133_ai-agent-source-pipeline-gap-review-checklist.csv,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv,corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv,pending_human_review,,,source_pipeline_evidence_ledger_not_review_outcome_not_scholarship,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,"Source pipeline evidence ledger only; counts and paths are not collected review evidence, not a rights decision, not source promotion, not a corpus import, and not a decipherment conclusion.",2026-06-19
source-pipeline-evidence-ledger-005,source-pipeline-gap-review-checklist-005,src-hust-obc,open_research_dataset,source_marked_risk_noted,needs_safe_derived_record_review,safe_derived_record_decision,open_source_register_and_risk_note;verify_rights_status_before_any_use;review_candidate_or_graph_derivatives;record_human_review_outcome_before_promotion,7,8,8,0,8,8,7,1,4,11,0,10996,1588,3562,downloaded_with_size_and_checksum_evidence,package_manifest_present,metadata_profile_present,candidate_or_graph_derivatives_present_pending_review,source_evidence_and_derivatives_present_pending_review,download_manifest:7;download_log:8;downloaded:8;checksum_present:8;size_recorded:8;package_manifest:4;metadata_profile:11;large_source_register:1;candidate_queue:10996;graph_edge:3562,corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/007_source-field-map.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv;project_registry/006_large-source-register/001_large-source-register.csv,corpus/009_statistics-and-derived-features/133_ai-agent-source-pipeline-gap-review-checklist.csv,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv,corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv,pending_human_review,,,source_pipeline_evidence_ledger_not_review_outcome_not_scholarship,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,"Source pipeline evidence ledger only; counts and paths are not collected review evidence, not a rights decision, not source promotion, not a corpus import, and not a decipherment conclusion.",2026-06-19
source-pipeline-evidence-ledger-006,source-pipeline-gap-review-checklist-006,src-ihp-museum-oracle-bones,museum_collection,metadata_only_until_verified,needs_field_map_review,field_map_semantics_review,open_source_register_and_risk_note;verify_rights_status_before_any_use;verify_field_map_absence_or_plan;review_package_manifest_or_not_applicable;review_metadata_profile_or_not_applicable;record_human_review_outcome_before_promotion,1,1,1,0,1,1,0,0,0,2,0,0,0,0,downloaded_with_size_and_checksum_evidence,package_manifest_missing_or_not_applicable_unreviewed,metadata_profile_present,no_candidate_or_graph_derivatives_recorded,source_evidence_has_gaps_pending_review,download_manifest:1;download_log:1;downloaded:1;checksum_present:1;size_recorded:1;package_manifest:0;metadata_profile:2;large_source_register:0;candidate_queue:0;graph_edge:0,corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/007_source-field-map.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv;project_registry/006_large-source-register/001_large-source-register.csv,corpus/009_statistics-and-derived-features/133_ai-agent-source-pipeline-gap-review-checklist.csv,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv,corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv,pending_human_review,,,source_pipeline_evidence_ledger_not_review_outcome_not_scholarship,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,"Source pipeline evidence ledger only; counts and paths are not collected review evidence, not a rights decision, not source promotion, not a corpus import, and not a decipherment conclusion.",2026-06-19
source-pipeline-evidence-ledger-007,source-pipeline-gap-review-checklist-007,src-ihp-oracle-rubbings,online_database,metadata_only_until_verified,needs_package_manifest_review,metadata_profile_and_package_manifest_decision,open_source_register_and_risk_note;verify_rights_status_before_any_use;review_package_manifest_or_not_applicable;review_metadata_profile_or_not_applicable;record_human_review_outcome_before_promotion,1,1,1,0,1,1,1,0,0,0,0,0,0,0,downloaded_with_size_and_checksum_evidence,package_manifest_missing_or_not_applicable_unreviewed,metadata_profile_missing_or_not_applicable_unreviewed,no_candidate_or_graph_derivatives_recorded,source_evidence_has_gaps_pending_review,download_manifest:1;download_log:1;downloaded:1;checksum_present:1;size_recorded:1;package_manifest:0;metadata_profile:0;large_source_register:0;candidate_queue:0;graph_edge:0,corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/007_source-field-map.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv;project_registry/006_large-source-register/001_large-source-register.csv,corpus/009_statistics-and-derived-features/133_ai-agent-source-pipeline-gap-review-checklist.csv,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv,corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv,pending_human_review,,,source_pipeline_evidence_ledger_not_review_outcome_not_scholarship,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,"Source pipeline evidence ledger only; counts and paths are not collected review evidence, not a rights decision, not source promotion, not a corpus import, and not a decipherment conclusion.",2026-06-19
source-pipeline-evidence-ledger-008,source-pipeline-gap-review-checklist-008,src-metmuseum-oracle-bone,museum_collection,public_domain_verified,needs_package_manifest_review,metadata_profile_and_package_manifest_decision,open_source_register_and_risk_note;verify_rights_status_before_any_use;review_package_manifest_or_not_applicable;review_metadata_profile_or_not_applicable;record_human_review_outcome_before_promotion,2,2,2,0,2,2,3,0,0,6,2,0,0,0,downloaded_with_size_and_checksum_evidence,package_manifest_missing_or_not_applicable_unreviewed,metadata_profile_present,no_candidate_or_graph_derivatives_recorded,source_evidence_has_gaps_pending_review,download_manifest:2;download_log:2;downloaded:2;checksum_present:2;size_recorded:2;package_manifest:0;metadata_profile:6;large_source_register:0;candidate_queue:0;graph_edge:0,corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/007_source-field-map.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv;project_registry/006_large-source-register/001_large-source-register.csv,corpus/009_statistics-and-derived-features/133_ai-agent-source-pipeline-gap-review-checklist.csv,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv,corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv,pending_human_review,,,source_pipeline_evidence_ledger_not_review_outcome_not_scholarship,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,"Source pipeline evidence ledger only; counts and paths are not collected review evidence, not a rights decision, not source promotion, not a corpus import, and not a decipherment conclusion.",2026-06-19
source-pipeline-evidence-ledger-009,source-pipeline-gap-review-checklist-009,src-nlc-oracle-world,library_database,metadata_only_until_verified,needs_package_manifest_review,metadata_profile_and_package_manifest_decision,open_source_register_and_risk_note;verify_rights_status_before_any_use;review_package_manifest_or_not_applicable;review_metadata_profile_or_not_applicable;record_human_review_outcome_before_promotion,2,2,2,0,2,2,4,0,0,7,0,0,0,0,downloaded_with_size_and_checksum_evidence,package_manifest_missing_or_not_applicable_unreviewed,metadata_profile_present,no_candidate_or_graph_derivatives_recorded,source_evidence_has_gaps_pending_review,download_manifest:2;download_log:2;downloaded:2;checksum_present:2;size_recorded:2;package_manifest:0;metadata_profile:7;large_source_register:0;candidate_queue:0;graph_edge:0,corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/007_source-field-map.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv;project_registry/006_large-source-register/001_large-source-register.csv,corpus/009_statistics-and-derived-features/133_ai-agent-source-pipeline-gap-review-checklist.csv,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv,corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv,pending_human_review,,,source_pipeline_evidence_ledger_not_review_outcome_not_scholarship,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,"Source pipeline evidence ledger only; counts and paths are not collected review evidence, not a rights decision, not source promotion, not a corpus import, and not a decipherment conclusion.",2026-06-19
source-pipeline-evidence-ledger-010,source-pipeline-gap-review-checklist-010,src-obid-ancientbooks,online_database,source_marked_risk_noted,needs_package_manifest_review,metadata_profile_and_package_manifest_decision,open_source_register_and_risk_note;verify_rights_status_before_any_use;review_package_manifest_or_not_applicable;review_metadata_profile_or_not_applicable;record_human_review_outcome_before_promotion,1,1,1,0,1,1,2,0,0,0,0,0,0,0,downloaded_with_size_and_checksum_evidence,package_manifest_missing_or_not_applicable_unreviewed,metadata_profile_missing_or_not_applicable_unreviewed,no_candidate_or_graph_derivatives_recorded,source_evidence_has_gaps_pending_review,download_manifest:1;download_log:1;downloaded:1;checksum_present:1;size_recorded:1;package_manifest:0;metadata_profile:0;large_source_register:0;candidate_queue:0;graph_edge:0,corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/007_source-field-map.csv;corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv;corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv;project_registry/006_large-source-register/001_large-source-register.csv,corpus/009_statistics-and-derived-features/133_ai-agent-source-pipeline-gap-review-checklist.csv,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv,corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv,pending_human_review,,,source_pipeline_evidence_ledger_not_review_outcome_not_scholarship,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,"Source pipeline evidence ledger only; counts and paths are not collected review evidence, not a rights decision, not source promotion, not a corpus import, and not a decipherment conclusion.",2026-06-19
