bucket_sequence,unknown_candidate_id,primary_external_ref_id,packet_path,source_group,source_class_id,source_image_count,review_status,updated_at
001,obs-unk-007201,hust-obc-und-YH-007201,corpus/001_oracle-characters/089_undeciphered-007201-007300_obs-unk-bucket_oracle-character-candidates/001_obs-unk-007201_hust-obc-und-YH-007201_oracle-character-candidate/01_undeciphered-candidate-packet.json,Y+H,60908,23,reviewed_metadata_only,2026-06-10
002,obs-unk-007202,hust-obc-und-YH-007202,corpus/001_oracle-characters/089_undeciphered-007201-007300_obs-unk-bucket_oracle-character-candidates/002_obs-unk-007202_hust-obc-und-YH-007202_oracle-character-candidate/01_undeciphered-candidate-packet.json,Y+H,60911,23,reviewed_metadata_only,2026-06-10
003,obs-unk-007203,hust-obc-und-YH-007203,corpus/001_oracle-characters/089_undeciphered-007201-007300_obs-unk-bucket_oracle-character-candidates/003_obs-unk-007203_hust-obc-und-YH-007203_oracle-character-candidate/01_undeciphered-candidate-packet.json,Y+H,60912,23,reviewed_metadata_only,2026-06-10
004,obs-unk-007204,hust-obc-und-YH-007204,corpus/001_oracle-characters/089_undeciphered-007201-007300_obs-unk-bucket_oracle-character-candidates/004_obs-unk-007204_hust-obc-und-YH-007204_oracle-character-candidate/01_undeciphered-candidate-packet.json,Y+H,60913,23,reviewed_metadata_only,2026-06-10
005,obs-unk-007205,hust-obc-und-YH-007205,corpus/001_oracle-characters/089_undeciphered-007201-007300_obs-unk-bucket_oracle-character-candidates/005_obs-unk-007205_hust-obc-und-YH-007205_oracle-character-candidate/01_undeciphered-candidate-packet.json,Y+H,60916,23,reviewed_metadata_only,2026-06-10
006,obs-unk-007206,hust-obc-und-YH-007206,corpus/001_oracle-characters/089_undeciphered-007201-007300_obs-unk-bucket_oracle-character-candidates/006_obs-unk-007206_hust-obc-und-YH-007206_oracle-character-candidate/01_undeciphered-candidate-packet.json,Y+H,60917,1,reviewed_metadata_only,2026-06-10
007,obs-unk-007207,hust-obc-und-YH-007207,corpus/001_oracle-characters/089_undeciphered-007201-007300_obs-unk-bucket_oracle-character-candidates/007_obs-unk-007207_hust-obc-und-YH-007207_oracle-character-candidate/01_undeciphered-candidate-packet.json,Y+H,60918,22,reviewed_metadata_only,2026-06-10
008,obs-unk-007208,hust-obc-und-YH-007208,corpus/001_oracle-characters/089_undeciphered-007201-007300_obs-unk-bucket_oracle-character-candidates/008_obs-unk-007208_hust-obc-und-YH-007208_oracle-character-candidate/01_undeciphered-candidate-packet.json,Y+H,60919,1,reviewed_metadata_only,2026-06-10
009,obs-unk-007209,hust-obc-und-YH-007209,corpus/001_oracle-characters/089_undeciphered-007201-007300_obs-unk-bucket_oracle-character-candidates/009_obs-unk-007209_hust-obc-und-YH-007209_oracle-character-candidate/01_undeciphered-candidate-packet.json,Y+H,60921,1,reviewed_metadata_only,2026-06-10
010,obs-unk-007210,hust-obc-und-YH-007210,corpus/001_oracle-characters/089_undeciphered-007201-007300_obs-unk-bucket_oracle-character-candidates/010_obs-unk-007210_hust-obc-und-YH-007210_oracle-character-candidate/01_undeciphered-candidate-packet.json,Y+H,60922,1,reviewed_metadata_only,2026-06-10
011,obs-unk-007211,hust-obc-und-YH-007211,corpus/001_oracle-characters/089_undeciphered-007201-007300_obs-unk-bucket_oracle-character-candidates/011_obs-unk-007211_hust-obc-und-YH-007211_oracle-character-candidate/01_undeciphered-candidate-packet.json,Y+H,60923,23,reviewed_metadata_only,2026-06-10
012,obs-unk-007212,hust-obc-und-YH-007212,corpus/001_oracle-characters/089_undeciphered-007201-007300_obs-unk-bucket_oracle-character-candidates/012_obs-unk-007212_hust-obc-und-YH-007212_oracle-character-candidate/01_undeciphered-candidate-packet.json,Y+H,60925,23,reviewed_metadata_only,2026-06-10
013,obs-unk-007213,hust-obc-und-YH-007213,corpus/001_oracle-characters/089_undeciphered-007201-007300_obs-unk-bucket_oracle-character-candidates/013_obs-unk-007213_hust-obc-und-YH-007213_oracle-character-candidate/01_undeciphered-candidate-packet.json,Y+H,60927,22,reviewed_metadata_only,2026-06-10
014,obs-unk-007214,hust-obc-und-YH-007214,corpus/001_oracle-characters/089_undeciphered-007201-007300_obs-unk-bucket_oracle-character-candidates/014_obs-unk-007214_hust-obc-und-YH-007214_oracle-character-candidate/01_undeciphered-candidate-packet.json,Y+H,60931,23,reviewed_metadata_only,2026-06-10
015,obs-unk-007215,hust-obc-und-YH-007215,corpus/001_oracle-characters/089_undeciphered-007201-007300_obs-unk-bucket_oracle-character-candidates/015_obs-unk-007215_hust-obc-und-YH-007215_oracle-character-candidate/01_undeciphered-candidate-packet.json,Y+H,60936,23,reviewed_metadata_only,2026-06-10
016,obs-unk-007216,hust-obc-und-YH-007216,corpus/001_oracle-characters/089_undeciphered-007201-007300_obs-unk-bucket_oracle-character-candidates/016_obs-unk-007216_hust-obc-und-YH-007216_oracle-character-candidate/01_undeciphered-candidate-packet.json,Y+H,60939,23,reviewed_metadata_only,2026-06-10
017,obs-unk-007217,hust-obc-und-YH-007217,corpus/001_oracle-characters/089_undeciphered-007201-007300_obs-unk-bucket_oracle-character-candidates/017_obs-unk-007217_hust-obc-und-YH-007217_oracle-character-candidate/01_undeciphered-candidate-packet.json,Y+H,60940,23,reviewed_metadata_only,2026-06-10
018,obs-unk-007218,hust-obc-und-YH-007218,corpus/001_oracle-characters/089_undeciphered-007201-007300_obs-unk-bucket_oracle-character-candidates/018_obs-unk-007218_hust-obc-und-YH-007218_oracle-character-candidate/01_undeciphered-candidate-packet.json,Y+H,60941,23,reviewed_metadata_only,2026-06-10
019,obs-unk-007219,hust-obc-und-YH-007219,corpus/001_oracle-characters/089_undeciphered-007201-007300_obs-unk-bucket_oracle-character-candidates/019_obs-unk-007219_hust-obc-und-YH-007219_oracle-character-candidate/01_undeciphered-candidate-packet.json,Y+H,60945,23,reviewed_metadata_only,2026-06-10
020,obs-unk-007220,hust-obc-und-YH-007220,corpus/001_oracle-characters/089_undeciphered-007201-007300_obs-unk-bucket_oracle-character-candidates/020_obs-unk-007220_hust-obc-und-YH-007220_oracle-character-candidate/01_undeciphered-candidate-packet.json,Y+H,60947,23,reviewed_metadata_only,2026-06-10
021,obs-unk-007221,hust-obc-und-YH-007221,corpus/001_oracle-characters/089_undeciphered-007201-007300_obs-unk-bucket_oracle-character-candidates/021_obs-unk-007221_hust-obc-und-YH-007221_oracle-character-candidate/01_undeciphered-candidate-packet.json,Y+H,60948,23,reviewed_metadata_only,2026-06-10
022,obs-unk-007222,hust-obc-und-YH-007222,corpus/001_oracle-characters/089_undeciphered-007201-007300_obs-unk-bucket_oracle-character-candidates/022_obs-unk-007222_hust-obc-und-YH-007222_oracle-character-candidate/01_undeciphered-candidate-packet.json,Y+H,60950,23,reviewed_metadata_only,2026-06-10
023,obs-unk-007223,hust-obc-und-YH-007223,corpus/001_oracle-characters/089_undeciphered-007201-007300_obs-unk-bucket_oracle-character-candidates/023_obs-unk-007223_hust-obc-und-YH-007223_oracle-character-candidate/01_undeciphered-candidate-packet.json,Y+H,60951,22,reviewed_metadata_only,2026-06-10
024,obs-unk-007224,hust-obc-und-YH-007224,corpus/001_oracle-characters/089_undeciphered-007201-007300_obs-unk-bucket_oracle-character-candidates/024_obs-unk-007224_hust-obc-und-YH-007224_oracle-character-candidate/01_undeciphered-candidate-packet.json,Y+H,60952,23,reviewed_metadata_only,2026-06-10
025,obs-unk-007225,hust-obc-und-YH-007225,corpus/001_oracle-characters/089_undeciphered-007201-007300_obs-unk-bucket_oracle-character-candidates/025_obs-unk-007225_hust-obc-und-YH-007225_oracle-character-candidate/01_undeciphered-candidate-packet.json,Y+H,60954,1,reviewed_metadata_only,2026-06-10
026,obs-unk-007226,hust-obc-und-YH-007226,corpus/001_oracle-characters/089_undeciphered-007201-007300_obs-unk-bucket_oracle-character-candidates/026_obs-unk-007226_hust-obc-und-YH-007226_oracle-character-candidate/01_undeciphered-candidate-packet.json,Y+H,60955,23,reviewed_metadata_only,2026-06-10
027,obs-unk-007227,hust-obc-und-YH-007227,corpus/001_oracle-characters/089_undeciphered-007201-007300_obs-unk-bucket_oracle-character-candidates/027_obs-unk-007227_hust-obc-und-YH-007227_oracle-character-candidate/01_undeciphered-candidate-packet.json,Y+H,60960,1,reviewed_metadata_only,2026-06-10
028,obs-unk-007228,hust-obc-und-YH-007228,corpus/001_oracle-characters/089_undeciphered-007201-007300_obs-unk-bucket_oracle-character-candidates/028_obs-unk-007228_hust-obc-und-YH-007228_oracle-character-candidate/01_undeciphered-candidate-packet.json,Y+H,60962,1,reviewed_metadata_only,2026-06-10
029,obs-unk-007229,hust-obc-und-YH-007229,corpus/001_oracle-characters/089_undeciphered-007201-007300_obs-unk-bucket_oracle-character-candidates/029_obs-unk-007229_hust-obc-und-YH-007229_oracle-character-candidate/01_undeciphered-candidate-packet.json,Y+H,60965,1,reviewed_metadata_only,2026-06-10
030,obs-unk-007230,hust-obc-und-YH-007230,corpus/001_oracle-characters/089_undeciphered-007201-007300_obs-unk-bucket_oracle-character-candidates/030_obs-unk-007230_hust-obc-und-YH-007230_oracle-character-candidate/01_undeciphered-candidate-packet.json,Y+H,60966,23,reviewed_metadata_only,2026-06-10
031,obs-unk-007231,hust-obc-und-YH-007231,corpus/001_oracle-characters/089_undeciphered-007201-007300_obs-unk-bucket_oracle-character-candidates/031_obs-unk-007231_hust-obc-und-YH-007231_oracle-character-candidate/01_undeciphered-candidate-packet.json,Y+H,60967,23,reviewed_metadata_only,2026-06-10
032,obs-unk-007232,hust-obc-und-YH-007232,corpus/001_oracle-characters/089_undeciphered-007201-007300_obs-unk-bucket_oracle-character-candidates/032_obs-unk-007232_hust-obc-und-YH-007232_oracle-character-candidate/01_undeciphered-candidate-packet.json,Y+H,60972,23,reviewed_metadata_only,2026-06-10
033,obs-unk-007233,hust-obc-und-YH-007233,corpus/001_oracle-characters/089_undeciphered-007201-007300_obs-unk-bucket_oracle-character-candidates/033_obs-unk-007233_hust-obc-und-YH-007233_oracle-character-candidate/01_undeciphered-candidate-packet.json,Y+H,60974,23,reviewed_metadata_only,2026-06-10
