field,value,status,evidence_or_next_check
candidate_id,obs-insc-src-cand-000007,source_record_candidate,object-local dossier
object_reference,"HYZ 421, H3:1325",source_reported,verify museum and book
source_text,"壬辰夕卜：其宜（俎）一于，若?用。",source_display_only,locate edition plate
image_status,committed_source_image_with_rights_risk,reviewed,check crop rights
image_sha256,b4f44b4a325d0a24c605ce84ae3c8180177407e59709e69892185fb66398adaa,independently_checked,local bytes
image_sha1,30a8c1000ea08df01199e4ae20d90053cc434802,independently_checked,Commons page comparison
image_size_bytes,2302630,independently_checked,download receipt
image_dimensions,3001x3345,independently_checked,decode JPEG
rights_status,source_marked_risk_noted,reviewed,museum rights unresolved
ocr_status,not_collected,missing,obtain permitted OCR
plate_status,not_independently_verified,missing,locate Schwartz pages
formal_identity,not_assigned,boundary,no formal obi record
character_links,none_assigned,boundary,segment only after review
literature_route,Schwartz 2019 pp. 347 and 561,source_citation_route_only,open permitted copy and verify HYZ 421 pages
publisher_route,De Gruyter Brill DOI 10.1515/9781501505294,publisher_metadata_checked_not_downloaded,metadata only; no local checksum
review_status,source_record_candidate_needs_catalog_and_text_review,reviewed,answer concrete checks
visual_region_status,provisional_boxes_not_text_mapping,reviewed,independent orientation and box check
visual_region_register,92_visual-region-register.csv,reviewed,box-to-image and rights check
