occurrence_id,group_category,order_number,position_xywh,seat_font,mark,label,sub_label,project_route,evidence_state,reading_status,rights_status
hd421-s1-o00,InscriptionSentence1,0,"1224,2306,33,51",0,-1,oesivb520y,oesivb520y,,direct_checked,withheld,metadata_only_until_verified
hd421-s1-o01,InscriptionSentence1,1,"1180,2307,42,53",0,-1,4lgdy5a4ta,4lgdy5a4ta,,direct_checked,withheld,metadata_only_until_verified
hd421-s1-o02,InscriptionSentence1,2,"1144,2310,29,43",0,-1,0wfbo7ml5k,0wfbo7ml5k,,direct_checked,withheld,metadata_only_until_verified
hd421-s1-o03,InscriptionSentence1,3,"1115,2314,31,40",0,-1,h0gzv3styy,h0gzv3styy,,direct_checked,withheld,metadata_only_until_verified
hd421-s1-o04,InscriptionSentence1,4,"1069,2310,40,41",0,-1,qmvfvw99v9,qmvfvw99v9,,direct_checked,withheld,metadata_only_until_verified
hd421-s1-o05,InscriptionSentence1,5,"1012,2311,52,78",0,-1,f0j9ho8ua2,f0j9ho8ua2,,direct_checked,withheld,metadata_only_until_verified
hd421-s1-o06,InscriptionSentence1,6,"949,2344,52,58",0,-1,nms96pmn1w,66js7x9h0l,obs-comp-cand-000329,direct_checked,withheld,metadata_only_until_verified
hd421-s1-o07,InscriptionSentence1,7,"963,2405,41,26",0,-1,jrzjjh3g1r,jrzjjh3g1r,,direct_checked,withheld,metadata_only_until_verified
hd421-s1-o08,InscriptionSentence1,8,"906,2338,37,48",0,-1,jjm889wxay,jjm889wxay,,direct_checked,withheld,metadata_only_until_verified
hd421-s1-o09,InscriptionSentence1,9,"842,2337,53,83",0,-1,60kr6bp9hf,60kr6bp9hf,obs-comp-cand-000671,direct_checked,withheld,metadata_only_until_verified
hd421-s1-o10,InscriptionSentence1,10,"847,2431,60,88",0,-1,1k9ogi7w79,1k9ogi7w79,,direct_checked,withheld,metadata_only_until_verified
hd421-s1-o11,InscriptionSentence1,11,"862,2533,47,60",0,-1,353gxm6hd4,353gxm6hd4,,direct_checked,withheld,metadata_only_until_verified
hd421-s2-o00,InscriptionSentence2,0,"946,1958,38,64",0,-1,oesivb520y,oesivb520y,,direct_checked,withheld,metadata_only_until_verified
hd421-s2-o01,InscriptionSentence2,1,"895,1953,42,51",0,-1,4lgdy5a4ta,4lgdy5a4ta,,direct_checked,withheld,metadata_only_until_verified
hd421-s2-o02,InscriptionSentence2,2,"866,1957,23,49",0,-1,0wfbo7ml5k,0wfbo7ml5k,,direct_checked,withheld,metadata_only_until_verified
hd421-s2-o03,InscriptionSentence2,3,"833,1969,28,35",0,-1,h0gzv3styy,h0gzv3styy,,direct_checked,withheld,metadata_only_until_verified
hd421-s2-o04,InscriptionSentence2,4,"799,1970,31,37",0,-1,qmvfvw99v9,qmvfvw99v9,,direct_checked,withheld,metadata_only_until_verified
hd421-s2-o05,InscriptionSentence2,5,"761,1967,33,66",0,-1,f0j9ho8ua2,f0j9ho8ua2,,direct_checked,withheld,metadata_only_until_verified
hd421-s2-o06,InscriptionSentence2,6,"768,2055,39,55",0,-1,nms96pmn1w,66js7x9h0l,obs-comp-cand-000329,direct_checked,withheld,metadata_only_until_verified
hd421-s2-o07,InscriptionSentence2,7,"769,2108,41,14",0,-1,jrzjjh3g1r,jrzjjh3g1r,,direct_checked,withheld,metadata_only_until_verified
hd421-s2-o08,InscriptionSentence2,8,"777,2118,29,48",0,-1,jjm889wxay,jjm889wxay,,direct_checked,withheld,metadata_only_until_verified
hd421-s2-o09,InscriptionSentence2,9,"691,1938,68,91",0,-1,60kr6bp9hf,60kr6bp9hf,obs-comp-cand-000671,direct_checked,withheld,metadata_only_until_verified
hd421-s2-o10,InscriptionSentence2,10,"724,2038,45,84",0,-1,1k9ogi7w79,1k9ogi7w79,,direct_checked,withheld,metadata_only_until_verified
hd421-s2-o11,InscriptionSentence2,11,"741,2128,26,43",0,-1,353gxm6hd4,353gxm6hd4,,direct_checked,withheld,metadata_only_until_verified
hd421-q1-o00,OracleSequence1,0,"1105,2369,60,38",0,-1,8gxzzbv7w8,8gxzzbv7w8,,direct_checked,withheld,metadata_only_until_verified
hd421-q1-o01,OracleSequence1,1,"919,2411,37,37",0,-1,p77d58vew4,p77d58vew4,,direct_checked,withheld,metadata_only_until_verified
hd421-q2-o00,OracleSequence2,0,"836,2012,56,21",0,-1,jrzjjh3g1r,jrzjjh3g1r,,direct_checked,withheld,metadata_only_until_verified
